smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
N[C@H]1CCc2c(nc(CO)n2N)C1	ZINC000076126083	CGBBVQOTLISLSR-YFKPBYRVSA-N	182.227	-1.095	0	50	AAAA	
N[C@@H]1CCc2c(nc(CO)n2N)C1	ZINC000076126087	CGBBVQOTLISLSR-RXMQYKEDSA-N	182.227	-1.095	0	50	AAAA	
N[C@H](C(=O)O)c1nnc2n1CCNC2	ZINC000076135706	BEBUPBGUOOXNDU-YFKPBYRVSA-N	197.198	-1.534	0	50	AAAA	
N[C@@H](C(=O)O)c1nnc2n1CCNC2	ZINC000076135707	BEBUPBGUOOXNDU-RXMQYKEDSA-N	197.198	-1.534	0	50	AAAA	
N[C@H](C(=O)O)c1nc[nH]n1	ZINC000076135824	SJPXUSPJTILKTA-REOHCLBHSA-N	142.118	-1.111	0	50	AAAA	
N[C@@H](C(=O)O)c1nc[nH]n1	ZINC000076135825	SJPXUSPJTILKTA-UWTATZPHSA-N	142.118	-1.111	0	50	AAAA	
N[C@H](CO)c1nnc2n1CCNC2	ZINC000076136285	OFNZYHSTNUZHBT-RXMQYKEDSA-N	183.215	-1.627	0	50	AAAA	
N[C@@H](CO)c1nnc2n1CCNC2	ZINC000076136286	OFNZYHSTNUZHBT-YFKPBYRVSA-N	183.215	-1.627	0	50	AAAA	
Cn1ncc(N)c1[C@H](N)CO	ZINC000076136413	AHBYJQSTYGALJC-RXMQYKEDSA-N	156.189	-1.006	0	50	AAAA	
Cn1ncc(N)c1[C@@H](N)CO	ZINC000076136414	AHBYJQSTYGALJC-YFKPBYRVSA-N	156.189	-1.006	0	50	AAAA	
Cn1ncc(N)c1C[C@H](N)C(=O)O	ZINC000076161582	NJBKMZNBMBRZNH-BYPYZUCNSA-N	184.199	-1.043	0	50	AAAA	
Cn1ncc(N)c1C[C@@H](N)C(=O)O	ZINC000076161584	NJBKMZNBMBRZNH-SCSAIBSYSA-N	184.199	-1.043	0	50	AAAA	
O=C(O)[C@@H](O)c1nnc2n1CCNC2	ZINC000076163688	AGXBVMSLPMBJNX-YFKPBYRVSA-N	198.182	-1.501	0	50	AAAA	
O=C(O)[C@H](O)c1nnc2n1CCNC2	ZINC000076163689	AGXBVMSLPMBJNX-RXMQYKEDSA-N	198.182	-1.501	0	50	AAAA	
Cn1cnnc1[C@H](O)C(=O)O	ZINC000076163694	JIGMTCAUTZKDJX-VKHMYHEASA-N	157.129	-1.067	0	50	AAAA	
Cn1cnnc1[C@@H](O)C(=O)O	ZINC000076163695	JIGMTCAUTZKDJX-GSVOUGTGSA-N	157.129	-1.067	0	50	AAAA	
O=C(O)[C@@H](O)c1nnc[nH]1	ZINC000076163808	AXLUBGPMSMBROZ-REOHCLBHSA-N	143.102	-1.077	0	50	AAAA	
O=C(O)[C@H](O)c1nnc[nH]1	ZINC000076163809	AXLUBGPMSMBROZ-UWTATZPHSA-N	143.102	-1.077	0	50	AAAA	
