smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCOC(=O)[C@H]1O[C@H]1C(N)=O	ZINC000039065431	ZWOFWVGNYHOVDW-DMTCNVIQSA-N	159.141	-1.198	0	40	AAAB	
CCOC(=O)[C@@H]1O[C@H]1C(N)=O	ZINC000039065433	ZWOFWVGNYHOVDW-QWWZWVQMSA-N	159.141	-1.198	0	40	AAAB	
CCOC(=O)[C@@H]1O[C@@H]1C(N)=O	ZINC000039065435	ZWOFWVGNYHOVDW-IUYQGCFVSA-N	159.141	-1.198	0	40	AAAB	
NC(=O)N1C(=O)NC(=O)[C@H]1O	ZINC000039065449	ORSMPPNTWWSUFF-UWTATZPHSA-N	159.101	-2.065	0	40	AAAB	
NC(=O)N1C(=O)NC(=O)[C@@H]1O	ZINC000039065450	ORSMPPNTWWSUFF-REOHCLBHSA-N	159.101	-2.065	0	40	AAAB	
NC(=O)[C@@H]1C[C@@H](O)CN1N=O	ZINC000039065456	ONWBZNUSIZRZMT-DMTCNVIQSA-N	159.145	-1.412	0	40	AAAB	
NC(=O)[C@H]1C[C@@H](CO)C[C@@H]1O	ZINC000039065472	PENOSMIHWXPREN-SRQIZXRXSA-N	159.185	-1.149	0	40	AAAB	
NC(=O)[C@@H]1C[C@@H](O)[C@H](CO)C1	ZINC000039065474	JOMVACCWNXYKLQ-HCWXCVPCSA-N	159.185	-1.149	0	40	AAAB	
N[C@@H]1CCOC[C@@H]1C(=O)NO	ZINC000039065476	RPARKGKDSALKLB-CRCLSJGQSA-N	160.173	-1.144	0	40	AAAB	
NC(=O)N1CCO[C@H](CO)C1	ZINC000039065484	SPVPWUPNTNFVDA-YFKPBYRVSA-N	160.173	-1.242	0	40	AAAB	
NC(=O)N1CCO[C@@H](CO)C1	ZINC000039065486	SPVPWUPNTNFVDA-RXMQYKEDSA-N	160.173	-1.242	0	40	AAAB	
NC(=O)[C@@H]1OCO[C@H]1C(N)=O	ZINC000039065493	CXUGHLDRGZEVAX-PWNYCUMCSA-N	160.129	-2.302	0	40	AAAB	
