smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=C1NC(=O)[C@H]2[C@@H]1[C@@H]1C=C[C@@]2(CO)O1	ZINC000001202664	UZNMJFPMOGBOLQ-CRBZEHORSA-N	195.174	-1.425	0	30	AAAC	
CO[C@H]1O[C@@H](CO)[C@H](O)C[C@@H]1O	ZINC000001234760	TTXGMVXSNBMYNY-BWBBJGPYSA-N	178.184	-1.538	0	30	AAAC	
N[C@@H]1[C@@H](O)[C@H](CO)O[C@H](O)[C@H]1O	ZINC000001532492	BQCCAEOLPYCBAE-GNFDWLABSA-N	179.172	-3.255	0	30	AAAC	
O=C1O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]1O	ZINC000002041200	PHOQVHQSTUBQQK-LECHCGJUSA-N	178.140	-3.013	0	30	AAAC	in-vitro
N[C@H]1[C@@H](O)[C@@H](O)O[C@@H](CO)[C@@H]1O	ZINC000002047259	BQCCAEOLPYCBAE-ZSNZIGRDSA-N	179.172	-3.255	0	30	AAAC	
C[C@@H](O)[C@H]1NC(=O)[C@H]2CCCN2C1=O	ZINC000002547580	UBLWFFBGMBRBMC-FSDSQADBSA-N	198.222	-1.143	0	30	AAAC	
[O-][n+]1onc2c1CCc1no[n+]([O-])c1-2	ZINC000003101716	LDSAWXPLHYDIQR-UHFFFAOYSA-N	196.122	-1.305	0	30	AAAC	
NC(=O)Cn1cc(F)c(=O)[nH]c1=O	ZINC000004546068	AUQLMKHSSOAALQ-UHFFFAOYSA-N	187.130	-1.839	0	30	AAAC	
CC[C@H](N)C(=O)N[C@H](OC)C(=O)O	ZINC000004760522	KZCVIZSLNUMQFE-UJURSFKZSA-N	190.199	-1.103	0	30	AAAC	
CC[C@@H](N)C(=O)N[C@H](OC)C(=O)O	ZINC000004760523	KZCVIZSLNUMQFE-INEUFUBQSA-N	190.199	-1.103	0	30	AAAC	
CC[C@@H](N)C(=O)N[C@@H](OC)C(=O)O	ZINC000004760526	KZCVIZSLNUMQFE-XINAWCOVSA-N	190.199	-1.103	0	30	AAAC	
CNCC(=O)NC(C)=O	ZINC000005196879	POGALDIVMZCXHF-UHFFFAOYSA-N	130.147	-1.132	0	30	AAAC	
CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]1O	ZINC000005226831	HOVAGTYPODGVJG-AZEWMMITSA-N	194.183	-2.567	0	30	AAAC	
O=C(O)CNS(=O)(=O)O	ZINC000005287079	NPFBMZZDXXPIBA-UHFFFAOYSA-N	155.131	-1.537	0	30	AAAC	
O=[N+]([O-])NCCCN[N+](=O)[O-]	ZINC000005287339	VXXSDUJLKHJIFG-UHFFFAOYSA-N	164.121	-1.061	0	30	AAAC	
NC(=O)NOCONC(N)=O	ZINC000005287464	NWTGUWCVQLYIBF-UHFFFAOYSA-N	164.121	-1.856	0	30	AAAC	
Nn1cnn2c(S)nnc12	ZINC000005522131	XIKDBIVTMBERGC-UHFFFAOYSA-N	156.174	-1.072	0	30	AAAC	
CN(C)S(=O)(=O)NCC#N	ZINC000005668273	GZAAXBPJPUIGCZ-UHFFFAOYSA-N	163.202	-1.094	0	30	AAAC	
O=S(=O)(O)Nn1cnnc1	ZINC000005670195	QHWHTMHJLIBGIQ-UHFFFAOYSA-N	164.146	-1.376	0	30	AAAC	
C[C@H](N)C(=O)N[C@H](C(=O)O)[C@H](C)O	ZINC000005919560	BUQICHWNXBIBOG-YUPRTTJUSA-N	190.199	-1.716	0	30	AAAC	endogenous,in-vitro
O=C1C[C@H](O)[C@H](CO)O1	ZINC000006761039	YIXDEYPPAGPYDP-IMJSIDKUSA-N	132.115	-1.345	0	30	AAAC	in-man,metabolite
O=C1C[C@@H](O)[C@@H](CO)O1	ZINC000006761088	YIXDEYPPAGPYDP-QWWZWVQMSA-N	132.115	-1.345	0	30	AAAC	in-man,metabolite
C[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)C(=O)O	ZINC000008551405	NBFWIISVIFCMDK-TXICZTDVSA-N	180.156	-2.466	0	30	AAAC	endogenous,in-vitro
C[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)C(=O)O	ZINC000008551406	NBFWIISVIFCMDK-NRXMZTRTSA-N	180.156	-2.466	0	30	AAAC	endogenous,in-vitro
C[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)C(=O)O	ZINC000008551407	NBFWIISVIFCMDK-KKQCNMDGSA-N	180.156	-2.466	0	30	AAAC	endogenous,in-vitro
C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)C(=O)O	ZINC000008551408	NBFWIISVIFCMDK-QMKXCQHVSA-N	180.156	-2.466	0	30	AAAC	endogenous,in-vitro
O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H](O)CO[C@H]12	ZINC000011592762	YWXYYJSYQOXTPL-OMMKOOBNSA-N	191.139	-1.278	0	30	AAAC	
O=C(O)/C=C/C(=O)Nc1nnn[nH]1	ZINC000012378686	IHPLRRVCRLLMKI-OWOJBTEDSA-N	183.127	-1.221	0	30	AAAC	
N=c1c[n+](N2CCOCC2)[nH]o1	ZINC000012466779	NTBJYBVMMBXFRP-UHFFFAOYSA-N	171.180	-1.657	0	30	AAAC	in-man
O=C(O)[C@H](O)C[C@H](O)[C@@H](O)CO	ZINC000012502658	YGMNHEPVTNXLLS-LMVFSUKVSA-N	180.156	-2.464	0	30	AAAC	
O=C(O)[C@H](O)C[C@@H](O)[C@@H](O)CO	ZINC000012502662	YGMNHEPVTNXLLS-WDCZJNDASA-N	180.156	-2.464	0	30	AAAC	
NC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O	ZINC000013347946	IXZISFNWUWKBOM-VANKVMQKSA-N	179.172	-3.253	0	30	AAAC	biogenic,in-vitro
C[C@H]1NC(=O)[C@H]2C[C@@H](O)CN2C1=O	ZINC000013413520	JBVUOARNEYAAOS-HSUXUTPPSA-N	184.195	-1.534	0	30	AAAC	biogenic,in-vitro
O=C(O)[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O	ZINC000013523236	ZHFMVVUVCALAMY-QMKXCQHVSA-N	177.156	-2.875	0	30	AAAC	biogenic,in-vitro
N[C@@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H](O)CO	ZINC000013533607	UFYKDFXCZBTLOO-SKNVOMKLSA-N	195.171	-3.527	0	30	AAAC	
N[C@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H](O)CO	ZINC000013533611	UFYKDFXCZBTLOO-FCAWWPLPSA-N	195.171	-3.527	0	30	AAAC	
N[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H](O)CO	ZINC000013533614	UFYKDFXCZBTLOO-QTBDOELSSA-N	195.171	-3.527	0	30	AAAC	
N[C@@H]1[C@@H](O)[C@@H](O)O[C@@H](CO)[C@@H]1O	ZINC000014418575	BQCCAEOLPYCBAE-XKTQNOIPSA-N	179.172	-3.255	0	30	AAAC	
