smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(=O)NCC(=O)NC[C@H](O)CO	ZINC000085244794	RVLIMWWBKHRDRT-LURJTMIESA-N	190.199	-2.408	0	20	AAAD	
CC(=O)NCC(=O)NC[C@@H](O)CO	ZINC000085244797	RVLIMWWBKHRDRT-ZCFIWIBFSA-N	190.199	-2.408	0	20	AAAD	
O=C(Cn1cccn1)NC[C@H](O)CO	ZINC000085244839	ZMMIYZHSHBRJNA-ZETCQYMHSA-N	199.210	-1.648	0	20	AAAD	
O=C(Cn1cccn1)NC[C@@H](O)CO	ZINC000085244840	ZMMIYZHSHBRJNA-SSDOTTSWSA-N	199.210	-1.648	0	20	AAAD	
O=C(NC[C@H](O)CO)C1CC1	ZINC000085244849	XBCKXMAASNTPQG-LURJTMIESA-N	159.185	-1.134	0	20	AAAD	
O=C(NC[C@@H](O)CO)C1CC1	ZINC000085244851	XBCKXMAASNTPQG-ZCFIWIBFSA-N	159.185	-1.134	0	20	AAAD	
Cc1[nH]ncc1C(=O)NC[C@H](O)CO	ZINC000085244887	GVRQYWIEQNMYCI-LURJTMIESA-N	199.210	-1.199	0	20	AAAD	
Cc1[nH]ncc1C(=O)NC[C@@H](O)CO	ZINC000085244888	GVRQYWIEQNMYCI-ZCFIWIBFSA-N	199.210	-1.199	0	20	AAAD	
O=C(NC[C@H](O)CO)NC1CC1	ZINC000085244975	SNRWMWGZGZNHFB-LURJTMIESA-N	174.200	-1.199	0	20	AAAD	
O=C(NC[C@@H](O)CO)NC1CC1	ZINC000085244977	SNRWMWGZGZNHFB-ZCFIWIBFSA-N	174.200	-1.199	0	20	AAAD	
COC(=O)NC[C@H](O)CO	ZINC000085245009	REVRTXFQAIRDES-BYPYZUCNSA-N	149.146	-1.304	0	20	AAAD	
COC(=O)NC[C@@H](O)CO	ZINC000085245011	REVRTXFQAIRDES-SCSAIBSYSA-N	149.146	-1.304	0	20	AAAD	
CC(C)S(=O)(=O)NC[C@H](O)CO	ZINC000085245059	OXXWFFRQSPBUOP-LURJTMIESA-N	197.256	-1.333	0	20	AAAD	
CC(C)S(=O)(=O)NC[C@@H](O)CO	ZINC000085245062	OXXWFFRQSPBUOP-ZCFIWIBFSA-N	197.256	-1.333	0	20	AAAD	
CN(C)S(=O)(=O)NC[C@H](O)CO	ZINC000085245072	QCCMONJLTOPCEN-YFKPBYRVSA-N	198.244	-2.264	0	20	AAAD	
CN(C)S(=O)(=O)NC[C@@H](O)CO	ZINC000085245074	QCCMONJLTOPCEN-RXMQYKEDSA-N	198.244	-2.264	0	20	AAAD	
N#CCS(=O)(=O)NC[C@H](O)CO	ZINC000085245083	IDNXWTVMUAYJEX-YFKPBYRVSA-N	194.212	-2.217	0	20	AAAD	
N#CCS(=O)(=O)NC[C@@H](O)CO	ZINC000085245084	IDNXWTVMUAYJEX-RXMQYKEDSA-N	194.212	-2.217	0	20	AAAD	
CS(=O)(=O)NC[C@H](O)CO	ZINC000085245087	WSHNIDFCGVJIGU-BYPYZUCNSA-N	169.202	-2.111	0	20	AAAD	
CS(=O)(=O)NC[C@@H](O)CO	ZINC000085245088	WSHNIDFCGVJIGU-SCSAIBSYSA-N	169.202	-2.111	0	20	AAAD	
CCS(=O)(=O)NC[C@H](O)CO	ZINC000085245121	NGTJZWVFEGEXRY-YFKPBYRVSA-N	183.229	-1.721	0	20	AAAD	
CCS(=O)(=O)NC[C@@H](O)CO	ZINC000085245123	NGTJZWVFEGEXRY-RXMQYKEDSA-N	183.229	-1.721	0	20	AAAD	
CCCS(=O)(=O)NC[C@H](O)CO	ZINC000085245162	VYHZCNLIVFXVTP-LURJTMIESA-N	197.256	-1.331	0	20	AAAD	
CCCS(=O)(=O)NC[C@@H](O)CO	ZINC000085245164	VYHZCNLIVFXVTP-ZCFIWIBFSA-N	197.256	-1.331	0	20	AAAD	
O=S(=O)(NC[C@H](O)CO)C1CC1	ZINC000085245261	YTNVJVIBVCQHSP-YFKPBYRVSA-N	195.240	-1.579	0	20	AAAD	
O=S(=O)(NC[C@@H](O)CO)C1CC1	ZINC000085245263	YTNVJVIBVCQHSP-RXMQYKEDSA-N	195.240	-1.579	0	20	AAAD	
Cn1nnnc1NC[C@H](O)CO	ZINC000085245333	BHNUMUHRAIAOBK-BYPYZUCNSA-N	173.176	-2.025	0	20	AAAD	
Cn1nnnc1NC[C@@H](O)CO	ZINC000085245335	BHNUMUHRAIAOBK-SCSAIBSYSA-N	173.176	-2.025	0	20	AAAD	
Cn1ccnc(NC[C@H](O)CO)c1=O	ZINC000085245432	AKIIWEJGSOPBOG-LURJTMIESA-N	199.210	-1.455	0	20	AAAD	
Cn1ccnc(NC[C@@H](O)CO)c1=O	ZINC000085245434	AKIIWEJGSOPBOG-ZCFIWIBFSA-N	199.210	-1.455	0	20	AAAD	
O=C1COCC(=O)N1C[C@H](O)CO	ZINC000085245805	NQRKSUDNKYZBBG-YFKPBYRVSA-N	189.167	-2.275	0	20	AAAD	
