smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(=O)[C@@H](C#N)C(=O)NC(N)=O	ZINC000238134359	OXMRGSHJMAQNOI-SCSAIBSYSA-N	169.140	-1.090	0	10	AAAE	
CC(=O)[C@@H](CCC(N)=O)C(N)=O	ZINC000238135846	SZQJKYPJKSKHOE-RXMQYKEDSA-N	172.184	-1.058	0	10	AAAE	
CC(=O)N[C@H](C#N)C(=O)NC(N)=O	ZINC000238135870	XHGQHVRYTJACOK-SCSAIBSYSA-N	184.155	-1.790	0	10	AAAE	
CC(=O)N[C@H](C(=N)N)C(N)=O	ZINC000238136266	SENQQCNPARCPOZ-GSVOUGTGSA-N	158.161	-2.088	0	10	AAAE	
CC(=O)N[C@H](C(N)=O)C(N)=S	ZINC000238136290	XQWWSTKNVWAQSM-GSVOUGTGSA-N	175.213	-1.738	0	10	AAAE	
CC(=O)[C@@H](CO)OS(=O)(=O)O	ZINC000238136509	KCHHLCNDFNCSTR-SCSAIBSYSA-N	184.169	-1.244	0	10	AAAE	
CC(=O)N[C@H](CC(=O)CO)C(=O)O	ZINC000238137425	VBVYLNVQFCVDFS-ZCFIWIBFSA-N	189.167	-1.473	0	10	AAAE	
CC(=O)c1cc(O)ncc1B(O)O	ZINC000238137526	YLIJEMGCVDIAJI-UHFFFAOYSA-N	180.956	-1.330	0	10	AAAE	
CC(=O)N[C@H](CN)C(N)=O	ZINC000238138702	DEBYJMOXJWPCLE-SCSAIBSYSA-N	145.162	-2.065	0	10	AAAE	
CC(=O)N[C@H](CO)CC(N)=O	ZINC000238139145	SZIGYWHQDBBFJW-YFKPBYRVSA-N	160.173	-1.641	0	10	AAAE	
CC(=O)N[C@H](CO)CC(=O)O	ZINC000238139171	SZGAIWDDJZFNPC-YFKPBYRVSA-N	161.157	-1.042	0	10	AAAE	
C=C[C@H](O)[C@H](O)[C@@H](CO)NC(C)=O	ZINC000238139329	HDZULCPRXMTDNV-GJMOJQLCSA-N	189.211	-1.609	0	10	AAAE	
CC(=O)N[C@H](CO)[C@@H](O)[C@@H](O)CO	ZINC000238139355	KAGGWGTZAJGVSA-DSYKOEDSSA-N	193.199	-2.803	0	10	AAAE	
