smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
COC(=O)[C@@H](O)[C@H](O)[C@H]1CC=NO1	ZINC000169644400	RWVJRBMWKHLZPA-PBXRRBTRSA-N	189.167	-1.344	0	1	AAAF	
CN1NN(CCO)N=C1O	ZINC000169644998	OZRSCFDBZUYWNY-UHFFFAOYSA-N	146.150	-1.525	0	1	AAAF	
NC1=NN[C@@H](N)S1	ZINC000169645171	LABRGBASPDREMF-PVQJCKRUSA-N	118.165	-1.205	0	1	AAAF	
NC1=NN[C@H](N)S1	ZINC000169645172	LABRGBASPDREMF-SFOWXEAESA-N	118.165	-1.205	0	1	AAAF	
O=[N+]([O-])[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	ZINC000169646698	VDLXEQBFYVPJBH-TXICZTDVSA-N	179.128	-2.298	0	1	AAAF	
O=C1CC[C@H](O)[C@@H]2[C@H](O)[C@H](O)CN12	ZINC000169647429	ABJVHQRJVWBIBY-LRSZDJBLSA-N	187.195	-1.926	0	1	AAAF	
OC[C@H]1[C@@H](O)[C@H](O)c2nccn21	ZINC000169647572	DGGMEKMJNMCZQN-JKUQZMGJSA-N	170.168	-1.176	0	1	AAAF	
N#[N+]N[C@H]1C(=O)O[C@H](CO)[C@H]1O	ZINC000169647584	POZMDUTWGLRGQC-BXXZVTAOSA-N	174.136	-2.009	0	1	AAAF	
CCO[C@@H]1O[C@@H]2[C@H](O)CO[C@@H]2[C@H]1O	ZINC000169647699	YBWQFPUMMLLIGI-FMDGEEDCSA-N	190.195	-1.132	0	1	AAAF	
N[C-](NO)NO	ZINC000169647777	LFYGOLWXFREXLH-UHFFFAOYSA-N	92.078	-1.650	0	1	AAAF	
NC(N)NC(N)N	ZINC000169647981	OXYGMNLSFNEIQY-UHFFFAOYSA-N	105.145	-3.022	0	1	AAAF	
NC(=O)N[C+](N)N	ZINC000169648327	NEROITIIHYGDEX-UHFFFAOYSA-O	103.105	-1.981	0	1	AAAF	
N[C+](N)N1C[C@H](O)C[C@H]1C(=O)O	ZINC000169648407	RDRCVFSVBJLKGE-DMTCNVIQSA-O	174.180	-2.129	0	1	AAAF	
OC[C@@H]1O[C@H](NO)[C@@H](O)[C@H](O)[C@H]1O	ZINC000169649805	KXJMZHQGEGAKAK-QYESYBIKSA-N	195.171	-3.235	0	1	AAAF	
C1=C(C2=CNNC2)CNN1	ZINC000169649824	MWLKBTASNPBCHJ-UHFFFAOYSA-N	138.174	-1.030	0	1	AAAF	
NC(N)NCCCS(=O)(=O)O	ZINC000169649934	AFAIZNGYEXIFAW-UHFFFAOYSA-N	183.233	-1.945	0	1	AAAF	
C1=CNC(C2NC=CN2)N1	ZINC000169649976	WXEWXZRPXQXKMR-UHFFFAOYSA-N	138.174	-1.033	0	1	AAAF	
O=C1N[C@H]2OC[C@@H](O)[C@@H](O1)[C@H]2O	ZINC000169650115	YYNLEEABUQRBLL-AIHAYLRMSA-N	175.140	-1.827	0	1	AAAF	
N[C@@H]1[CH+][C@H](N)[C@H](O)[CH-][C@@H]1O	ZINC000169650311	IPKKVBWOIFPLLU-GUCUJZIJSA-N	144.174	-2.215	0	1	AAAF	
N[C@@H]1[CH+][C@H](N)[C@H](O)[CH-][C@H]1O	ZINC000169650312	IPKKVBWOIFPLLU-JGWLITMVSA-N	144.174	-2.215	0	1	AAAF	
N[C@H]1[CH+][C@H](N)[C@@H](O)[CH-][C@H]1O	ZINC000169650313	IPKKVBWOIFPLLU-OMMKOOBNSA-N	144.174	-2.215	0	1	AAAF	
N[C@H]1[CH+][C@H](N)[C@H](O)[CH-][C@H]1O	ZINC000169650314	IPKKVBWOIFPLLU-UNTFVMJOSA-N	144.174	-2.215	0	1	AAAF	
CN[C@@H]1[CH+][C@H](NC)[C@H](O)[CH-][C@@H]1O	ZINC000169650315	ZKQWIPRCRFJLRE-SOSBWXJGSA-N	172.228	-1.694	0	1	AAAF	
CN[C@H]1[CH+][C@H](NC)[C@@H](O)[CH-][C@H]1O	ZINC000169650316	ZKQWIPRCRFJLRE-DKXJUACHSA-N	172.228	-1.694	0	1	AAAF	
CN[C@@H]1[CH+][C@@H](NC)[C@@H](O)[CH-][C@H]1O	ZINC000169650317	ZKQWIPRCRFJLRE-XUTVFYLZSA-N	172.228	-1.694	0	1	AAAF	
CN[C@@H]1[CH+][C@H](NC)[C@@H](O)[CH-][C@H]1O	ZINC000169650318	ZKQWIPRCRFJLRE-KVFPUHGPSA-N	172.228	-1.694	0	1	AAAF	
O=C(O)[C@H]1NC(=O)[C@@H](O)[C@H]1O	ZINC000169650870	XJBFSVCWWOWTIY-ZPAAKOCQSA-N	161.113	-2.709	0	1	AAAF	
N#C[C@H]1[C@H](C(N)=O)[C@]1(C#N)C(N)=O	ZINC000169651508	JUKPAFDYYMKXHK-PJVAAEDRSA-N	178.151	-1.763	0	1	AAAF	
C[C@@H]1CC(=O)N[C@H](NN)N1	ZINC000169653123	TVBLOEOQGOADEM-NQXXGFSBSA-N	144.178	-1.769	0	1	AAAF	
C[C@H]1CC(=O)N[C@H](NN)N1	ZINC000169653124	TVBLOEOQGOADEM-WVZVXSGGSA-N	144.178	-1.769	0	1	AAAF	
C[C@@H]1CC(=O)N[C@@H](NN)N1	ZINC000169653125	TVBLOEOQGOADEM-WUJLRWPWSA-N	144.178	-1.769	0	1	AAAF	
C[C@H]1CC(=O)N[C@@H](NN)N1	ZINC000169653126	TVBLOEOQGOADEM-UCORVYFPSA-N	144.178	-1.769	0	1	AAAF	
CC1(C)OC(=O)C(NN)C(=O)O1	ZINC000169653128	YDDPRFPVMBMFMI-UHFFFAOYSA-N	174.156	-1.346	0	1	AAAF	
CN1C(=O)C(NN)C(=O)N(C)C1=O	ZINC000169653129	SJRUPJHYZADGDY-UHFFFAOYSA-N	186.171	-2.131	0	1	AAAF	
O=[N+]([O-])C[C@@H](O)[C@H](O)[C@H](O)CO	ZINC000169653154	VLEQPJLPWMAPHE-WDCZJNDASA-N	181.144	-2.662	0	1	AAAF	
O=C1N[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]12	ZINC000169653267	IZYQTUTYQIOPLJ-FVMFUBRJSA-N	189.167	-2.829	0	1	AAAF	
O=C1N[C@@H]2OC[C@@H](O)[C@@H](O)[C@H]12	ZINC000169653268	URTPPMDEPCGDIU-ZGEUXELVSA-N	159.141	-2.190	0	1	AAAF	
O=[S@]1C[C@H]2O[C@@H]1[C@H](O)[C@@H](O)[C@@H]2O	ZINC000169653620	NIWZFHJFXCZIAL-JBNZOYIESA-N	194.208	-2.444	0	1	AAAF	
CO[C@@H]1[C@@H](O)[C@@H](O)[C@@H](F)[C@H](O)[C@@H]1F	ZINC000169654388	AESYFMQSKQBYSW-CLYCCYFHSA-N	198.165	-1.226	0	1	AAAF	
C[C@@](N)(CO)[C@@H](O)[C@H](N)C(=O)O	ZINC000169654971	PZTZWUPZMDAXIN-RVJQKOHUSA-N	178.188	-2.531	0	1	AAAF	
C[C@]1(O)C(=O)O[C@H]([C@H](O)CO)[C@H]1O	ZINC000169655074	RJWNLAOZCUPZEQ-FNKGTGPASA-N	192.167	-2.623	0	1	AAAF	
OC1(O)OCC2(COCOC2)CO1	ZINC000169656153	VGQBTEZRGUYFGX-UHFFFAOYSA-N	192.167	-1.380	0	1	AAAF	
NN1C=NN(N)C1	ZINC000169656710	LOHLZAHYOWETJF-UHFFFAOYSA-N	101.113	-1.748	0	1	AAAF	
CN[C+](N)N	ZINC000169656774	VVKSSAXMRJMJLJ-UHFFFAOYSA-N	74.107	-1.430	0	1	AAAF	
NC(=O)[C@@H]1[C@@H]2O[C@H]3[C@H](OC(=O)[C@H]31)[C@H]2O	ZINC000169656839	XAIGQACFCBRRCI-LKPKBOIGSA-N	199.162	-2.229	0	1	AAAF	
COC(=O)C1=C[C@@H]2O[C@@H]2[C@H](O)[C@H]1O	ZINC000169656998	STLRVXFCWLVCRX-YTLHQDLWSA-N	186.163	-1.411	0	1	AAAF	
C1CN2CCN3CCN[C@@H]3C[C@@H]2N1	ZINC000169658354	QXDXQDDHQRFTDO-DTORHVGOSA-N	182.271	-1.147	0	1	AAAF	
O[C@@H]1[C@H]2CS[C@H](O2)[C@@H](O)[C@H]1O	ZINC000169659041	TYDHICSSLDZTOS-PQMKYFCFSA-N	178.209	-1.459	0	1	AAAF	
NC(N)N[N+](=O)[O-]	ZINC000169659935	RJAWOJLEONQCRR-UHFFFAOYSA-N	106.085	-2.031	0	1	AAAF	
