smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=C(O)C(=O)C(=O)[C@@H](O)[C@@H](O)CO	ZINC000001530152	GJQWCDSAOUMKSE-HRFVKAFMSA-N	192.123	-3.077	10	50	AACA	endogenous,in-man
O=C(O)C(=O)C(=O)[C@H](O)[C@H](O)CO	ZINC000001530154	GJQWCDSAOUMKSE-PWNYCUMCSA-N	192.123	-3.077	10	50	AACA	in-vitro,metabolite
O=C1O[C@@H]([C@@H](O)CO)C(=O)C1=O	ZINC000001532646	SBJKKFFYIZUCET-VHUNDSFISA-N	174.108	-2.597	10	50	AACA	in-man,metabolite
O=C1O[C@@H]([C@H](O)CO)C(=O)C1=O	ZINC000001532647	SBJKKFFYIZUCET-MVHIGOERSA-N	174.108	-2.597	10	50	AACA	in-man,metabolite
O=C1O[C@H]([C@@H](O)CO)C(=O)C1=O	ZINC000001532648	SBJKKFFYIZUCET-JLAZNSOCSA-N	174.108	-2.597	10	50	AACA	in-man,metabolite
O=C1O[C@H]([C@H](O)CO)C(=O)C1=O	ZINC000001532649	SBJKKFFYIZUCET-DUZGATOHSA-N	174.108	-2.597	10	50	AACA	endogenous,in-man
O=C1CC(=O)N2C(=O)CC(=O)N12	ZINC000001613401	GZNCIJMYYSBWIX-UHFFFAOYSA-N	168.108	-1.581	10	50	AACA	
CN(C)C=C1C(=O)NC(=O)NC1=O	ZINC000001673695	IFJJJQASQZGSAC-UHFFFAOYSA-N	183.167	-1.202	10	50	AACA	
O=C1C(=O)C(=O)C(=O)C(=O)C1=O	ZINC000003861007	PKRGYJHUXHCUCN-UHFFFAOYSA-N	168.060	-2.585	10	50	AACA	
O=c1c(O)c(O)c(=O)c(=O)c1=O	ZINC000003861035	WCJLIWFWHPOTAC-UHFFFAOYSA-N	170.076	-2.586	10	50	AACA	in-vitro
[N-]=[N+]=CC(=O)OC[C@H](N)C(=O)O	ZINC000003977741	MZZGOOYMKKIOOX-VKHMYHEASA-N	173.128	-1.758	10	50	AACA	biogenic,in-man
[N-]=[N+]=C1C=NC(=O)NC1=O	ZINC000004215596	VEOLNAAQJHGJPM-UHFFFAOYSA-N	138.086	-1.022	10	50	AACA	in-man
O=C1c2n[nH]nc2C(=O)c2n[nH]nc21	ZINC000004342740	RFJQFDNFQDAVHT-UHFFFAOYSA-N	190.122	-1.302	10	50	AACA	
N[C@H]1c2nonc2[C@H](N)C(=O)C1=O	ZINC000004713554	OHZLZPDJQBKPRB-LWMBPPNESA-N	182.139	-1.779	10	50	AACA	
O=C1C(=O)C(=O)[C@@H](O)[C@@H](O)C1=O	ZINC000004786581	SLMIQMVBMZJQAX-XIXRPRMCSA-N	172.092	-3.002	10	50	AACA	
O=C1C(=O)C(=O)[C@@H](O)[C@H](O)C1=O	ZINC000004786584	SLMIQMVBMZJQAX-LWMBPPNESA-N	172.092	-3.002	10	50	AACA	
