smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CN(C)S(=O)(=O)[n+]1ccn(C)c1	ZINC000000172289	QLGLPTZUWXTWOU-UHFFFAOYSA-N	190.248	-1.033	10	40	AACB	
O=C1C=c2cc[nH]c2=CC1=O	ZINC000001530228	IGGVVGHJSQSLFO-UHFFFAOYSA-N	147.133	-1.273	10	40	AACB	endogenous,in-man
CC(=O)C(=O)[C@H](O)CO	ZINC000001532387	UYTRITJAZOPLCZ-SCSAIBSYSA-N	132.115	-1.502	10	40	AACB	in-vitro,metabolite
O=c1c2n(c(=O)c3n1CCC=3)CCC=2	ZINC000001563003	QOGRPSKKXJMOHA-UHFFFAOYSA-N	190.202	-1.622	10	40	AACB	
[N-]=[N+]=CC(=O)OC[C@@H](N)C(=O)O	ZINC000003977742	MZZGOOYMKKIOOX-GSVOUGTGSA-N	173.128	-1.758	10	40	AACB	biogenic,in-man
[N-]=[N+]=C1C(=O)NC(=O)N=C1O	ZINC000004071678	HBZLKQCYQCZGAN-UHFFFAOYSA-N	154.085	-1.137	10	40	AACB	
CN1C(=O)C(=[N+]=[N-])C(=O)N(C)C1=O	ZINC000004916429	XMYWRBXSIQINSE-UHFFFAOYSA-N	182.139	-1.292	10	40	AACB	
[N-]=[N+]=CC(=O)C[C@H](N)C(=O)O	ZINC000005014898	FMHPSVZSLZOGKT-BYPYZUCNSA-N	157.129	-1.342	10	40	AACB	in-vitro
CO[C@H]1NC(=O)NC(=O)C1=[N+]=[N-]	ZINC000005105338	NGOJXMOCGCHIQF-SCSAIBSYSA-N	170.128	-1.531	10	40	AACB	
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=S	ZINC000005132033	ABXYOVCSAGTJAC-JGWLITMVSA-N	196.224	-2.578	10	40	AACB	
CO[C@@H]1C(=[N+]=[N-])C(=O)NC(=O)N1C	ZINC000005329903	RBQXXZXTDYJFLT-RXMQYKEDSA-N	184.155	-1.189	10	40	AACB	
Cn1cc[n+](S(=O)(=O)O)c1	ZINC000016922362	BWTRZAFCILHCIO-UHFFFAOYSA-O	163.178	-1.037	10	40	AACB	
CO[C@@H]1NC(=O)NC(=O)C1=[N+]=[N-]	ZINC000016973942	NGOJXMOCGCHIQF-BYPYZUCNSA-N	170.128	-1.531	10	40	AACB	
CN1N=C/C(=C/NC(N)=O)C1=O	ZINC000017020428	RSLVNMNVGKPOCU-RQOWECAXSA-N	168.156	-1.004	10	40	AACB	
CO[C@H]1C(=[N+]=[N-])C(=O)NC(=O)N1C	ZINC000017024413	RBQXXZXTDYJFLT-YFKPBYRVSA-N	184.155	-1.189	10	40	AACB	
COC(=O)C1=NN(C)C(=O)C1=O	ZINC000034538527	ZJRAHWWCJCLWTO-UHFFFAOYSA-N	170.124	-1.444	10	40	AACB	
OCC1=C[C@@H](O)O[C@@]1(O)CO	ZINC000039059098	AYZFTMACMIABMC-WDSKDSINSA-N	162.141	-2.065	10	40	AACB	
OCC1=C[C@@H](O)O[C@]1(O)CO	ZINC000039059099	AYZFTMACMIABMC-NTSWFWBYSA-N	162.141	-2.065	10	40	AACB	
OCC1=C[C@H](O)O[C@@]1(O)CO	ZINC000039059100	AYZFTMACMIABMC-RITPCOANSA-N	162.141	-2.065	10	40	AACB	
OCC1=C[C@H](O)O[C@]1(O)CO	ZINC000039059101	AYZFTMACMIABMC-PHDIDXHHSA-N	162.141	-2.065	10	40	AACB	
O=C1O[C@H](CO)C(=O)C1=O	ZINC000039061394	LMIUBCUTSVEVSK-UWTATZPHSA-N	144.082	-1.958	10	40	AACB	
CC(=O)C(=O)C(=O)C=O	ZINC000039068311	KDLDWLXQVYMIBX-UHFFFAOYSA-N	128.083	-1.088	10	40	AACB	
C=c1c(=O)n2c(c(=O)n1C)=CCC2	ZINC000039114140	YVSDONURQUPYGD-UHFFFAOYSA-N	178.191	-1.859	10	40	AACB	
NCCN1CCN(/[N+]([O-])=N\O)CC1	ZINC000039115370	ZZTSJOFZEPENOA-DHZHZOJOSA-N	189.219	-1.171	10	40	AACB	
O=C1O[C@H](CC(O)O)C(=O)C1=O	ZINC000079669775	JKDDAIAUFFZXKA-UWTATZPHSA-N	174.108	-2.249	10	40	AACB	
[N-]=[N+]=NC[C@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	ZINC000083301318	SXQJFSPBUVMKMT-KVTDHHQDSA-N	189.171	-1.222	10	40	AACB	
CC(=O)[C@H](C#N)CN(O)NN	ZINC000086862226	XVMLMTXCKOMJQF-RXMQYKEDSA-N	158.161	-1.215	10	40	AACB	
CC(=O)[C@@H](C#N)CN(O)NN	ZINC000086862227	XVMLMTXCKOMJQF-YFKPBYRVSA-N	158.161	-1.215	10	40	AACB	
[N-]=[N+]=c1ccc(=[N+]=[N-])c(=[N+]=[N-])c1=[N+]=[N-]	ZINC000095101110	MXLHBDYLEHCBGT-UHFFFAOYSA-N	186.138	-2.916	10	40	AACB	
C[C@H](O)C(=O)C(=O)CO	ZINC000095923562	JGOHUOVWQKZOHS-VKHMYHEASA-N	132.115	-1.502	10	40	AACB	
C[C@@H](O)C(=O)C(=O)CO	ZINC000095923563	JGOHUOVWQKZOHS-GSVOUGTGSA-N	132.115	-1.502	10	40	AACB	
CC(=O)C(=O)[C@@H](O)CO	ZINC000100073273	UYTRITJAZOPLCZ-BYPYZUCNSA-N	132.115	-1.502	10	40	AACB	in-vitro,metabolite
