smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=C(O)[C@H]1OC(=O)C(=O)C1=O	ZINC000002577030	LNQKXCUSSWLRID-VKHMYHEASA-N	158.065	-1.865	10	20	AACD	
[N-]=[N+]=CC(=O)NCC(N)=O	ZINC000004727053	JSBXCTZQDYMKJQ-UHFFFAOYSA-N	142.118	-2.112	10	20	AACD	
N(=N/c1nnn[nH]1)\Nc1nnn[nH]1	ZINC000015636571	WJFCSZGMLZKYQT-UHFFFAOYSA-N	181.123	-1.176	10	20	AACD	
CN1C(=O)C(=CNN)C(=O)N(C)C1=O	ZINC000017083505	QCMUVDWCZRNPFI-UHFFFAOYSA-N	198.182	-1.616	10	20	AACD	
CNC(=O)CNC(=O)C=[N+]=[N-]	ZINC000095865786	XKIYAXBBZOYLIY-UHFFFAOYSA-N	156.145	-1.851	10	20	AACD	
CCNC(=O)CNC(=O)C=[N+]=[N-]	ZINC000095865790	ZCTXKFPFDFOTKL-UHFFFAOYSA-N	170.172	-1.461	10	20	AACD	
O=C(O)[C@@H]1OC(=O)C(=O)C1=O	ZINC000104378246	LNQKXCUSSWLRID-GSVOUGTGSA-N	158.065	-1.865	10	20	AACD	
CC(C)NC(=O)CNC(=O)C=[N+]=[N-]	ZINC000104378485	DLWHWNWHEMTSMY-UHFFFAOYSA-N	184.199	-1.072	10	20	AACD	
CCCNC(=O)CNC(=O)C=[N+]=[N-]	ZINC000104378882	VBDNYKNQGZKNGY-UHFFFAOYSA-N	184.199	-1.071	10	20	AACD	
[N-]=[N+]=NC[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	ZINC000104459915	SXQJFSPBUVMKMT-SLPGGIOYSA-N	189.171	-1.222	10	20	AACD	
[N-]=[N+]=N[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O	ZINC000104524288	WVWBURHISBVZHI-MBMOQRBOSA-N	175.144	-1.264	10	20	AACD	
N#CC(C#N)=S=C(N)N	ZINC000104572746	DPWGBVBVYWSOSA-UHFFFAOYSA-N	140.171	-1.056	10	20	AACD	
N[C@@H](C=S=O)C(=O)O	ZINC000104582814	MUDDHGAXPVSEGI-REOHCLBHSA-N	135.144	-1.587	10	20	AACD	
N[C@H](C=S=O)C(=O)O	ZINC000104582816	MUDDHGAXPVSEGI-UWTATZPHSA-N	135.144	-1.587	10	20	AACD	
CS(C)(=O)=CC(N)=O	ZINC000104643805	BZGGGBZUHGEROF-UHFFFAOYSA-N	135.188	-1.182	10	20	AACD	
N[C@H]1N=CCC(=O)C1=O	ZINC000104653371	CECMVMIHQKWEPG-YFKPBYRVSA-N	126.115	-1.116	10	20	AACD	
N[C@@H]1N=CCC(=O)C1=O	ZINC000104653373	CECMVMIHQKWEPG-RXMQYKEDSA-N	126.115	-1.116	10	20	AACD	
N=C(N)N/N=N/C(N)=O	ZINC000104658813	FYHJUQSANDUPHZ-UHFFFAOYSA-N	130.111	-1.085	10	20	AACD	
N=C(N)/N=N/NC(=N)N	ZINC000104658818	FGRHWLJAWCMYKA-UHFFFAOYSA-N	129.127	-1.270	10	20	AACD	
O=C1NC(=O)C(=C[N+](=O)[O-])C(=O)N1	ZINC000111907118	KVPYKUITKQYMFF-UHFFFAOYSA-N	185.095	-1.487	10	20	AACD	
NC(=O)NC=C1C(=O)NC(=O)NC1=O	ZINC000111929520	CKWHZYMWAGHUND-UHFFFAOYSA-N	198.138	-2.095	10	20	AACD	
[N-]=[N+]=NCCN[C@@H](CO)C(N)=O	ZINC000130253943	MAXRGNATVPQMQN-BYPYZUCNSA-N	173.176	-1.268	10	20	AACD	
[N-]=[N+]=NCCN[C@H](CO)C(N)=O	ZINC000130254163	MAXRGNATVPQMQN-SCSAIBSYSA-N	173.176	-1.268	10	20	AACD	
OB(O)c1ccc(O)c(O)c1	ZINC000200990630	BCWYQMRVLHIWQV-UHFFFAOYSA-N	153.930	-1.222	10	20	AACD	
[N-]=[N+]=NCC(=O)NCC(N)=O	ZINC000229008205	LIKPENRYUZCQJD-UHFFFAOYSA-N	157.133	-1.102	10	20	AACD	
