smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CNC=C1C(=O)NC(=O)NC1=O	ZINC000000332523	LGQSMUUAARIWGO-UHFFFAOYSA-N	169.140	-1.544	10	10	AACE	
[N-]=[N+]=N[C@H]1CN[C@H](CO)[C@@H](O)[C@@H]1O	ZINC000003791077	UNMCDIKFXREVHH-SLPGGIOYSA-N	188.187	-1.649	10	10	AACE	
O=C1C(=O)C(=O)C(=O)C1=O	ZINC000013429727	YVVXMBHAKNKELS-UHFFFAOYSA-N	140.050	-2.155	10	10	AACE	biogenic,in-vitro
O=C1C(=O)[C@@H](O)O[C@@H](CO)[C@H]1O	ZINC000014438808	HWTWYYQIKNSYOA-VPGXFDHMSA-N	176.124	-2.805	10	10	AACE	
O=C1C(=O)[C@@H](O)O[C@H](CO)[C@H]1O	ZINC000014438810	HWTWYYQIKNSYOA-SAMGZKJBSA-N	176.124	-2.805	10	10	AACE	in-vitro
O=C1COCC(=O)C1=O	ZINC000015116055	FEHVEVVZUMSQSR-UHFFFAOYSA-N	128.083	-1.276	10	10	AACE	
O=C1[C@@]2(O)C(=O)C(=O)[C@@]12O	ZINC000016955511	DVHRUQXEFQGOGC-SYDPRGILSA-N	142.066	-2.817	10	10	AACE	
O=C1C(=O)[C@H]([C@H](O)CO)O[C@@H]1O	ZINC000017860487	HSPLOTPGQGADEG-XFOYTBOXSA-N	176.124	-2.805	10	10	AACE	
[N-]=[N+]=NC[C@@H]1O[C@@H](O)[C@@H](O)[C@@H]1O	ZINC000029399297	FPNYNARZVKFPAC-SKNVOMKLSA-N	175.144	-1.264	10	10	AACE	
[N-]=[N+]=NC[C@@H]1O[C@H](O)[C@@H](O)[C@@H]1O	ZINC000029399300	FPNYNARZVKFPAC-QTBDOELSSA-N	175.144	-1.264	10	10	AACE	
[N-]=[N+]=NC[C@H]1O[C@@H](O)[C@@H](O)[C@@H]1O	ZINC000029399303	FPNYNARZVKFPAC-SQOUGZDYSA-N	175.144	-1.264	10	10	AACE	
[N-]=[N+]=NC[C@H]1O[C@H](O)[C@@H](O)[C@@H]1O	ZINC000029399306	FPNYNARZVKFPAC-MBMOQRBOSA-N	175.144	-1.264	10	10	AACE	
NC=C1C(=O)NC(=S)NC1=O	ZINC000033846201	JESGXIMAVOCUGQ-UHFFFAOYSA-N	171.181	-1.640	10	10	AACE	
O=c1[nH]c2c([nH]1)=CC(=O)C(=O)C=2	ZINC000034108213	QMPJDJFBALWXAB-UHFFFAOYSA-N	164.120	-2.584	10	10	AACE	
[N-]=[N+]=NC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O	ZINC000034115894	MEGCBJOTGBEPOC-SLPGGIOYSA-N	189.171	-1.222	10	10	AACE	
O=C1C(=O)[C@@H](O)[C@H]1O	ZINC000034120428	LOXKJXLULTVXGW-XIXRPRMCSA-N	116.072	-2.140	10	10	AACE	
O=C1C(=O)[C@@H](O)[C@@H]1O	ZINC000034120429	LOXKJXLULTVXGW-LWMBPPNESA-N	116.072	-2.140	10	10	AACE	
