smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
NCCN(CCN)/[N+]([O-])=N/O	ZINC000001633546	YNRCBOXEDICOIX-CLFYSBASSA-N	163.181	-1.528	10	1	AACF	
[N-]=[N+]=CC(=O)c1c[nH]c(=O)[nH]c1=O	ZINC000004723058	FWZUJWHRRYEGKO-UHFFFAOYSA-N	180.123	-1.454	10	1	AACF	
[N-]=[N+]=CC(=O)NCC(=O)NCC(N)=O	ZINC000004727048	CFBSQFQVFYMUPQ-UHFFFAOYSA-N	199.170	-2.995	10	1	AACF	
CCOC(=O)CNC(=O)C=[N+]=[N-]	ZINC000004727054	GSSAWWWUJAYYLB-UHFFFAOYSA-N	171.156	-1.034	10	1	AACF	in-vitro
[N-]=[N+]=CC(=O)NCC(=O)NO	ZINC000004809093	SWSYSHUCAMICOH-UHFFFAOYSA-N	158.117	-2.091	10	1	AACF	
[N-]=[N+]=CC(=O)NCC(=O)NCCO	ZINC000005066881	TZEWIXOHBOYFQB-UHFFFAOYSA-N	186.171	-2.488	10	1	AACF	
[N-]=[N+]=C1C(=O)NC(=O)N[C@@H]1C(=O)O	ZINC000005124373	YXCSLXGBWWXARZ-REOHCLBHSA-N	184.111	-2.050	10	1	AACF	
O=CC(=O)C(=O)C(=O)C=O	ZINC000005178394	AWRQHZBSCXKEQF-UHFFFAOYSA-N	142.066	-1.909	10	1	AACF	
CC(=O)C(=[N+]=[N-])C(=O)NCC#N	ZINC000005940912	DTGFTVZXEQQXNW-UHFFFAOYSA-N	166.140	-1.114	10	1	AACF	
N=C(N)N(N)/N=N/c1nn[nH]n1	ZINC000006090884	WSLWDHGXSGRREP-DHZHZOJOSA-N	170.140	-1.732	10	1	AACF	in-vitro
O=C(O)[C@H]1C=c2cc(O)c(O)cc2=N1	ZINC000006091452	FTKNNPWNZZDWLM-ZCFIWIBFSA-N	193.158	-1.035	10	1	AACF	
O=C(O)[C@@H]1C=c2cc(O)c(O)cc2=N1	ZINC000006091453	FTKNNPWNZZDWLM-LURJTMIESA-N	193.158	-1.035	10	1	AACF	
C[C@@H](N)[C@H](O)[C@H]1OC(=O)C(=O)C1=O	ZINC000013512126	KUIOAAAYPMCDPY-FYRZXUJBSA-N	187.151	-2.242	10	1	AACF	in-vitro
C[C@H](N)[C@H](O)[C@H]1OC(=O)C(=O)C1=O	ZINC000013512129	KUIOAAAYPMCDPY-SFCRRXBPSA-N	187.151	-2.242	10	1	AACF	in-vitro
C[C@H](O)[C@@H]1OC(=O)C(=O)C1=O	ZINC000013512163	SYBSUMHWDCKDJA-VHUNDSFISA-N	158.109	-1.569	10	1	AACF	in-vitro
O=CC(=O)C(=O)[C@H](O)[C@H](O)CO	ZINC000013546457	BEGWNCGIAWSOOT-INEUFUBQSA-N	176.124	-2.962	10	1	AACF	in-vitro
N=[N+]=CC(=O)C[C@H](N)C(=O)O	ZINC000013547801	DJBUTWZIMBKSOL-BYPYZUCNSA-O	158.137	-1.333	10	1	AACF	in-vitro
O=C1C(=O)[C@H](O)[C@@H](CO)O[C@H]1O	ZINC000014438806	HWTWYYQIKNSYOA-ULKCASBJSA-N	176.124	-2.805	10	1	AACF	biogenic,in-vitro
[N-]=[N+]=C1C(=O)NC(=O)N[C@H]1C(=O)O	ZINC000016978410	YXCSLXGBWWXARZ-UWTATZPHSA-N	184.111	-2.050	10	1	AACF	
[N-]=[N+]=CC(=O)C[C@@H](N)C(=O)O	ZINC000017430408	FMHPSVZSLZOGKT-SCSAIBSYSA-N	157.129	-1.342	10	1	AACF	
CCN[C@H]1C(=O)C(=O)[C@H]1NC	ZINC000022877584	FYAIPBIOBLLUAM-CRCLSJGQSA-N	156.185	-1.296	10	1	AACF	
CCN[C@H]1C(=O)C(=O)[C@@H]1NC	ZINC000022877589	FYAIPBIOBLLUAM-RFZPGFLSSA-N	156.185	-1.296	10	1	AACF	
CCN[C@@H]1C(=O)C(=O)[C@H]1NC	ZINC000022877591	FYAIPBIOBLLUAM-WHFBIAKZSA-N	156.185	-1.296	10	1	AACF	
CCN[C@@H]1C(=O)C(=O)[C@@H]1NC	ZINC000022877597	FYAIPBIOBLLUAM-UHNVWZDZSA-N	156.185	-1.296	10	1	AACF	
CC(=O)C(=O)[C@H](O)C(O)O	ZINC000028523457	VSUSEJHCCDOGPV-BYPYZUCNSA-N	148.114	-2.184	10	1	AACF	
[N-]=[N+]=N[C@H]1CO[C@H](CO)[C@H](O)[C@@H]1O	ZINC000045352933	UNPRDVHWNUYZCM-KCDKBNATSA-N	189.171	-1.222	10	1	AACF	
[N-]=[N+]=NC[C@H]1O[C@@H](O)[C@H](O)[C@H]1O	ZINC000048998270	FPNYNARZVKFPAC-KKQCNMDGSA-N	175.144	-1.264	10	1	AACF	
[N-]=[N+]=NC[C@H]1O[C@H](O)[C@H](O)[C@H]1O	ZINC000048998271	FPNYNARZVKFPAC-LECHCGJUSA-N	175.144	-1.264	10	1	AACF	
[N-]=[N+]=N[C@@H]1O[C@@H](CO)[C@H](O)[C@H]1O	ZINC000058631389	DHFFHQUOZLQWBU-QMKXCQHVSA-N	175.144	-1.264	10	1	AACF	
C[C@@H]1O[C@H](N=[N+]=N)[C@@H](O)[C@H](O)[C@@H]1O	ZINC000058631708	UVVVIJNFFIMQDY-KGJVWPDLSA-N	190.179	-1.636	10	1	AACF	
N=[N+]=CC(=O)OC[C@H](N)C(=O)O	ZINC000059206707	LMTILILZEHPNAP-VKHMYHEASA-O	174.136	-1.749	10	1	AACF	in-vitro,metabolite
N=[N+]=CC(=O)OC[C@@H](N)C(=O)O	ZINC000059206709	LMTILILZEHPNAP-GSVOUGTGSA-O	174.136	-1.749	10	1	AACF	in-vitro,metabolite
N#C[C@H]1CNC(=O)C1=O	ZINC000084248490	SISNUPQJRTXPAB-VKHMYHEASA-N	124.099	-1.175	10	1	AACF	
N#C[C@@H]1CNC(=O)C1=O	ZINC000084248491	SISNUPQJRTXPAB-GSVOUGTGSA-N	124.099	-1.175	10	1	AACF	
C[C@H]1NNC(=O)C1=C1C(=O)NNC1=O	ZINC000090662224	YNYLILDQQSMMJX-UWTATZPHSA-N	196.166	-2.533	10	1	AACF	
C[C@@H]1NNC(=O)C1=C1C(=O)NNC1=O	ZINC000090662229	YNYLILDQQSMMJX-REOHCLBHSA-N	196.166	-2.533	10	1	AACF	
O=CNC(=O)/C(C=O)=C\O	ZINC000090669730	UEHLIFLHWIOJPH-RJRFIUFISA-N	143.098	-1.100	10	1	AACF	
O=C(O)NC1=NNC(=O)C1=O	ZINC000090696797	CEGHWNHLHREVPW-UHFFFAOYSA-N	157.085	-1.734	10	1	AACF	
