smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
NNC(=O)c1cccc(C(=O)NN)n1	ZINC000000027662	DDOVHJODVHQLCS-UHFFFAOYSA-N	195.182	-1.711	30	50	AAEA	biogenic,in-vitro
NNC(=O)[C@@H]1CCCNC1=O	ZINC000000066877	NYCBGDUPPBUSPC-SCSAIBSYSA-N	157.173	-1.498	30	50	AAEA	
NNC(=O)[C@H]1CCCNC1=O	ZINC000000066880	NYCBGDUPPBUSPC-BYPYZUCNSA-N	157.173	-1.498	30	50	AAEA	
CC(=O)N1CCS[C@H]1C(=O)NN	ZINC000000149919	NTUFGOOFRWCMFU-LURJTMIESA-N	189.240	-1.102	30	50	AAEA	
CC(=O)N1CCS[C@@H]1C(=O)NN	ZINC000000149921	NTUFGOOFRWCMFU-ZCFIWIBFSA-N	189.240	-1.102	30	50	AAEA	
NNC(=O)N1CCOCC1	ZINC000000160063	XOGXFOXHAJFGKI-UHFFFAOYSA-N	145.162	-1.098	30	50	AAEA	
NNC(=O)CNC(=O)c1ccco1	ZINC000000167240	TVNDYUOHQBZJDS-UHFFFAOYSA-N	183.167	-1.001	30	50	AAEA	
COc1cccn(CC(=O)NN)c1=O	ZINC000000169164	FHIFPIJXVWWSMR-UHFFFAOYSA-N	197.194	-1.153	30	50	AAEA	
Cn1cc(C(=O)NN)ccc1=O	ZINC000000281239	WCGPQGBPGIDIKC-UHFFFAOYSA-N	167.168	-1.011	30	50	AAEA	
CC(C)(CO)[C@H](O)C(=O)NN	ZINC000000333843	GIEOPWBZNAVUBX-SCSAIBSYSA-N	162.189	-1.644	30	50	AAEA	
CC(C)(CO)[C@@H](O)C(=O)NN	ZINC000000333844	GIEOPWBZNAVUBX-BYPYZUCNSA-N	162.189	-1.644	30	50	AAEA	
NNC(=O)c1ccc(C(=O)NN)nc1	ZINC000000337608	OTPQUWGVUDNOLP-UHFFFAOYSA-N	195.182	-1.711	30	50	AAEA	
OC[C@H]1O[C@@H](S)[C@H](O)[C@H](O)[C@H]1O	ZINC000000403608	JUSMHIGDXPKSID-RXRWUWDJSA-N	196.224	-2.284	30	50	AAEA	in-vitro,metabolite
