smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=C[C@@H](O)[C@@H]1OC(=O)[C@H](O)[C@H]1O	ZINC000001530418	UYUXSRADSPPKRZ-AIHAYLRMSA-N	176.124	-2.807	30	40	AAEB	in-vitro
O=C1C=C[C@@H](O)[C@@]2(CO)O[C@@H]12	ZINC000001559095	GAGWCYWDAZARDD-DSYKOEDSSA-N	156.137	-1.384	30	40	AAEB	
CC(=O)N[C@H](C=O)C[C@H](C=O)CO	ZINC000001562972	XIFZJQYYQQWMIB-SFYZADRCSA-N	187.195	-1.113	30	40	AAEB	
CC(=O)N[C@@H](C=O)C[C@H](C=O)CO	ZINC000001562973	XIFZJQYYQQWMIB-HTQZYQBOSA-N	187.195	-1.113	30	40	AAEB	
CC(=O)N[C@H](C=O)C[C@@H](C=O)CO	ZINC000001562974	XIFZJQYYQQWMIB-YUMQZZPRSA-N	187.195	-1.113	30	40	AAEB	
CC(=O)N[C@@H](C=O)C[C@@H](C=O)CO	ZINC000001562975	XIFZJQYYQQWMIB-JGVFFNPUSA-N	187.195	-1.113	30	40	AAEB	
NNC(=O)C[C@H](N)C(=O)O	ZINC000001566865	YIEJWMCKVBZQLD-REOHCLBHSA-N	147.134	-2.222	30	40	AAEB	in-vitro
CC(=O)N[C@@H](C=O)OCC=O	ZINC000001570726	FCIQXASUFORBDK-ZCFIWIBFSA-N	159.141	-1.137	30	40	AAEB	
N#CN=C1NCOCN1	ZINC000001590645	XGIDLJAZGJVLOA-UHFFFAOYSA-N	126.119	-1.052	30	40	AAEB	
CNNC(=O)COC	ZINC000001594772	UORXHHZLSAXOJQ-UHFFFAOYSA-N	118.136	-1.117	30	40	AAEB	
C[C@@]1(C=O)NC(=O)NC1=O	ZINC000001595902	NBGAZDCNALHMDN-YFKPBYRVSA-N	142.114	-1.217	30	40	AAEB	
C[C@]1(/C=N/NC(N)=O)NC(=O)NC1=O	ZINC000001595907	WBUPSMHSDYRXMK-ONJTYKPQSA-N	199.170	-1.761	30	40	AAEB	
C[C@@]1(/C=N/NC(N)=O)NC(=O)NC1=O	ZINC000001595909	WBUPSMHSDYRXMK-YYHMDIAISA-N	199.170	-1.761	30	40	AAEB	
N#C[C@H](CC(=O)NN)C(=O)NN	ZINC000001600598	NPGJUHZOWHIJLX-VKHMYHEASA-N	171.160	-2.504	30	40	AAEB	
COC(=O)/C=N/NC(N)=O	ZINC000001604054	VQRYAYLNKCSWCB-QHHAFSJGSA-N	145.118	-1.187	30	40	AAEB	
CN(C)C(=O)NCC(=O)NN	ZINC000001604714	WVKLTUQUPZXBGS-UHFFFAOYSA-N	160.177	-1.753	30	40	AAEB	
NC(=O)NC(CCl)NC(N)=O	ZINC000001605843	HYPCWNSXANOCQI-UHFFFAOYSA-N	180.595	-1.112	30	40	AAEB	
