smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[N+](C)(C)NCCC(=O)NN	ZINC000001791379	RISHTJLAEZJUSC-UHFFFAOYSA-O	161.229	-1.423	30	30	AAEC	
O=C[C@H](O)C[C@H](O)CO	ZINC000002517030	GKHJPQPGKIAEJO-UHNVWZDZSA-N	134.131	-1.711	30	30	AAEC	
NNC(=O)C(N)C(=O)NN	ZINC000005220232	SSTSJLNPNVYKDD-UHFFFAOYSA-N	147.138	-3.707	30	30	AAEC	
O=[N+]([O-])N=C1NCC(O)CN1	ZINC000005480284	PTYIVRDPUKLIQP-UHFFFAOYSA-N	160.133	-1.912	30	30	AAEC	
N/C(=N/[N+](=O)[O-])NNCO	ZINC000006021264	MABVMDRZKQPDPE-UHFFFAOYSA-N	149.110	-2.463	30	30	AAEC	
C/C(CC(=O)NN)=N/N	ZINC000006021331	KHYNWJPNKNTZKA-CLTKARDFSA-N	130.151	-1.299	30	30	AAEC	
NC(N)=NCCC[C@H](N)CC(=O)O	ZINC000006753339	VNWXCGKMEWXYBP-YFKPBYRVSA-N	188.231	-1.158	30	30	AAEC	
CC(=N/O)/C(=N/O)N1C[C@@H]1C(N)=O	ZINC000006904132	VAEIQDBUFGVXSN-VOXKOJDQSA-N	186.171	-1.206	30	30	AAEC	
C/C(C/C=N\NC(=N)N)=N\NC(=N)N	ZINC000017354311	BCXUVOYFVARGFV-XPWJWFAVSA-N	198.234	-1.296	30	30	AAEC	
C/C(C/C=N/N=C(N)N)=N\N=C(N)N	ZINC000017354312	BCXUVOYFVARGFV-HMMKTVFPSA-N	198.234	-1.715	30	30	AAEC	
Cc1n[n+](C/C(C#N)=N/O)c(C)n1N	ZINC000018167608	GPHBYKLWPAGYTC-YRNVUSSQSA-O	195.206	-1.145	30	30	AAEC	
NNC(=O)[C@@](O)(NN)C(F)(F)F	ZINC000020156998	TXCWKGMKKWOSJD-REOHCLBHSA-N	188.109	-2.310	30	30	AAEC	
