smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
N[C@@H](C[C@@H](O)C=O)C(=O)O	ZINC000000895960	XCXUZPXOFFRGGP-DMTCNVIQSA-N	147.130	-1.652	30	20	AAED	endogenous,in-man
O=C[C@@H](O)C(O)(CO)CO	ZINC000000897149	AVGPOAXYRRIZMM-SCSAIBSYSA-N	150.130	-2.738	30	20	AAED	in-vitro,metabolite
N[C@@H](C=O)C(=O)O	ZINC000000967974	XMTCKNXTTXDPJX-REOHCLBHSA-N	103.077	-1.403	30	20	AAED	endogenous,in-man
O=C1C=C[C@H](O)[C@@]1(O)CO	ZINC000001568247	NCKMZWFKQTWDTD-NJGYIYPDSA-N	144.126	-1.790	30	20	AAED	in-vitro,metabolite
O=CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O	ZINC000001569760	IIJBTCDOPUNMQQ-UHFFFAOYSA-N	199.122	-1.356	30	20	AAED	
CNC(=O)NN(C)C(N)=O	ZINC000001574279	UBWZGBMORCYAMW-UHFFFAOYSA-N	146.150	-1.159	30	20	AAED	
CNC(=O)NNC(N)=O	ZINC000001596458	VVWUIHPYJZXQRG-UHFFFAOYSA-N	132.123	-1.501	30	20	AAED	
N#CC(C#N)=C1NC(=O)CC(=O)N1	ZINC000001618114	OVIVBDZFPQQIIG-UHFFFAOYSA-N	176.135	-1.119	30	20	AAED	
NNC(=O)Cn1ccnn1	ZINC000001647435	LACAXGGJCCJQOP-UHFFFAOYSA-N	141.134	-1.732	30	20	AAED	
NNC(=O)CNC=O	ZINC000001653018	CIRVNJGVWPTMFQ-UHFFFAOYSA-N	117.108	-2.278	30	20	AAED	
CC(=O)N[C@H](C#N)C(=O)NN	ZINC000001667242	UWUZBFUNEVIYRZ-SCSAIBSYSA-N	156.145	-1.995	30	20	AAED	
O=C1N=C(O)/C(=[N+](\[O-])O)C(=O)N1	ZINC000001680671	KNWCGUHNCMENFB-UHFFFAOYSA-N	173.084	-1.467	30	20	AAED	
NNC(=O)c1cc(NN)ccn1	ZINC000001728923	VBVMUEIRJABWRG-UHFFFAOYSA-N	167.172	-1.029	30	20	AAED	
CC(C)NNC(=O)C(=O)NN	ZINC000002009132	JWIHWSUHUHGYGL-UHFFFAOYSA-N	160.177	-1.995	30	20	AAED	
CC(=O)N[C@@H](C#N)C(=O)NN	ZINC000002048235	UWUZBFUNEVIYRZ-BYPYZUCNSA-N	156.145	-1.995	30	20	AAED	
NNC(=O)C(=O)N1CCNCC1	ZINC000002528761	GACMZCBGESGYAQ-UHFFFAOYSA-N	172.188	-2.592	30	20	AAED	
NNC(=O)CC(=O)N1CCNCC1	ZINC000002528762	SULPKZRPJFNDHS-UHFFFAOYSA-N	186.215	-2.202	30	20	AAED	
NNC(=O)c1c[n+]([O-])ccn1	ZINC000002559862	XNLZIIKVJWNPLY-UHFFFAOYSA-N	154.129	-1.682	30	20	AAED	
CN(C)NC(=O)CCC(=O)NN	ZINC000003164777	KZZYTVLARSQHOX-UHFFFAOYSA-N	174.204	-1.651	30	20	AAED	
N[C@H](C=O)C(=O)O	ZINC000003581296	XMTCKNXTTXDPJX-UWTATZPHSA-N	103.077	-1.403	30	20	AAED	endogenous,in-man
C[C@@H](O)[C@H](N)C=O	ZINC000003581356	ORDNBIQZKXYGTM-QWWZWVQMSA-N	103.121	-1.107	30	20	AAED	biogenic,in-vitro
OC[C@H]1O[C@@H](O)[C@@H](Cl)[C@@H](O)[C@@H]1O	ZINC000003870781	SNGNCYILSHZBLM-AIECOIEWSA-N	198.602	-1.975	30	20	AAED	
NNC(=NCC(=O)O)NN	ZINC000003946896	ISDMMAMTIMFUKA-UHFFFAOYSA-N	147.138	-2.646	30	20	AAED	
N/N=C(/N)C/C(N)=N/N	ZINC000004203861	AODDEVXWEVDOJH-UHFFFAOYSA-N	130.155	-2.162	30	20	AAED	
N/N=C(\N)CC/C(N)=N/N	ZINC000004203862	XXZUQGYMQSUQHF-UHFFFAOYSA-N	144.182	-1.772	30	20	AAED	
N/N=C(\N)C(Cl)(Cl)/C(N)=N/N	ZINC000004203879	ZEGUGJKUZYXXKU-UHFFFAOYSA-N	199.045	-1.378	30	20	AAED	
CC(=O)/C(N)=N\N	ZINC000004203887	VELDONBRTKBCTF-UHFFFAOYSA-N	101.109	-1.194	30	20	AAED	
