smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
COC[C@H](O)[C@H](O)[C@@H](C=O)OC	ZINC000166133963	JYZUQEOEGQFQEA-XVMARJQXSA-N	178.184	-1.432	30	10	AAEE	
COC[C@@H](O)[C@H](O)[C@@H](C=O)OC	ZINC000166134080	JYZUQEOEGQFQEA-QYNIQEEDSA-N	178.184	-1.432	30	10	AAEE	
COC[C@H](O)[C@@H](O)[C@@H](C=O)OC	ZINC000166134198	JYZUQEOEGQFQEA-RRKCRQDMSA-N	178.184	-1.432	30	10	AAEE	
COC[C@@H](O)[C@@H](O)[C@@H](C=O)OC	ZINC000166134323	JYZUQEOEGQFQEA-FSDSQADBSA-N	178.184	-1.432	30	10	AAEE	
CC(=O)N[C@H](CC=O)[C@@H](O)[C@@H](C)O	ZINC000166195103	KJUOTNQKCLKJFB-NJUXHZRNSA-N	189.211	-1.178	30	10	AAEE	
CC(=O)N[C@H](CC=O)[C@H](O)[C@@H](C)O	ZINC000166195347	KJUOTNQKCLKJFB-LPBLVHEISA-N	189.211	-1.178	30	10	AAEE	
O=C[C@@H]1OC[C@H](O)[C@@H]1O	ZINC000166195963	LUMDVVXXGDUTEH-YUPRTTJUSA-N	132.115	-1.694	30	10	AAEE	
O=C[C@@H]1OC[C@@H](O)[C@@H]1O	ZINC000166196080	LUMDVVXXGDUTEH-WISUUJSJSA-N	132.115	-1.694	30	10	AAEE	
CN[C@@H]([C@@H](O)CO)[C@H](O)C=O	ZINC000166221049	JKGYBHQSGPBXDX-NGJCXOISSA-N	163.173	-2.513	30	10	AAEE	
CN[C@H]([C@@H](O)CO)[C@H](O)C=O	ZINC000166221165	JKGYBHQSGPBXDX-SRQIZXRXSA-N	163.173	-2.513	30	10	AAEE	
CO[C@H](C=O)[C@H](O)CO	ZINC000166264152	FSTGAEAFVPALRA-RFZPGFLSSA-N	134.131	-1.447	30	10	AAEE	
CO[C@@H](C=O)[C@@H](O)CO	ZINC000166264266	FSTGAEAFVPALRA-WHFBIAKZSA-N	134.131	-1.447	30	10	AAEE	
CO[C@H](C=O)[C@@H](O)CO	ZINC000166264379	FSTGAEAFVPALRA-CRCLSJGQSA-N	134.131	-1.447	30	10	AAEE	
O=C(CO)ON1C(=O)CCC1=O	ZINC000166281717	JLZNGFXJKPJSJO-UHFFFAOYSA-N	173.124	-1.414	30	10	AAEE	
NO[C@H]([C@H](O)C=O)[C@@H](O)CO	ZINC000166586660	RRDQRNQSCAKZKZ-MROZADKFSA-N	165.145	-2.842	30	10	AAEE	
NO[C@@H]([C@H](O)C=O)[C@@H](O)CO	ZINC000166586891	RRDQRNQSCAKZKZ-WISUUJSJSA-N	165.145	-2.842	30	10	AAEE	
NNC(=O)CCNC(N)=S	ZINC000166591953	MQASNXWSMRDFBC-UHFFFAOYSA-N	162.218	-1.800	30	10	AAEE	
NC(N)=NC[C@H]1N=C(N)NC1=O	ZINC000166661120	UBLLSONJMHBMEH-UWTATZPHSA-N	170.176	-2.927	30	10	AAEE	
NC(N)=NC[C@@H]1N=C(N)NC1=O	ZINC000166661243	UBLLSONJMHBMEH-REOHCLBHSA-N	170.176	-2.927	30	10	AAEE	
NC(N)=NC[C@H]1CN=C(N)N1	ZINC000166661357	OSMJJVSOLQJZHG-VKHMYHEASA-N	156.193	-2.454	30	10	AAEE	
NC(N)=NC[C@@H]1CN=C(N)N1	ZINC000166661469	OSMJJVSOLQJZHG-GSVOUGTGSA-N	156.193	-2.454	30	10	AAEE	
O=C[C@H](O)[C@H](O)C(=O)CO	ZINC000166801475	XIIKTJZKWRJKSI-UCORVYFPSA-N	148.114	-2.532	30	10	AAEE	
O=C[C@H](O)[C@@H](O)C(=O)CO	ZINC000166801584	XIIKTJZKWRJKSI-WVZVXSGGSA-N	148.114	-2.532	30	10	AAEE	
O=C[C@@H](O)[C@H](O)C(=O)CO	ZINC000166801701	XIIKTJZKWRJKSI-WUJLRWPWSA-N	148.114	-2.532	30	10	AAEE	
O=C[C@@H](O)[C@@H](O)C(=O)CO	ZINC000166801817	XIIKTJZKWRJKSI-NQXXGFSBSA-N	148.114	-2.532	30	10	AAEE	
CP(C)(=O)[C@@H](O)C(=O)NN	ZINC000167018386	QRGZXNRMQVAOEH-SCSAIBSYSA-N	166.117	-1.083	30	10	AAEE	
