smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=C(O)[C@@H]1CCc2n[nH]c(=O)cc2C1	ZINC000096531381	FGJSPPZYTZASKN-RXMQYKEDSA-N	194.190	-0.041	0	50	ABAA	
NC(=O)[C@H]1CCc2n[nH]c(=O)cc2C1	ZINC000096531432	XSHYJXWHKJMGFP-YFKPBYRVSA-N	193.206	-0.640	0	50	ABAA	
NC(=O)[C@@H]1CCc2n[nH]c(=O)cc2C1	ZINC000096531433	XSHYJXWHKJMGFP-RXMQYKEDSA-N	193.206	-0.640	0	50	ABAA	
CCN1CC2(CCNCC2)OCC1=O	ZINC000096531501	VYKPXEXPVLZDPC-UHFFFAOYSA-N	198.266	-0.013	0	50	ABAA	
CS(=O)(=O)C1(C(N)=S)CC1	ZINC000096531918	RXYIQRPEQIRJSC-UHFFFAOYSA-N	179.266	-0.150	0	50	ABAA	
C=CCN1CCNS1(=O)=O	ZINC000096531991	RXTTYZRSBVAEBW-UHFFFAOYSA-N	162.214	-0.678	0	50	ABAA	
CS(=O)(=O)CC1(C(N)=O)CC1	ZINC000096532025	GOMLYFCNKQBTAR-UHFFFAOYSA-N	177.225	-0.704	0	50	ABAA	
CCS(=O)(=O)CC1(C(N)=O)CC1	ZINC000096532027	YRNATPCWDASKHC-UHFFFAOYSA-N	191.252	-0.313	0	50	ABAA	
CS(=O)(=O)CC1(C(=O)O)CC1	ZINC000096532033	QEPHSZJXFMAZJZ-UHFFFAOYSA-N	178.209	-0.104	0	50	ABAA	
CS(=O)(=O)CC1(CO)CC1	ZINC000096532036	MRNGENOUHZWTAW-UHFFFAOYSA-N	164.226	-0.197	0	50	ABAA	
CS(=O)(=O)CC1(C(N)=O)CCC1	ZINC000096532048	COBYAARUHFXPOM-UHFFFAOYSA-N	191.252	-0.313	0	50	ABAA	
Cn1ncc(N)c1CS(C)(=O)=O	ZINC000096532753	XLSOAQJUIXODRC-UHFFFAOYSA-N	189.240	-0.453	0	50	ABAA	
C=C[C@@H]1CS(=O)(=O)C[C@@H]1O	ZINC000096532861	XWASPEJWMSEZMJ-RITPCOANSA-N	162.210	-0.422	0	50	ABAA	
C=C[C@H]1CS(=O)(=O)C[C@@H]1O	ZINC000096532864	XWASPEJWMSEZMJ-WDSKDSINSA-N	162.210	-0.422	0	50	ABAA	
C=C[C@@H]1CS(=O)(=O)C[C@H]1O	ZINC000096532865	XWASPEJWMSEZMJ-PHDIDXHHSA-N	162.210	-0.422	0	50	ABAA	
C=C[C@H]1CS(=O)(=O)C[C@H]1O	ZINC000096532867	XWASPEJWMSEZMJ-NTSWFWBYSA-N	162.210	-0.422	0	50	ABAA	
Cn1ccc(=O)c(N)c1	ZINC000096577825	FGHIGWGYVPCKMB-UHFFFAOYSA-N	124.143	-0.033	0	50	ABAA	
