smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Nc1ncnc2nc(O)c(N)nc12	ZINC000036404440	YRSSUCKCKPAMNG-UHFFFAOYSA-N	178.155	-0.710	0	40	ABAB	
CCN1C[C@H](N)CN(C)C1	ZINC000036419689	ABAIBKNBILXBQK-SSDOTTSWSA-N	143.234	-0.462	0	40	ABAB	
N[C@@H]1C[C@H](CO)[C@@H](F)[C@@H]1O	ZINC000036419716	UYUIGSFTBGWURM-KVTDHHQDSA-N	149.165	-0.975	0	40	ABAB	
CCOC(=O)c1nnn(O)n1	ZINC000036419804	QEYCARAJDZHFAX-UHFFFAOYSA-N	158.117	-0.913	0	40	ABAB	
CO[C@@H]1C[C@@H]2[C@H](CO1)N2C(C)=O	ZINC000036419953	SWPIWMYYEVABPM-ROVKLQMOSA-N	171.196	-0.022	0	40	ABAB	
C=CCNC(=O)[C@H]1N[C@@H]1C	ZINC000036436756	BBLXFCCRVXANJY-RITPCOANSA-N	140.186	-0.351	0	40	ABAB	
Nc1nc2cn[nH]c2c(O)n1	ZINC000036436794	QVHADJVGHYLOOF-UHFFFAOYSA-N	151.129	-0.359	0	40	ABAB	
N#CC[C@@H]1C[C@H](O)CC(=O)O1	ZINC000036436814	NUTZEIABCUGDLR-NTSWFWBYSA-N	155.153	-0.033	0	40	ABAB	
N#CC[C@@H]1C[C@@H](O)CC(=O)O1	ZINC000036436815	NUTZEIABCUGDLR-PHDIDXHHSA-N	155.153	-0.033	0	40	ABAB	
N#CC[C@H]1C[C@H](O)CC(=O)O1	ZINC000036436816	NUTZEIABCUGDLR-WDSKDSINSA-N	155.153	-0.033	0	40	ABAB	
N#CC[C@H]1C[C@@H](O)CC(=O)O1	ZINC000036436817	NUTZEIABCUGDLR-RITPCOANSA-N	155.153	-0.033	0	40	ABAB	
C[C@H]1CCN2C(=O)CNC(=O)[C@H]12	ZINC000036436905	PMGPVTQHMNDJMP-FSPLSTOPSA-N	168.196	-0.647	0	40	ABAB	
O=C1SC[C@@H]2C(=O)NCC(=O)N12	ZINC000036437064	YSHDADHSNCFJPS-GSVOUGTGSA-N	186.192	-0.820	0	40	ABAB	
O=C1SC[C@H]2C(=O)NCC(=O)N12	ZINC000036437065	YSHDADHSNCFJPS-VKHMYHEASA-N	186.192	-0.820	0	40	ABAB	
NC(=O)c1[nH]ccc(=O)c1O	ZINC000036437121	PHRPQQJEKRXVNO-UHFFFAOYSA-N	154.125	-0.821	0	40	ABAB	
O=[N+]([O-])C=C1NCCCN1	ZINC000036437621	GOBRRFQNYBGHAU-UHFFFAOYSA-N	143.146	-0.355	0	40	ABAB	
C=CCn1c(=O)cc[nH]c1=O	ZINC000036437685	MPDZVLBGFMKPBD-UHFFFAOYSA-N	152.153	-0.277	0	40	ABAB	
COC(=O)Cn1cnc(N)c1	ZINC000036437733	OYHBIULAPFQHHG-UHFFFAOYSA-N	155.157	-0.362	0	40	ABAB	
Cc1cnc2n1C[C@H](C(=O)O)NC2	ZINC000036438202	BQMKBRYZJVQASX-ZCFIWIBFSA-N	181.195	-0.252	0	40	ABAB	
Cc1cnc2n1C[C@@H](C(=O)O)NC2	ZINC000036438203	BQMKBRYZJVQASX-LURJTMIESA-N	181.195	-0.252	0	40	ABAB	
CC1(C)C[C@]1(N)C(N)=O	ZINC000036447778	PSNNXFFLYCSAON-LURJTMIESA-N	128.175	-0.401	0	40	ABAB	
Oc1nncc2nccn21	ZINC000036447796	VTQGWXUVDDUWJA-UHFFFAOYSA-N	136.114	-0.170	0	40	ABAB	
O=CN1CCCCN1C=O	ZINC000036447832	BKWBJAMZEUGAIC-UHFFFAOYSA-N	142.158	-0.388	0	40	ABAB	
N[C@@]1(C(=O)O)CC[C@H]1CO	ZINC000036447868	CXBOBABAALGALT-NJGYIYPDSA-N	145.158	-0.829	0	40	ABAB	
N[C@@H]1[C@@H](O)[C@@H](F)C[C@@H]1CO	ZINC000036447894	HSGLSLCEOUCFPW-VANKVMQKSA-N	149.165	-0.975	0	40	ABAB	
O[C@H]1CN2CC=CC[C@@H]2[C@@H]1O	ZINC000036447947	RXXIKSQLNNXKNN-CSMHCCOUSA-N	155.197	-0.648	0	40	ABAB	
C=CC(=O)N1CCO[C@H](O)C1	ZINC000036447964	BQAGQALPFKJVFK-ZETCQYMHSA-N	157.169	-0.650	0	40	ABAB	
C=CC(=O)N1CCO[C@@H](O)C1	ZINC000036447965	BQAGQALPFKJVFK-SSDOTTSWSA-N	157.169	-0.650	0	40	ABAB	
CC(=O)c1cn(NC(N)=O)nn1	ZINC000036448085	OJGIZDBSOHCJLJ-UHFFFAOYSA-N	169.144	-0.897	0	40	ABAB	
CO[C@H]1C[C@@H]2[C@H](CO1)N2C(C)=O	ZINC000036448117	SWPIWMYYEVABPM-OBCZXFEGSA-N	171.196	-0.022	0	40	ABAB	
OCCCC(O)O	ZINC000036455668	CLQZEZFINZCXFG-UHFFFAOYSA-N	106.121	-0.930	0	40	ABAB	
O=NN1CCN(CCCO)CC1	ZINC000036455946	JGLAIBGOEGDXQQ-UHFFFAOYSA-N	173.216	-0.332	0	40	ABAB	
C#Cn1ccc(N)nc1=O	ZINC000036458546	AVMBMGHZNBGJPI-UHFFFAOYSA-N	135.126	-0.736	0	40	ABAB	
C#C[C@]1(O)CCCCNC1=O	ZINC000036458648	JCNFYMNTRAUPKJ-QMMMGPOBSA-N	153.181	-0.349	0	40	ABAB	
C#C[C@@]1(O)CCCCNC1=O	ZINC000036458649	JCNFYMNTRAUPKJ-MRVPVSSYSA-N	153.181	-0.349	0	40	ABAB	
C=CC[C@@]1(C(N)=O)CCC(=O)N1	ZINC000036458824	XNAHTMHVQQCWNC-QMMMGPOBSA-N	168.196	-0.303	0	40	ABAB	
CC(=O)C1(C)NCCCN1	ZINC000036466179	KXMGVZCBOKKOQN-UHFFFAOYSA-N	142.202	-0.126	0	40	ABAB	
CC(C)[C@@H]1NC[C@H](O)[C@H]1O	ZINC000036466200	KHGOWMSTRYRYPU-LYFYHCNISA-N	145.202	-0.664	0	40	ABAB	
COC(=O)c1nccc(=O)o1	ZINC000036466276	AAQDCEWFRGBNBV-UHFFFAOYSA-N	155.109	-0.179	0	40	ABAB	
Cn1cncc([N+](=O)[O-])c1=O	ZINC000036466278	XQMZTMBPQCSMLI-UHFFFAOYSA-N	155.113	-0.312	0	40	ABAB	
CC(=O)O[C@H]1C=C(C)C(=O)N1	ZINC000036466279	XQPRAODVNKRGLW-LURJTMIESA-N	155.153	-0.048	0	40	ABAB	
NOCCCC[C@H](N)C(=O)O	ZINC000036466346	VRBDIZVKVNGGNE-YFKPBYRVSA-N	162.189	-0.541	0	40	ABAB	
CCC(=O)N[C@@H](CC(=O)O)C(=O)O	ZINC000036472872	SUUXERSKGBYKEZ-BYPYZUCNSA-N	189.167	-0.560	0	40	ABAB	
C#CCNC(=O)[C@H](C)O	ZINC000036757522	LDDHATGHIWWNGC-YFKPBYRVSA-N	127.143	-0.883	0	40	ABAB	
CC(C)N(C)C(=O)CO	ZINC000036757675	PZONFCVSSSTTAP-UHFFFAOYSA-N	131.175	-0.155	0	40	ABAB	
OCc1ncno1	ZINC000036757698	LNQWDIZCAIOBTL-UHFFFAOYSA-N	100.077	-0.438	0	40	ABAB	
CCNS(=O)(=O)N1CCCC1	ZINC000037022808	PGZGNLWKOIDILC-UHFFFAOYSA-N	178.257	-0.064	0	40	ABAB	
COC1CCN(S(N)(=O)=O)CC1	ZINC000037251046	GOQRKAPGOYCWBE-UHFFFAOYSA-N	194.256	-0.699	0	40	ABAB	
CC(=O)NCCSCC(=O)O	ZINC000037406403	SNKJRCRUMFVOBN-UHFFFAOYSA-N	177.225	-0.060	0	40	ABAB	
CCNc1c(N)n(C)c(=O)[nH]c1=O	ZINC000037486389	CQTYPMGBSFAJIN-UHFFFAOYSA-N	184.199	-0.912	0	40	ABAB	
CN(CC(F)(F)F)S(N)(=O)=O	ZINC000037502258	YWJQBLHCEFWSDO-UHFFFAOYSA-N	192.162	-0.316	0	40	ABAB	
NS(=O)(=O)CCc1ccncc1	ZINC000037505206	LLHXCEBLNHEFEU-UHFFFAOYSA-N	186.236	-0.087	0	40	ABAB	
