smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC1(C)O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O1	ZINC000000120392	JAUQZVBVVJJRKM-JWXFUTCRSA-N	190.195	-0.784	0	30	ABAC	
COC(=O)N[C@H]1CSC[C@H]1O	ZINC000000243927	TZHLLUQOQFJKRD-CRCLSJGQSA-N	177.225	-0.181	0	30	ABAC	
COC(=O)N[C@@H]1CSC[C@H]1O	ZINC000000243929	TZHLLUQOQFJKRD-RFZPGFLSSA-N	177.225	-0.181	0	30	ABAC	
COC(=O)N[C@H]1CSC[C@@H]1O	ZINC000000243930	TZHLLUQOQFJKRD-WHFBIAKZSA-N	177.225	-0.181	0	30	ABAC	
CC1(C)O[C@@H]2[C@H](CO)OC(=O)[C@H]2O1	ZINC000000389815	NHHKFJCWLPPNCN-JKUQZMGJSA-N	188.179	-0.576	0	30	ABAC	
C[C@]12C=C[C@H](O1)[C@@H]1C(=O)NC(=O)[C@@H]12	ZINC000000434252	YZJOSRRYPNJSTL-OLNRIVSGSA-N	179.175	-0.398	0	30	ABAC	
O=C1C[C@@H]2[C@H](CO)[C@@H](O)C[C@@H]2O1	ZINC000000526104	VYTZWRCSPHQSFX-BWBBJGPYSA-N	172.180	-0.709	0	30	ABAC	
O=C(O)C1=CC=C(Cl)[C@@H](O)[C@@H]1O	ZINC000001081387	HLOVYSNZOSWZCM-PHDIDXHHSA-N	190.582	-0.145	0	30	ABAC	
O=C(O)C1=CC=C(Cl)[C@H](O)[C@H]1O	ZINC000001081388	HLOVYSNZOSWZCM-WDSKDSINSA-N	190.582	-0.145	0	30	ABAC	
CCN1C(=O)[C@H]2[C@@H]3C=C[C@@H](O3)[C@H]2C1=O	ZINC000001454612	SVXGVAQSQSAJHE-KVFPUHGPSA-N	193.202	-0.055	0	30	ABAC	
C[C@H]1C[C@@H](C(=O)O)NC(=S)N1	ZINC000001456649	GCRRQALGTLXDHL-IMJSIDKUSA-N	174.225	-0.304	0	30	ABAC	
C[C@H]1C[C@H](C(=O)O)NC(=S)N1	ZINC000001456651	GCRRQALGTLXDHL-IUYQGCFVSA-N	174.225	-0.304	0	30	ABAC	
C[C@@H]1C[C@H](C(=O)O)NC(=S)N1	ZINC000001456652	GCRRQALGTLXDHL-QWWZWVQMSA-N	174.225	-0.304	0	30	ABAC	
CNC/C=C/CNC	ZINC000001655634	QXDVFQAKOKIPCM-ONEGZZNKSA-N	114.192	-0.019	0	30	ABAC	
CC(C)[C@H](O)c1c[nH]c(=O)[nH]c1=O	ZINC000001754741	OZEYXSCEQGGAMO-LURJTMIESA-N	184.195	-0.247	0	30	ABAC	
CN1CC[C@H]1C(=O)O	ZINC000001757001	FDNMFKYCFKRTRC-BYPYZUCNSA-N	115.132	-0.225	0	30	ABAC	
CC[N+]1(CCO)CC1	ZINC000001851814	LZDYZEGISBDSDP-UHFFFAOYSA-N	116.184	-0.171	0	30	ABAC	
COc1nc(NN)nc(OC)n1	ZINC000002019422	LVYANFSGUZMHRU-UHFFFAOYSA-N	171.160	-0.826	0	30	ABAC	
CN1CC[C@@H]1C(=O)O	ZINC000002033635	FDNMFKYCFKRTRC-SCSAIBSYSA-N	115.132	-0.225	0	30	ABAC	
CCNc1ncnc(N)n1	ZINC000002034775	ZCMOXKOUKFOYFB-UHFFFAOYSA-N	139.162	-0.114	0	30	ABAC	
O=c1cnnc[nH]1	ZINC000002506112	BFNNILAMSKQDRN-UHFFFAOYSA-N	97.077	-0.835	0	30	ABAC	
