smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C#CCNC(=O)CN(C)[C@H]1CCOC1	ZINC000113315273	AXSXTWPXYGFGCA-VIFPVBQESA-N	196.250	-0.544	0	20	ABAD	
CN([C@@H]1CCOC1)S(C)(=O)=O	ZINC000113315365	STTWWXWIVFWSDU-ZCFIWIBFSA-N	179.241	-0.333	0	20	ABAD	
CN([C@H]1CCOC1)S(C)(=O)=O	ZINC000113315368	STTWWXWIVFWSDU-LURJTMIESA-N	179.241	-0.333	0	20	ABAD	
CN(CCC(N)=O)[C@@H]1CCOC1	ZINC000113315718	ZDFKIGKCENOAIU-SSDOTTSWSA-N	172.228	-0.418	0	20	ABAD	
CN(CCC(N)=O)[C@H]1CCOC1	ZINC000113315722	ZDFKIGKCENOAIU-ZETCQYMHSA-N	172.228	-0.418	0	20	ABAD	
O=C(O)C1=CC2=NCCN2N1	ZINC000113374974	YSWYNVWZCQEFIJ-UHFFFAOYSA-N	153.141	-0.813	0	20	ABAD	
CNC(=O)NC1CCN(CC#N)CC1	ZINC000113382531	WQSPGRKSEAXWOM-UHFFFAOYSA-N	196.254	-0.097	0	20	ABAD	
O=C(NC1CCC1)[C@H]1CNC(=O)C1	ZINC000113385691	JDTJJZGTSNNPLU-ZCFIWIBFSA-N	182.223	-0.209	0	20	ABAD	
O=C(NC1CCC1)[C@@H]1CNC(=O)C1	ZINC000113385694	JDTJJZGTSNNPLU-LURJTMIESA-N	182.223	-0.209	0	20	ABAD	
CCC(CC)NS(N)(=O)=O	ZINC000113500406	FWFOOZCUJKFMMC-UHFFFAOYSA-N	166.246	-0.032	0	20	ABAD	
CCC[C@@H](C)NS(N)(=O)=O	ZINC000113501091	SOHWHKGRCQTXDR-RXMQYKEDSA-N	166.246	-0.032	0	20	ABAD	
CCC[C@H](C)NS(N)(=O)=O	ZINC000113501094	SOHWHKGRCQTXDR-YFKPBYRVSA-N	166.246	-0.032	0	20	ABAD	
N[C@H](CN1C(=O)[C@H]2C[C@@H]2C1=O)C1CC1	ZINC000113507808	KJMNLOBDHVEYLP-BIIVOSGPSA-N	194.234	-0.271	0	20	ABAD	
N[C@@H](CN1C(=O)[C@H]2C[C@@H]2C1=O)C1CC1	ZINC000113507810	KJMNLOBDHVEYLP-FXQIFTODSA-N	194.234	-0.271	0	20	ABAD	
CN1C(=O)C[C@@H](N2CCOCC2)C1=O	ZINC000113511702	IRCSLEQVTCDALM-SSDOTTSWSA-N	198.222	-0.924	0	20	ABAD	
CN1C(=O)C[C@@H](N2CCCC2)C1=O	ZINC000113512006	ONFGTRZQLVVIRT-SSDOTTSWSA-N	182.223	-0.161	0	20	ABAD	
OCCN1[C@@H]2CC[C@@H]1CC(O)C2	ZINC000113515237	OICDBTGLAIFPIR-HTQZYQBOSA-N	171.240	-0.034	0	20	ABAD	
OCCN1[C@H]2CC[C@H]1CC(O)C2	ZINC000113515240	OICDBTGLAIFPIR-YUMQZZPRSA-N	171.240	-0.034	0	20	ABAD	
CNC(=O)NCC(C)(C)O	ZINC000113552953	AGCLUAGFSQFJOW-UHFFFAOYSA-N	146.190	-0.314	0	20	ABAD	
CNC(=O)c1cnon1	ZINC000113643822	MPZXNXTXPZOIFP-UHFFFAOYSA-N	127.103	-0.571	0	20	ABAD	
C[C@@H](N)CN1CC[C@@H](O)C1	ZINC000113652314	YUXIYCAXUUIRPK-RNFRBKRXSA-N	144.218	-0.600	0	20	ABAD	
C[C@H](N)CN1CC[C@@H](O)C1	ZINC000113652316	YUXIYCAXUUIRPK-NKWVEPMBSA-N	144.218	-0.600	0	20	ABAD	
CN1CC[C@@H](NC2=NCCN2)C1	ZINC000113653930	KLPIZQDPTKMSAA-SSDOTTSWSA-N	168.244	-0.761	0	20	ABAD	
C[C@@H]1[C@@H]2C=C[C@H](O2)[C@]1(N)C(=O)O	ZINC000113681287	ZYAUPXNUTDLRCF-LKXGYXEUSA-N	169.180	-0.258	0	20	ABAD	
C[C@H]1[C@@H]2C=C[C@H](O2)[C@]1(N)C(=O)O	ZINC000113681289	ZYAUPXNUTDLRCF-TYQACLPBSA-N	169.180	-0.258	0	20	ABAD	
C[C@@H]1[C@H]2C=C[C@H](O2)[C@]1(N)C(=O)O	ZINC000113681292	ZYAUPXNUTDLRCF-NRFSWKIWSA-N	169.180	-0.258	0	20	ABAD	
C[C@H]1[C@H]2C=C[C@H](O2)[C@]1(N)C(=O)O	ZINC000113681294	ZYAUPXNUTDLRCF-GCJQMDKQSA-N	169.180	-0.258	0	20	ABAD	
CN1CC[C@H](C[C@@H](CN)CO)C1	ZINC000113681855	CUUHFUJOCPBLLB-BDAKNGLRSA-N	172.272	-0.105	0	20	ABAD	
CN1CC[C@@H](C[C@@H](CN)CO)C1	ZINC000113681858	CUUHFUJOCPBLLB-IUCAKERBSA-N	172.272	-0.105	0	20	ABAD	
OCC(CO)C[C@@H]1CCNC1	ZINC000113681916	OSRJNPPQSADTCY-ZETCQYMHSA-N	159.229	-0.413	0	20	ABAD	
OCC(CO)C[C@H]1CCNC1	ZINC000113681919	OSRJNPPQSADTCY-SSDOTTSWSA-N	159.229	-0.413	0	20	ABAD	
C[C@H](O)[C@H](CO)C[C@@H]1CCNC1	ZINC000113681989	VZLASXHDVDPPFQ-CIUDSAMLSA-N	173.256	-0.025	0	20	ABAD	
C[C@@H](O)[C@H](CO)C[C@@H]1CCNC1	ZINC000113681990	VZLASXHDVDPPFQ-VGMNWLOBSA-N	173.256	-0.025	0	20	ABAD	
C[C@H](O)[C@@H](CO)C[C@@H]1CCNC1	ZINC000113681992	VZLASXHDVDPPFQ-XHNCKOQMSA-N	173.256	-0.025	0	20	ABAD	
C[C@@H](O)[C@@H](CO)C[C@@H]1CCNC1	ZINC000113681994	VZLASXHDVDPPFQ-HRDYMLBCSA-N	173.256	-0.025	0	20	ABAD	
C[C@@H]1[C@@H]2C=C[C@H](O2)[C@@]1(CN)CO	ZINC000113682028	IXIUPWNMDULQKF-XGEHTFHBSA-N	169.224	-0.103	0	20	ABAD	
C[C@H]1[C@@H]2C=C[C@H](O2)[C@@]1(CN)CO	ZINC000113682030	IXIUPWNMDULQKF-JBDRJPRFSA-N	169.224	-0.103	0	20	ABAD	
C[C@@H]1[C@H]2C=C[C@H](O2)[C@@]1(CN)CO	ZINC000113682031	IXIUPWNMDULQKF-HXFLIBJXSA-N	169.224	-0.103	0	20	ABAD	
C[C@H]1[C@H]2C=C[C@H](O2)[C@@]1(CN)CO	ZINC000113682033	IXIUPWNMDULQKF-KZVJFYERSA-N	169.224	-0.103	0	20	ABAD	
CN1CCN(c2nsnc2N)CC1	ZINC000113684860	IIPSXNZXPYWVPT-UHFFFAOYSA-N	199.283	-0.128	0	20	ABAD	
C[C@H](N)CC(CO)CO	ZINC000113685082	GFNQGXPMLIIGCT-YFKPBYRVSA-N	133.191	-0.676	0	20	ABAD	
C[C@@H](N)CC(CO)CO	ZINC000113685084	GFNQGXPMLIIGCT-RXMQYKEDSA-N	133.191	-0.676	0	20	ABAD	
C[C@H](O)[C@H](CO)CCN	ZINC000113685087	LHOCYKZHXXQQCH-WDSKDSINSA-N	133.191	-0.676	0	20	ABAD	
C[C@@H](O)[C@H](CO)CCN	ZINC000113685090	LHOCYKZHXXQQCH-RITPCOANSA-N	133.191	-0.676	0	20	ABAD	
C[C@H](O)[C@@H](CO)CCN	ZINC000113685092	LHOCYKZHXXQQCH-NTSWFWBYSA-N	133.191	-0.676	0	20	ABAD	
C[C@@H](O)[C@@H](CO)CCN	ZINC000113685095	LHOCYKZHXXQQCH-PHDIDXHHSA-N	133.191	-0.676	0	20	ABAD	
C[C@@H](O)[C@H](CO)C[C@H](C)N	ZINC000113685167	HWSFUAJHZSMPHX-XVMARJQXSA-N	147.218	-0.287	0	20	ABAD	
C[C@@H](N)C[C@@H](CO)[C@@H](C)O	ZINC000113685169	HWSFUAJHZSMPHX-QYNIQEEDSA-N	147.218	-0.287	0	20	ABAD	
C[C@@H](O)[C@@H](CO)C[C@H](C)N	ZINC000113685172	HWSFUAJHZSMPHX-RRKCRQDMSA-N	147.218	-0.287	0	20	ABAD	
C[C@@H](N)C[C@H](CO)[C@@H](C)O	ZINC000113685173	HWSFUAJHZSMPHX-FSDSQADBSA-N	147.218	-0.287	0	20	ABAD	
Nc1n[nH]c(O)c1CC(=O)O	ZINC000113685840	FFRBAFXMUTYNLF-UHFFFAOYSA-N	157.129	-0.675	0	20	ABAD	
CNCc1c(N(C)CCO)ncn1C	ZINC000113685927	NLESZYPSGMDIEK-UHFFFAOYSA-N	198.270	-0.432	0	20	ABAD	
Nc1nsnc1N1CCOCC1	ZINC000113685961	DGVVRMODMYYXFN-UHFFFAOYSA-N	186.240	-0.043	0	20	ABAD	
CC1(C)CNCNC1=O	ZINC000113686472	IKOQYHFEIAHZCY-UHFFFAOYSA-N	128.175	-0.311	0	20	ABAD	
C[C@H]1OC(=O)C[C@H]1N	ZINC000113686558	DLVYLQZKRIPAMS-QWWZWVQMSA-N	115.132	-0.351	0	20	ABAD	
C[C@@H]1OC(=O)C[C@H]1N	ZINC000113686561	DLVYLQZKRIPAMS-IUYQGCFVSA-N	115.132	-0.351	0	20	ABAD	
C[C@H]1OC(=O)C[C@@H]1N	ZINC000113686563	DLVYLQZKRIPAMS-DMTCNVIQSA-N	115.132	-0.351	0	20	ABAD	
C[C@@H]1OC(=O)C[C@@H]1N	ZINC000113686565	DLVYLQZKRIPAMS-IMJSIDKUSA-N	115.132	-0.351	0	20	ABAD	
Cc1[nH]nc(CO)c1C(=O)O	ZINC000113686575	SXKJNUQJNNZRPV-UHFFFAOYSA-N	156.141	-0.091	0	20	ABAD	
C[C@H]1NC(=O)N[C@@H](C)C1C(=O)O	ZINC000113686825	OWFOABHWSGOFQY-NGQZWQHPSA-N	172.184	-0.223	0	20	ABAD	
C[C@@H]1NC(=O)N[C@@H](C)C1C(=O)O	ZINC000113686828	OWFOABHWSGOFQY-IMJSIDKUSA-N	172.184	-0.223	0	20	ABAD	
C[C@H]1NC(=O)N[C@H](C)C1C(=O)O	ZINC000113686830	OWFOABHWSGOFQY-QWWZWVQMSA-N	172.184	-0.223	0	20	ABAD	
N[C@H]1C(=O)N=C2C=CC=CN21	ZINC000113686872	CNPLNIGAKLDIFA-ZCFIWIBFSA-N	149.153	-0.405	0	20	ABAD	
N[C@@H]1C(=O)N=C2C=CC=CN21	ZINC000113686874	CNPLNIGAKLDIFA-LURJTMIESA-N	149.153	-0.405	0	20	ABAD	
CCN1C(=O)C[C@@H](CC(=O)O)C1=O	ZINC000113687367	ULIQVHHQUHFXOU-YFKPBYRVSA-N	185.179	-0.144	0	20	ABAD	
C=CCC(O)(CC=C)CNC(=O)CN	ZINC000113688222	HBQVKFLYGXJZHL-UHFFFAOYSA-N	198.266	-0.055	0	20	ABAD	
CS(=O)(=O)c1nc(N)cc(N)n1	ZINC000113688703	PTLFCMPMXNZWEP-UHFFFAOYSA-N	188.212	-0.956	0	20	ABAD	
C[C@H](O)[C@@H](CO)[C@@H]1CCNC1	ZINC000113690385	AHUYEDZQMUNMBH-XLPZGREQSA-N	159.229	-0.415	0	20	ABAD	
C[C@@H](O)[C@@H](CO)[C@@H]1CCNC1	ZINC000113690388	AHUYEDZQMUNMBH-BWZBUEFSSA-N	159.229	-0.415	0	20	ABAD	
C[C@H](O)[C@H](CO)[C@@H]1CCNC1	ZINC000113690390	AHUYEDZQMUNMBH-RNJXMRFFSA-N	159.229	-0.415	0	20	ABAD	
C[C@@H](O)[C@H](CO)[C@@H]1CCNC1	ZINC000113690393	AHUYEDZQMUNMBH-PRJMDXOYSA-N	159.229	-0.415	0	20	ABAD	
NC1=NN2C(=O)CC=C2O1	ZINC000113690648	BJBVEGBKSNIMNJ-UHFFFAOYSA-N	139.114	-0.680	0	20	ABAD	
CCc1nc2[nH]c(=O)[nH]c(=O)c2[nH]1	ZINC000113698911	MNIKDKWDJXTNON-UHFFFAOYSA-N	180.167	-0.498	0	20	ABAD	
O=C(O)[C@@H]1C[C@H]1CO	ZINC000113737495	QAKGVPAQOZSDOZ-IUYQGCFVSA-N	116.116	-0.301	0	20	ABAD	
NC(=O)CNC(=O)Cc1cccnc1	ZINC000113755820	UVVKWFRSWPHHPX-UHFFFAOYSA-N	193.206	-0.774	0	20	ABAD	
O=C(O)[C@H]1C[C@@H](C2CC2)NN1	ZINC000113918720	AZLNUJNVAORZFE-NTSWFWBYSA-N	156.185	-0.284	0	20	ABAD	
O=C(O)[C@H]1C[C@H](C2CC2)NN1	ZINC000113918722	AZLNUJNVAORZFE-PHDIDXHHSA-N	156.185	-0.284	0	20	ABAD	
O=C(O)[C@@H]1C[C@@H](C2CC2)NN1	ZINC000113918724	AZLNUJNVAORZFE-WDSKDSINSA-N	156.185	-0.284	0	20	ABAD	
O=C(O)[C@@H]1C[C@H](C2CC2)NN1	ZINC000113918726	AZLNUJNVAORZFE-RITPCOANSA-N	156.185	-0.284	0	20	ABAD	
C=CCN1CC(=O)NC1=N	ZINC000113966291	NUVPIGKJCCVHBS-UHFFFAOYSA-N	139.158	-0.461	0	20	ABAD	
CCNN1CCN(C)CC1	ZINC000113991208	SHJZVYGVWZJJQN-UHFFFAOYSA-N	143.234	-0.242	0	20	ABAD	
