smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@@H]1CCN(CCC(N)=O)C[C@@H]1O	ZINC000221450408	RSWOIMYYDXDUSI-SFYZADRCSA-N	186.255	-0.436	0	10	ABAE	
C[C@H]1CCN(CCC(N)=O)C[C@@H]1O	ZINC000221450467	RSWOIMYYDXDUSI-YUMQZZPRSA-N	186.255	-0.436	0	10	ABAE	
C[C@@H]1CCN(CC(N)=O)C[C@@H]1O	ZINC000221459902	FQLYMKGYAAIOCN-RQJHMYQMSA-N	172.228	-0.826	0	10	ABAE	
C[C@H]1CCN(CC(N)=O)C[C@@H]1O	ZINC000221459951	FQLYMKGYAAIOCN-BQBZGAKWSA-N	172.228	-0.826	0	10	ABAE	
N#CN1CCC(N)CC1	ZINC000221469268	HDMMHAPXDUDRBN-UHFFFAOYSA-N	125.175	-0.109	0	10	ABAE	
CN(CCO)CCCN(C)CCO	ZINC000221471237	QCTASWFLJPJDAY-UHFFFAOYSA-N	190.287	-0.775	0	10	ABAE	
C=CS(=O)(=O)NC(N)=O	ZINC000221472226	LSTFJMBLMONQOP-UHFFFAOYSA-N	150.159	-0.872	0	10	ABAE	
COCC(=O)N1CCC[C@@H]2CNC[C@@H]21	ZINC000221478551	VQKKNNWEPBBBCX-BDAKNGLRSA-N	198.266	-0.157	0	10	ABAE	
COCC(=O)N1CCC[C@H]2CNC[C@@H]21	ZINC000221478611	VQKKNNWEPBBBCX-IUCAKERBSA-N	198.266	-0.157	0	10	ABAE	
COCC(=O)N1CCC[C@@H]2CNC[C@H]21	ZINC000221478667	VQKKNNWEPBBBCX-RKDXNWHRSA-N	198.266	-0.157	0	10	ABAE	
COCC(=O)N1CCC[C@H]2CNC[C@H]21	ZINC000221478723	VQKKNNWEPBBBCX-DTWKUNHWSA-N	198.266	-0.157	0	10	ABAE	
CC(C)[C@H](NC(=O)N(C)C)C(N)=O	ZINC000221484415	YXWKJMXVVACBCE-LURJTMIESA-N	187.243	-0.233	0	10	ABAE	
Cc1c(C=O)ncn1CC(N)=O	ZINC000221484830	LABQPDRKVHCYPO-UHFFFAOYSA-N	167.168	-0.511	0	10	ABAE	
CCc1c(C=O)ncn1CC(N)=O	ZINC000221484950	UDOZEARRCNKINV-UHFFFAOYSA-N	181.195	-0.257	0	10	ABAE	
CC(=O)COCC[C@H](N)C(=O)O	ZINC000221491908	ZADXHGJFXKMWCL-LURJTMIESA-N	175.184	-0.606	0	10	ABAE	
CC(=O)COCC[C@@H](N)C(=O)O	ZINC000221491964	ZADXHGJFXKMWCL-ZCFIWIBFSA-N	175.184	-0.606	0	10	ABAE	
CC(=O)COCCC[C@H](N)C(=O)O	ZINC000221492163	JLKSLFJWRVETML-ZETCQYMHSA-N	189.211	-0.216	0	10	ABAE	
CC(=O)COCCC[C@@H](N)C(=O)O	ZINC000221492215	JLKSLFJWRVETML-SSDOTTSWSA-N	189.211	-0.216	0	10	ABAE	
CC(=O)CNCCC[C@H](N)C(=O)O	ZINC000221492296	KGZQGHIJWGAWLI-ZETCQYMHSA-N	188.227	-0.643	0	10	ABAE	
CC(=O)CNCCC[C@@H](N)C(=O)O	ZINC000221492355	KGZQGHIJWGAWLI-SSDOTTSWSA-N	188.227	-0.643	0	10	ABAE	
C[C@@H](O)C/C=C/B(O)O	ZINC000221502134	CDAZEWNVUBJOSL-XWCPEMDWSA-N	129.952	-0.675	0	10	ABAE	
C#CC(=O)N1CCC[C@@H]2CNC[C@@H]21	ZINC000221505264	ODXULJKHWXJVFT-BDAKNGLRSA-N	178.235	-0.170	0	10	ABAE	
C#CC(=O)N1CCC[C@H]2CNC[C@@H]21	ZINC000221505310	ODXULJKHWXJVFT-IUCAKERBSA-N	178.235	-0.170	0	10	ABAE	
C#CC(=O)N1CCC[C@@H]2CNC[C@H]21	ZINC000221505364	ODXULJKHWXJVFT-RKDXNWHRSA-N	178.235	-0.170	0	10	ABAE	
C#CC(=O)N1CCC[C@H]2CNC[C@H]21	ZINC000221505412	ODXULJKHWXJVFT-DTWKUNHWSA-N	178.235	-0.170	0	10	ABAE	
C=C[C@@H]1OC(=O)N[C@@H]1[C@@H](O)OC	ZINC000221508834	DIEMYVXXIITUEY-ZLUOBGJFSA-N	173.168	-0.386	0	10	ABAE	
C=CC[C@@](N)(CO)C(=O)OCC	ZINC000221508933	OKABXRAQBRBEIL-MRVPVSSYSA-N	173.212	-0.185	0	10	ABAE	
CS/C=C/C(=O)OC[C@H](O)CO	ZINC000221517778	ACOCNVGHXRPSMH-YRFDSLTASA-N	192.236	-0.241	0	10	ABAE	
CS/C=C/C(=O)OC[C@@H](O)CO	ZINC000221517896	ACOCNVGHXRPSMH-SZKDQXIBSA-N	192.236	-0.241	0	10	ABAE	
O=C(O)CC[C@@]1(C(=O)O)CO1	ZINC000221519082	HTNWMIGFUOFOLQ-LURJTMIESA-N	160.125	-0.295	0	10	ABAE	
O=C(O)CC[C@]1(C(=O)O)CO1	ZINC000221519134	HTNWMIGFUOFOLQ-ZCFIWIBFSA-N	160.125	-0.295	0	10	ABAE	
COC(=O)C[C@@H](NC(=O)OC)OC	ZINC000221524159	NAIZQOJBWLRNHO-YFKPBYRVSA-N	191.183	-0.122	0	10	ABAE	
COC(=O)C[C@H](NC(=O)OC)OC	ZINC000221524220	NAIZQOJBWLRNHO-RXMQYKEDSA-N	191.183	-0.122	0	10	ABAE	
C[C@@H](CO)[C@](C)(O)CC(=O)O	ZINC000221524591	VZBOVQAFIREMET-CAHLUQPWSA-N	162.185	-0.160	0	10	ABAE	
C[C@H](CO)[C@](C)(O)CC(=O)O	ZINC000221524646	VZBOVQAFIREMET-IYSWYEEDSA-N	162.185	-0.160	0	10	ABAE	
C[C@@H](CO)[C@@](C)(O)CC(=O)O	ZINC000221524703	VZBOVQAFIREMET-FSPLSTOPSA-N	162.185	-0.160	0	10	ABAE	
C[C@H](CO)[C@@](C)(O)CC(=O)O	ZINC000221524764	VZBOVQAFIREMET-VDTYLAMSSA-N	162.185	-0.160	0	10	ABAE	
C=C(CO)S(C)(=O)=O	ZINC000221525512	BMMSWVZMOIBRQY-UHFFFAOYSA-N	136.172	-0.463	0	10	ABAE	
CCN(C)C(=O)CN1CC[C@@H](N)C1=O	ZINC000221541877	FHCABVXZJVXTGI-SSDOTTSWSA-N	199.254	-0.976	0	10	ABAE	
CCN(C)C(=O)CN1CC[C@H](N)C1=O	ZINC000221541932	FHCABVXZJVXTGI-ZETCQYMHSA-N	199.254	-0.976	0	10	ABAE	
OB(O)c1ccc2c(c1)CCNC2	ZINC000221550167	DPEBCKUIHCZCKS-UHFFFAOYSA-N	177.012	-0.988	0	10	ABAE	
N[C@@H](CO)c1ccc(C=O)cn1	ZINC000221554590	DZPONKHOWLGBQG-ZETCQYMHSA-N	166.180	-0.114	0	10	ABAE	
CC(C)CN1C[C@H](O)[C@@H](O)C1	ZINC000221555577	ZRQFQAMEEHHBGH-YUMQZZPRSA-N	159.229	-0.320	0	10	ABAE	
O=C(O)CCP(O)O	ZINC000221556970	GFWZLSUSJHVTDX-UHFFFAOYSA-N	138.059	-0.242	0	10	ABAE	
NC[C@H](N)c1cncc(C=O)c1	ZINC000221561426	MWGCYOURBRBSRD-QMMMGPOBSA-N	165.196	-0.147	0	10	ABAE	
O=C(CO)[C@@H](O)[C@@H](O)c1ccccc1	ZINC000221564419	WALAETMOSKBAIF-VHSXEESVSA-N	196.202	-0.358	0	10	ABAE	
O=C(CO)[C@@H](O)[C@H](O)c1ccccc1	ZINC000221564461	WALAETMOSKBAIF-NXEZZACHSA-N	196.202	-0.358	0	10	ABAE	
O=C(CO)[C@H](O)[C@@H](O)c1ccccc1	ZINC000221564519	WALAETMOSKBAIF-UWVGGRQHSA-N	196.202	-0.358	0	10	ABAE	
O=C(CO)[C@H](O)[C@H](O)c1ccccc1	ZINC000221564569	WALAETMOSKBAIF-ZJUUUORDSA-N	196.202	-0.358	0	10	ABAE	
