smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC[C@@H]1[C@H](C(=O)O)NC(=O)N1C	ZINC000107225166	REOCRVGLUGVFEF-RFZPGFLSSA-N	172.184	-0.127	0	1	ABAF	
CC[C@H]1[C@H](C(=O)O)NC(=O)N1C	ZINC000107225167	REOCRVGLUGVFEF-CRCLSJGQSA-N	172.184	-0.127	0	1	ABAF	
CC[C@@H]1[C@@H](C(=O)O)NC(=O)N1C	ZINC000107225170	REOCRVGLUGVFEF-UHNVWZDZSA-N	172.184	-0.127	0	1	ABAF	
CC[C@H]1[C@@H](C(=O)O)NC(=O)N1C	ZINC000107225173	REOCRVGLUGVFEF-WHFBIAKZSA-N	172.184	-0.127	0	1	ABAF	
COC(=O)[C@@H]1CCNCC[C@@H]1N	ZINC000107225210	UAQGEIPHFFZFNW-RQJHMYQMSA-N	172.228	-0.514	0	1	ABAF	
COC(=O)[C@H]1CCNCC[C@@H]1N	ZINC000107225213	UAQGEIPHFFZFNW-BQBZGAKWSA-N	172.228	-0.514	0	1	ABAF	
COC(=O)[C@@H]1CCNCC[C@H]1N	ZINC000107225216	UAQGEIPHFFZFNW-RNFRBKRXSA-N	172.228	-0.514	0	1	ABAF	
COC(=O)[C@H]1CCNCC[C@H]1N	ZINC000107225218	UAQGEIPHFFZFNW-NKWVEPMBSA-N	172.228	-0.514	0	1	ABAF	
COC(=O)[C@H]1CCN(C)C[C@H]1N	ZINC000107225222	PDTUFHKXIDWSSC-NKWVEPMBSA-N	172.228	-0.562	0	1	ABAF	
COC(=O)[C@@H]1CCN(C)C[C@H]1N	ZINC000107225225	PDTUFHKXIDWSSC-RNFRBKRXSA-N	172.228	-0.562	0	1	ABAF	
COC(=O)[C@H]1[C@@H](C)N(C)C[C@H]1N	ZINC000107225228	CLOXZHIBFGCJPI-QYNIQEEDSA-N	172.228	-0.563	0	1	ABAF	
COC(=O)[C@@H]1[C@H](N)CN(C)[C@H]1C	ZINC000107225230	CLOXZHIBFGCJPI-XVMARJQXSA-N	172.228	-0.563	0	1	ABAF	
COC(=O)[C@@H]1[C@@H](C)N(C)C[C@H]1N	ZINC000107225233	CLOXZHIBFGCJPI-FSDSQADBSA-N	172.228	-0.563	0	1	ABAF	
COC(=O)[C@H]1[C@H](N)CN(C)[C@H]1C	ZINC000107225236	CLOXZHIBFGCJPI-RRKCRQDMSA-N	172.228	-0.563	0	1	ABAF	
CN[C@@H]1CN(C)C[C@@H]1C(=O)OC	ZINC000107225239	NAIUTHFVYOVQMZ-NKWVEPMBSA-N	172.228	-0.691	0	1	ABAF	
CN[C@H]1CN(C)C[C@@H]1C(=O)OC	ZINC000107225242	NAIUTHFVYOVQMZ-BQBZGAKWSA-N	172.228	-0.691	0	1	ABAF	
COC(=O)[C@@H]1CN(C)[C@H](C)[C@@H]1N	ZINC000107225247	UCJHFYJNGTVIFB-QYNIQEEDSA-N	172.228	-0.563	0	1	ABAF	
COC(=O)[C@@H]1CN(C)[C@@H](C)[C@@H]1N	ZINC000107225251	UCJHFYJNGTVIFB-XVMARJQXSA-N	172.228	-0.563	0	1	ABAF	
COC(=O)[C@@H]1CN(C)[C@H](C)[C@H]1N	ZINC000107225254	UCJHFYJNGTVIFB-FSDSQADBSA-N	172.228	-0.563	0	1	ABAF	
COC(=O)[C@@H]1CN(C)[C@@H](C)[C@H]1N	ZINC000107225257	UCJHFYJNGTVIFB-RRKCRQDMSA-N	172.228	-0.563	0	1	ABAF	
COC(=O)[C@@H]1CN(C)CC[C@@H]1N	ZINC000107225260	SJGZNMVHXNISIR-RQJHMYQMSA-N	172.228	-0.562	0	1	ABAF	
COC(=O)[C@@H]1CN(C)CC[C@H]1N	ZINC000107225263	SJGZNMVHXNISIR-RNFRBKRXSA-N	172.228	-0.562	0	1	ABAF	
CN(C)[C@@H]1CN(C)C[C@@H]1C(=O)O	ZINC000107225341	VSGMHLZMFQWOFO-NKWVEPMBSA-N	172.228	-0.437	0	1	ABAF	
CN(C)[C@@H]1CN(C)C[C@H]1C(=O)O	ZINC000107225344	VSGMHLZMFQWOFO-RNFRBKRXSA-N	172.228	-0.437	0	1	ABAF	
CC[C@@H]1[C@H](N)[C@H](C(=O)O)CN1C	ZINC000107225348	NUNGPKIJSSBZNH-FSDSQADBSA-N	172.228	-0.262	0	1	ABAF	
CC[C@H]1[C@H](N)[C@H](C(=O)O)CN1C	ZINC000107225352	NUNGPKIJSSBZNH-DSYKOEDSSA-N	172.228	-0.262	0	1	ABAF	
CC[C@@H]1[C@@H](N)[C@H](C(=O)O)CN1C	ZINC000107225356	NUNGPKIJSSBZNH-QYNIQEEDSA-N	172.228	-0.262	0	1	ABAF	
CC[C@H]1[C@@H](N)[C@H](C(=O)O)CN1C	ZINC000107225358	NUNGPKIJSSBZNH-VQVTYTSYSA-N	172.228	-0.262	0	1	ABAF	
CN1CC[C@@H](N)[C@@H](C(=O)O)CC1	ZINC000107225360	VGEMFJYFCFUGKH-NKWVEPMBSA-N	172.228	-0.260	0	1	ABAF	
CN1CC[C@@H](N)[C@H](C(=O)O)CC1	ZINC000107225363	VGEMFJYFCFUGKH-RNFRBKRXSA-N	172.228	-0.260	0	1	ABAF	
