smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
NC(=O)c1cc(O)c(O)c(O)c1	ZINC000000156508	RBQIPEJXQPQFJX-UHFFFAOYSA-N	169.136	-0.098	10	50	ABCA	biogenic,in-vitro
CN(C)/C=C1\C=NNC1=O	ZINC000000169348	DKNARJWAYOXLPT-SNAWJCMRSA-N	139.158	-0.453	10	50	ABCA	
O=C1c2ccccc2C(=O)C1(O)O	ZINC000000388306	FEMOMIGRRWSMCU-UHFFFAOYSA-N	178.143	-0.254	10	50	ABCA	in-vitro,metabolite
CCC1(C)NNC(=S)NN1	ZINC000000568082	RAUPDLVDTQBPSO-UHFFFAOYSA-N	160.246	-0.401	10	50	ABCA	
O=C1c2nonc2C(=O)c2nonc21	ZINC000001017719	FSFXUWREVRKLTI-UHFFFAOYSA-N	192.090	-0.772	10	50	ABCA	
CC(=O)NN1C(=O)CSC1=S	ZINC000001042089	CHEDTZNVMMEMLY-UHFFFAOYSA-N	190.249	-0.102	10	50	ABCA	
O=C(O)CN1C(=O)CSC1=S	ZINC000001081151	JGRMXPSUZIYDRR-UHFFFAOYSA-N	191.233	-0.069	10	50	ABCA	
NN1C(=O)CSC1=S	ZINC000001083111	ZBUUHLDYMKTVLT-UHFFFAOYSA-N	148.212	-0.280	10	50	ABCA	
O=CNN1C(=O)CSC1=S	ZINC000001236468	IBDNQRCMTCGZDF-UHFFFAOYSA-N	176.222	-0.492	10	50	ABCA	
C/C=C/C=C1C(=O)NC(=O)NC1=O	ZINC000001556848	GBELLXFKNZGUHG-NSCUHMNNSA-N	180.163	-0.145	10	50	ABCA	
NC(=O)[C@@H](N)Cc1ccc(O)c(O)c1	ZINC000001659924	DXOJUCNAHCVBRU-LURJTMIESA-N	196.206	-0.547	10	50	ABCA	
CC(=O)C(=O)C(C)=O	ZINC000001754507	MVDYEFQVZNBPPH-UHFFFAOYSA-N	114.100	-0.267	10	50	ABCA	
O=C(O)C[C@@H]1SC(=S)NC1=O	ZINC000002379415	FUQYIQWKYXNCDI-REOHCLBHSA-N	191.233	-0.022	10	50	ABCA	
N#CC1(C#N)OC1(C#N)C#N	ZINC000002560511	YWXLYZIZWVOMML-UHFFFAOYSA-N	144.093	-0.411	10	50	ABCA	
Cn1cc[n+](C(=O)[n+]2ccn(C)c2)c1	ZINC000002562352	UUQQRCAHNSWMEC-UHFFFAOYSA-N	192.222	-0.545	10	50	ABCA	in-vitro
O=C1CCC1=O	ZINC000003074776	QDMRCCGQLCIMLG-UHFFFAOYSA-N	84.074	-0.082	10	50	ABCA	
CCOC=C1C(=O)NC(=O)NC1=O	ZINC000003267787	DLIMPNLKOVMTII-UHFFFAOYSA-N	184.151	-0.727	10	50	ABCA	
O=C(O)[C@@H]1CCCN1/[N+]([O-])=N/O	ZINC000003874753	FKMOQUQNBOAPOT-ZPFUWANQSA-N	175.144	-0.198	10	50	ABCA	
[N-]=[N+]=CC(=O)c1cnccn1	ZINC000003882905	HJRTZAGBNMTNSO-UHFFFAOYSA-N	148.125	-0.040	10	50	ABCA	
[N-]=[N+]=CC(=O)CC[C@H](N)C(=O)O	ZINC000003953825	YCWQAMGASJSUIP-YFKPBYRVSA-N	171.156	-0.952	10	50	ABCA	in-man
CC1(C)OC(=O)C(=[N+]=[N-])C(=O)O1	ZINC000003957561	YRCVEMYVKSXPLM-UHFFFAOYSA-N	170.124	-0.507	10	50	ABCA	
CC(C)C1NNC(=S)NN1	ZINC000004018014	MDMLOVBYKCZLKW-UHFFFAOYSA-N	160.246	-0.545	10	50	ABCA	
CCOC(=O)C=[N+]=[N-]	ZINC000004521365	YVPJCJLMRRTDMQ-UHFFFAOYSA-N	114.104	-0.150	10	50	ABCA	
[N-]=[N+]=CC(=O)CC[C@@H](N)C(=O)O	ZINC000004521368	YCWQAMGASJSUIP-RXMQYKEDSA-N	171.156	-0.952	10	50	ABCA	biogenic,in-vitro
N=Nc1nc(NN)nc(NN)n1	ZINC000004529970	FOQHZVKOISRJIO-UHFFFAOYSA-N	169.152	-0.895	10	50	ABCA	
[N-]=[N+]=c1c(=O)c2ccccc2c1=O	ZINC000004531956	IUHHODLEEGNQCK-UHFFFAOYSA-N	172.143	-0.434	10	50	ABCA	
NC1=NNC(=O)/C1=C1\CCCN1	ZINC000004626226	KXBZGQKUHYGTKY-SNAWJCMRSA-N	166.184	-0.974	10	50	ABCA	
C/[N+]([O-])=N/CO	ZINC000004658580	BJNBRIBHKLJMAG-ARJAWSKDSA-N	90.082	-0.472	10	50	ABCA	biogenic,in-vitro
NNC1=NC(=O)/C(=C/C(=O)O)S1	ZINC000004807477	AJUZXGCTOUWVDH-UPHRSURJSA-N	187.180	-0.952	10	50	ABCA	
Cn1nnnc1/N=N\c1nnnn1C	ZINC000004996331	HOXMAHGFAGMFCJ-WAYWQWQTSA-N	194.162	-0.851	10	50	ABCA	
[N-]=[N+]=NC[C@H](O)CO	ZINC000005131787	HTTNJQAFJLVWCN-VKHMYHEASA-N	117.108	-0.350	10	50	ABCA	
[N-]=[N+]=NC[C@@H](O)CO	ZINC000005131942	HTTNJQAFJLVWCN-GSVOUGTGSA-N	117.108	-0.350	10	50	ABCA	
[N-]=[N+]=NC[C@H](N)C(=O)O	ZINC000005178914	CIFCKCQAKQRJFC-REOHCLBHSA-N	130.107	-0.291	10	50	ABCA	in-vitro
[N-]=[N+]=NC[C@@H](N)C(=O)O	ZINC000005178954	CIFCKCQAKQRJFC-UWTATZPHSA-N	130.107	-0.291	10	50	ABCA	
