smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC1(C)C(=O)N2C(=O)CC(=O)N2C1=O	ZINC000001613402	NIFHPGCTHPRFFA-UHFFFAOYSA-N	196.162	-0.945	10	40	ABCB	
CCO[C@@H]1OC(=O)C(=O)C1=O	ZINC000001653813	LXMMOXKZFRDUTE-ZCFIWIBFSA-N	158.109	-0.956	10	40	ABCB	
CN1C[C@H](C#N)C(=O)C1=O	ZINC000004722972	GEGFGRKJMFGDLJ-BYPYZUCNSA-N	138.126	-0.833	10	40	ABCB	
CC(C)N1C[C@H](C#N)C(=O)C1=O	ZINC000004722973	JWODGKSSAMJXMR-LURJTMIESA-N	166.180	-0.054	10	40	ABCB	
O=C(O)C(=S)Cc1cn[nH]n1	ZINC000004879414	XTRFPNCVKQYDHU-UHFFFAOYSA-N	171.181	-0.198	10	40	ABCB	
CO[C@H]1OC[C@@H](N=[N+]=[N-])[C@@H](O)[C@H]1O	ZINC000004934378	IUFBNJFDBFSBMX-KAZBKCHUSA-N	189.171	-0.610	10	40	ABCB	
CO[C@@H]1OC[C@@H](N=[N+]=[N-])[C@@H](O)[C@H]1O	ZINC000004934379	IUFBNJFDBFSBMX-KVTDHHQDSA-N	189.171	-0.610	10	40	ABCB	
CO[C@H]1OC[C@@H](N=[N+]=[N-])[C@@H](O)[C@@H]1O	ZINC000004934381	IUFBNJFDBFSBMX-ZXXMMSQZSA-N	189.171	-0.610	10	40	ABCB	
CO[C@@H]1OC[C@@H](N=[N+]=[N-])[C@@H](O)[C@@H]1O	ZINC000004934383	IUFBNJFDBFSBMX-ARQDHWQXSA-N	189.171	-0.610	10	40	ABCB	
CCO[C@H]1OC(=O)C(=O)C1=O	ZINC000004974761	LXMMOXKZFRDUTE-LURJTMIESA-N	158.109	-0.956	10	40	ABCB	
COC(=O)C(=[N+]=[N-])C(=O)OC	ZINC000004984591	UFAZHCVBGMSJHS-UHFFFAOYSA-N	158.113	-0.997	10	40	ABCB	
O=C(NO)c1cc(O)c(O)c(O)c1	ZINC000005138927	XZPJXKWQNHZMNT-UHFFFAOYSA-N	185.135	-0.078	10	40	ABCB	biogenic,in-vitro
CCOC(=O)C(=[N+]=[N-])C(=O)OCC	ZINC000005247302	PSINDLUNOGABJV-UHFFFAOYSA-N	186.167	-0.217	10	40	ABCB	
[N-]=[N+]=CC(=O)CCC(=O)C=[N+]=[N-]	ZINC000005370960	YRDXWCJQMHHUTN-UHFFFAOYSA-N	166.140	-0.494	10	40	ABCB	
O=C(NO)c1ccc(O)c(O)c1O	ZINC000005395399	ZBVCZYANRCUQOU-UHFFFAOYSA-N	185.135	-0.078	10	40	ABCB	in-vitro
COC(=O)c1c(C(=O)OC)c1=[N+]=[N-]	ZINC000005409708	ZDPNAWRETCZMPR-UHFFFAOYSA-N	182.135	-0.734	10	40	ABCB	
CC(C)N1C[C@@H](C#N)C(=O)C1=O	ZINC000005455239	JWODGKSSAMJXMR-ZCFIWIBFSA-N	166.180	-0.054	10	40	ABCB	
O=C1NC(=S)NC(=O)C1=CC1CC1	ZINC000005566673	YWPFYVBVXKFQLX-UHFFFAOYSA-N	196.231	-0.146	10	40	ABCB	
CN1C[C@@H](C#N)C(=O)C1=O	ZINC000005599954	GEGFGRKJMFGDLJ-SCSAIBSYSA-N	138.126	-0.833	10	40	ABCB	
[N-]=[N+]=CC(=O)C1(C(=O)C=[N+]=[N-])CC1	ZINC000005837008	XEFLXSCUSQPHGX-UHFFFAOYSA-N	178.151	-0.494	10	40	ABCB	
C#CCOC(=O)C=[N+]=[N-]	ZINC000005940572	ZCMNBAFKLFHXOE-UHFFFAOYSA-N	124.099	-0.537	10	40	ABCB	
CC(=O)C(=[N+]=[N-])C(=O)N(C)CCC#N	ZINC000005940573	CYEQKJFEFACFAD-UHFFFAOYSA-N	194.194	-0.382	10	40	ABCB	
[N-]=[N+]=C1CNC(=O)N=C1O	ZINC000005956545	LMVCXUQSILHPLZ-UHFFFAOYSA-N	140.102	-0.663	10	40	ABCB	
[N-]=[N+]=NCC(=O)c1c[nH]c(=O)[nH]c1=O	ZINC000008034705	QWGHGQJMUGAQJR-UHFFFAOYSA-N	195.138	-0.444	10	40	ABCB	in-vitro
[N-]=[N+]=NCC(N)=O	ZINC000008034719	WOEYOUBBHRYDLG-UHFFFAOYSA-N	100.081	-0.218	10	40	ABCB	in-vitro
CC(C)C=C1C(=O)NC(=O)NC1=O	ZINC000008569615	UXAPLTSJLOTLHY-UHFFFAOYSA-N	182.179	-0.065	10	40	ABCB	
CO[C@H]1C(=O)C(=O)[C@@H]1OC	ZINC000012358853	QFEKOOUBCPXIQU-WDSKDSINSA-N	144.126	-0.832	10	40	ABCB	
CO[C@H]1C(=O)C(=O)[C@H]1OC	ZINC000012358855	QFEKOOUBCPXIQU-OLQVQODUSA-N	144.126	-0.832	10	40	ABCB	
CO[C@@H]1C(=O)C(=O)[C@H]1OC	ZINC000012358856	QFEKOOUBCPXIQU-PHDIDXHHSA-N	144.126	-0.832	10	40	ABCB	
C[C@@](C#N)(CO)/N=N/[C@](C)(C#N)CO	ZINC000016951354	VUDVPVOIALASLB-ZKYGQHGUSA-N	196.210	-0.012	10	40	ABCB	
C[C@@](C#N)(CO)/N=N/[C@@](C)(C#N)CO	ZINC000016951355	VUDVPVOIALASLB-HGMXGGQGSA-N	196.210	-0.012	10	40	ABCB	
[N-]=[N+]=C1N=CN=C1c1nc[nH]n1	ZINC000017014314	GCNHJMIFEBTWOD-UHFFFAOYSA-N	161.128	-0.736	10	40	ABCB	
C1CN(/N=N\c2nnn[nH]2)CCO1	ZINC000017105016	VPEULXVDDFRCAN-FLIBITNWSA-N	183.175	-0.469	10	40	ABCB	
[N-]=[N+]=C1N=NC=C1C(N)=O	ZINC000017419165	BQSJKVZIMIYYKM-UHFFFAOYSA-N	137.102	-0.550	10	40	ABCB	
CN(C)/N=N/c1c[nH]c(=O)[nH]c1=O	ZINC000018067011	ISRASIOMFZFEBJ-MDZDMXLPSA-N	183.171	-0.377	10	40	ABCB	
CN(C)/N=N/c1cn(C)c(=O)[nH]c1=O	ZINC000018193921	AJDSAUKNRZFLTF-MDZDMXLPSA-N	197.198	-0.366	10	40	ABCB	
CC(=O)C(=O)CCO	ZINC000028523566	LKLKMCUVBQDYFU-UHFFFAOYSA-N	116.116	-0.473	10	40	ABCB	biogenic,in-vitro
N[C@@H](C(=O)O)c1cc(O)c(O)c(O)c1	ZINC000034061409	QQNNBCKCTFTQHF-ZCFIWIBFSA-N	199.162	-0.112	10	40	ABCB	
CN/N=N/C(C)(C)c1n(C)nn[n+]1C	ZINC000035995882	FWMZHXTTZIOTSE-UHFFFAOYSA-N	198.254	-0.539	10	40	ABCB	
[N-]=[N+]=NS(=O)(=O)CCN	ZINC000038292458	QJDQHBZBKSPGOW-UHFFFAOYSA-N	150.163	-0.415	10	40	ABCB	
C=C1C=C(C(=O)OC)NC1=O	ZINC000038301478	FKRAKWSJELQDCW-UHFFFAOYSA-N	153.137	-0.271	10	40	ABCB	
CC(=O)OCC(=O)C(C)=O	ZINC000039038151	ZHZHTSMRXAGQAN-UHFFFAOYSA-N	144.126	-0.292	10	40	ABCB	
NS(=O)(=O)c1cccc(O)c1O	ZINC000039054015	ARHGDEDPRMTUGD-UHFFFAOYSA-N	189.192	-0.255	10	40	ABCB	
