smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C/N=[N+](/[O-])CC[C@H](N)C(=O)O	ZINC000001536679	KFZWEFIJHQUPCM-OWRQZNHBSA-N	161.161	-0.619	10	20	ABCD	
O=C(O)CC(=S)C(=O)O	ZINC000005112561	IGXYZVHWOLYWCE-UHFFFAOYSA-N	148.139	-0.084	10	20	ABCD	
CN(CO)/N=N/c1nc[nH]c1C(N)=O	ZINC000005115402	UGVTYCQVZPDYRZ-ZHACJKMWSA-N	198.186	-0.611	10	20	ABCD	
CS(C)=C1C(=O)NC(=O)NC1=O	ZINC000005919013	GAAHWBHOIVROHU-UHFFFAOYSA-N	188.208	-0.947	10	20	ABCD	
NC(=O)[C@H](N)c1ccccc1O	ZINC000013910307	MLQIPBDMDZQRGN-SSDOTTSWSA-N	166.180	-0.123	10	20	ABCD	
COC(=O)[C@H](O)CN=[N+]=[N-]	ZINC000034327673	WXPNOMLJKFTBSM-GSVOUGTGSA-N	145.118	-0.169	10	20	ABCD	
COC(=O)[C@@H](O)CN=[N+]=[N-]	ZINC000034327675	WXPNOMLJKFTBSM-VKHMYHEASA-N	145.118	-0.169	10	20	ABCD	
NCCNC(=O)c1cccc(O)c1O	ZINC000038284424	KKQIDYHLFDAGKP-UHFFFAOYSA-N	196.206	-0.214	10	20	ABCD	
COC=C1C(=O)N(C)C(=O)N(C)C1=O	ZINC000039297028	GFBCGJHVQVFPBP-UHFFFAOYSA-N	198.178	-0.433	10	20	ABCD	
C#CCNC(=O)c1cc(O)nc(O)c1	ZINC000042011786	BVFFNHWSROYNEY-UHFFFAOYSA-N	192.174	-0.144	10	20	ABCD	
CC(=O)NCC(=O)NCCN=[N+]=[N-]	ZINC000042012372	GEAKIKRELYYTEA-UHFFFAOYSA-N	185.187	-0.451	10	20	ABCD	
[N-]=[N+]=NCCNC(=O)[C@@H]1CCC(=O)N1	ZINC000042012376	FVUGZXZFDUVBJH-YFKPBYRVSA-N	197.198	-0.309	10	20	ABCD	
[N-]=[N+]=NCCNC(=O)[C@H]1CCC(=O)N1	ZINC000042012378	FVUGZXZFDUVBJH-RXMQYKEDSA-N	197.198	-0.309	10	20	ABCD	
[N-]=[N+]=NCCNC(=O)Cn1cnnn1	ZINC000042012410	AWVBULJCROWLKN-UHFFFAOYSA-N	196.174	-0.900	10	20	ABCD	
[N-]=[N+]=NCCNC(=O)Cn1cncn1	ZINC000042012450	HAPYYOSUNHFVKT-UHFFFAOYSA-N	195.186	-0.295	10	20	ABCD	
[N-]=[N+]=NCCNC(=O)c1c[nH]c(=O)[nH]1	ZINC000042012487	CXXZLBAKZNCVRH-UHFFFAOYSA-N	196.170	-0.257	10	20	ABCD	
[N-]=[N+]=NCCNC(N)=O	ZINC000042012700	AAGMDYIQSCBKPQ-UHFFFAOYSA-N	129.123	-0.035	10	20	ABCD	
CS(=O)(=O)NCCN=[N+]=[N-]	ZINC000042012737	VBXMDGUTXLHAET-UHFFFAOYSA-N	164.190	-0.154	10	20	ABCD	
CN(C)S(=O)(=O)NCCN=[N+]=[N-]	ZINC000042012766	JSUKOWQLZIALRM-UHFFFAOYSA-N	193.232	-0.307	10	20	ABCD	
CC(=O)NCC(=O)NCCCN=[N+]=[N-]	ZINC000042012996	XNKCUTLNZUNADA-UHFFFAOYSA-N	199.214	-0.061	10	20	ABCD	
[N-]=[N+]=NCc1nc(N)nc(N)n1	ZINC000042390698	ZWMCBPKBFDOCNN-UHFFFAOYSA-N	166.148	-0.154	10	20	ABCD	
