smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=C1NC[C@@H](O)c2ccc(O)c(O)c21	ZINC000002012108	GEGJZKUTKNPRSG-ZCFIWIBFSA-N	195.174	-0.125	10	10	ABCE	
NC[C@@H](O)c1cc(O)c(O)cc1O	ZINC000003650986	QZCMNBHCNQBLDD-MRVPVSSYSA-N	185.179	-0.205	10	10	ABCE	
NC[C@H](O)c1cc(O)c(O)cc1O	ZINC000003650988	QZCMNBHCNQBLDD-QMMMGPOBSA-N	185.179	-0.205	10	10	ABCE	
NCCC1=CC(=O)C(O)=CC1=O	ZINC000004633769	NTGOKABVROONDT-UHFFFAOYSA-N	167.164	-0.145	10	10	ABCE	
O=C1C(=O)[C@@H]2C=C[C@H]1O2	ZINC000005133182	WTYFTUANCFGUGL-ZXZARUISSA-N	124.095	-0.538	10	10	ABCE	
O=C1C(=O)[C@@H]2C[C@@H]2C1=O	ZINC000005157153	ZAZNXZKIQIQBDX-WSOKHJQSSA-N	124.095	-0.657	10	10	ABCE	
NC(=O)NN1C(=O)CSC1=S	ZINC000005282721	LWZPYSOZAYJMKL-UHFFFAOYSA-N	191.237	-0.570	10	10	ABCE	
C[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1N=[N+]=[N-]	ZINC000005372139	WLXBOBJDYKJJLJ-RWOPYEJCSA-N	189.171	-0.876	10	10	ABCE	
C[C@@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1N=[N+]=[N-]	ZINC000005372141	WLXBOBJDYKJJLJ-BYIBVSMXSA-N	189.171	-0.876	10	10	ABCE	
CNC=C1C(=O)N(C)C(=O)N(C)C1=O	ZINC000005566446	KOQVQKJUGWHAEU-UHFFFAOYSA-N	197.194	-0.860	10	10	ABCE	
O=C1NC[C@H](O)c2ccc(O)c(O)c21	ZINC000005784480	GEGJZKUTKNPRSG-LURJTMIESA-N	195.174	-0.125	10	10	ABCE	
N=C1C=C(N)C(=O)c2[nH]c(=O)ccc21	ZINC000008627302	ANVZLQYKEGNGGD-UHFFFAOYSA-N	189.174	-0.218	10	10	ABCE	
O=C(c1ccc(O)c(O)c1)[C@H](O)CO	ZINC000013340357	MQUWQMJSZRYUJE-MRVPVSSYSA-N	198.174	-0.366	10	10	ABCE	biogenic,in-vitro
NC(=O)[C@@H](O)Cc1ccc(O)c(O)c1	ZINC000013341229	UZRUFOMXLWRIQS-QMMMGPOBSA-N	197.190	-0.514	10	10	ABCE	biogenic,in-man
NC(=O)[C@H](O)Cc1ccc(O)c(O)c1	ZINC000013341231	UZRUFOMXLWRIQS-MRVPVSSYSA-N	197.190	-0.514	10	10	ABCE	biogenic,in-man
N[C@H](CO)Cc1cccc(O)c1O	ZINC000013351540	RFXJAUGZZBIWKJ-ZETCQYMHSA-N	183.207	-0.040	10	10	ABCE	biogenic,in-vitro
N[C@@H](CO)Cc1cccc(O)c1O	ZINC000013351544	RFXJAUGZZBIWKJ-SSDOTTSWSA-N	183.207	-0.040	10	10	ABCE	biogenic,in-vitro
C/N=[N+](\[O-])CC[C@H](N)C(=O)O	ZINC000013375312	KFZWEFIJHQUPCM-JMRMDATBSA-N	161.161	-0.619	10	10	ABCE	biogenic,in-vitro
C/N=[N+](\[O-])CC[C@@H](N)C(=O)O	ZINC000013375313	KFZWEFIJHQUPCM-NFUDMSOPSA-N	161.161	-0.619	10	10	ABCE	
[N-]=[N+]=NC[C@H]1O[C@H](O)C[C@@H]1O	ZINC000013526726	OQMSRVCFWASVKY-LMVFSUKVSA-N	159.145	-0.235	10	10	ABCE	in-vitro
[N-]=[N+]=NC[C@H]1O[C@@H](O)C[C@@H]1O	ZINC000013526729	OQMSRVCFWASVKY-VPENINKCSA-N	159.145	-0.235	10	10	ABCE	in-vitro
C[C@H]1O[C@@H](C)C(=O)C1=O	ZINC000015849047	PUVDDHUFFRRFMN-ZXZARUISSA-N	128.127	-0.068	10	10	ABCE	
CO[C@@H]1OC[C@H](N=[N+]=[N-])[C@@H](O)[C@@H]1O	ZINC000017001179	IUFBNJFDBFSBMX-BGPJRJDNSA-N	189.171	-0.610	10	10	ABCE	
CO[C@H]1OC[C@H](N=[N+]=[N-])[C@@H](O)[C@@H]1O	ZINC000017001182	IUFBNJFDBFSBMX-FSIIMWSLSA-N	189.171	-0.610	10	10	ABCE	
C[C@@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1N=[N+]=[N-]	ZINC000017063839	WLXBOBJDYKJJLJ-GNFDWLABSA-N	189.171	-0.876	10	10	ABCE	
C[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1N=[N+]=[N-]	ZINC000017063841	WLXBOBJDYKJJLJ-PQMKYFCFSA-N	189.171	-0.876	10	10	ABCE	
CN(C)/N=N/c1n[nH]nc1C(N)=O	ZINC000018187604	VHJCJSWMVHEEPX-PKNBQFBNSA-N	183.175	-0.536	10	10	ABCE	
O=c1[nH]c2cc(O)c(O)cc2[nH]c1=O	ZINC000029389416	CVFAZLHMMROFKQ-UHFFFAOYSA-N	194.146	-0.372	10	10	ABCE	
CN(C=O)/C=C1/C=CNC1=O	ZINC000031688859	IXVJKHGUZXSHFT-XQRVVYSFSA-N	152.153	-0.398	10	10	ABCE	
CC(=O)N1CC(=O)[C@H](C#N)C1	ZINC000032104915	FPPGLSPFMWSYBN-ZCFIWIBFSA-N	152.153	-0.443	10	10	ABCE	
CC(=O)N1CC(=O)[C@@H](C#N)C1	ZINC000032104918	FPPGLSPFMWSYBN-LURJTMIESA-N	152.153	-0.443	10	10	ABCE	
CS(C)(=O)=CC=O	ZINC000032213072	YERYDNBIMMOFRC-UHFFFAOYSA-N	120.173	-0.469	10	10	ABCE	
N[C@@H](c1ccccc1O)[C@H](O)C(=O)O	ZINC000033369540	ZJAQWSTUEPNVRT-YUMQZZPRSA-N	197.190	-0.163	10	10	ABCE	
CC1=NN(C)C(=O)C1=O	ZINC000033835170	RQALBYQIKYNNIU-UHFFFAOYSA-N	126.115	-0.597	10	10	ABCE	
N[C@H](CO)Cc1ccc(O)c(O)c1O	ZINC000033861544	APTZGXZEPJAHFM-LURJTMIESA-N	199.206	-0.335	10	10	ABCE	
N[C@@H](CO)Cc1ccc(O)c(O)c1O	ZINC000033861545	APTZGXZEPJAHFM-ZCFIWIBFSA-N	199.206	-0.335	10	10	ABCE	
N[C@H](CO)Cc1cc(O)c(O)c(O)c1	ZINC000033861554	QPTYZARCACITKE-LURJTMIESA-N	199.206	-0.335	10	10	ABCE	
N[C@@H](CO)Cc1cc(O)c(O)c(O)c1	ZINC000033861555	QPTYZARCACITKE-ZCFIWIBFSA-N	199.206	-0.335	10	10	ABCE	
[N-]=[N+]=N[C@H]1CO[C@@H](O)[C@@H]1O	ZINC000034060431	VZPQWDXZGLDJPZ-PZGQECOJSA-N	145.118	-0.625	10	10	ABCE	
[N-]=[N+]=N[C@H]1CO[C@H](O)[C@@H]1O	ZINC000034060432	VZPQWDXZGLDJPZ-NUNKFHFFSA-N	145.118	-0.625	10	10	ABCE	
[N-]=[N+]=N[C@@H]1CO[C@@H](O)[C@@H]1O	ZINC000034115245	VZPQWDXZGLDJPZ-BXXZVTAOSA-N	145.118	-0.625	10	10	ABCE	
[N-]=[N+]=N[C@@H]1CO[C@H](O)[C@@H]1O	ZINC000034115246	VZPQWDXZGLDJPZ-JJYYJPOSSA-N	145.118	-0.625	10	10	ABCE	
NC(=O)c1cc(O)c(O)c(O)c1O	ZINC000034141323	ISSNOTRNQLZNJI-UHFFFAOYSA-N	185.135	-0.392	10	10	ABCE	
NC(=O)c1cc(O)c(O)cc1N	ZINC000034287232	DNKDMKLUQOLQLF-UHFFFAOYSA-N	168.152	-0.221	10	10	ABCE	
[N-]=[N+]=NC[C@@H](O)CN1CCOCC1	ZINC000034290752	XCWNEEFWIBNZGV-SSDOTTSWSA-N	186.215	-0.010	10	10	ABCE	
[N-]=[N+]=NC[C@H](O)CN1CCOCC1	ZINC000034290754	XCWNEEFWIBNZGV-ZETCQYMHSA-N	186.215	-0.010	10	10	ABCE	
CCC(=O)C(=O)C(=O)OC	ZINC000034361595	XTOACQMQEUSXHU-UHFFFAOYSA-N	144.126	-0.292	10	10	ABCE	
CC(=O)C[C@H](O)[C@H](O)CN=[N+]=[N-]	ZINC000034386065	XRVPFRDAJLYBHY-NTSWFWBYSA-N	173.172	-0.002	10	10	ABCE	
