smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CO/N=[N+](\[O-])N(C)C[C@@H](C)O	ZINC000001535787	JSDRYFBOLCZVSU-JVMJCINISA-N	163.177	-0.262	10	1	ABCF	
CN(C=O)/C=C1\C=CNC1=O	ZINC000001717073	IXVJKHGUZXSHFT-GQCTYLIASA-N	152.153	-0.398	10	1	ABCF	
COC(=O)CCC(=O)C=[N+]=[N-]	ZINC000004791964	JNRSTQPPUBIAIG-UHFFFAOYSA-N	156.141	-0.191	10	1	ABCF	
[N-]=[N+]=C1C(=O)NC(=S)N=C1O	ZINC000005085711	HZFRBUZYAYUUAZ-UHFFFAOYSA-N	170.153	-0.972	10	1	ABCF	
CCOC(=O)C1=CNC(=O)C1=[N+]=[N-]	ZINC000005106193	CPLQFRZQFDRKMM-UHFFFAOYSA-N	181.151	-0.766	10	1	ABCF	
[N-]=[N+]=C1N=CC(CC(=O)O)=N1	ZINC000005133225	AWIYCFQGCXENSO-UHFFFAOYSA-N	152.113	-0.428	10	1	ABCF	
O=C1C=C2C(=NC[C@@H]2O)CC1=O	ZINC000005134833	PTQNKGWWIYGAAE-QMMMGPOBSA-N	165.148	-0.730	10	1	ABCF	endogenous,in-man
O=C1C=C2C(=NC[C@H]2O)CC1=O	ZINC000005157167	PTQNKGWWIYGAAE-MRVPVSSYSA-N	165.148	-0.730	10	1	ABCF	endogenous,in-man
COCCOC(=O)C(C)=[N+]=[N-]	ZINC000005541765	XUARVATXCDKGCS-UHFFFAOYSA-N	158.157	-0.133	10	1	ABCF	
CC(C)CNC(=O)CNC(=O)C=[N+]=[N-]	ZINC000005639692	RBXPKLZVMYXFTN-UHFFFAOYSA-N	198.226	-0.825	10	1	ABCF	
CN(C)C=[N+]=[N-]	ZINC000005808709	MMJYLJKGUBUPHI-UHFFFAOYSA-N	85.110	-0.194	10	1	ABCF	
CC(=O)C(=[N+]=[N-])C(=O)N1CCOC1=O	ZINC000005940870	WHKYTJCDHGJQQL-UHFFFAOYSA-N	197.150	-0.775	10	1	ABCF	
CCCN([C@@H](N)CCN)/[N+]([O-])=N\O	ZINC000013547111	ZTPJIYSSDNZFOK-PHFJWFOPSA-N	191.235	-0.401	10	1	ABCF	in-vitro
CCCN([C@H](N)CCN)/[N+]([O-])=N/O	ZINC000013547113	ZTPJIYSSDNZFOK-UPKCTGGXSA-N	191.235	-0.401	10	1	ABCF	in-vitro
CO/N=[N+](\[O-])N(C)C[C@H](C)O	ZINC000013901631	JSDRYFBOLCZVSU-JCVXODEMSA-N	163.177	-0.262	10	1	ABCF	
O=C(CO)c1cc(O)c(O)c(O)c1	ZINC000014725115	AVSRUKXDWYPQQW-UHFFFAOYSA-N	184.147	-0.022	10	1	ABCF	biogenic,in-vitro
O=C1Nc2cc(O)c(O)cc2O[C@H]1O	ZINC000014776388	AVLCNLDFNUFXNV-MRVPVSSYSA-N	197.146	-0.253	10	1	ABCF	biogenic,in-vitro
O=C1Nc2cc(O)c(O)cc2O[C@@H]1O	ZINC000014776391	AVLCNLDFNUFXNV-QMMMGPOBSA-N	197.146	-0.253	10	1	ABCF	biogenic,in-vitro
O=C1Nc2ccc(O)c(O)c2O[C@H]1O	ZINC000014776400	GIUBJDRSUSLUKF-MRVPVSSYSA-N	197.146	-0.253	10	1	ABCF	biogenic,in-vitro
O=C1Nc2ccc(O)c(O)c2O[C@@H]1O	ZINC000014776402	GIUBJDRSUSLUKF-QMMMGPOBSA-N	197.146	-0.253	10	1	ABCF	biogenic,in-vitro
OC[C@@H](O)c1cc(O)c(O)c(O)c1	ZINC000014817821	SHYMBEZJQMELDC-SSDOTTSWSA-N	186.163	-0.171	10	1	ABCF	biogenic,in-vitro
OC[C@H](O)c1cc(O)c(O)c(O)c1	ZINC000014817823	SHYMBEZJQMELDC-ZETCQYMHSA-N	186.163	-0.171	10	1	ABCF	biogenic,in-vitro
OC[C@@H](O)Cc1ccc(O)c(O)c1	ZINC000015112918	HEVSKMKWOROUNZ-ZETCQYMHSA-N	184.191	-0.007	10	1	ABCF	biogenic,in-vitro
OC[C@H](O)Cc1ccc(O)c(O)c1	ZINC000015112920	HEVSKMKWOROUNZ-SSDOTTSWSA-N	184.191	-0.007	10	1	ABCF	biogenic,in-vitro
CN(O)/N=N/c1nc[nH]c1C(N)=O	ZINC000018084898	FREWGTPYTJLWFV-MDZDMXLPSA-N	184.159	-0.172	10	1	ABCF	
CC(=[N+]=[N-])C(=O)CC[C@H](N)C(=O)O	ZINC000026718830	XFIYHMCGBHYLQG-YFKPBYRVSA-N	185.183	-0.562	10	1	ABCF	
CN(C)/[N+]([O-])=N/O	ZINC000028477955	YBXLZPKLTJPBNV-HYXAFXHYSA-N	105.097	-0.185	10	1	ABCF	
CN(CCO)/[N+]([O-])=N\O	ZINC000029059681	FNJZPOYKLODHKV-GQCTYLIASA-N	135.123	-0.823	10	1	ABCF	
O=C(O)[C@H]1C[C@H](C=S)NC(=O)N1	ZINC000036144348	FOBLKCVVVFYDNB-QWWZWVQMSA-N	188.208	-0.489	10	1	ABCF	
O=C(O)[C@@H]1C[C@H](C=S)NC(=O)N1	ZINC000036144350	FOBLKCVVVFYDNB-DMTCNVIQSA-N	188.208	-0.489	10	1	ABCF	
[O-]/[N+](=N\O)N1CCC[C@H]1CO	ZINC000040880368	XXQFSNUWMCQUBN-JCVXODEMSA-N	161.161	-0.290	10	1	ABCF	
N=NCC(=O)CC[C@H](N)C(=O)O	ZINC000044003955	CKRLZVNSTCQAJW-YFKPBYRVSA-N	173.172	-0.221	10	1	ABCF	
N=[N+]=CC(=O)CC[C@H](N)C(=O)O	ZINC000057681148	LHGVYNDAWRBWGL-YFKPBYRVSA-O	172.164	-0.942	10	1	ABCF	in-vitro
N=[N+]=CC(=O)CC[C@@H](N)C(=O)O	ZINC000057681149	LHGVYNDAWRBWGL-RXMQYKEDSA-O	172.164	-0.942	10	1	ABCF	in-vitro
[O-]/[N+](=N/O)N1CCC[C@@H]1CO	ZINC000072141503	XXQFSNUWMCQUBN-KITRQZPWSA-N	161.161	-0.290	10	1	ABCF	
N=Nc1nnn[nH]1	ZINC000078967046	MECCWYNHHIGVBN-UHFFFAOYSA-N	98.069	-0.138	10	1	ABCF	in-vitro
CCOC(=O)C1=NC=NC1=[N+]=[N-]	ZINC000081135746	HJDOPBGQUOAOCQ-UHFFFAOYSA-N	166.140	-0.339	10	1	ABCF	
O=C(C(=O)C(F)(F)F)[C@@H](O)CO	ZINC000082158336	DOCCRHSQUNVFRL-REOHCLBHSA-N	186.085	-0.960	10	1	ABCF	
COC(=O)C(C)=[N+]=[N-]	ZINC000084311340	KSKYFYIEWBCMDT-UHFFFAOYSA-N	114.104	-0.150	10	1	ABCF	
C[C@@H](CO)/[N+]([O-])=N\O	ZINC000085596018	IDWDQTUMRSGLSV-QXLVYCLISA-N	120.108	-0.281	10	1	ABCF	biogenic,in-vitro
C[C@H](CO)/[N+]([O-])=N\O	ZINC000085596020	IDWDQTUMRSGLSV-OWVWHZGRSA-N	120.108	-0.281	10	1	ABCF	biogenic,in-vitro
[N-]=[N+]=C1C=CCOC1=O	ZINC000090366716	ZCFOIAVMSVRMJQ-UHFFFAOYSA-N	124.099	-0.230	10	1	ABCF	
CNCCCN(C)/[N+]([O-])=N/O	ZINC000090367093	BPBUJYBQUBMWDT-CLFYSBASSA-N	162.193	-0.206	10	1	ABCF	
c1nnc(/N=N/c2nncnn2)nn1	ZINC000090584302	FYZJOQJLQFQCTP-BUHFOSPRSA-N	190.130	-0.738	10	1	ABCF	
NCCCN(CCCN)/[N+]([O-])=N\O	ZINC000090609601	DLNIKTWGBUNSSV-PKNBQFBNSA-N	191.235	-0.747	10	1	ABCF	
C[C@@](O)(Cc1ccc(O)c(O)c1)NN	ZINC000090613123	QPXJVUUFQHMFFK-SECBINFHSA-N	198.222	-0.188	10	1	ABCF	
C[C@](O)(Cc1ccc(O)c(O)c1)NN	ZINC000090613129	QPXJVUUFQHMFFK-VIFPVBQESA-N	198.222	-0.188	10	1	ABCF	
C#CC=S(=O)=O	ZINC000090628000	NQWXBWFUFTWFEV-UHFFFAOYSA-N	102.114	-0.699	10	1	ABCF	
O=C=C(C=O)C=S	ZINC000090668214	NNFPNNZVJAXZQX-UHFFFAOYSA-N	114.125	-0.057	10	1	ABCF	
CC(=O)OC#CC(=O)C(C)=O	ZINC000090760025	QCFOXPPDQYIRCM-UHFFFAOYSA-N	154.121	-0.332	10	1	ABCF	
CNS(=O)(=O)N=[N+]=[N-]	ZINC000095876145	KDKGDKUKDMXMCY-UHFFFAOYSA-N	136.136	-0.239	10	1	ABCF	
CNCC(O)(O)c1ccc(O)c(O)c1	ZINC000095909342	PWHKLFSRFGOVEY-UHFFFAOYSA-N	199.206	-0.545	10	1	ABCF	biogenic,in-vitro
CC(=O)N/C=C1\C(=O)NC(=O)N=C1O	ZINC000096930168	IHFPTLWMIKIYEA-UHFFFAOYSA-N	197.150	-0.787	10	1	ABCF	
N=[N+]=N[C@@H]1CN[C@H](C(=O)O)C1	ZINC000098207764	QHXBBWVACLXCJH-IMJSIDKUSA-O	157.153	-0.648	10	1	ABCF	
N=[N+]=NCC[C@H](N)C(=O)O	ZINC000098208686	ZYCQYIKWMNNPJE-VKHMYHEASA-O	145.142	-0.661	10	1	ABCF	
[CH3:4][N+:2]([O-:5])=[N:1][CH2:3][OH:6]	ZINC000100044914	BJNBRIBHKLJMAG-UHFFFAOYSA-N	90.082	-0.472	10	1	ABCF	in-vitro,metabolite
CC[C@H]1C(=O)C(=O)[C@@H](C(=O)O)C1=O	ZINC000100054414	RBOKDRSKKUPRHU-DMTCNVIQSA-N	184.147	-0.566	10	1	ABCF	
CC[C@@H]1C(=O)C(=O)[C@@H](C(=O)O)C1=O	ZINC000100054416	RBOKDRSKKUPRHU-IMJSIDKUSA-N	184.147	-0.566	10	1	ABCF	
CC[C@H]1C(=O)C(=O)[C@H](C(=O)O)C1=O	ZINC000100054417	RBOKDRSKKUPRHU-QWWZWVQMSA-N	184.147	-0.566	10	1	ABCF	
CC[C@@H]1C(=O)C(=O)[C@H](C(=O)O)C1=O	ZINC000100054419	RBOKDRSKKUPRHU-IUYQGCFVSA-N	184.147	-0.566	10	1	ABCF	
[N-]=[N+]=Nn1cnnn1	ZINC000100168675	LJVUWWFGUIJVRI-UHFFFAOYSA-N	111.068	-0.254	10	1	ABCF	
CNCCCN(C)/[N+]([O-])=N\O	ZINC000100169073	BPBUJYBQUBMWDT-VQHVLOKHSA-N	162.193	-0.206	10	1	ABCF	
C[C@H]1C(=O)C(=O)[C@@H]2O[C@@H]2C1=O	ZINC000100383889	NYFMSQHOGRWGFD-OOVQLBIQSA-N	154.121	-0.889	10	1	ABCF	
C[C@@H]1C(=O)C(=O)[C@@H]2O[C@@H]2C1=O	ZINC000100383893	NYFMSQHOGRWGFD-XBRQALLMSA-N	154.121	-0.889	10	1	ABCF	
c1nnc(/N=N\c2nncnn2)nn1	ZINC000100446982	FYZJOQJLQFQCTP-YPKPFQOOSA-N	190.130	-0.738	10	1	ABCF	
NCCCN(CCCN)/[N+]([O-])=N/O	ZINC000100465899	DLNIKTWGBUNSSV-LUAWRHEFSA-N	191.235	-0.747	10	1	ABCF	
O=C1C(=O)C(O)=c2ccccc2=C1O	ZINC000100573520	CYDQMQIFXAARIP-UHFFFAOYSA-N	190.154	-0.829	10	1	ABCF	
CCCN([C@H](N)CCN)/[N+]([O-])=N\O	ZINC000100633249	ZTPJIYSSDNZFOK-OCEJCCQVSA-N	191.235	-0.401	10	1	ABCF	in-vitro
CCCN([C@@H](N)CCN)/[N+]([O-])=N/O	ZINC000100633252	ZTPJIYSSDNZFOK-IQPVEKFZSA-N	191.235	-0.401	10	1	ABCF	in-vitro
CN(CCO)/[N+]([O-])=N/O	ZINC000101150255	FNJZPOYKLODHKV-XQRVVYSFSA-N	135.123	-0.823	10	1	ABCF	
CN(C)/N=N\c1nn[nH]c1C(N)=O	ZINC000105081703	VHJCJSWMVHEEPX-LUAWRHEFSA-N	183.175	-0.536	10	1	ABCF	
CO[C@H]1OC[C@H](N=[N+]=[N-])[C@@H](O)[C@H]1O	ZINC000105132509	IUFBNJFDBFSBMX-KCDKBNATSA-N	189.171	-0.610	10	1	ABCF	
CO[C@H]1OC[C@H](N=[N+]=[N-])[C@H](O)[C@H]1O	ZINC000105132514	IUFBNJFDBFSBMX-AZGQCCRYSA-N	189.171	-0.610	10	1	ABCF	
CO[C@H]1OC[C@@H](N=[N+]=[N-])[C@H](O)[C@H]1O	ZINC000105132519	IUFBNJFDBFSBMX-MOJAZDJTSA-N	189.171	-0.610	10	1	ABCF	
CN(O)/N=N\c1nc[nH]c1C(N)=O	ZINC000105217560	FREWGTPYTJLWFV-KTKRTIGZSA-N	184.159	-0.172	10	1	ABCF	
C[C@](C#N)(CO)/N=N\[C@@](C)(C#N)CO	ZINC000105219734	VUDVPVOIALASLB-XROKHUORSA-N	196.210	-0.012	10	1	ABCF	
CCCN1C(=O)NC(=O)/C(=C\N)C1=O	ZINC000105236724	GCTVOMUOSPIPNG-SNAWJCMRSA-N	197.194	-0.683	10	1	ABCF	
C[C@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1N=[N+]=[N-]	ZINC000105358087	WLXBOBJDYKJJLJ-RXRWUWDJSA-N	189.171	-0.876	10	1	ABCF	
C[C@H]1O[C@H](O)[C@H](O)[C@H](O)[C@@H]1N=[N+]=[N-]	ZINC000105358091	WLXBOBJDYKJJLJ-UKFBFLRUSA-N	189.171	-0.876	10	1	ABCF	
C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1N=[N+]=[N-]	ZINC000105358093	WLXBOBJDYKJJLJ-PHYPRBDBSA-N	189.171	-0.876	10	1	ABCF	
C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1N=[N+]=[N-]	ZINC000105358097	WLXBOBJDYKJJLJ-DVKNGEFBSA-N	189.171	-0.876	10	1	ABCF	
Cn1nnc(/N=N/c2nnn(C)n2)n1	ZINC000106456607	FGBTZZHBXROUPL-AATRIKPKSA-N	194.162	-0.851	10	1	ABCF	
O=C(O)[C@H]1SC(=S)NC1=O	ZINC000106840488	ARKSBHLHEXOOEG-SFOWXEAESA-N	177.206	-0.413	10	1	ABCF	
O=C(O)[C@@H]1SC(=S)NC1=O	ZINC000106840490	ARKSBHLHEXOOEG-PVQJCKRUSA-N	177.206	-0.413	10	1	ABCF	
COC(=O)N1CC(=O)[C@@H](C#N)C1	ZINC000107223152	PMOYTZNSXRACOS-YFKPBYRVSA-N	168.152	-0.223	10	1	ABCF	
COC(=O)N1CC(=O)[C@H](C#N)C1	ZINC000107223155	PMOYTZNSXRACOS-RXMQYKEDSA-N	168.152	-0.223	10	1	ABCF	
C/[N+]([O-])=[N+](\C)[O-]	ZINC000111340724	JFRQLMYPEFSEDK-ARJAWSKDSA-N	90.082	-0.281	10	1	ABCF	
CN=[N+]([O-])CC[C@H](N)C(=O)O	ZINC000154455344	KFZWEFIJHQUPCM-BYPYZUCNSA-N	161.161	-0.619	10	1	ABCF	biogenic,in-vitro
CN=[N+]([O-])CC[C@@H](N)C(=O)O	ZINC000154455429	KFZWEFIJHQUPCM-SCSAIBSYSA-N	161.161	-0.619	10	1	ABCF	biogenic,in-vitro
[N-]=[N+]=NCCn1nn[nH]/c1=N\[N+](=O)[O-]	ZINC000169383805	RXPVLVYRHVQLLE-UHFFFAOYSA-N	199.134	-0.991	10	1	ABCF	
[O-][N+](O)=Nc1nnn[nH]1	ZINC000169406305	VYONQGXJBAWARL-UHFFFAOYSA-N	130.067	-0.817	10	1	ABCF	
[N-]=[N+]=NC1=NNN(O)N1	ZINC000169444749	ODGGOAGVIUGKQJ-UHFFFAOYSA-N	129.083	-0.718	10	1	ABCF	
COC(=O)/C=C/C(=[N+]=[N-])C(=O)OC	ZINC000169488744	IUCKQOONEJALMM-ONEGZZNKSA-N	184.151	-0.441	10	1	ABCF	
[O-]/[N+](=N\O)C(CCCO)/[N+]([O-])=N/O	ZINC000169501904	WWHFFOFLDMNCAY-SFECMWDFSA-N	194.147	-0.212	10	1	ABCF	
[O-][N+](O)=NCCN=[N+]([O-])O	ZINC000169527477	UPBPLHJIWVNHAM-UHFFFAOYSA-N	150.094	-0.310	10	1	ABCF	
c1cn(/N=N/n2ccnn2)nn1	ZINC000169552811	WUPZAQSKRMYJNB-MDZDMXLPSA-N	164.132	-0.452	10	1	ABCF	
O=C1C(=O)C2CCCC1C(=O)C2=O	ZINC000169576207	RWTWPWOMCYRLGA-UHFFFAOYSA-N	180.159	-0.307	10	1	ABCF	
CC(C)=C1C(=O)NNC1=O	ZINC000169594358	GFZQWMQRTBMJEI-UHFFFAOYSA-N	140.142	-0.516	10	1	ABCF	
[N-]=[N+]=N[C+](N)N	ZINC000169663488	UGUCQZVTNQFMJO-UHFFFAOYSA-N	86.078	-0.339	10	1	ABCF	
O=c1ccc2c([nH]1)C(=O)CC(=O)C2=O	ZINC000169700578	FAOCWDDGFFEGHW-UHFFFAOYSA-N	191.142	-0.287	10	1	ABCF	
O=C(O)[C@@H]1C[C@@H](C=S)NC(=O)N1	ZINC000169712469	FOBLKCVVVFYDNB-IMJSIDKUSA-N	188.208	-0.489	10	1	ABCF	
O=C(O)[C@H]1C[C@@H](C=S)NC(=O)N1	ZINC000169712470	FOBLKCVVVFYDNB-IUYQGCFVSA-N	188.208	-0.489	10	1	ABCF	
C=c1cc(O)c(O)cc1=C	ZINC000169721769	SOHGLSFJXTYXLQ-UHFFFAOYSA-N	136.150	-0.082	10	1	ABCF	
CCC[C@@H](O)C(=O)C(=O)CO	ZINC000169722261	ZKRXUBNSGIKPGJ-RXMQYKEDSA-N	160.169	-0.722	10	1	ABCF	
CCC[C@H](O)C(=O)C(=O)CO	ZINC000169722262	ZKRXUBNSGIKPGJ-YFKPBYRVSA-N	160.169	-0.722	10	1	ABCF	
CCCC[C@@H](O)C(=O)C(=O)CO	ZINC000169722263	PCXAHGVMFUUSER-ZCFIWIBFSA-N	174.196	-0.332	10	1	ABCF	
