smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(=O)NNC(=O)c1ccccn1	ZINC000000000980	FDJAMXYLIRPRIS-UHFFFAOYSA-N	179.179	-0.138	30	50	ABEA	in-man
NNC(=O)c1ccncc1	ZINC000000001590	QRXWMOHMRWLFEY-UHFFFAOYSA-N	137.142	-0.315	30	50	ABEA	fda,metabolite
N/C(=N\O)c1cc(O)c(O)c(O)c1	ZINC000000005721	MSLJYSGFUMYUDX-UHFFFAOYSA-N	184.151	-0.102	30	50	ABEA	in-vitro
NNC(=O)c1ccccn1	ZINC000000010573	BAQLNPIEFOYKNB-UHFFFAOYSA-N	137.142	-0.315	30	50	ABEA	biogenic,in-vitro
NNC(=O)c1cccc(O)c1	ZINC000000031292	OACGSLLKFCMXSX-UHFFFAOYSA-N	152.153	-0.004	30	50	ABEA	biogenic,in-vitro
N#CC1=CNC(=O)NC1	ZINC000000039460	YPAXHFPJSHIUAN-UHFFFAOYSA-N	123.115	-0.293	30	50	ABEA	
CC(=O)N1CC(N)=C(C#N)C1	ZINC000000039592	FDUGIQHADKXDKM-UHFFFAOYSA-N	151.169	-0.415	30	50	ABEA	
NNC(=O)CNC(=O)c1ccccc1	ZINC000000039878	GFEYJORMLBEOOP-UHFFFAOYSA-N	193.206	-0.594	30	50	ABEA	biogenic,in-vitro
NNC(=O)c1cccc(N)c1	ZINC000000045732	JSIVTKBYJLGBPY-UHFFFAOYSA-N	151.169	-0.128	30	50	ABEA	
NNC(=O)c1ccc([N+](=O)[O-])cc1N	ZINC000000045808	WSMZWCHQWJBLIP-UHFFFAOYSA-N	196.166	-0.220	30	50	ABEA	
O=C1C=C[C@H]2CO[C@@H]1O2	ZINC000000078169	HITOXZPZGPXYHY-UJURSFKZSA-N	126.111	-0.133	30	50	ABEA	biogenic,in-vitro
O=C1C=C[C@@H]2CO[C@H]1O2	ZINC000000078172	HITOXZPZGPXYHY-XINAWCOVSA-N	126.111	-0.133	30	50	ABEA	biogenic,in-vitro
