smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Nc1nnnn1/N=C\c1cccnc1	ZINC000000527498	PGMXHNIPAMJYCM-YHYXMXQVSA-N	189.182	-0.468	30	30	ABEC	
Nc1nnnn1/N=C\c1ccccn1	ZINC000000532894	FPNUEHDMQDJNTF-YHYXMXQVSA-N	189.182	-0.468	30	30	ABEC	
NNC(=O)c1cnsn1	ZINC000001235185	YHSRKDCHGIFFEF-UHFFFAOYSA-N	144.159	-0.858	30	30	ABEC	
C/C(=N\NC(N)=O)c1nnn(C)c1C	ZINC000001417925	QHFKSUAMPPNCAC-RUDMXATFSA-N	196.214	-0.484	30	30	ABEC	
O=C1C=C(N2CC2)C(N2CC2)=CC1=O	ZINC000001541434	GUDSBLQNAABXPS-UHFFFAOYSA-N	190.202	-0.463	30	30	ABEC	
CCC(=O)NNC(=O)/C=C/C(=O)O	ZINC000002287937	LEABXWUDWYLKMR-ONEGZZNKSA-N	186.167	-0.815	30	30	ABEC	
CC(=O)C[n+]1cccnc1	ZINC000003092973	LWKIMTQRDGXJKE-UHFFFAOYSA-N	137.162	-0.042	30	30	ABEC	
CCOC(=O)C[n+]1ccncc1	ZINC000003130264	RKABXSVRBDNWPT-UHFFFAOYSA-N	167.188	-0.068	30	30	ABEC	
COc1cc[n+](OC(C)=O)cc1	ZINC000003159612	XVYZIKBILMDFPU-UHFFFAOYSA-N	168.172	-0.042	30	30	ABEC	
CCCCC(=O)NNC(N)=O	ZINC000003172815	NEWBYTWAJUAISV-UHFFFAOYSA-N	159.189	-0.124	30	30	ABEC	
O=C(/C=N\O)NCC1CCNCC1	ZINC000004516833	GLTIQMMAPINCPQ-WDZFZDKYSA-N	185.227	-0.438	30	30	ABEC	
N/N=C1/CCCc2c1no[n+]2[O-]	ZINC000005185457	ABMNJJVCQWLTHR-YWEYNIOJSA-N	168.156	-0.693	30	30	ABEC	
COC1=CC(=O)C(=[N+]=[N-])c2nonc21	ZINC000005210082	WLKIVRUQTDRXRF-UHFFFAOYSA-N	192.134	-0.342	30	30	ABEC	
CS(=O)(=O)N/N=C/c1ccccn1	ZINC000005527625	DPECSVLOCADTPO-RMKNXTFCSA-N	199.235	-0.035	30	30	ABEC	
CN/N=C(/C)CC(=O)NNC	ZINC000006021682	ZGICFYXOVUBOOX-UITAMQMPSA-N	158.205	-0.778	30	30	ABEC	
CNC(=O)/C(C)=N/O	ZINC000006312173	KJDXTAXSTVFOEX-ZZXKWVIFSA-N	116.120	-0.418	30	30	ABEC	
O=CC(C=O)[n+]1ccccc1	ZINC000006528460	CFZJDSBJBXUBJH-UHFFFAOYSA-N	150.157	-0.087	30	30	ABEC	
N#C/C(Cn1cncn1)=N\O	ZINC000006537127	XWXWXYUNZSAQQJ-WEVVVXLNSA-N	151.129	-0.368	30	30	ABEC	
CC(=O)C(=NNc1nnc[nH]1)C(C)=O	ZINC000006761293	ZHUVOBHVOSQOKH-UHFFFAOYSA-N	195.182	-0.249	30	30	ABEC	
CC/C(=N/NC(N)=S)C(=O)O	ZINC000006763387	QAUMLWNGJDDTGX-CLTKARDFSA-N	175.213	-0.330	30	30	ABEC	
CCOC(=O)/C(C#N)=C/NNC(N)=O	ZINC000006891594	UWHQFTGGQMZYOX-SNAWJCMRSA-N	198.182	-0.870	30	30	ABEC	
C/C(=N/O)C(=O)NCC1CCNCC1	ZINC000007991279	LLMMROALTGZYNZ-GHXNOFRVSA-N	199.254	-0.048	30	30	ABEC	
O=C(/C=N\O)NCCCn1ccnc1	ZINC000007991615	LWMFQSCWZHDRNC-WDZFZDKYSA-N	196.210	-0.151	30	30	ABEC	
COC(=O)CNC(C)(C)/C=N\O	ZINC000012855654	SQBOWGVSABODMW-UITAMQMPSA-N	174.200	-0.012	30	30	ABEC	
NC(=S)NN/C=C1\C=CC=CC1=O	ZINC000013130087	TWJNYQYKLVMPRX-AATRIKPKSA-N	195.247	-0.097	30	30	ABEC	
O/N=C1/C[C@@H](O)Cc2nonc21	ZINC000013130103	PABXNIVMTDYVDL-RKERYQBXSA-N	169.140	-0.445	30	30	ABEC	
O/N=C1/C[C@H](O)Cc2nonc21	ZINC000013130105	PABXNIVMTDYVDL-BUNWGNRTSA-N	169.140	-0.445	30	30	ABEC	
O=C(O)CC/C(=N\O)C(=O)O	ZINC000013508172	RSXBEVMDACDZRB-ZZXKWVIFSA-N	161.113	-0.234	30	30	ABEC	endogenous,in-man
C/C=C/C1=CC(=O)[C@@H](O)[C@@H]1O	ZINC000014721813	MHOOPNKRBMHHEC-YEMZYZDBSA-N	154.165	-0.207	30	30	ABEC	
NC(N)=C1C(=O)CCCC1=O	ZINC000015424423	UKCLNIRXZGOLCE-UHFFFAOYSA-N	154.169	-0.563	30	30	ABEC	
C/C(=N/O)C(=O)NCCN(C)C	ZINC000015974159	WUQULCUJQXIKJM-TWGQIWQCSA-N	173.216	-0.486	30	30	ABEC	
CCO/N=C(\c1nonc1N)N(C)C	ZINC000016016234	WLDGRHYHMJENMH-YRNVUSSQSA-N	199.214	-0.089	30	30	ABEC	
