smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
N/N=C(\N)N[C@H]1CC[C@H](O)CC1	ZINC000134100422	QDLIUXADGHSFPT-OLQVQODUSA-N	172.232	-0.932	30	20	ABED	
C[C@@H](C(=O)NN)N1CCC[C@@H](C)C1=O	ZINC000134113088	VRIHCXGFZHSVFB-RQJHMYQMSA-N	199.254	-0.377	30	20	ABED	
C[C@@H](C(=O)NN)N1CCC[C@H](C)C1=O	ZINC000134113286	VRIHCXGFZHSVFB-BQBZGAKWSA-N	199.254	-0.377	30	20	ABED	
C[C@H](C(=O)NN)N1CCC[C@@H](C)C1=O	ZINC000134113502	VRIHCXGFZHSVFB-RNFRBKRXSA-N	199.254	-0.377	30	20	ABED	
C[C@H](C(=O)NN)N1CCC[C@H](C)C1=O	ZINC000134113695	VRIHCXGFZHSVFB-NKWVEPMBSA-N	199.254	-0.377	30	20	ABED	
N/C(=N\O)N[C@H]1CC[C@H](O)CC1	ZINC000134131860	FGDMIZHSKIBQDB-OLQVQODUSA-N	173.216	-0.417	30	20	ABED	
N/N=C(\N)NCC1CCSCC1	ZINC000134165543	BKKBXOVPQXTIKK-UHFFFAOYSA-N	188.300	-0.092	30	20	ABED	
CN(CCC(=O)NN)C(C)(C)CO	ZINC000134188183	XBBBXQRVWPAZCK-UHFFFAOYSA-N	189.259	-0.931	30	20	ABED	
C[C@@H](CCO)NC(=O)CS	ZINC000134278160	WMSGLZWICXTAQO-YFKPBYRVSA-N	163.242	-0.197	30	20	ABED	
C[C@H](CCO)NC(=O)CS	ZINC000134278183	WMSGLZWICXTAQO-RXMQYKEDSA-N	163.242	-0.197	30	20	ABED	
C[C@@H](CCCN)C(=O)NN	ZINC000134294706	XUPBTUJHLFFSAQ-YFKPBYRVSA-N	145.206	-0.649	30	20	ABED	
C[C@H](CCCN)C(=O)NN	ZINC000134294725	XUPBTUJHLFFSAQ-RXMQYKEDSA-N	145.206	-0.649	30	20	ABED	
C[C@@H](CCCN)C(=O)NN(C)C	ZINC000134304873	AESMDLOLSDGYPK-ZETCQYMHSA-N	173.260	-0.046	30	20	ABED	
C[C@H](CCCN)C(=O)NN(C)C	ZINC000134304893	AESMDLOLSDGYPK-SSDOTTSWSA-N	173.260	-0.046	30	20	ABED	
CN1CCC[C@](O)(C#N)C1	ZINC000134334210	SLTQWOILLXQBEE-ZETCQYMHSA-N	140.186	-0.033	30	20	ABED	
CN1CCC[C@@](O)(C#N)C1	ZINC000134334231	SLTQWOILLXQBEE-SSDOTTSWSA-N	140.186	-0.033	30	20	ABED	
CN1CCC/C(=N\NC(N)=O)C1	ZINC000134360262	ANQIRKDQTSRWNX-RMKNXTFCSA-N	170.216	-0.264	30	20	ABED	
CN1CCC/C(=N\NC(N)=S)C1	ZINC000134366434	JUQRHOUOLWHXBS-RMKNXTFCSA-N	186.284	-0.099	30	20	ABED	
CN1CCC/C(=N\NC(=N)N)C1	ZINC000134366465	FSUZPNRNMGRCCQ-UXBLZVDNSA-N	169.232	-0.449	30	20	ABED	
C[C@H]1OCC[C@@H]1NCC/C(N)=N/O	ZINC000134565234	ZHBHUMVPLXVVOW-RQJHMYQMSA-N	187.243	-0.110	30	20	ABED	
C[C@@H]1OCC[C@@H]1NCC/C(N)=N/O	ZINC000134565259	ZHBHUMVPLXVVOW-BQBZGAKWSA-N	187.243	-0.110	30	20	ABED	
C[C@H](N[C@@H]1CCO[C@@H]1C)/C(N)=N/O	ZINC000134565470	XOLOQNRUNJIVEW-RRKCRQDMSA-N	187.243	-0.112	30	20	ABED	
NNC(=O)CC[C@@H]1CCNC1	ZINC000134568742	QHLMOCMNDUKEPA-ZCFIWIBFSA-N	157.217	-0.634	30	20	ABED	
NNC(=O)CC[C@H]1CCNC1	ZINC000134568762	QHLMOCMNDUKEPA-LURJTMIESA-N	157.217	-0.634	30	20	ABED	
