smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@H](CN1CC[C@H](O)C1)/C(N)=N/O	ZINC000061710554	AMMJXMIROMEQDD-RQJHMYQMSA-N	187.243	-0.565	30	10	ABEE	
C[C@@H](C/C(N)=N/O)N1CC[C@H](O)C1	ZINC000061710555	NQITYRMBKNSKKE-BQBZGAKWSA-N	187.243	-0.422	30	10	ABEE	
C[C@H](C/C(N)=N/O)N1CC[C@H](O)C1	ZINC000061710556	NQITYRMBKNSKKE-RQJHMYQMSA-N	187.243	-0.422	30	10	ABEE	
NC(=O)N[C@@H]1CCC[C@H]1/C(N)=N/O	ZINC000061887831	PDHDEKKFXRQOIW-RFZPGFLSSA-N	186.215	-0.430	30	10	ABEE	
NC(=O)N[C@H]1CCC[C@H]1/C(N)=N/O	ZINC000061887833	PDHDEKKFXRQOIW-UHNVWZDZSA-N	186.215	-0.430	30	10	ABEE	
N/C(=N/O)N1CCCN2CCC[C@H]2C1	ZINC000062943636	CZFPDLMCJYNGDI-QMMMGPOBSA-N	198.270	-0.140	30	10	ABEE	
O=CNNC(=O)c1ccccc1O	ZINC000064625120	QKOBGJNIHZDKRJ-UHFFFAOYSA-N	180.163	-0.217	30	10	ABEE	in-vitro
CN(CC/C(N)=N/O)[C@H]1CCOC1	ZINC000069623047	QNPDGARMYYDHFS-ZETCQYMHSA-N	187.243	-0.156	30	10	ABEE	
CCN(C/C(N)=N/O)[C@H]1CCOC1	ZINC000069623091	VTCKXCRNFWKZKJ-ZETCQYMHSA-N	187.243	-0.156	30	10	ABEE	
NNC(=O)[C@H]1C[C@@H]2CCCC[C@H]2N1	ZINC000069635578	LXLJJQNDKLQLTE-XLPZGREQSA-N	183.255	-0.103	30	10	ABEE	
NNC(=O)[C@H]1C[C@H]2CCCC[C@H]2N1	ZINC000069635580	LXLJJQNDKLQLTE-BWZBUEFSSA-N	183.255	-0.103	30	10	ABEE	
N/N=C(/N)[C@@H]1C[C@H]2CC[C@@H]1O2	ZINC000069975906	DKOBLTDHKHOQLC-PBXRRBTRSA-N	155.201	-0.215	30	10	ABEE	
N/N=C(/N)[C@H]1C[C@H]2CC[C@@H]1O2	ZINC000069975909	DKOBLTDHKHOQLC-SRQIZXRXSA-N	155.201	-0.215	30	10	ABEE	
CN(C/C(N)=N/O)[C@H]1CCOC1	ZINC000070543083	AYOWJZRMCWFTLT-LURJTMIESA-N	173.216	-0.547	30	10	ABEE	
COC[C@H](C)NC[C@H](C)/C(N)=N/O	ZINC000070603966	IABZIEBQDAVFTB-BQBZGAKWSA-N	189.259	-0.007	30	10	ABEE	
COC[C@@H](C)NC[C@H](C)/C(N)=N/O	ZINC000070603968	IABZIEBQDAVFTB-NKWVEPMBSA-N	189.259	-0.007	30	10	ABEE	
COC[C@H](C)N[C@H](C)/C(N)=N/O	ZINC000070603988	UHMLLDLNNSIRMR-NTSWFWBYSA-N	175.232	-0.254	30	10	ABEE	
COC[C@@H](C)N[C@H](C)/C(N)=N/O	ZINC000070603989	UHMLLDLNNSIRMR-PHDIDXHHSA-N	175.232	-0.254	30	10	ABEE	
C[C@H](NC[C@H]1CCCO1)/C(N)=N/O	ZINC000070604423	GMNSHNZTWIQCEZ-NKWVEPMBSA-N	187.243	-0.110	30	10	ABEE	
C[C@@H](NC[C@H]1CCCO1)/C(N)=N/O	ZINC000070604424	GMNSHNZTWIQCEZ-RNFRBKRXSA-N	187.243	-0.110	30	10	ABEE	
CC[C@@H](CO)NC[C@H](C)/C(N)=N/O	ZINC000070605236	UCPDBPKYRBTLOT-BQBZGAKWSA-N	189.259	-0.271	30	10	ABEE	
CC[C@H](CO)NC[C@H](C)/C(N)=N/O	ZINC000070605237	UCPDBPKYRBTLOT-NKWVEPMBSA-N	189.259	-0.271	30	10	ABEE	
CC[C@@H](CO)N[C@H](C)C/C(N)=N/O	ZINC000070605240	TZDLITIULCSWPQ-RQJHMYQMSA-N	189.259	-0.128	30	10	ABEE	
CC[C@H](CO)N[C@H](C)C/C(N)=N/O	ZINC000070605241	TZDLITIULCSWPQ-RNFRBKRXSA-N	189.259	-0.128	30	10	ABEE	
CC[C@@H](N[C@@H](CC)CO)/C(N)=N/O	ZINC000070605250	HXJCJBBZJVUTQA-NKWVEPMBSA-N	189.259	-0.128	30	10	ABEE	
CC[C@H](CO)N[C@H](CC)/C(N)=N/O	ZINC000070605251	HXJCJBBZJVUTQA-RNFRBKRXSA-N	189.259	-0.128	30	10	ABEE	
CC[C@@H](CO)N[C@H](C)/C(N)=N/O	ZINC000070605256	VFLKDVPXXRUCKK-RITPCOANSA-N	175.232	-0.518	30	10	ABEE	
CC[C@H](CO)N[C@H](C)/C(N)=N/O	ZINC000070605257	VFLKDVPXXRUCKK-PHDIDXHHSA-N	175.232	-0.518	30	10	ABEE	
C[C@@H](O)CNC[C@H](C)/C(N)=N/O	ZINC000070605279	VYLBBGMALWSQQB-NTSWFWBYSA-N	175.232	-0.661	30	10	ABEE	
C[C@H](O)CNC[C@H](C)/C(N)=N/O	ZINC000070605281	VYLBBGMALWSQQB-WDSKDSINSA-N	175.232	-0.661	30	10	ABEE	
C[C@@H](O)CN[C@H](C)C/C(N)=N/O	ZINC000070605284	GKXBJMAFGCRICW-PHDIDXHHSA-N	175.232	-0.518	30	10	ABEE	
C[C@H](C/C(N)=N/O)NC[C@H](C)O	ZINC000070605286	GKXBJMAFGCRICW-RITPCOANSA-N	175.232	-0.518	30	10	ABEE	
CC[C@@H](C/C(N)=N/O)NC[C@H](C)O	ZINC000070605297	HRNWWFIJQXRGDO-BQBZGAKWSA-N	189.259	-0.128	30	10	ABEE	
CC[C@H](C/C(N)=N/O)NC[C@H](C)O	ZINC000070605298	HRNWWFIJQXRGDO-NKWVEPMBSA-N	189.259	-0.128	30	10	ABEE	
CC[C@H](NC[C@H](C)O)/C(N)=N/O	ZINC000070605303	HNELFZJSGKFKGG-WDSKDSINSA-N	175.232	-0.518	30	10	ABEE	
CC[C@@H](NC[C@H](C)O)/C(N)=N/O	ZINC000070605304	HNELFZJSGKFKGG-NTSWFWBYSA-N	175.232	-0.518	30	10	ABEE	
C[C@@H](NC[C@H](C)O)/C(N)=N/O	ZINC000070605311	WHLXFOAOSBVEMF-CRCLSJGQSA-N	161.205	-0.908	30	10	ABEE	
C[C@@H](O)CN[C@H](C)/C(N)=N/O	ZINC000070605312	WHLXFOAOSBVEMF-RFZPGFLSSA-N	161.205	-0.908	30	10	ABEE	
C[C@@H](CO)NC[C@H](C)/C(N)=N/O	ZINC000070605355	LEURWLMLTLAXAF-WDSKDSINSA-N	175.232	-0.661	30	10	ABEE	
C[C@H](CO)NC[C@H](C)/C(N)=N/O	ZINC000070605357	LEURWLMLTLAXAF-NTSWFWBYSA-N	175.232	-0.661	30	10	ABEE	
C[C@H](C/C(N)=N/O)N[C@@H](C)CO	ZINC000070605360	IMCAMRNWKIUEQZ-RITPCOANSA-N	175.232	-0.518	30	10	ABEE	
C[C@H](CO)N[C@H](C)C/C(N)=N/O	ZINC000070605362	IMCAMRNWKIUEQZ-PHDIDXHHSA-N	175.232	-0.518	30	10	ABEE	
CC[C@@H](C/C(N)=N/O)N[C@H](C)CO	ZINC000070605373	ACORXEODRCFENZ-RQJHMYQMSA-N	189.259	-0.128	30	10	ABEE	
CC[C@H](C/C(N)=N/O)N[C@H](C)CO	ZINC000070605374	ACORXEODRCFENZ-RNFRBKRXSA-N	189.259	-0.128	30	10	ABEE	
CC[C@H](N[C@H](C)CO)/C(N)=N/O	ZINC000070605377	VDEXDAGCJUQJLR-RITPCOANSA-N	175.232	-0.518	30	10	ABEE	
CC[C@@H](N[C@H](C)CO)/C(N)=N/O	ZINC000070605378	VDEXDAGCJUQJLR-PHDIDXHHSA-N	175.232	-0.518	30	10	ABEE	
C[C@@H](N[C@@H](C)CO)/C(N)=N/O	ZINC000070605385	FVIHPRZQHXKLKT-CRCLSJGQSA-N	161.205	-0.908	30	10	ABEE	
C[C@H](CO)N[C@H](C)/C(N)=N/O	ZINC000070605386	FVIHPRZQHXKLKT-RFZPGFLSSA-N	161.205	-0.908	30	10	ABEE	
C[C@H](NC/C(N)=N/O)[C@H]1CCCO1	ZINC000070605517	VAILSZQJPPTREH-NKWVEPMBSA-N	187.243	-0.110	30	10	ABEE	
C[C@@H](NC/C(N)=N/O)[C@H]1CCCO1	ZINC000070605518	VAILSZQJPPTREH-RNFRBKRXSA-N	187.243	-0.110	30	10	ABEE	
CN1CC[C@H](CNC/C(N)=N/O)C1	ZINC000070605784	CJBOILSIWCVHNH-SSDOTTSWSA-N	186.259	-0.726	30	10	ABEE	
CO[C@@H]1CCC[C@H]1NC/C(N)=N/O	ZINC000070606020	CDLFLVXTIIGTEB-RNFRBKRXSA-N	187.243	-0.110	30	10	ABEE	
CO[C@H]1CCC[C@H]1NC/C(N)=N/O	ZINC000070606021	CDLFLVXTIIGTEB-RQJHMYQMSA-N	187.243	-0.110	30	10	ABEE	
CCN(C)CCN[C@H](C)/C(N)=N/O	ZINC000070606226	WPUSIMIAARHBRA-SSDOTTSWSA-N	188.275	-0.337	30	10	ABEE	
N/C(CN[C@@H]1CCCC[C@H]1O)=N\O	ZINC000070606382	JJACOOXWAOYSBG-RNFRBKRXSA-N	187.243	-0.374	30	10	ABEE	
N/C(CN[C@H]1CCCC[C@H]1O)=N\O	ZINC000070606384	JJACOOXWAOYSBG-NKWVEPMBSA-N	187.243	-0.374	30	10	ABEE	
C[C@@H]1C[C@H]1NC/C(N)=N/O	ZINC000070606427	SSEQIQIHDCYUQN-RFZPGFLSSA-N	143.190	-0.269	30	10	ABEE	
C[C@H]1C[C@H]1NC/C(N)=N/O	ZINC000070606428	SSEQIQIHDCYUQN-CRCLSJGQSA-N	143.190	-0.269	30	10	ABEE	
C[C@H](NC[C@H](O)C1CC1)/C(N)=N/O	ZINC000070606824	BPZBYQOTHUWKDF-FSPLSTOPSA-N	187.243	-0.518	30	10	ABEE	
C[C@@H](NC[C@H](O)C1CC1)/C(N)=N/O	ZINC000070606825	BPZBYQOTHUWKDF-VDTYLAMSSA-N	187.243	-0.518	30	10	ABEE	
C[C@H](N[C@H]1CCCOC1)/C(N)=N/O	ZINC000070606858	VTEAOIVAKQIMFG-BQBZGAKWSA-N	187.243	-0.110	30	10	ABEE	
C[C@@H](N[C@H]1CCCOC1)/C(N)=N/O	ZINC000070606859	VTEAOIVAKQIMFG-RQJHMYQMSA-N	187.243	-0.110	30	10	ABEE	
C[C@H](NC[C@H]1CCOC1)/C(N)=N/O	ZINC000070607387	CZDAFGHSLUQJFO-NKWVEPMBSA-N	187.243	-0.253	30	10	ABEE	
C[C@@H](NC[C@H]1CCOC1)/C(N)=N/O	ZINC000070607388	CZDAFGHSLUQJFO-RNFRBKRXSA-N	187.243	-0.253	30	10	ABEE	
N/C(CN[C@@H]1CCN2CCC[C@H]12)=N\O	ZINC000070608244	KXSOUKQGSJBUSF-HTQZYQBOSA-N	198.270	-0.441	30	10	ABEE	
N/C(CN[C@H]1CCN2CCC[C@H]12)=N\O	ZINC000070608246	KXSOUKQGSJBUSF-JGVFFNPUSA-N	198.270	-0.441	30	10	ABEE	
C[C@@H](NC[C@H](C)N(C)C)/C(N)=N/O	ZINC000070608286	ACIUJHLAGJLUBF-NKWVEPMBSA-N	188.275	-0.339	30	10	ABEE	
C[C@H](CN[C@H](C)/C(N)=N/O)N(C)C	ZINC000070608287	ACIUJHLAGJLUBF-RNFRBKRXSA-N	188.275	-0.339	30	10	ABEE	
C[C@H](N[C@H]1CCN(C)C1)/C(N)=N/O	ZINC000070608379	OBXSTZKYCDJEMT-BQBZGAKWSA-N	186.259	-0.585	30	10	ABEE	
C[C@@H](N[C@H]1CCN(C)C1)/C(N)=N/O	ZINC000070608380	OBXSTZKYCDJEMT-RQJHMYQMSA-N	186.259	-0.585	30	10	ABEE	
COC[C@@H](C)CN[C@H](C)/C(N)=N/O	ZINC000070608407	PVCMLRITKSTGGO-NKWVEPMBSA-N	189.259	-0.007	30	10	ABEE	
COC[C@H](C)CN[C@H](C)/C(N)=N/O	ZINC000070608408	PVCMLRITKSTGGO-RNFRBKRXSA-N	189.259	-0.007	30	10	ABEE	
NNC(=O)[C@H]1[C@@H]2CC[C@@H](C2)[C@H]1N	ZINC000070620224	QYYWYDUNMOGBKU-JRTVQGFMSA-N	169.228	-0.650	30	10	ABEE	
CN1CCC[C@H]1/C(N)=N/O	ZINC000070661500	ZAIBBNMMDQEUNS-YFKPBYRVSA-N	143.190	-0.173	30	10	ABEE	
COCCN1CCC[C@H]1/C(N)=N/O	ZINC000070661502	UVIIVGXLTAQUPW-ZETCQYMHSA-N	187.243	-0.156	30	10	ABEE	
NNC(=O)C(=O)N[C@H]1C[C@@H]2CC[C@H]1C2	ZINC000070711311	STPVNVVBUZDKDF-VQVTYTSYSA-N	197.238	-0.719	30	10	ABEE	
CC[C@@](C)(CO)N[C@H](C)/C(N)=N/O	ZINC000070897833	UZMVSSRFPOGPMT-SVRRBLITSA-N	189.259	-0.128	30	10	ABEE	
CC[C@](C)(CO)N[C@H](C)/C(N)=N/O	ZINC000070897837	UZMVSSRFPOGPMT-HTRCEHHLSA-N	189.259	-0.128	30	10	ABEE	
CO[C@@H]1C=CC(=O)[C@@H](CO)O1	ZINC000071295641	NHEULIXZTZKRIB-RQJHMYQMSA-N	158.153	-0.525	30	10	ABEE	
NCCC[C@@H](/N=C(\O)CN)C(=O)O	ZINC000071755783	YVAFBBQWFHJNQU-RXMQYKEDSA-N	189.215	-0.906	30	10	ABEE	
NCCC[C@H](/N=C(\O)CN)C(=O)O	ZINC000071755784	YVAFBBQWFHJNQU-YFKPBYRVSA-N	189.215	-0.906	30	10	ABEE	
CC(=O)NNCCC#N	ZINC000071774043	YFGPJYNCAPSRRF-UHFFFAOYSA-N	127.147	-0.459	30	10	ABEE	
CCCS(=O)(=O)/N=C(\O)C(=O)O	ZINC000071781137	MELDHDFMOWWMHY-UHFFFAOYSA-N	195.196	-0.233	30	10	ABEE	
CCS(=O)(=O)/N=C(\O)C(=O)O	ZINC000071781167	WDBOTLBFMBWUGS-UHFFFAOYSA-N	181.169	-0.623	30	10	ABEE	
NNC(=O)c1nncs1	ZINC000072206961	IALWHNJBLDNPMZ-UHFFFAOYSA-N	144.159	-0.858	30	10	ABEE	
N/N=C/c1nnc2n1CCC2	ZINC000072206970	IVBZEGRUWPNOEP-XBXARRHUSA-N	151.173	-0.483	30	10	ABEE	
Cn1cc(/C=N/O)nn1	ZINC000072220882	RIALIYPLKPHCAX-GORDUTHDSA-N	126.119	-0.377	30	10	ABEE	
Cn1cc(/C=N/N)nn1	ZINC000072220883	IXHXJTMXMGSUQS-QHHAFSJGSA-N	125.135	-0.892	30	10	ABEE	
N/C(=N/O)c1ccc(CO)c(CO)c1	ZINC000072284247	ZMWGVNOEQSHNJF-UHFFFAOYSA-N	196.206	-0.234	30	10	ABEE	
NC(N)=NC(=O)c1ccccn1	ZINC000073142426	NKBRLPWZOZEKMD-UHFFFAOYSA-N	164.168	-0.505	30	10	ABEE	
O=C[C@H](O)CCOP(=O)(O)O	ZINC000073156170	NSOHCCALKVQSQB-SCSAIBSYSA-N	184.084	-0.954	30	10	ABEE	
O=C1OC(=O)[C@H]2[C@H]1[C@H]1C=C[C@@H]2C1=O	ZINC000073258784	NUEDAEIARMYOSI-JGWLITMVSA-N	178.143	-0.313	30	10	ABEE	
O=C1OC(=O)[C@@H]2[C@H]1[C@H]1C=C[C@@H]2C1=O	ZINC000073258786	NUEDAEIARMYOSI-FBXFSONDSA-N	178.143	-0.313	30	10	ABEE	
O=CCC[C@H](O)CC=O	ZINC000077911204	GATFIJYWERJMGU-LURJTMIESA-N	130.143	-0.085	30	10	ABEE	
O=CCC[C@@H](O)CC=O	ZINC000077911210	GATFIJYWERJMGU-ZCFIWIBFSA-N	130.143	-0.085	30	10	ABEE	
CCN(CC)OC(=O)C(=O)O	ZINC000077948410	BTLGPYKGLUPXHF-UHFFFAOYSA-N	161.157	-0.129	30	10	ABEE	
CC(=O)NCC(=O)[C@@H](C)CC=O	ZINC000077951961	XXKNPVRTXIGLJS-LURJTMIESA-N	171.196	-0.083	30	10	ABEE	
CC(=O)NCC(=O)[C@H](C)CC=O	ZINC000077951963	XXKNPVRTXIGLJS-ZCFIWIBFSA-N	171.196	-0.083	30	10	ABEE	
