smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cn1cncc1C/C(N)=N/O	ZINC000107326229	VITBXSJRVVJMNG-UHFFFAOYSA-N	154.173	-0.291	30	1	ABEF	
N/C(Cc1cc(O)[nH]n1)=N\O	ZINC000107326616	SRTAMJTUNHUWTR-UHFFFAOYSA-N	156.145	-0.596	30	1	ABEF	
Cn1nc(/C(N)=N\O)cc1O	ZINC000107326618	PKZRUBFWCQQULZ-UHFFFAOYSA-N	156.145	-0.780	30	1	ABEF	
O=CCc1cn2ccnnc2n1	ZINC000107327458	SGYYNXAXBJCOMI-UHFFFAOYSA-N	162.152	-0.134	30	1	ABEF	
O=CCc1cn2nccnc2n1	ZINC000107327465	BREHBHLTFVFKQD-UHFFFAOYSA-N	162.152	-0.134	30	1	ABEF	
O=CCc1cnc2nccnn12	ZINC000107327467	LKSKFQPDPFXUHG-UHFFFAOYSA-N	162.152	-0.134	30	1	ABEF	
O=CCc1cnc2nnccn12	ZINC000107327472	UUZSCFFHVNTHGR-UHFFFAOYSA-N	162.152	-0.134	30	1	ABEF	
O=CCc1cccc2nnnn21	ZINC000107327484	NZXGCZSIKKMXDY-UHFFFAOYSA-N	162.152	-0.134	30	1	ABEF	
O=CCc1ccc2nnnn2c1	ZINC000107327486	AFOCFLJAHLMOJQ-UHFFFAOYSA-N	162.152	-0.134	30	1	ABEF	
O=CCc1ccn2nnnc2c1	ZINC000107327488	SYUFCOZOGJLXKO-UHFFFAOYSA-N	162.152	-0.134	30	1	ABEF	
O=CCc1cccn2nnnc12	ZINC000107327490	SHTHOTZQZZXQQV-UHFFFAOYSA-N	162.152	-0.134	30	1	ABEF	
Cc1ncc(CC=O)c(=O)n1C	ZINC000107329429	GOCKLLDGVKFFLT-UHFFFAOYSA-N	166.180	-0.170	30	1	ABEF	
CN1CCn2nnc(CC=O)c21	ZINC000107329539	SXYBKMOHXDWZPD-UHFFFAOYSA-N	166.184	-0.531	30	1	ABEF	
COC(=O)c1n[nH]cc1CC=O	ZINC000107330747	KOCFEJUWZUVYTQ-UHFFFAOYSA-N	168.152	-0.062	30	1	ABEF	
Cn1cc(CC=O)c(C(=O)O)n1	ZINC000107330755	OELPZPJPSCGAOH-UHFFFAOYSA-N	168.152	-0.140	30	1	ABEF	
COc1ncncc1/C(N)=N\O	ZINC000107330884	DEQOAHGMZSGESA-UHFFFAOYSA-N	168.156	-0.420	30	1	ABEF	
COc1cncnc1/C(N)=N\O	ZINC000107330890	CZEYRAFGUOKBPM-UHFFFAOYSA-N	168.156	-0.420	30	1	ABEF	
N/C(Cc1ncncc1O)=N\O	ZINC000107330893	BQYBQQDZNXIXDV-UHFFFAOYSA-N	168.156	-0.529	30	1	ABEF	
Cc1ncc(O)c(/C(N)=N\O)n1	ZINC000107330898	ALBKBRLAXFRESB-UHFFFAOYSA-N	168.156	-0.415	30	1	ABEF	
N/C(=N/O)c1occc(=O)c1O	ZINC000107332228	BDHMEIMXVQJOGG-UHFFFAOYSA-N	170.124	-0.560	30	1	ABEF	
N/C(=N/O)c1cc(=O)c(O)co1	ZINC000107332233	NVMWCIJBAGKWPJ-UHFFFAOYSA-N	170.124	-0.560	30	1	ABEF	
CN(C)c1ncc(/C(N)=N\O)o1	ZINC000107332333	KTKBWWOSOZLSMB-UHFFFAOYSA-N	170.172	-0.165	30	1	ABEF	
CN(C)c1nc(/C(N)=N\O)co1	ZINC000107332336	UDPDBMPXFKLSQT-UHFFFAOYSA-N	170.172	-0.165	30	1	ABEF	
CCn1nc(/C(N)=N\O)cc1O	ZINC000107332400	HBVJMKCRUQNPNF-UHFFFAOYSA-N	170.172	-0.297	30	1	ABEF	
Cn1nc(C/C(N)=N/O)cc1O	ZINC000107332406	LTVKYFOBLBDUNB-UHFFFAOYSA-N	170.172	-0.585	30	1	ABEF	
N/C(=N/O)c1cc2cncnn2c1	ZINC000107335873	QZGTUSRKLFFHEV-UHFFFAOYSA-N	177.167	-0.176	30	1	ABEF	
N/C(=N/O)c1cc2ncccn2n1	ZINC000107335880	NDUWIKWVKAJUGM-UHFFFAOYSA-N	177.167	-0.176	30	1	ABEF	
N/C(=N/O)c1cnn2ccncc12	ZINC000107335887	WNTKCPSIWCDZCJ-UHFFFAOYSA-N	177.167	-0.176	30	1	ABEF	
N/C(=N/O)c1ccc2cncnn21	ZINC000107335892	SBBDOWUILONOGK-UHFFFAOYSA-N	177.167	-0.176	30	1	ABEF	
N/C(=N/O)c1cccc2cnnn21	ZINC000107335898	DYOWDWSPMVABSQ-UHFFFAOYSA-N	177.167	-0.176	30	1	ABEF	
N/C(=N/O)c1ccc2cnnn2c1	ZINC000107335900	GWOMFVZVNOVKCC-UHFFFAOYSA-N	177.167	-0.176	30	1	ABEF	
N/C(=N/O)c1ccn2nncc2c1	ZINC000107335902	BGFWEQNSORTWMP-UHFFFAOYSA-N	177.167	-0.176	30	1	ABEF	
N/C(=N/O)c1cccn2nncc12	ZINC000107335905	MHAPSFMIYQUVIT-UHFFFAOYSA-N	177.167	-0.176	30	1	ABEF	
N/C(=N/O)c1cccc2ncnn21	ZINC000107335909	XLWTXKVIKXRYQC-UHFFFAOYSA-N	177.167	-0.176	30	1	ABEF	
N/C(=N/O)c1ccn2ncnc2c1	ZINC000107335913	ATCXBBLOZCOAEE-UHFFFAOYSA-N	177.167	-0.176	30	1	ABEF	
N/C(=N/O)c1cccn2ncnc12	ZINC000107335916	BCEUCTBAFCINJH-UHFFFAOYSA-N	177.167	-0.176	30	1	ABEF	
N/C(=N/O)c1ccc2nncn2c1	ZINC000107335922	UYYIDDTWYPKMRK-UHFFFAOYSA-N	177.167	-0.176	30	1	ABEF	
N/C(=N/O)c1cccc2nncn21	ZINC000107335924	KCGAQCPBBWAOAG-UHFFFAOYSA-N	177.167	-0.176	30	1	ABEF	
N#CC1=C(N)C2=C(O)NN[C@@H]2N=C1	ZINC000107335925	ROWVDDDGYJUUQL-LURJTMIESA-N	177.167	-0.989	30	1	ABEF	
N#CC1=C(N)C2=C(O)NN[C@H]2N=C1	ZINC000107335928	ROWVDDDGYJUUQL-ZCFIWIBFSA-N	177.167	-0.989	30	1	ABEF	
NCC(=O)C1=C[C@H]2NN=C[C@@H]2C=C1	ZINC000107336210	UFKPTAOJMSJBLH-JGVFFNPUSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=C[C@@H]2NN=C[C@@H]2C=C1	ZINC000107336212	UFKPTAOJMSJBLH-YUMQZZPRSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=C[C@H]2NN=C[C@H]2C=C1	ZINC000107336213	UFKPTAOJMSJBLH-HTQZYQBOSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=C[C@@H]2NN=C[C@H]2C=C1	ZINC000107336215	UFKPTAOJMSJBLH-SFYZADRCSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=CC=C[C@H]2NN=C[C@@H]12	ZINC000107336218	FSRBFXGWLBEJFC-JGVFFNPUSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=CC=C[C@@H]2NN=C[C@@H]12	ZINC000107336220	FSRBFXGWLBEJFC-YUMQZZPRSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=CC=C[C@H]2NN=C[C@H]12	ZINC000107336223	FSRBFXGWLBEJFC-HTQZYQBOSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=CC=C[C@@H]2NN=C[C@H]12	ZINC000107336226	FSRBFXGWLBEJFC-SFYZADRCSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=C[C@H]2C=NN[C@@H]2C=C1	ZINC000107336229	LYYBAXXBUCDRFR-JGVFFNPUSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=C[C@@H]2C=NN[C@@H]2C=C1	ZINC000107336231	LYYBAXXBUCDRFR-HTQZYQBOSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=C[C@H]2C=NN[C@H]2C=C1	ZINC000107336233	LYYBAXXBUCDRFR-YUMQZZPRSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=C[C@@H]2C=NN[C@H]2C=C1	ZINC000107336235	LYYBAXXBUCDRFR-SFYZADRCSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=CC=C[C@@H]2C=NN[C@H]12	ZINC000107336237	WNTLKFWIFKYZBX-MUWHJKNJSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=CC=C[C@H]2C=NN[C@H]12	ZINC000107336238	WNTLKFWIFKYZBX-RCOVLWMOSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=CC=C[C@@H]2C=NN[C@@H]12	ZINC000107336240	WNTLKFWIFKYZBX-HZGVNTEJSA-N	177.207	-0.416	30	1	ABEF	
NCC(=O)C1=CC=C[C@H]2C=NN[C@@H]12	ZINC000107336242	WNTLKFWIFKYZBX-IMTBSYHQSA-N	177.207	-0.416	30	1	ABEF	
N/C(=N/O)c1cn2ccnnc2n1	ZINC000107336699	GDFRRSOXCUDDAS-UHFFFAOYSA-N	178.155	-0.781	30	1	ABEF	
N/C(=N/O)c1cn2nccnc2n1	ZINC000107336702	SKMAHFBSRUUPLU-UHFFFAOYSA-N	178.155	-0.781	30	1	ABEF	
N/C(=N/O)c1cnc2nccnn12	ZINC000107336707	BSFYHWJZODGDGI-UHFFFAOYSA-N	178.155	-0.781	30	1	ABEF	
N/C(=N/O)c1cnc2nnccn12	ZINC000107336710	BDFOLZBTLSYQRO-UHFFFAOYSA-N	178.155	-0.781	30	1	ABEF	
N/C(=N/O)c1cccc2nnnn21	ZINC000107336715	XJGIIUPCVABQPM-UHFFFAOYSA-N	178.155	-0.781	30	1	ABEF	
N/C(=N/O)c1ccc2nnnn2c1	ZINC000107336717	HRPBAOMDRALCIT-UHFFFAOYSA-N	178.155	-0.781	30	1	ABEF	
N/C(=N/O)c1ccn2nnnc2c1	ZINC000107336721	DPDWHQMANLLMEH-UHFFFAOYSA-N	178.155	-0.781	30	1	ABEF	
N/C(=N/O)c1cccn2nnnc12	ZINC000107336723	RFJWSWBSVDNYKI-UHFFFAOYSA-N	178.155	-0.781	30	1	ABEF	
CN(C)c1cc(/C(N)=N\O)ncn1	ZINC000107341990	ZBYVFJBIGLAVMZ-UHFFFAOYSA-N	181.199	-0.363	30	1	ABEF	
CN(C)c1ncncc1/C(N)=N\O	ZINC000107341992	YFHVAXZLKGCPHJ-UHFFFAOYSA-N	181.199	-0.363	30	1	ABEF	
COC(=O)c1nn(C)cc1CC=O	ZINC000107343717	FBZTVQOSLHWWEZ-UHFFFAOYSA-N	182.179	-0.052	30	1	ABEF	
Cc1ncc(/C(N)=N\O)c(=O)n1C	ZINC000107343848	NGDZHKUUTILSMJ-UHFFFAOYSA-N	182.183	-0.817	30	1	ABEF	
Cn1cncc(C/C(N)=N/O)c1=O	ZINC000107343854	GHZQLGNZLGFBGL-UHFFFAOYSA-N	182.183	-0.931	30	1	ABEF	
COc1nccc(C/C(N)=N/O)n1	ZINC000107343953	JUYXIBLAZOUYAZ-UHFFFAOYSA-N	182.183	-0.226	30	1	ABEF	
COc1ncc(/C(N)=N\O)c(C)n1	ZINC000107343956	HOMCWTVDKIOTGP-UHFFFAOYSA-N	182.183	-0.112	30	1	ABEF	
CCOc1ncc(/C(N)=N\O)cn1	ZINC000107343960	MXKINRWFJUOVBP-UHFFFAOYSA-N	182.183	-0.030	30	1	ABEF	
COc1cc(/C(N)=N\O)nc(C)n1	ZINC000107343964	CGFDZXUPQQDDBV-UHFFFAOYSA-N	182.183	-0.112	30	1	ABEF	
CCOc1cc(/C(N)=N\O)ncn1	ZINC000107343967	GNGLUIGBEIGHBS-UHFFFAOYSA-N	182.183	-0.030	30	1	ABEF	
COc1cc(C/C(N)=N/O)ncn1	ZINC000107343972	OZWNDZGOEHSEHR-UHFFFAOYSA-N	182.183	-0.226	30	1	ABEF	
COc1nc(C)ncc1/C(N)=N\O	ZINC000107343975	ZGBMRKUENKQCNE-UHFFFAOYSA-N	182.183	-0.112	30	1	ABEF	
CCOc1ncncc1/C(N)=N\O	ZINC000107343978	PDPWDGCWMJIWQP-UHFFFAOYSA-N	182.183	-0.030	30	1	ABEF	
COc1ncncc1C/C(N)=N/O	ZINC000107343982	PNRHTEITQLQEIZ-UHFFFAOYSA-N	182.183	-0.226	30	1	ABEF	
COc1ncc(C/C(N)=N/O)cn1	ZINC000107343985	ZJXJDNSEGOEAKA-UHFFFAOYSA-N	182.183	-0.226	30	1	ABEF	
COc1ccc(C/C(N)=N/O)nn1	ZINC000107343989	OCBHPQBDHQAYMB-UHFFFAOYSA-N	182.183	-0.226	30	1	ABEF	
COc1cncnc1C/C(N)=N/O	ZINC000107343993	NLUSBILEIYWXNY-UHFFFAOYSA-N	182.183	-0.226	30	1	ABEF	
COc1cnc(C)nc1/C(N)=N\O	ZINC000107343996	JINJAYDDMIFPHS-UHFFFAOYSA-N	182.183	-0.112	30	1	ABEF	
Cc1ncc(O)c(C/C(N)=N/O)n1	ZINC000107343999	XYHKRPQLKGZRTM-UHFFFAOYSA-N	182.183	-0.220	30	1	ABEF	
COc1c(=O)ccoc1/C(N)=N\O	ZINC000107346252	BVUDZVCXFVRMFC-UHFFFAOYSA-N	184.151	-0.257	30	1	ABEF	
N/C(Cc1occc(=O)c1O)=N\O	ZINC000107346255	SHGOBWLQBREUOY-UHFFFAOYSA-N	184.151	-0.366	30	1	ABEF	
N/C(Cc1cc(=O)c(O)co1)=N\O	ZINC000107346272	BBHAWBDKPVAILT-UHFFFAOYSA-N	184.151	-0.366	30	1	ABEF	
COC(=O)c1n[nH]cc1/C(N)=N\O	ZINC000107346277	NXYLMXBNVGFXBA-UHFFFAOYSA-N	184.155	-0.709	30	1	ABEF	
Cn1cc(/C(N)=N\O)c(C(=O)O)n1	ZINC000107346282	VGJXAPRNQMJAMJ-UHFFFAOYSA-N	184.155	-0.787	30	1	ABEF	
CC1=NOC(=O)[C@@H]1[C@@H]1COCCN1	ZINC000107346323	MLNZJYCSAJRBDL-BQBZGAKWSA-N	184.195	-0.476	30	1	ABEF	
CC1=NOC(=O)[C@H]1[C@@H]1COCCN1	ZINC000107346324	MLNZJYCSAJRBDL-NKWVEPMBSA-N	184.195	-0.476	30	1	ABEF	
CC1=NOC(=O)[C@@H]1[C@H]1COCCN1	ZINC000107346326	MLNZJYCSAJRBDL-RQJHMYQMSA-N	184.195	-0.476	30	1	ABEF	
CC1=NOC(=O)[C@H]1[C@H]1COCCN1	ZINC000107346328	MLNZJYCSAJRBDL-RNFRBKRXSA-N	184.195	-0.476	30	1	ABEF	
Cn1cc(C/C(N)=N/O)n(C)c1=O	ZINC000107346502	FMHNOHJJSMVGKU-UHFFFAOYSA-N	184.199	-0.987	30	1	ABEF	
CCn1nc(C/C(N)=N/O)cc1O	ZINC000107346563	CKTHGVFPDQGVQN-UHFFFAOYSA-N	184.199	-0.103	30	1	ABEF	
Cn1cnc([N+](=O)[O-])c1/C(N)=N\O	ZINC000107347004	TVQQDOINBOBRMC-UHFFFAOYSA-N	185.143	-0.577	30	1	ABEF	
Cc1noc(/C(N)=N\O)c1[N+](=O)[O-]	ZINC000107347692	AKKVPDAEOZVSKM-UHFFFAOYSA-N	186.127	-0.014	30	1	ABEF	
CS(=O)(=O)n1cncc1CC=O	ZINC000107348781	YTWNOPXSIKFPMG-UHFFFAOYSA-N	188.208	-0.568	30	1	ABEF	
CN1N[C@H]2N=CC(C#N)=C(N)C2=C1O	ZINC000107352685	CUAMSTWPUHSIQW-SSDOTTSWSA-N	191.194	-0.647	30	1	ABEF	
CN1N[C@@H]2N=CC(C#N)=C(N)C2=C1O	ZINC000107352688	CUAMSTWPUHSIQW-ZETCQYMHSA-N	191.194	-0.647	30	1	ABEF	
CN1N=C[C@H]2C=CC(C(=O)CN)=C[C@H]21	ZINC000107353141	CDBNTGPNVGYPCF-RKDXNWHRSA-N	191.234	-0.074	30	1	ABEF	
CN1N=C[C@H]2C=CC(C(=O)CN)=C[C@@H]21	ZINC000107353144	CDBNTGPNVGYPCF-BDAKNGLRSA-N	191.234	-0.074	30	1	ABEF	
CN1N=C[C@H]2C(C(=O)CN)=CC=C[C@H]21	ZINC000107353148	KLTDHMFVGRHXLE-DTWKUNHWSA-N	191.234	-0.074	30	1	ABEF	
CN1N=C[C@H]2C(C(=O)CN)=CC=C[C@@H]21	ZINC000107353151	KLTDHMFVGRHXLE-IUCAKERBSA-N	191.234	-0.074	30	1	ABEF	
CN1N=C[C@H]2C=C(C(=O)CN)C=C[C@H]21	ZINC000107353154	BBEIIUCAESYXMI-RKDXNWHRSA-N	191.234	-0.074	30	1	ABEF	
CN1N=C[C@H]2C=C(C(=O)CN)C=C[C@@H]21	ZINC000107353157	BBEIIUCAESYXMI-BDAKNGLRSA-N	191.234	-0.074	30	1	ABEF	
CN1N=C[C@@H]2C=CC=C(C(=O)CN)[C@@H]21	ZINC000107353160	HDJDDYHAVDSTAV-OIBJUYFYSA-N	191.234	-0.074	30	1	ABEF	
CN1N=C[C@@H]2C=CC=C(C(=O)CN)[C@H]21	ZINC000107353163	HDJDDYHAVDSTAV-XVKPBYJWSA-N	191.234	-0.074	30	1	ABEF	
N/C(=N/O)c1cccc2[nH]c(=O)[nH]c21	ZINC000107354006	RUVWNNKLFLBLFT-UHFFFAOYSA-N	192.178	-0.049	30	1	ABEF	
COc1ncc2ncc(CC=O)n2n1	ZINC000107354101	NBADPXGDQIWEOA-UHFFFAOYSA-N	192.178	-0.126	30	1	ABEF	
N/C(Cc1cn2ccnnc2n1)=N\O	ZINC000107354205	NHNIVCGIRQJISY-UHFFFAOYSA-N	192.182	-0.587	30	1	ABEF	
N/C(Cc1cn2nccnc2n1)=N\O	ZINC000107354207	YKCFPWHJHJHYBV-UHFFFAOYSA-N	192.182	-0.587	30	1	ABEF	
N/C(Cc1cnc2nccnn12)=N\O	ZINC000107354209	OBHZAUGXNMFMEX-UHFFFAOYSA-N	192.182	-0.587	30	1	ABEF	
N/C(Cc1cnc2nnccn12)=N\O	ZINC000107354211	NEYNJPDCZQUNAP-UHFFFAOYSA-N	192.182	-0.587	30	1	ABEF	
N/C(Cc1cccc2nnnn21)=N\O	ZINC000107354212	WCZGCPHHXMDZQN-UHFFFAOYSA-N	192.182	-0.587	30	1	ABEF	
N/C(Cc1ccc2nnnn2c1)=N\O	ZINC000107354215	VTXMUPXJOZQXJQ-UHFFFAOYSA-N	192.182	-0.587	30	1	ABEF	
N/C(Cc1ccn2nnnc2c1)=N\O	ZINC000107354216	KWGKCOTZLPNPSM-UHFFFAOYSA-N	192.182	-0.587	30	1	ABEF	
N/C(Cc1cccn2nnnc12)=N\O	ZINC000107354219	YXTBOTLTVCWRIJ-UHFFFAOYSA-N	192.182	-0.587	30	1	ABEF	
N/C(=N/O)c1cncn(C2CC2)c1=O	ZINC000107358566	KRVMUBAKXSATJU-UHFFFAOYSA-N	194.194	-0.327	30	1	ABEF	
