smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
N#Cc1cccc(-c2cncc(N)n2)n1	ZINC000072204204	ZKZKMBMZHOPRRD-UHFFFAOYSA-N	197.201	0.992	0	50	ACAA	
N#Cc1cccc(-c2cncc(=O)[nH]2)n1	ZINC000072204205	ABAJCSNPMQRSIU-UHFFFAOYSA-N	198.185	0.704	0	50	ACAA	
N#Cc1cccc(-c2cnc(N)cn2)n1	ZINC000072204210	YHBFOKVOOVXMNY-UHFFFAOYSA-N	197.201	0.992	0	50	ACAA	
N#Cc1cccc(-c2c[nH]c(=O)cn2)n1	ZINC000072204211	AJALERBMPUGRMT-UHFFFAOYSA-N	198.185	0.704	0	50	ACAA	
N#Cc1cccc(-c2ccc(N)nn2)n1	ZINC000072204221	NVWVLWVFMWUPCE-UHFFFAOYSA-N	197.201	0.992	0	50	ACAA	
N#Cc1cccc(-c2ccnc(N)n2)n1	ZINC000072204226	HNZAYEHEJZPEMK-UHFFFAOYSA-N	197.201	0.992	0	50	ACAA	
N#Cc1cccc(-c2nccc(N)n2)n1	ZINC000072204229	MQGGQHYHZFEGFZ-UHFFFAOYSA-N	197.201	0.992	0	50	ACAA	
N#Cc1ccc(-c2nccc(N)n2)nc1	ZINC000072204321	PHCFTZOXDHAWEE-UHFFFAOYSA-N	197.201	0.992	0	50	ACAA	
N#Cc1ccc(-c2ccnc(N)n2)nc1	ZINC000072204324	GJRAHWAHUOEQAL-UHFFFAOYSA-N	197.201	0.992	0	50	ACAA	
N#Cc1ccc(-c2ccc(N)nn2)nc1	ZINC000072204329	GCYVNROKTYRXLM-UHFFFAOYSA-N	197.201	0.992	0	50	ACAA	
N#Cc1ccc(-c2c[nH]c(=O)cn2)nc1	ZINC000072204339	XBPQZJODTGSJDQ-UHFFFAOYSA-N	198.185	0.704	0	50	ACAA	
N#Cc1ccc(-c2cnc(N)cn2)nc1	ZINC000072204340	PYWHSKIBCIRNDC-UHFFFAOYSA-N	197.201	0.992	0	50	ACAA	
N#Cc1ccc(-c2cncc(=O)[nH]2)nc1	ZINC000072204344	ARVNHPUGNIGDRQ-UHFFFAOYSA-N	198.185	0.704	0	50	ACAA	
N#Cc1ccc(-c2cncc(N)n2)nc1	ZINC000072204345	IVMXXSUCPVBRCC-UHFFFAOYSA-N	197.201	0.992	0	50	ACAA	
Nc1ccnc(-c2cncc(N)n2)c1	ZINC000072204391	ZRKJANPWKVJUHG-UHFFFAOYSA-N	187.206	0.703	0	50	ACAA	
Nc1ccnc(-c2cncc(O)n2)c1	ZINC000072204392	ONWMVLHNWOQJAZ-UHFFFAOYSA-N	188.190	0.826	0	50	ACAA	
N#Cc1cncc(-c2cc(N)ccn2)n1	ZINC000072204393	WKKVAPYWDSZAAI-UHFFFAOYSA-N	197.201	0.992	0	50	ACAA	
Nc1ccnc(-c2cnc(N)cn2)c1	ZINC000072204396	SKERDGQFKTWLNR-UHFFFAOYSA-N	187.206	0.703	0	50	ACAA	
Nc1ccnc(-c2cnc(O)cn2)c1	ZINC000072204397	BGPJDKJXGSAQSU-UHFFFAOYSA-N	188.190	0.826	0	50	ACAA	
N#Cc1cnc(-c2cc(N)ccn2)cn1	ZINC000072204398	DPEXFIGDVHZVCW-UHFFFAOYSA-N	197.201	0.992	0	50	ACAA	
Nc1ccnc(-c2ccc(N)nn2)c1	ZINC000072204407	MQDDSXZUCXVSPJ-UHFFFAOYSA-N	187.206	0.703	0	50	ACAA	
Nc1ccnc(-c2ccnc(N)n2)c1	ZINC000072204412	UGVMYQXKEQXUDM-UHFFFAOYSA-N	187.206	0.703	0	50	ACAA	
Nc1ccnc(-c2nccc(N)n2)c1	ZINC000072204415	MIGPLWBAIPQPOI-UHFFFAOYSA-N	187.206	0.703	0	50	ACAA	
N#Cc1nc(N)cs1	ZINC000072204572	LZQKWRVCCWNAJU-UHFFFAOYSA-N	125.156	0.597	0	50	ACAA	
Nc1nc(-c2cnc(N)nc2)cs1	ZINC000072204579	CCGOWPKOUCAIKC-UHFFFAOYSA-N	193.235	0.765	0	50	ACAA	
