smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(C)(C)C1=NC(N)=NC1	ZINC000103589019	UEMZBUCMABKRJE-UHFFFAOYSA-N	139.202	0.802	0	40	ACAB	
O=C1CC[C@H]2C=NN=C2C1	ZINC000103589338	AAHDPVSLZNFQOE-YFKPBYRVSA-N	136.154	0.796	0	40	ACAB	
C1=N[C@H](C2CCNCC2)C=N1	ZINC000103590299	KMJIRYRXHLLNAE-QMMMGPOBSA-N	151.213	0.467	0	40	ACAB	
C1=N[C@@H](C2CCNCC2)C=N1	ZINC000103590303	KMJIRYRXHLLNAE-MRVPVSSYSA-N	151.213	0.467	0	40	ACAB	
Cc1cc2ncc(C(=O)O)c(O)n2n1	ZINC000103591310	CYWMDGLKMSQVMR-UHFFFAOYSA-N	193.162	0.442	0	40	ACAB	
O=[N+]([O-])[C@H]1C=NC2=NC=NC2=C1	ZINC000103591445	IHVCPPHDIKGYQB-SCSAIBSYSA-N	164.124	0.040	0	40	ACAB	
O=[N+]([O-])[C@@H]1C=NC2=NC=NC2=C1	ZINC000103591452	IHVCPPHDIKGYQB-BYPYZUCNSA-N	164.124	0.040	0	40	ACAB	
CC(=O)[C@H]1C(N)=CN=C1C	ZINC000103592353	IPKNEAXSIWWKJH-ZETCQYMHSA-N	138.170	0.466	0	40	ACAB	
CC(=O)[C@@H]1C(N)=CN=C1C	ZINC000103592356	IPKNEAXSIWWKJH-SSDOTTSWSA-N	138.170	0.466	0	40	ACAB	
CC1=NC(=O)NC(=O)[C@@H]1C	ZINC000103598273	UNWFRHOXJBTDAH-GSVOUGTGSA-N	140.142	0.333	0	40	ACAB	
CC1=NC(=O)NC(=O)[C@H]1C	ZINC000103598277	UNWFRHOXJBTDAH-VKHMYHEASA-N	140.142	0.333	0	40	ACAB	
ClC1=N[C@@H]2CCOCC2=N1	ZINC000103598354	PTOGWOXOQFXSEU-SCSAIBSYSA-N	158.588	0.825	0	40	ACAB	
ClC1=N[C@H]2CCOCC2=N1	ZINC000103598357	PTOGWOXOQFXSEU-BYPYZUCNSA-N	158.588	0.825	0	40	ACAB	
O=C(O)c1cc(O)cc(O)n1	ZINC000103600641	XLVJKDXPBUHZLA-UHFFFAOYSA-N	155.109	0.191	0	40	ACAB	
CC(C)(N)CC1=NC=NC1	ZINC000103601429	ZOTHMYIZWDBJQG-UHFFFAOYSA-N	139.202	0.597	0	40	ACAB	
C[C@@H](N)CC1=NC=NC1	ZINC000103601648	HUBPDEDIBMLBDE-RXMQYKEDSA-N	125.175	0.207	0	40	ACAB	
C[C@H](N)CC1=NC=NC1	ZINC000103601652	HUBPDEDIBMLBDE-YFKPBYRVSA-N	125.175	0.207	0	40	ACAB	
OCC1=NC(c2ccccc2)=NC1	ZINC000103603275	OUJNYUNBIFFVBM-UHFFFAOYSA-N	174.203	0.880	0	40	ACAB	
CC[C@@H]1C=NC(=O)NC1=O	ZINC000103604653	XRPSAWUREIUTBI-SCSAIBSYSA-N	140.142	0.333	0	40	ACAB	
