smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=C(O)/C=C\NC1CC1	ZINC000110101782	RMBZGFRPRFOSCD-ARJAWSKDSA-N	127.143	0.337	0	30	ACAC	
COC(=O)[C@@H]1C(=O)[C@H]2C=C[C@]1(C)O2	ZINC000110219364	QYSBLDMBACXAQP-JHEQGTHGSA-N	182.175	0.072	0	30	ACAC	
COC(=O)[C@@H]1C(=O)[C@@H]2C=C[C@]1(C)O2	ZINC000110219368	QYSBLDMBACXAQP-WATHFIQWSA-N	182.175	0.072	0	30	ACAC	
O=[N+]([O-])c1cc[n+](O)cc1	ZINC000111084178	JJADLNQMXAFVCU-UHFFFAOYSA-N	141.106	0.120	0	30	ACAC	
C[C@]12NC=CC([N+](=O)[O-])=C1O2	ZINC000113465332	TTXSELYRLBRFNH-ZCFIWIBFSA-N	154.125	0.338	0	30	ACAC	
C[C@@]12NC=CC([N+](=O)[O-])=C1O2	ZINC000113465333	TTXSELYRLBRFNH-LURJTMIESA-N	154.125	0.338	0	30	ACAC	
C[C@]12OC1=NC=C[C@H]2[N+](=O)[O-]	ZINC000113465380	AJWQBQVLPADOOF-INEUFUBQSA-N	154.125	0.346	0	30	ACAC	
C[C@@]12OC1=NC=C[C@H]2[N+](=O)[O-]	ZINC000113465382	AJWQBQVLPADOOF-XINAWCOVSA-N	154.125	0.346	0	30	ACAC	
C[C@]12OC1=NC=C[C@@H]2[N+](=O)[O-]	ZINC000113465384	AJWQBQVLPADOOF-UJURSFKZSA-N	154.125	0.346	0	30	ACAC	
C[C@@]12OC1=NC=C[C@@H]2[N+](=O)[O-]	ZINC000113465386	AJWQBQVLPADOOF-NJGYIYPDSA-N	154.125	0.346	0	30	ACAC	
C#CCCC(=O)N1CCC(O)CC1	ZINC000113465968	GNLVGSPNLZRXGD-UHFFFAOYSA-N	181.235	0.383	0	30	ACAC	
C#CCCN1CCN(CCOC)CC1	ZINC000113465999	DVUBPAFDXHPAQI-UHFFFAOYSA-N	196.294	0.274	0	30	ACAC	
CCC(=O)c1cnc(O)nc1O	ZINC000113466072	PKFFPKQOJWTEAJ-UHFFFAOYSA-N	168.152	0.481	0	30	ACAC	
