smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C#C[C@@H](C)NC(=O)CCOCCC	ZINC000167029649	VPSPGJODZNDJAR-SECBINFHSA-N	183.251	0.941	0	20	ACAD	
CCOC(C)(C)CNC(=O)[C@@H](C)N	ZINC000167030615	BAZJMBDPAALQSB-SSDOTTSWSA-N	188.271	0.265	0	20	ACAD	
CO[C@@H](C)CN[C@@H](C)C(=O)N(C)C	ZINC000167030645	NBEAPMBFOKAQIS-YUMQZZPRSA-N	188.271	0.088	0	20	ACAD	
CCOC(C)(C)CNC(=O)[C@H](C)N	ZINC000167030733	BAZJMBDPAALQSB-ZETCQYMHSA-N	188.271	0.265	0	20	ACAD	
CO[C@H](C)CN[C@@H](C)C(=O)N(C)C	ZINC000167030755	NBEAPMBFOKAQIS-SFYZADRCSA-N	188.271	0.088	0	20	ACAD	
CO[C@@H](C)CN[C@H](C)C(=O)N(C)C	ZINC000167030852	NBEAPMBFOKAQIS-JGVFFNPUSA-N	188.271	0.088	0	20	ACAD	
CO[C@H](C)CN[C@H](C)C(=O)N(C)C	ZINC000167030966	NBEAPMBFOKAQIS-HTQZYQBOSA-N	188.271	0.088	0	20	ACAD	
CC(=O)CC(=O)NC[C@H]1C[C@H]1C	ZINC000167031167	XRODPBSMGKWYQN-HTRCEHHLSA-N	169.224	0.738	0	20	ACAD	
CC(=O)CC(=O)NC[C@H]1C[C@@H]1C	ZINC000167031261	XRODPBSMGKWYQN-POYBYMJQSA-N	169.224	0.738	0	20	ACAD	
CCOCCNc1ncc(OC)cn1	ZINC000167031306	AVFYKGORXLIZBP-UHFFFAOYSA-N	197.238	0.934	0	20	ACAD	
CC(=O)CC(=O)NC[C@@H]1C[C@H]1C	ZINC000167031365	XRODPBSMGKWYQN-SVRRBLITSA-N	169.224	0.738	0	20	ACAD	
CC(=O)CC(=O)NC[C@@H]1C[C@@H]1C	ZINC000167031481	XRODPBSMGKWYQN-XPUUQOCRSA-N	169.224	0.738	0	20	ACAD	
C#C[C@H](C)NC(=O)c1ccc(=O)oc1	ZINC000167032440	IFDPCWDCNQLPIX-ZETCQYMHSA-N	191.186	0.391	0	20	ACAD	
C#C[C@@H](C)NC(=O)c1ccc(=O)oc1	ZINC000167032548	IFDPCWDCNQLPIX-SSDOTTSWSA-N	191.186	0.391	0	20	ACAD	
C#C[C@H](C)NC(=O)Cc1ccccn1	ZINC000167033348	IBTYUANKAQRCCU-VIFPVBQESA-N	188.230	0.762	0	20	ACAD	
C#C[C@@H](C)NC(=O)Cc1ccccn1	ZINC000167033455	IBTYUANKAQRCCU-SECBINFHSA-N	188.230	0.762	0	20	ACAD	
C#C[C@H](C)NC(=O)c1ocnc1C	ZINC000167034260	XTEHMIHPPCEUKT-LURJTMIESA-N	178.191	0.735	0	20	ACAD	
C#C[C@@H](C)NC(=O)c1ocnc1C	ZINC000167034364	XTEHMIHPPCEUKT-ZCFIWIBFSA-N	178.191	0.735	0	20	ACAD	
C#C[C@H](C)NC(=O)CC=C	ZINC000167034908	DJUYYVAYONAXMF-ZETCQYMHSA-N	137.182	0.700	0	20	ACAD	
C#C[C@@H](C)NC(=O)CC=C	ZINC000167035005	DJUYYVAYONAXMF-SSDOTTSWSA-N	137.182	0.700	0	20	ACAD	
