smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CO[C@@H]1CCCN(S(C)(=O)=O)C1	ZINC000114600555	AICFFZKTZGOVPK-SSDOTTSWSA-N	193.268	0.057	0	10	ACAE	
CO[C@H]1CCCN(S(C)(=O)=O)C1	ZINC000114600557	AICFFZKTZGOVPK-ZETCQYMHSA-N	193.268	0.057	0	10	ACAE	
Cc1cc(=O)ccn1C	ZINC000114601110	KHHWWVUYCPMGEL-UHFFFAOYSA-N	123.155	0.694	0	10	ACAE	
COC(=O)N1CCC[C@@H](OC)C1	ZINC000114601513	NJYRBAYYSDIUOL-SSDOTTSWSA-N	173.212	0.864	0	10	ACAE	
COC(=O)N1CCC[C@H](OC)C1	ZINC000114601515	NJYRBAYYSDIUOL-ZETCQYMHSA-N	173.212	0.864	0	10	ACAE	
C([C@@H]1COCCN1)N1C[C@H]2CC[C@H]1C2	ZINC000114601816	HQCFRVYPSPSTCC-AXFHLTTASA-N	196.294	0.459	0	10	ACAE	
C=Cc1cc(N)ncn1	ZINC000114602347	BGJAVMWCKVVNNF-UHFFFAOYSA-N	121.143	0.702	0	10	ACAE	
O=C1NC(=O)c2c1cccc2CO	ZINC000114603414	QGGFJIALGORYME-UHFFFAOYSA-N	177.159	0.063	0	10	ACAE	
CC1(C)CC(=O)N[C@@H]2CCC[C@@H]2N1	ZINC000114606246	SQUQFPJDYSRULJ-SFYZADRCSA-N	182.267	0.796	0	10	ACAE	
CC1(C)CC(=O)N[C@H]2CCC[C@@H]2N1	ZINC000114606248	SQUQFPJDYSRULJ-YUMQZZPRSA-N	182.267	0.796	0	10	ACAE	
CC1(C)CC(=O)N[C@@H]2CCC[C@H]2N1	ZINC000114606250	SQUQFPJDYSRULJ-HTQZYQBOSA-N	182.267	0.796	0	10	ACAE	
CC1(C)CC(=O)N[C@H]2CCC[C@H]2N1	ZINC000114606251	SQUQFPJDYSRULJ-JGVFFNPUSA-N	182.267	0.796	0	10	ACAE	
CC1(C)CN[C@@H]2CCC[C@@H]2N1	ZINC000114609844	ZWGKXIAAHGDBKL-SFYZADRCSA-N	154.257	0.879	0	10	ACAE	
CC1(C)CN[C@@H]2CCC[C@H]2N1	ZINC000114609846	ZWGKXIAAHGDBKL-HTQZYQBOSA-N	154.257	0.879	0	10	ACAE	
CC1(C)CN[C@H]2CCC[C@H]2N1	ZINC000114609848	ZWGKXIAAHGDBKL-JGVFFNPUSA-N	154.257	0.879	0	10	ACAE	
CCN1CNCNC1(CC)CC	ZINC000114610434	FHVDMAFQIQWWLV-UHFFFAOYSA-N	171.288	0.932	0	10	ACAE	
C=CCNc1nc(N)nc2[nH]cnc21	ZINC000114610835	VEFHWZQJZZHJCN-UHFFFAOYSA-N	190.210	0.533	0	10	ACAE	
CCn1ccc2c1C(=O)NCC2	ZINC000114611495	CWVQGSIZOIPOIT-UHFFFAOYSA-N	164.208	0.794	0	10	ACAE	
COC(=O)c1coc([C@@H](C)N)n1	ZINC000114618703	SZCZAZYMXIFMBY-SCSAIBSYSA-N	170.168	0.481	0	10	ACAE	
CN1CC2(C[C@@H]1C(=O)O)CCNCC2	ZINC000114619174	ILGFUKMYIMFPEI-MRVPVSSYSA-N	198.266	0.145	0	10	ACAE	
CN1CC2(C[C@H]1C(=O)O)CCNCC2	ZINC000114619176	ILGFUKMYIMFPEI-QMMMGPOBSA-N	198.266	0.145	0	10	ACAE	
c1cc[n+](C[C@@H]2CCCN2)cc1	ZINC000114622928	SMFHACAJBGCTPP-JTQLQIEISA-N	163.244	0.726	0	10	ACAE	
c1cc[n+](C[C@H]2CCCN2)cc1	ZINC000114622929	SMFHACAJBGCTPP-SNVBAGLBSA-N	163.244	0.726	0	10	ACAE	
CC(C)[C@@H](N)[C@@H](C)C(=O)O	ZINC000114624011	RIDBQCGMVPMFNY-PHDIDXHHSA-N	145.202	0.690	0	10	ACAE	
CC(C)[C@H](N)[C@@H](C)C(=O)O	ZINC000114624013	RIDBQCGMVPMFNY-RITPCOANSA-N	145.202	0.690	0	10	ACAE	
CC(C)[C@@H](N)[C@H](C)C(=O)O	ZINC000114624014	RIDBQCGMVPMFNY-NTSWFWBYSA-N	145.202	0.690	0	10	ACAE	
CCNS(=O)(=O)C1(C)CC1	ZINC000114625344	HEWVHRKDYJEUOZ-UHFFFAOYSA-N	163.242	0.478	0	10	ACAE	
CC(C)C(=O)O[C@@H](C)O	ZINC000114626427	ZUXFKMRZJMVDLI-YFKPBYRVSA-N	132.159	0.524	0	10	ACAE	
CC(C)C(=O)O[C@H](C)O	ZINC000114626429	ZUXFKMRZJMVDLI-RXMQYKEDSA-N	132.159	0.524	0	10	ACAE	
C[C@@H](CO)N1CC[C@@H](C)C1	ZINC000114628563	WUKOBWICVHGKRB-SFYZADRCSA-N	143.230	0.709	0	10	ACAE	
O=C1N[C@H]2CCCC[C@@H]2NC12CCC2	ZINC000114628655	MDFKLLTUFVSTCC-IUCAKERBSA-N	194.278	0.940	0	10	ACAE	
O=C1N[C@@H]2CCCC[C@@H]2NC12CCC2	ZINC000114628793	MDFKLLTUFVSTCC-BDAKNGLRSA-N	194.278	0.940	0	10	ACAE	
C[C@@]1(CN)CN=C2CCCN2C1	ZINC000114635206	DWWDCEIXHSHJCO-SECBINFHSA-N	167.256	0.459	0	10	ACAE	
C[C@]1(CN)CN=C2CCCN2C1	ZINC000114635209	DWWDCEIXHSHJCO-VIFPVBQESA-N	167.256	0.459	0	10	ACAE	
C[C@@H]1C[C@@H](O)N=C2CCCN21	ZINC000114635565	LDYLRHHUVMGPDW-HTRCEHHLSA-N	154.213	0.591	0	10	ACAE	
C[C@H]1C[C@@H](O)N=C2CCCN21	ZINC000114635567	LDYLRHHUVMGPDW-POYBYMJQSA-N	154.213	0.591	0	10	ACAE	
C[C@@H]1C[C@H](O)N=C2CCCN21	ZINC000114635568	LDYLRHHUVMGPDW-SVRRBLITSA-N	154.213	0.591	0	10	ACAE	
C[C@H]1C[C@H](O)N=C2CCCN21	ZINC000114635570	LDYLRHHUVMGPDW-XPUUQOCRSA-N	154.213	0.591	0	10	ACAE	
C[C@@H]1CN2CCCC2=N[C@@H]1O	ZINC000114635988	PBHSCQHTIVHRIR-HTRCEHHLSA-N	154.213	0.449	0	10	ACAE	
C[C@H]1CN2CCCC2=N[C@@H]1O	ZINC000114635990	PBHSCQHTIVHRIR-POYBYMJQSA-N	154.213	0.449	0	10	ACAE	
C[C@@H]1CN2CCCC2=N[C@H]1O	ZINC000114635991	PBHSCQHTIVHRIR-SVRRBLITSA-N	154.213	0.449	0	10	ACAE	
