smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
NCC(=O)[C@@H]1CCC[C@H]1C(=O)O	ZINC000013541467	HLQWRCFXWVIGRH-PHDIDXHHSA-N	171.196	0.015	0	1	ACAF	in-vitro
NCC(=O)[C@H]1CCC[C@H]1C(=O)O	ZINC000013541468	HLQWRCFXWVIGRH-NTSWFWBYSA-N	171.196	0.015	0	1	ACAF	in-vitro
NCCCC[C@H](N)C(=O)n1cccc1	ZINC000013541699	LYEVXABEAMFVBR-VIFPVBQESA-N	195.266	0.585	0	1	ACAF	in-vitro
CC(=O)C(=O)Oc1cccc(O)c1	ZINC000013542029	WMSXDNWBIRUCJG-UHFFFAOYSA-N	180.159	0.887	0	1	ACAF	in-vitro
O=C(O)/C=C/C(F)=C/C(=O)O	ZINC000013542359	OZSAECPLLVFZIE-XLFBNKDWSA-N	160.100	0.565	0	1	ACAF	in-vitro
O=C(O)c1cc(O)cc(F)c1O	ZINC000013542360	VELDMHKYCMWCOB-UHFFFAOYSA-N	172.111	0.935	0	1	ACAF	in-vitro
Cc1ncc(C=O)c(CN)c1O	ZINC000013542588	ZMKOXDQSPSAEPP-UHFFFAOYSA-N	166.180	0.367	0	1	ACAF	in-vitro
O=C(O)/C=C1\OC(=O)C=C1Cl	ZINC000013542605	SFCBHVZVBYAAIL-RQOWECAXSA-N	174.539	0.634	0	1	ACAF	in-vitro
O=C(O)c1nccc(O)c1C(=O)O	ZINC000013542651	SNZGVGXHDYGSTP-UHFFFAOYSA-N	183.119	0.184	0	1	ACAF	in-vitro
N#CCCCP(=O)(O)O	ZINC000013542709	ZJMAMDROLOHKKX-UHFFFAOYSA-N	149.086	0.468	0	1	ACAF	in-vitro
CN1CCC[C@@H]1c1ccc(O)[n+]([O-])c1	ZINC000013543072	NZJWYMSIKZEEEC-SECBINFHSA-N	194.234	0.792	0	1	ACAF	in-vitro
CN1CCC[C@H]1c1ccc(O)[n+]([O-])c1	ZINC000013543073	NZJWYMSIKZEEEC-VIFPVBQESA-N	194.234	0.792	0	1	ACAF	in-vitro
NCc1cc(=O)oc2cc(N)ccc12	ZINC000013543138	RYFKGSFFEQGMDE-UHFFFAOYSA-N	190.202	0.834	0	1	ACAF	in-vitro
C[C@@H]1C[C@@H]2O[P@@](=O)(O)OC[C@@H]2O1	ZINC000013544754	JAEPEDFYJUBLCT-SRQIZXRXSA-N	194.123	0.680	0	1	ACAF	in-vitro
C[C@H]1C[C@@H]2O[P@@](=O)(O)OC[C@@H]2O1	ZINC000013544756	JAEPEDFYJUBLCT-ZLUOBGJFSA-N	194.123	0.680	0	1	ACAF	in-vitro
C[C@@H]1C[C@H]2O[P@@](=O)(O)OC[C@@H]2O1	ZINC000013544758	JAEPEDFYJUBLCT-PBXRRBTRSA-N	194.123	0.680	0	1	ACAF	in-vitro
C[C@H]1C[C@H]2O[P@@](=O)(O)OC[C@@H]2O1	ZINC000013544759	JAEPEDFYJUBLCT-JKUQZMGJSA-N	194.123	0.680	0	1	ACAF	in-vitro
CC(=O)CSCC[C@H](N)C(=O)O	ZINC000013544818	WVHJPZOLHRAFJR-LURJTMIESA-N	191.252	0.111	0	1	ACAF	in-vitro
O=S(=O)(O)Oc1ccncc1	ZINC000013545537	BYWAINLNTUTQKN-UHFFFAOYSA-N	175.165	0.263	0	1	ACAF	in-vitro
O=S(=O)(O)Oc1cccnc1	ZINC000013545539	BDERIBJTVYFANV-UHFFFAOYSA-N	175.165	0.263	0	1	ACAF	in-vitro
OC[C@@H](O)CCNc1ccccc1	ZINC000013545703	YBKRITNVHDFYNG-JTQLQIEISA-N	181.235	0.842	0	1	ACAF	in-vitro
NC(=O)CSC(O)=S	ZINC000013545751	OJUXQQLSDTYXPH-UHFFFAOYSA-N	151.212	0.048	0	1	ACAF	in-vitro
O=C(O)C1=C[C@@H](O)CCC=C1	ZINC000013546040	RMODRQSLIHNEDO-ZETCQYMHSA-N	154.165	0.708	0	1	ACAF	in-vitro
O[n+]1cccc2nc[nH]c21	ZINC000013546099	REMGQFLUKHNBEN-UHFFFAOYSA-O	136.134	0.088	0	1	ACAF	in-vitro
CO[P@](=O)(O)C(=O)CCC(=O)O	ZINC000013546124	JBDUSZRHVLHZJW-UHFFFAOYSA-N	196.095	0.210	0	1	ACAF	in-vitro
O[C@@H]1C=C(Cl)[C@@H](O)C=C1Cl	ZINC000013546469	CPXFTNFOQXXRBF-OLQVQODUSA-N	181.018	0.967	0	1	ACAF	in-vitro,metabolite
O=C(Cc1ccccc1)C(=O)NO	ZINC000013546723	NHMCYZGYMPYTRU-UHFFFAOYSA-N	179.175	0.304	0	1	ACAF	in-vitro
O[C@@H]1CCO[C@@H](c2ccccc2)[C@@H]1O	ZINC000013546743	JXPWTSACUDXWGV-MXWKQRLJSA-N	194.230	0.870	0	1	ACAF	in-vitro
O[C@@H]1CCO[C@H](c2ccccc2)[C@@H]1O	ZINC000013546747	JXPWTSACUDXWGV-GMTAPVOTSA-N	194.230	0.870	0	1	ACAF	in-vitro
O=C(O)C1=NC(=O)SC1	ZINC000013546757	PULYMAKMAMJORK-UHFFFAOYSA-N	145.139	0.379	0	1	ACAF	in-vitro
Cc1cc(C(=O)O)cc(CO)c1O	ZINC000013547182	XYKIINYVKKOBEQ-UHFFFAOYSA-N	182.175	0.891	0	1	ACAF	in-vitro
CC1=CC=C[C@](O)(CC(=O)O)[C@H]1O	ZINC000013547209	NRFRYVYSLWXRBO-IUCAKERBSA-N	184.191	0.069	0	1	ACAF	in-vitro
NC(=O)Oc1ccc(C(=O)O)nc1	ZINC000013547497	ADSQBDXUANMRSR-UHFFFAOYSA-N	182.135	0.237	0	1	ACAF	in-vitro
C/C(=C\C=O)CO	ZINC000013547514	BSHDRMLUCYMQOP-GORDUTHDSA-N	100.117	0.124	0	1	ACAF	in-vitro,metabolite
CO[C@H]1O[C@@H](C)[C@@H](C)[C@@H]1O	ZINC000013548254	RPEUGAIROLCHML-BWBBJGPYSA-N	146.186	0.375	0	1	ACAF	in-vitro
CO[C@H]1O[C@H](C)[C@@H](C)[C@@H]1O	ZINC000013548256	RPEUGAIROLCHML-JWXFUTCRSA-N	146.186	0.375	0	1	ACAF	in-vitro
CCCC(=O)C[C@@H](O)C(=O)O	ZINC000013548537	YEXLUBYNPZEANJ-ZCFIWIBFSA-N	160.169	0.191	0	1	ACAF	in-vitro
CCCC(=O)C[C@H](O)C(=O)O	ZINC000013548539	YEXLUBYNPZEANJ-LURJTMIESA-N	160.169	0.191	0	1	ACAF	in-vitro
CC(C)C1=CC=C(C(=O)O)[C@@H](O)[C@@H]1O	ZINC000013548609	BUZNWVREDOAOGD-RKDXNWHRSA-N	198.218	0.315	0	1	ACAF	in-vitro,metabolite
CC(C)C1=CC=C(C(=O)O)[C@H](O)[C@H]1O	ZINC000013548613	BUZNWVREDOAOGD-IUCAKERBSA-N	198.218	0.315	0	1	ACAF	in-vitro,metabolite
CC1=C(O)[C@@H](O)[C@@H](C(=O)O)C=C1	ZINC000013548638	BTAHXWZTEDLNED-FSPLSTOPSA-N	170.164	0.450	0	1	ACAF	in-vitro
CC1=C(O)[C@@H](O)[C@H](C(=O)O)C=C1	ZINC000013548641	BTAHXWZTEDLNED-VDTYLAMSSA-N	170.164	0.450	0	1	ACAF	in-vitro
CO[P@](=O)(O)OC(C)=O	ZINC000013549909	RHFTVNQDKVBZDX-UHFFFAOYSA-N	154.058	0.296	0	1	ACAF	in-vitro
COC(=O)C1=CC=C[C@@H](O)C1	ZINC000013549939	XWJDQHZFJKOTOR-SSDOTTSWSA-N	154.165	0.407	0	1	ACAF	in-vitro
COC(=O)C1=CC=C[C@H](O)C1	ZINC000013549942	XWJDQHZFJKOTOR-ZETCQYMHSA-N	154.165	0.407	0	1	ACAF	in-vitro
COC(=O)C1=C[C@@H](O)C=CC1	ZINC000013549945	VCICVLVLJSBBFN-ZETCQYMHSA-N	154.165	0.407	0	1	ACAF	in-vitro
COC(=O)C1=C[C@H](O)C=CC1	ZINC000013549948	VCICVLVLJSBBFN-SSDOTTSWSA-N	154.165	0.407	0	1	ACAF	in-vitro
CC1(C)COC(=O)[C@@]1(C)O	ZINC000013549970	HHGQUUWGXWZKGA-SSDOTTSWSA-N	144.170	0.320	0	1	ACAF	in-vitro
CC1(C)COC(=O)[C@]1(C)O	ZINC000013549973	HHGQUUWGXWZKGA-ZETCQYMHSA-N	144.170	0.320	0	1	ACAF	in-vitro
CCCCCNS(=O)(=O)O	ZINC000013550067	GFSRVPZFCVZPDK-UHFFFAOYSA-N	167.230	0.569	0	1	ACAF	in-vitro
NCCCC(=O)c1ccc(O)nc1	ZINC000013550131	SMMJSMSUOYDEIU-UHFFFAOYSA-N	180.207	0.709	0	1	ACAF	in-vitro
NCCCCCCCCNC(N)=O	ZINC000013550166	HGGYFKSKTBNDTK-UHFFFAOYSA-N	187.287	0.954	0	1	ACAF	in-vitro
CCCC[C@@H](NC=O)C(=O)NC	ZINC000013550360	QAIITSMADHSLAB-SSDOTTSWSA-N	172.228	0.037	0	1	ACAF	in-vitro
CCCC[C@H](NC=O)C(=O)NC	ZINC000013550362	QAIITSMADHSLAB-ZETCQYMHSA-N	172.228	0.037	0	1	ACAF	in-vitro
CCOc1ccn(C)c(=O)c1C#N	ZINC000013550487	GVJCKJYAKPDWCZ-UHFFFAOYSA-N	178.191	0.656	0	1	ACAF	in-vitro
CCCn1ccc(=O)c(C(N)=O)c1	ZINC000013550535	UZHSINIHRLRKKS-UHFFFAOYSA-N	180.207	0.357	0	1	ACAF	in-vitro
CC1=NC=NC2=NN=C[C@H]21	ZINC000013550765	XUAKMKHMOOXBPF-YFKPBYRVSA-N	134.142	0.503	0	1	ACAF	in-vitro
O=CSC=O	ZINC000013551184	NASDQFMKXPTVGB-UHFFFAOYSA-N	90.103	0.100	0	1	ACAF	in-vitro
CCC[C@@H](OC(=O)[C@@H](C)N)C(=O)O	ZINC000013551861	MNKCPEGCSVQACA-PHDIDXHHSA-N	189.211	0.130	0	1	ACAF	in-vitro
NC(=O)/C=C\C1=NCCC1	ZINC000013552212	SJFPWBFXBOZGTB-ARJAWSKDSA-N	138.170	0.263	0	1	ACAF	biogenic,in-vitro
CCN(CC)CCOP(=O)(O)O	ZINC000013552255	HJCMLZBLEHNFLG-UHFFFAOYSA-N	197.171	0.438	0	1	ACAF	in-vitro
O=C(O)/C(F)=C(/F)C(=O)O	ZINC000013552269	JUVWKFKXIVLAHQ-UPHRSURJSA-N	152.052	0.306	0	1	ACAF	in-vitro
