smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC[C@@H](N)[C@@H](O)c1ccc(O)c(O)c1	ZINC000000000273	LENNRXOJHWNHSD-XCBNKYQSSA-N	197.234	0.869	10	50	ACCA	in-man
O=C(O)c1cc(O)c(O)c(O)c1	ZINC000000001504	LNTHITQWFMADLM-UHFFFAOYSA-N	170.120	0.502	10	50	ACCA	metabolite,world
O=Cc1cc(O)c(O)c([N+](=O)[O-])c1	ZINC000000002779	BBFJODMCHICIAA-UHFFFAOYSA-N	183.119	0.819	10	50	ACCA	in-vitro
CN[C@@H](C)[C@@H](O)c1ccc(O)c(O)c1	ZINC000000005957	DDBFLXGTCAVAFD-QUBYGPBYSA-N	197.234	0.739	10	50	ACCA	biogenic,in-man
Nc1ccc(O)c(O)c1	ZINC000000006364	KDHUXRBROABJBC-UHFFFAOYSA-N	125.127	0.680	10	50	ACCA	in-vitro,metabolite
N[C@H](C(=O)O)c1ccccc1O	ZINC000000006795	LIDYFNYBHXPTJG-ZETCQYMHSA-N	167.164	0.477	10	50	ACCA	
O=S1(=O)Nc2ccccc2N1	ZINC000000009186	AUAGRMVWKUSEBX-UHFFFAOYSA-N	170.193	0.769	10	50	ACCA	
O=Cc1ccc(O)c(O)c1	ZINC000000013245	IBGBGRVKPALMCQ-UHFFFAOYSA-N	138.122	0.910	10	50	ACCA	in-man,metabolite
O=C(O)c1ccc(O)c(O)c1	ZINC000000013246	YQUVCSBJEUQKSH-UHFFFAOYSA-N	154.121	0.796	10	50	ACCA	in-man,metabolite
C[C@@H](NCc1ccccc1O)C(=O)O	ZINC000000019037	OGCTZOZVPQSYDN-SSDOTTSWSA-N	195.218	0.955	10	50	ACCA	
O=C(O)CNCc1ccccc1O	ZINC000000019040	FZQZIWPHRQKFPS-UHFFFAOYSA-N	181.191	0.566	10	50	ACCA	in-vitro
COC(=O)c1cc(O)c(O)c(O)c1	ZINC000000021789	FBSFWRHWHYMIOG-UHFFFAOYSA-N	184.147	0.590	10	50	ACCA	biogenic,in-man
CCOC(=O)c1cc(O)c(O)c(O)c1	ZINC000000021790	VFPFQHQNJCMNBZ-UHFFFAOYSA-N	198.174	0.980	10	50	ACCA	biogenic,in-man
COc1ccc(O)c([C@H](N)C(=O)O)c1	ZINC000000021859	RVHFCDWALKCTJR-QMMMGPOBSA-N	197.190	0.485	10	50	ACCA	
N[C@H](CC(=O)O)c1ccccc1O	ZINC000000021865	BMUFWTKVAWBABX-SSDOTTSWSA-N	181.191	0.867	10	50	ACCA	
NCCc1ccc(O)c(O)c1	ZINC000000033882	VYFYYTLLBUKUHU-UHFFFAOYSA-N	153.181	0.599	10	50	ACCA	endogenous,fda
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1	ZINC000000034157	GEFQWZLICWMTKF-CDUCUWFYSA-N	183.207	0.478	10	50	ACCA	endogenous,world
C[C@@H](N)[C@H](O)c1ccc(O)c(O)c1	ZINC000000034158	GEFQWZLICWMTKF-ANLVUFKYSA-N	183.207	0.478	10	50	ACCA	endogenous,in-man
C[C@H](N)[C@@H](O)c1ccc(O)c(O)c1	ZINC000000034159	GEFQWZLICWMTKF-SSDLBLMSSA-N	183.207	0.478	10	50	ACCA	endogenous,in-man
C[C@@H](N)[C@@H](O)c1ccc(O)c(O)c1	ZINC000000034160	GEFQWZLICWMTKF-MLUIRONXSA-N	183.207	0.478	10	50	ACCA	endogenous,in-man
CNC[C@H](O)c1ccc(O)c(O)c1	ZINC000000039089	UCTWMZQNUQWSLP-VIFPVBQESA-N	183.207	0.351	10	50	ACCA	endogenous,fda
CNC[C@@H](O)c1ccc(O)c(O)c1	ZINC000000039090	UCTWMZQNUQWSLP-SECBINFHSA-N	183.207	0.351	10	50	ACCA	investigational,metabolite
NCCc1cc(O)c(O)cc1O	ZINC000000039112	DIVDFFZHCJEHGG-UHFFFAOYSA-N	169.180	0.305	10	50	ACCA	endogenous,in-man
Nc1ccc(C2=NNC(=O)CC2)cc1	ZINC000000040094	XMTUHSIIBGFSTQ-UHFFFAOYSA-N	189.218	0.883	10	50	ACCA	
Nc1ccc(OCC(=O)O)cc1	ZINC000000052866	GIFGMEWQGDEWKB-UHFFFAOYSA-N	167.164	0.732	10	50	ACCA	
NC[C@@H](O)c1ccc(O)c(O)c1	ZINC000000057623	SFLSHLFXELFNJZ-MRVPVSSYSA-N	169.180	0.090	10	50	ACCA	investigational,metabolite
NC[C@H](O)c1ccc(O)c(O)c1	ZINC000000057624	SFLSHLFXELFNJZ-QMMMGPOBSA-N	169.180	0.090	10	50	ACCA	endogenous,fda
NC(=O)c1ccsc1N	ZINC000000078193	WHZIZZOTISTHCT-UHFFFAOYSA-N	142.183	0.429	10	50	ACCA	
C[C@H](NCc1ccccc1O)C(=O)O	ZINC000000080954	OGCTZOZVPQSYDN-ZETCQYMHSA-N	195.218	0.955	10	50	ACCA	
CN1N=C(c2ccccc2O)CC1=O	ZINC000000102048	WIZVOBOZXGBRQO-UHFFFAOYSA-N	190.202	0.958	10	50	ACCA	
NCCc1cc(O)c(O)c(O)c1	ZINC000000119563	LCAINUZZHIZKKS-UHFFFAOYSA-N	169.180	0.305	10	50	ACCA	endogenous,in-man
Nc1ccc(CC(=O)O)cc1	ZINC000000153120	CSEWAUGPAQPMDC-UHFFFAOYSA-N	151.165	0.896	10	50	ACCA	biogenic,in-vitro
Nc1ccc(-n2cncn2)cc1	ZINC000000153516	BLNPEJXSNSBBNM-UHFFFAOYSA-N	160.180	0.850	10	50	ACCA	in-vitro
O=C/C(=C\O)c1cccc(C(=O)O)n1	ZINC000000153892	XOYCXNNPJFYSKR-GQCTYLIASA-N	193.158	0.878	10	50	ACCA	
O=C/C(=C\O)c1ccc(C(=O)O)cn1	ZINC000000153895	SOHLXHARBPBAHP-QPJJXVBHSA-N	193.158	0.878	10	50	ACCA	
NCc1ccccc1O	ZINC000000153936	KPRZOPQOBJRYSW-UHFFFAOYSA-N	123.155	0.851	10	50	ACCA	biogenic,in-vitro
CNCc1ccc(N)cc1	ZINC000000153939	FTAMTADBFJSWRE-UHFFFAOYSA-N	136.198	0.988	10	50	ACCA	
N#Cc1ccc(O)c(O)c1	ZINC000000157092	NUWHYWYSMAPBHK-UHFFFAOYSA-N	135.122	0.969	10	50	ACCA	biogenic,in-vitro
NCc1ccc(N2CCOCC2)cc1	ZINC000000158855	LTILPSKZXNIITC-UHFFFAOYSA-N	192.262	0.982	10	50	ACCA	
Nc1ccc2nonc2c1N	ZINC000000160421	SHWDQDBUVFATHY-UHFFFAOYSA-N	150.141	0.387	10	50	ACCA	
COc1ccccc1NC[C@H](O)CN	ZINC000000191146	BWIHDKPQLRLJOF-MRVPVSSYSA-N	196.250	0.427	10	50	ACCA	
COc1ccccc1NC[C@@H](O)CN	ZINC000000191148	BWIHDKPQLRLJOF-QMMMGPOBSA-N	196.250	0.427	10	50	ACCA	
CC1=[N+](C)CCn2cccc21	ZINC000000245872	KEAKTOJDKSDSON-UHFFFAOYSA-N	149.217	0.953	10	50	ACCA	
CN(C)C(=O)[n+]1ccc(N(C)C)cc1	ZINC000000259942	CVTHZWVSJOYPLS-UHFFFAOYSA-N	194.258	0.570	10	50	ACCA	
COc1cc[n+](C(=O)N(C)C)cc1	ZINC000000259945	JUKYPUYCPHKPHI-UHFFFAOYSA-N	181.215	0.512	10	50	ACCA	
COC(=O)[n+]1ccc(N(C)C)cc1	ZINC000000259949	FRWJRPPLYVNEQU-UHFFFAOYSA-N	181.215	0.655	10	50	ACCA	
Nc1ccc(N2CCNCC2)cc1	ZINC000000265626	VAVOYRCCWLRTMS-UHFFFAOYSA-N	177.251	0.678	10	50	ACCA	
CC(C)CC1(C)NNC(=S)NN1	ZINC000000302958	MXBUTYBJQGWFRB-UHFFFAOYSA-N	188.300	0.236	10	50	ACCA	
C=C1C(=O)OC=C1C(=O)O	ZINC000000330079	QLSLBFIEERRVOD-UHFFFAOYSA-N	140.094	0.068	10	50	ACCA	
Oc1cccc(O)c1O	ZINC000000330141	WQGWDDDVZFFDIG-UHFFFAOYSA-N	126.111	0.803	10	50	ACCA	endogenous,in-man
O=Cc1cccc(O)c1O	ZINC000000332561	IXWOUPGDGMCKGT-UHFFFAOYSA-N	138.122	0.910	10	50	ACCA	biogenic,in-vitro
O=C(O)c1ccc(C(=O)O)c(O)c1O	ZINC000000337530	OHLSHRJUBRUKAN-UHFFFAOYSA-N	198.130	0.494	10	50	ACCA	
Nc1ccc(Cn2cncn2)cc1	ZINC000000337935	ZGLQVRIVLWGDNA-UHFFFAOYSA-N	174.207	0.909	10	50	ACCA	in-vitro
CN(C)C1C(=O)c2ccccc2C1=O	ZINC000000347754	BDOPXNAHBCGZAR-UHFFFAOYSA-N	189.214	0.996	10	50	ACCA	
NCCc1ccc(N)cc1	ZINC000000388143	LNPMZQXEPNWCMG-UHFFFAOYSA-N	136.198	0.770	10	50	ACCA	
O=C(O)c1cccc(O)c1O	ZINC000000388166	GLDQAMYCGOIJDV-UHFFFAOYSA-N	154.121	0.796	10	50	ACCA	endogenous,in-man
O=C(O)[C@@H](O)c1ccc(O)c(O)c1	ZINC000000388310	RGHMISIYKIHAJW-ZETCQYMHSA-N	184.147	0.216	10	50	ACCA	endogenous,in-man
O=C(O)[C@H](O)c1ccc(O)c(O)c1	ZINC000000388311	RGHMISIYKIHAJW-SSDOTTSWSA-N	184.147	0.216	10	50	ACCA	endogenous,in-man
Oc1ccc(O)c(O)c1	ZINC000000388437	GGNQRNBDZQJCCN-UHFFFAOYSA-N	126.111	0.803	10	50	ACCA	in-man,metabolite
NCc1ccc(O)c(O)c1	ZINC000000388548	YFMPSMITLLBENU-UHFFFAOYSA-N	139.154	0.557	10	50	ACCA	endogenous,in-man
O=C(O)Cc1ccc(O)c(O)c1	ZINC000000388555	CFFZDZCDUFSOFZ-UHFFFAOYSA-N	168.148	0.725	10	50	ACCA	endogenous,in-man
CCN(CC)C(=O)[n+]1ccc(N)cc1	ZINC000000389055	UBFORGANDGMYPX-UHFFFAOYSA-O	194.258	0.866	10	50	ACCA	
NCc1ccc(N)cc1	ZINC000000389785	BFWYZZPDZZGSLJ-UHFFFAOYSA-N	122.171	0.728	10	50	ACCA	
CC(=O)NCc1ccc(N)cc1	ZINC000000391625	QYQYMVAVTKTFEK-UHFFFAOYSA-N	164.208	0.905	10	50	ACCA	
O=C(O)c1ccc(O)c(O)c1O	ZINC000000391975	BRRSNXCXLSVPFC-UHFFFAOYSA-N	170.120	0.502	10	50	ACCA	in-man,metabolite
C[C@H]1CCC(=O)C1=O	ZINC000000394532	OACYKCIZDVVNJL-BYPYZUCNSA-N	112.128	0.555	10	50	ACCA	endogenous,in-man
OC[C@@H](O)c1ccc(O)c(O)c1	ZINC000000402870	MTVWFVDWRVYDOR-MRVPVSSYSA-N	170.164	0.124	10	50	ACCA	endogenous,in-man
OC[C@H](O)c1ccc(O)c(O)c1	ZINC000000402871	MTVWFVDWRVYDOR-QMMMGPOBSA-N	170.164	0.124	10	50	ACCA	endogenous,in-man
COC(=O)c1ccc(O)c(O)c1	ZINC000000405329	CUFLZUDASVUNOE-UHFFFAOYSA-N	168.148	0.884	10	50	ACCA	biogenic,in-vitro
COC(=O)[n+]1cccc(C)c1	ZINC000000406411	FADAIZJBZSECEX-UHFFFAOYSA-N	152.173	0.897	10	50	ACCA	
CC[C@H]1CCC(=O)C1=O	ZINC000000409322	RRVYBPVLSILURP-YFKPBYRVSA-N	126.155	0.945	10	50	ACCA	endogenous,in-man
Nc1ccc(-n2cnnn2)cc1	ZINC000000419319	JRRAUWWVBVECPY-UHFFFAOYSA-N	161.168	0.245	10	50	ACCA	
N#C[C@@H]1CSCC1=O	ZINC000000501238	OHPSBDAUCJNDHP-SCSAIBSYSA-N	127.168	0.442	10	50	ACCA	
N#C[C@H]1CSCC1=O	ZINC000000501239	OHPSBDAUCJNDHP-BYPYZUCNSA-N	127.168	0.442	10	50	ACCA	
Oc1ccccc1CNn1cnnc1	ZINC000000553531	JHBFAVGNMSUMOQ-UHFFFAOYSA-N	190.206	0.727	10	50	ACCA	
NC(=S)Nc1ccc(N)cc1	ZINC000000569446	ZJLRWLYVCHKHMM-UHFFFAOYSA-N	167.237	0.924	10	50	ACCA	
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O	ZINC000000895199	WTDRDQBEARUVNC-LURJTMIESA-N	197.190	0.052	10	50	ACCA	endogenous,world
O=C(O)[C@@H](O)Cc1ccc(O)c(O)c1	ZINC000000895534	PAFLSMZLRSPALU-QMMMGPOBSA-N	198.174	0.086	10	50	ACCA	endogenous,in-man
O=C(O)[C@H](O)Cc1ccc(O)c(O)c1	ZINC000000895535	PAFLSMZLRSPALU-MRVPVSSYSA-N	198.174	0.086	10	50	ACCA	endogenous,in-man
COc1cc(C(=O)O)cc(O)c1O	ZINC000000895819	KWCCUYSXAYTNKA-UHFFFAOYSA-N	184.147	0.805	10	50	ACCA	in-man,metabolite
Oc1cc(O)c(O)c(O)c1	ZINC000000901826	RDJUHLUBPADHNP-UHFFFAOYSA-N	142.110	0.509	10	50	ACCA	in-vitro,metabolite
Nc1ccc(C[C@H](N)C(=O)O)cc1	ZINC000000968044	CMUHFUGDYMFHEI-QMMMGPOBSA-N	180.207	0.223	10	50	ACCA	endogenous,in-man
CN1C(=O)CSC1=S	ZINC000001235917	JKLZCQWVERBDEZ-UHFFFAOYSA-N	147.224	0.477	10	50	ACCA	
