smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
N=C(N)N/C=C/c1ccc(O)c(O)c1	ZINC000000003953	QASQNKBXRDUNSE-ONEGZZNKSA-N	193.206	0.552	10	40	ACCB	
CC(=O)NCCc1ccc(O)c(O)c1	ZINC000000402700	OFSAJYZMIPNPHE-UHFFFAOYSA-N	195.218	0.776	10	40	ACCB	endogenous,in-man
O=C(O)[C@H]1Cc2cc(O)c(O)cc2N1	ZINC000000895816	JDWYRSDDJVCWPB-ZCFIWIBFSA-N	195.174	0.519	10	40	ACCB	in-vitro,metabolite
C1CN(/N=N/N2CCC2)C1	ZINC000001576364	AWLPUHLEODYMHA-BQYQJAHWSA-N	140.190	0.680	10	40	ACCB	
Cc1c(O)c(O)c(C)c(CCN)c1O	ZINC000001586034	XVCHFWOASRHNAW-UHFFFAOYSA-N	197.234	0.921	10	40	ACCB	
Nc1ccc(CC2=NCCN2)cc1	ZINC000001592158	NTVVAXXCLZJWPT-UHFFFAOYSA-N	175.235	0.813	10	40	ACCB	
CC(C)(C)N1C[C@@H](C#N)C(=O)C1=O	ZINC000001598677	FBPKUDAVWWVKQI-ZCFIWIBFSA-N	180.207	0.336	10	40	ACCB	
Nc1c(O)c(O)ccc1C(=O)O	ZINC000001599704	AFRFLYQMXWCXCH-UHFFFAOYSA-N	169.136	0.378	10	40	ACCB	
CCN(CC)/[N+]([O-])=N\O	ZINC000001624073	FOSISNXVGQBIAP-FNORWQNLSA-N	133.151	0.595	10	40	ACCB	
CN(C)/N=N/N(C)C	ZINC000001670582	PRGCYUAJTPIADR-AATRIKPKSA-N	116.168	0.392	10	40	ACCB	
O=Cc1c(O)c(O)c(O)cc1CO	ZINC000001698937	MGMUFSXXHCQPGA-UHFFFAOYSA-N	184.147	0.108	10	40	ACCB	biogenic,in-vitro
CCC=C1C(=O)N(C)C(=O)N(C)C1=O	ZINC000001710239	SNLRHLQSQUFHFI-UHFFFAOYSA-N	196.206	0.373	10	40	ACCB	
CNC(=O)Oc1ccc(N)cc1	ZINC000001716763	JFANLKHJWWLSAT-UHFFFAOYSA-N	166.180	0.987	10	40	ACCB	
O[C@H]1CSC2=[N+]1CCS2	ZINC000001720997	NOWWXLMQQVFTFR-BYPYZUCNSA-N	162.259	0.167	10	40	ACCB	
O=C(OCCO)c1ccc(O)c(O)c1	ZINC000001747221	FPUXYDAACHRKET-UHFFFAOYSA-N	198.174	0.247	10	40	ACCB	
O=C1COc2cc(O)c(O)cc21	ZINC000001757344	RDRBEUXIJCFHCZ-UHFFFAOYSA-N	166.132	0.673	10	40	ACCB	
C[C@H]1NC(=O)N=C(O)C1=S	ZINC000002044456	LSQMQHRHCMXGGO-UWTATZPHSA-N	158.182	0.425	10	40	ACCB	
O=C/C(F)=C/O	ZINC000002524735	XOUSDMBVVQUQEM-IWQZZHSRSA-N	90.053	0.554	10	40	ACCB	
N#Cc1ccc(O)c(O)c1O	ZINC000002581329	GPXIMVVEQNCDGW-UHFFFAOYSA-N	151.121	0.675	10	40	ACCB	
O=C(O)[C@@H]1Cc2cc(O)c(O)cc2N1	ZINC000004096841	JDWYRSDDJVCWPB-LURJTMIESA-N	195.174	0.519	10	40	ACCB	endogenous,in-man
CCOC(=O)C(=[N+]=[N-])C(F)(F)F	ZINC000004255747	GXFLKLPWJHICEV-UHFFFAOYSA-N	182.101	0.783	10	40	ACCB	
COC(=O)C(=[N+]=[N-])C(F)(F)F	ZINC000004268757	CRPRBPSWJPEAMC-UHFFFAOYSA-N	168.074	0.393	10	40	ACCB	
CO[C@H]1C=C[C@@](OC)([C@@H](C)O)O1	ZINC000004282872	OHXZDCYIALCSNL-PRJMDXOYSA-N	174.196	0.269	10	40	ACCB	
CO[C@H]1C=C[C@](OC)([C@@H](C)O)O1	ZINC000004282897	OHXZDCYIALCSNL-BWZBUEFSSA-N	174.196	0.269	10	40	ACCB	
CO[C@@H]1C=C[C@@](OC)([C@@H](C)O)O1	ZINC000004282907	OHXZDCYIALCSNL-CSMHCCOUSA-N	174.196	0.269	10	40	ACCB	
CO[C@@H]1C=C[C@](OC)([C@@H](C)O)O1	ZINC000004282911	OHXZDCYIALCSNL-GJMOJQLCSA-N	174.196	0.269	10	40	ACCB	
N#CC(C#N)C(=N)C(=N)C(C#N)C#N	ZINC000004523254	XMQDYZNLLYAPNP-UHFFFAOYSA-N	184.162	0.353	10	40	ACCB	
CC1(C#N)C(C#N)(C#N)C1(C#N)C#N	ZINC000004530121	HBQUVBRQLSEEBU-UHFFFAOYSA-N	181.158	0.597	10	40	ACCB	
O=C/C(=C/O)c1ccncn1	ZINC000004692648	ZRGQRQGCDKAEPY-UTCJRWHESA-N	150.137	0.574	10	40	ACCB	
[N-]=[N+]=NC1=NCCN1	ZINC000004722293	IMKJGYGYFJMUAM-UHFFFAOYSA-N	111.108	0.256	10	40	ACCB	
CC(C)CN1C[C@H](C#N)C(=O)C1=O	ZINC000004722974	XQOSWKDTOJLYDK-ZETCQYMHSA-N	180.207	0.193	10	40	ACCB	
CCCCN1C[C@H](C#N)C(=O)C1=O	ZINC000004722975	DBBDOPOAZXAXLI-ZETCQYMHSA-N	180.207	0.338	10	40	ACCB	
COC(=O)CC(C)=S	ZINC000004946049	RASBHDOUYTULCV-UHFFFAOYSA-N	132.184	0.939	10	40	ACCB	
O[C@@H]1CSC2=[N+]1CCS2	ZINC000004972322	NOWWXLMQQVFTFR-SCSAIBSYSA-N	162.259	0.167	10	40	ACCB	
CO[C@H]1C[C@@H](N=[N+]=[N-])[C@@H](O)[C@@H](C)O1	ZINC000004990445	MCEQCNCTLXUNDM-GBNDHIKLSA-N	187.199	0.808	10	40	ACCB	
CO[C@H]1C[C@@H](N=[N+]=[N-])[C@@H](O)[C@H](C)O1	ZINC000004990446	MCEQCNCTLXUNDM-WNJXEPBRSA-N	187.199	0.808	10	40	ACCB	
CO[C@H]1C[C@@H](N=[N+]=[N-])[C@H](O)[C@@H](C)O1	ZINC000004990447	MCEQCNCTLXUNDM-DBRKOABJSA-N	187.199	0.808	10	40	ACCB	
CO[C@H]1C[C@@H](N=[N+]=[N-])[C@H](O)[C@H](C)O1	ZINC000004990448	MCEQCNCTLXUNDM-BDVNFPICSA-N	187.199	0.808	10	40	ACCB	
[N-]=[N+]=C1C(=O)NN=C1c1ccccc1	ZINC000005051954	VFABPXVWPLQVJX-UHFFFAOYSA-N	186.174	0.191	10	40	ACCB	
NC1=NNC(=O)/C1=C/c1ccccc1	ZINC000005051956	GTLSGCLWWCKKER-SOFGYWHQSA-N	187.202	0.472	10	40	ACCB	
CO[C@H]1OC[C@@H](N=[N+]=[N-])[C@@H]2O[C@@H]21	ZINC000005063296	AUPBIBKFXPZNCO-VANKVMQKSA-N	171.156	0.435	10	40	ACCB	
CO[C@@H]1OC[C@@H](N=[N+]=[N-])[C@@H]2O[C@@H]21	ZINC000005063297	AUPBIBKFXPZNCO-DPYQTVNSSA-N	171.156	0.435	10	40	ACCB	
CO[C@H]1O[C@@H](CN=[N+]=[N-])[C@@H]2O[C@@H]21	ZINC000005066650	YOGMEMHUMCXHDA-BXKVDMCESA-N	171.156	0.435	10	40	ACCB	
CO[C@@H]1O[C@@H](CN=[N+]=[N-])[C@@H]2O[C@@H]21	ZINC000005066652	YOGMEMHUMCXHDA-OMMKOOBNSA-N	171.156	0.435	10	40	ACCB	
CC(=O)C(=O)C1CC1	ZINC000005159330	LYGCEXZUGZMYCQ-UHFFFAOYSA-N	112.128	0.555	10	40	ACCB	
CC(C)=[N+]=[N-]	ZINC000005167661	IHDRXDWUDBSDAN-UHFFFAOYSA-N	70.095	0.697	10	40	ACCB	
[N-]=[N+]=NCC1=CCN2CC[C@@H](O)[C@@H]12	ZINC000005182247	PTIMZJADHBMYDW-HTQZYQBOSA-N	180.211	0.672	10	40	ACCB	
[N-]=[N+]=NCC1=CCN2CC[C@@H](O)[C@H]12	ZINC000005182250	PTIMZJADHBMYDW-SFYZADRCSA-N	180.211	0.672	10	40	ACCB	
CC(C)CN1C[C@@H](C#N)C(=O)C1=O	ZINC000005453959	XQOSWKDTOJLYDK-SSDOTTSWSA-N	180.207	0.193	10	40	ACCB	
O=C(NO)c1cccc(O)c1O	ZINC000005485896	FIDAFVPRXYXHSB-UHFFFAOYSA-N	169.136	0.217	10	40	ACCB	in-vitro
COP(=O)(C=[N+]=[N-])OC	ZINC000005493067	QUZMIAJIRIZFQN-UHFFFAOYSA-N	150.074	0.730	10	40	ACCB	
C=C1O[C@H](OC)C[C@H](N=[N+]=[N-])[C@@H]1O	ZINC000005493119	DXIGMOLCDATIMK-LYFYHCNISA-N	185.183	0.933	10	40	ACCB	
C=C1O[C@@H](OC)C[C@H](N=[N+]=[N-])[C@@H]1O	ZINC000005493121	DXIGMOLCDATIMK-RRKCRQDMSA-N	185.183	0.933	10	40	ACCB	
C=C1O[C@H](OC)C[C@@H](N=[N+]=[N-])[C@@H]1O	ZINC000005493122	DXIGMOLCDATIMK-DSYKOEDSSA-N	185.183	0.933	10	40	ACCB	
C=C1O[C@@H](OC)C[C@@H](N=[N+]=[N-])[C@@H]1O	ZINC000005493123	DXIGMOLCDATIMK-FSDSQADBSA-N	185.183	0.933	10	40	ACCB	
[N-]=[N+]=NCc1cn[nH]n1	ZINC000005544994	KQBQJKUOKWVLBJ-UHFFFAOYSA-N	124.107	0.615	10	40	ACCB	
CCCCN1C[C@@H](C#N)C(=O)C1=O	ZINC000005552143	DBBDOPOAZXAXLI-SSDOTTSWSA-N	180.207	0.338	10	40	ACCB	
CC(C)(C)N1C[C@H](C#N)C(=O)C1=O	ZINC000005713807	FBPKUDAVWWVKQI-LURJTMIESA-N	180.207	0.336	10	40	ACCB	
C[C@H]1SC(=S)NC1=O	ZINC000005735522	CWRGNNVQJYSNKB-UWTATZPHSA-N	147.224	0.523	10	40	ACCB	
C[C@@H]1SC(=S)NC1=O	ZINC000005751798	CWRGNNVQJYSNKB-REOHCLBHSA-N	147.224	0.523	10	40	ACCB	
CCCCNC1=C2C(=O)NN=C2CO1	ZINC000005809437	JTXBXRUUZPKRQY-UHFFFAOYSA-N	195.222	0.104	10	40	ACCB	
CC[C@H]1SC(=S)NC1=O	ZINC000006002187	TXCTUJTZUFLOHH-GSVOUGTGSA-N	161.251	0.913	10	40	ACCB	
CC[C@@H]1SC(=S)NC1=O	ZINC000006003068	TXCTUJTZUFLOHH-VKHMYHEASA-N	161.251	0.913	10	40	ACCB	
CN[C@@H](C)Cc1cc(O)c(O)cc1O	ZINC000006020970	YTALUFDCWBLHNU-LURJTMIESA-N	197.234	0.954	10	40	ACCB	
C[C@@](N)(CN=[N+]=[N-])C(=O)O	ZINC000006031973	WDJUCIRNDRCXTL-SCSAIBSYSA-N	144.134	0.099	10	40	ACCB	
C[C@](O)(C(=O)O)c1ccc(O)c(O)c1	ZINC000006032004	NDGMYGNFKSMYBB-SECBINFHSA-N	198.174	0.390	10	40	ACCB	
C[C@](N)(CN=[N+]=[N-])C(=O)O	ZINC000006067190	WDJUCIRNDRCXTL-BYPYZUCNSA-N	144.134	0.099	10	40	ACCB	
C[C@@](O)(C(=O)O)c1ccc(O)c(O)c1	ZINC000006067225	NDGMYGNFKSMYBB-VIFPVBQESA-N	198.174	0.390	10	40	ACCB	
O=C(O)c1cc(O)c(O)c(C(=O)O)c1	ZINC000006091193	FBOCZYIJDQZQFE-UHFFFAOYSA-N	198.130	0.494	10	40	ACCB	in-vitro,metabolite
O=C(O)c1cc(O)cc(O)c1O	ZINC000006091194	JOELYYRJYYLNRR-UHFFFAOYSA-N	170.120	0.502	10	40	ACCB	in-vitro
N=C(N)Cc1ccc(O)c(O)c1	ZINC000006091848	BUWZJWAQZANSHV-UHFFFAOYSA-N	166.180	0.576	10	40	ACCB	
Cc1cc(O)nc(O)c1C(=N)N	ZINC000006420595	UFMARGMMVYPFDP-UHFFFAOYSA-N	167.168	0.085	10	40	ACCB	
NC(=O)c1ccc(/N=N/O)nc1	ZINC000006536584	SRISILIZQNWZEP-UHFFFAOYSA-N	166.140	0.653	10	40	ACCB	
NC1=NNC(=O)/C1=C\c1ccccc1	ZINC000008628590	GTLSGCLWWCKKER-VURMDHGXSA-N	187.202	0.472	10	40	ACCB	
CNCc1cc(N)ccc1O	ZINC000011920623	KWOBZXUYRTVEPG-UHFFFAOYSA-N	152.197	0.694	10	40	ACCB	
CN(C)/C=C1\C=C(C=O)OC1=O	ZINC000012341677	JUZLMRLZYMOOMY-GQCTYLIASA-N	167.164	0.072	10	40	ACCB	
O=C1OCc2cc(O)c(O)cc21	ZINC000013328552	IUEBHXOMRBWJJL-UHFFFAOYSA-N	166.132	0.768	10	40	ACCB	biogenic,in-vitro
O=C1OCc2ccc(O)c(O)c21	ZINC000013328573	QLKWSMTVTAYNOX-UHFFFAOYSA-N	166.132	0.768	10	40	ACCB	biogenic,in-vitro
O=C(O)C(=O)c1ccc(O)c(O)c1	ZINC000013341433	HNZXTILLSIEXRZ-UHFFFAOYSA-N	182.131	0.365	10	40	ACCB	biogenic,in-vitro
NS(=O)(=O)Nc1ccc(O)cc1	ZINC000013488097	WJBILEYAOOGDFI-UHFFFAOYSA-N	188.208	0.008	10	40	ACCB	
Oc1ccc(O)c(O)n1	ZINC000013523790	YXJHZIOEJRCYHK-UHFFFAOYSA-N	127.099	0.198	10	40	ACCB	in-vitro,metabolite
COc1ccc(O)c([C@@H](N)C(=O)O)c1	ZINC000013910304	RVHFCDWALKCTJR-MRVPVSSYSA-N	197.190	0.485	10	40	ACCB	
