smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
S=C1CCNCC1	ZINC000001615058	PBTQRAQASIUKBX-UHFFFAOYSA-N	115.201	0.740	10	30	ACCC	
CO/N=[N+](/[O-])CCN=[N+]=[N-]	ZINC000005526071	TWYVMJOURCJRJW-BQYQJAHWSA-N	145.122	0.821	10	30	ACCC	
Oc1ccc2nonc2c1O	ZINC000006224229	YTOOYHLEZTUFKK-UHFFFAOYSA-N	152.109	0.634	10	30	ACCC	
N/N=C1\CCC=CCC\C1=N\N	ZINC000006561890	ZCYNYKVPHCFCPQ-DMOWJVCVSA-N	166.228	0.746	10	30	ACCC	
Cc1cc[n+](C(=O)N(C)C)cc1	ZINC000008301737	XNERGPWRHZTYSP-UHFFFAOYSA-N	165.216	0.812	10	30	ACCC	
NCCCc1ccc(O)c(O)c1	ZINC000013357358	JDMNLLVJYLMTPE-UHFFFAOYSA-N	167.208	0.989	10	30	ACCC	biogenic,in-vitro
CNC(=O)/N=[N+](\[O-])C(C)(C)[N+](=O)[O-]	ZINC000019328162	INASZDBSFOETKK-FPLPWBNLSA-N	190.159	0.301	10	30	ACCC	
CCOC(=O)CC=S	ZINC000034466053	QOCHWWDBZZNTQL-UHFFFAOYSA-N	132.184	0.939	10	30	ACCC	
C[C@@H]1CC(=O)[C@H](C#N)CN1	ZINC000038282003	PDHHQVRSUXAIOD-PHDIDXHHSA-N	138.170	0.077	10	30	ACCC	
C[C@H]1CC(=O)[C@H](C#N)CN1	ZINC000038282004	PDHHQVRSUXAIOD-NTSWFWBYSA-N	138.170	0.077	10	30	ACCC	
C[C@@H]1CC(=O)[C@@H](C#N)CN1	ZINC000038282005	PDHHQVRSUXAIOD-RITPCOANSA-N	138.170	0.077	10	30	ACCC	
C[C@H]1CC(=O)[C@@H](C#N)CN1	ZINC000038282006	PDHHQVRSUXAIOD-WDSKDSINSA-N	138.170	0.077	10	30	ACCC	
N[C@@H]1CCN(Cc2ccccc2O)C1	ZINC000038538701	RWIMLWWHVIJHRA-SNVBAGLBSA-N	192.262	0.925	10	30	ACCC	
N[C@H]1CCN(Cc2ccccc2O)C1	ZINC000038538703	RWIMLWWHVIJHRA-JTQLQIEISA-N	192.262	0.925	10	30	ACCC	
Oc1ccccc1CN1CC[C@H](O)C1	ZINC000038538705	WZXQMRGUGLMTAK-JTQLQIEISA-N	193.246	0.959	10	30	ACCC	
Oc1ccccc1CN1CC[C@@H](O)C1	ZINC000038538708	WZXQMRGUGLMTAK-SNVBAGLBSA-N	193.246	0.959	10	30	ACCC	
C/C=C\C=C1/C(=O)NC(=S)N=C1O	ZINC000056710339	KXNPSQQNORGKEB-IHWYPQMZSA-N	196.231	0.860	10	30	ACCC	
O=C1CCCCC(=O)C1=O	ZINC000066309368	UWBITYQWKQVQNN-UHFFFAOYSA-N	140.138	0.268	10	30	ACCC	
[N-]=[N+]=Cc1ccccn1	ZINC000072230792	OLNVLUCMZRMIEE-UHFFFAOYSA-N	119.127	0.730	10	30	ACCC	
[N-]=[N+]=Cc1ccncc1	ZINC000072230809	OIXUJYYIFUTLTI-UHFFFAOYSA-N	119.127	0.730	10	30	ACCC	
S=C1CCCNC1	ZINC000072231421	DABJPQCPSPPDPV-UHFFFAOYSA-N	115.201	0.740	10	30	ACCC	
CC1(C)CC(=O)C(=[N+]=N)C(=O)C1	ZINC000095896290	UEQLWUAGNABAHU-UHFFFAOYSA-N	167.188	0.625	10	30	ACCC	
N=[N+]=CC(=O)CCCCC(=O)C=[N+]=N	ZINC000096257595	IBGXSFUOPLBJBP-UHFFFAOYSA-N	196.210	0.305	10	30	ACCC	
S=C1C=CC=NC1	ZINC000100304548	APGUIOQYEKPPFX-UHFFFAOYSA-N	111.169	0.997	10	30	ACCC	
[N-]=[N+]=NCC(=O)Nc1ncccn1	ZINC000100673031	IIXXCJCXBFLARN-UHFFFAOYSA-N	178.155	0.725	10	30	ACCC	
CCCNC(=O)CN=[N+]=[N-]	ZINC000100673036	LLTLQCLSYYJIOZ-UHFFFAOYSA-N	142.162	0.823	10	30	ACCC	
[N-]=[N+]=NCC(=O)NC1CC1	ZINC000100673039	ZEOAZUOIKDCJLN-UHFFFAOYSA-N	140.146	0.575	10	30	ACCC	
COCCNC(=O)CN=[N+]=[N-]	ZINC000100673049	UTZWNCXNBPLUII-UHFFFAOYSA-N	158.161	0.059	10	30	ACCC	
COCCCNC(=O)CN=[N+]=[N-]	ZINC000100673052	SOGLVFJAAZEZGA-UHFFFAOYSA-N	172.188	0.449	10	30	ACCC	
[N-]=[N+]=NCC(=O)NC[C@H]1CCCO1	ZINC000100673054	GCHALVOKMAAWAK-ZCFIWIBFSA-N	184.199	0.592	10	30	ACCC	
[N-]=[N+]=NCC(=O)NC[C@@H]1CCCO1	ZINC000100673057	GCHALVOKMAAWAK-LURJTMIESA-N	184.199	0.592	10	30	ACCC	
CC1(C)[C@@H]2CC[C@]1(C(N)=O)C(=O)C2=O	ZINC000100969916	GXFHXTZMRIHNAO-GPXNAGAYSA-N	195.218	0.046	10	30	ACCC	
CC1(C)[C@H]2CC[C@]1(C(N)=O)C(=O)C2=O	ZINC000100969921	GXFHXTZMRIHNAO-XUOSJQGZSA-N	195.218	0.046	10	30	ACCC	
CC1(C)[C@@H]2CC[C@@]1(C(N)=O)C(=O)C2=O	ZINC000100969924	GXFHXTZMRIHNAO-FWOIEVBISA-N	195.218	0.046	10	30	ACCC	
CC1(C)[C@H]2CC[C@@]1(C(N)=O)C(=O)C2=O	ZINC000100969927	GXFHXTZMRIHNAO-RRAGMBSWSA-N	195.218	0.046	10	30	ACCC	
CN(C)/N=N\c1nc(C#N)c(C#N)[nH]1	ZINC000101384399	JOIOFESBKCZXAQ-SEYXRHQNSA-N	189.182	0.713	10	30	ACCC	
CN(C)/C=C1\SC(=S)NC1=O	ZINC000101450811	JCCSYPGGODSMLT-ARJAWSKDSA-N	188.277	0.537	10	30	ACCC	
O=C/C(=C\O)c1n[nH]cc1[N+](=O)[O-]	ZINC000104151470	CQMOOJOQQJVVEI-DUXPYHPUSA-N	183.123	0.416	10	30	ACCC	
CCOC(=O)/C=C(C)/N=N\C(N)=O	ZINC000104685752	DZKJGHCQIBAZFI-KBIUANSJSA-N	185.183	0.984	10	30	ACCC	
[N-]=[N+]=NC(=N)c1ncnc2[nH]cnc21	ZINC000104831401	VVJCFRBKPPZKTK-UHFFFAOYSA-N	188.154	0.989	10	30	ACCC	
[N-]=[N+]=CC(=O)[C@@H]1O[C@@H]1c1ccccc1	ZINC000104835237	YYZOAHAMMKMCDV-ZJUUUORDSA-N	188.186	0.996	10	30	ACCC	
[N-]=[N+]=CC(=O)[C@@H]1O[C@H]1c1ccccc1	ZINC000104835240	YYZOAHAMMKMCDV-UWVGGRQHSA-N	188.186	0.996	10	30	ACCC	
[N-]=[N+]=CC(=O)[C@H]1O[C@@H]1c1ccccc1	ZINC000104835245	YYZOAHAMMKMCDV-NXEZZACHSA-N	188.186	0.996	10	30	ACCC	
[N-]=[N+]=CC(=O)[C@H]1O[C@H]1c1ccccc1	ZINC000104835247	YYZOAHAMMKMCDV-VHSXEESVSA-N	188.186	0.996	10	30	ACCC	
C[C@@H]1CCC(=O)C(=[N+]=[N-])C1=O	ZINC000104839035	MMRYQLFPDCYIOX-SCSAIBSYSA-N	152.153	0.225	10	30	ACCC	
C[C@H]1CCC(=O)C(=[N+]=[N-])C1=O	ZINC000104839038	MMRYQLFPDCYIOX-BYPYZUCNSA-N	152.153	0.225	10	30	ACCC	
[N-]=[N+]=NC(=N)c1ncnc(N)c1N	ZINC000104856307	PGTLANULZNJSOV-UHFFFAOYSA-N	178.159	0.277	10	30	ACCC	
CO/N=[N+](\O)C(C)/[N+](O)=N/OC	ZINC000225410113	SEXBUBXPPXQKRL-UHFFFAOYSA-N	180.164	0.163	10	30	ACCC	
Cc1nonc1/[N+](O)=N/C#N	ZINC000225410888	CABANVLVOFGCHW-UHFFFAOYSA-N	154.109	0.345	10	30	ACCC	
Cc1nonc1/N=[N+](\O)C[N+](=O)[O-]	ZINC000225421796	NHLUMYXKTJAJLK-UHFFFAOYSA-N	188.123	0.098	10	30	ACCC	
