smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=C(O)c1ccc(O)c(O)c1C(=O)O	ZINC000000901679	QXGJCWSBOZXWOV-UHFFFAOYSA-N	198.130	0.494	10	20	ACCD	in-vitro,metabolite
O=C/C(Br)=C\O	ZINC000001846667	LBJIORYARIDXKA-HNQUOIGGSA-N	150.959	0.980	10	20	ACCD	
O=C(O)/C=C/c1cc(O)c(O)cc1O	ZINC000002504937	GUOJZFSYQUIYCN-OWOJBTEDSA-N	196.158	0.901	10	20	ACCD	in-vitro,metabolite
CC(=O)Cc1ccc(O)c(O)c1O	ZINC000002518690	JRCRTJRMNONMRC-UHFFFAOYSA-N	182.175	0.935	10	20	ACCD	
CC(=O)Cc1cc(O)c(O)cc1O	ZINC000002519025	RBGNNQWRGQZGAG-UHFFFAOYSA-N	182.175	0.935	10	20	ACCD	biogenic,in-vitro
CC(=O)Cc1cc(O)c(O)c(O)c1	ZINC000002519027	ZKLAFCMKZKUDJT-UHFFFAOYSA-N	182.175	0.935	10	20	ACCD	
O=[N+]([O-])CCc1cccc(O)c1O	ZINC000002519179	ZOINLQNGWDFXLG-UHFFFAOYSA-N	183.163	0.917	10	20	ACCD	
O=[N+]([O-])CCc1ccc(O)c(O)c1	ZINC000002519182	IMTNZDJNWVGNNN-UHFFFAOYSA-N	183.163	0.917	10	20	ACCD	biogenic,in-vitro
O=[N+]([O-])CCc1ccc(O)c(O)c1O	ZINC000002519248	XESICSZOELMCNA-UHFFFAOYSA-N	199.162	0.623	10	20	ACCD	
O=[N+]([O-])CCc1cc(O)c(O)cc1O	ZINC000002519249	LJQGHZJRTCKQRA-UHFFFAOYSA-N	199.162	0.623	10	20	ACCD	
O=[N+]([O-])CCc1cc(O)c(O)c(O)c1	ZINC000002519251	FRHMPJXJHUOLAY-UHFFFAOYSA-N	199.162	0.623	10	20	ACCD	
O=[N+]([O-])c1ccc(O)c(O)c1O	ZINC000002531057	FPYOMUFYEZASGS-UHFFFAOYSA-N	171.108	0.712	10	20	ACCD	
N[C@H](CC(=O)O)c1cccc(O)c1O	ZINC000002586185	VSRNZQGKXGMPGF-ZCFIWIBFSA-N	197.190	0.572	10	20	ACCD	
N[C@H](CC(=O)O)c1cc(O)ccc1O	ZINC000002586186	PFOZQXQJMPCGIB-SSDOTTSWSA-N	197.190	0.572	10	20	ACCD	
CC(=S)C(=O)O	ZINC000003203700	CFTNCZFDRNEFCU-UHFFFAOYSA-N	104.130	0.461	10	20	ACCD	
C[C@H](N)Cc1cc(O)c(O)cc1O	ZINC000003599025	FWNNQQDQXAMXMK-YFKPBYRVSA-N	183.207	0.693	10	20	ACCD	
C[C@@H](N)Cc1cc(O)c(O)cc1O	ZINC000003599026	FWNNQQDQXAMXMK-RXMQYKEDSA-N	183.207	0.693	10	20	ACCD	
O=C1Nc2ccccc2C(=O)C1=O	ZINC000003957727	XPVHVCNSIGRTIK-UHFFFAOYSA-N	175.143	0.391	10	20	ACCD	
NCCNc1ccc(N)cc1	ZINC000005425370	TVARKMCEMIFLIP-UHFFFAOYSA-N	151.213	0.639	10	20	ACCD	
C/N=N/NC	ZINC000005599810	SQUIUDMGPAPFHS-UHFFFAOYSA-N	73.099	0.203	10	20	ACCD	
Nc1ccc(OC[C@H](O)CO)cc1	ZINC000005933318	UVXFYVIGAUPIOP-MRVPVSSYSA-N	183.207	0.001	10	20	ACCD	
Nc1ccc(OC[C@@H](O)CO)cc1	ZINC000005933319	UVXFYVIGAUPIOP-QMMMGPOBSA-N	183.207	0.001	10	20	ACCD	
CNC(=O)c1cccc(O)c1O	ZINC000005996204	SFEXCINGPWYZRG-UHFFFAOYSA-N	167.164	0.457	10	20	ACCD	
CC(C)C=C1C(=O)NC(=S)NC1=O	ZINC000008569616	DAOPSVXZFWAJID-UHFFFAOYSA-N	198.247	0.100	10	20	ACCD	
O=C(O)CNCc1cccc(O)c1O	ZINC000008732274	SLCWLDNWVKLMFD-UHFFFAOYSA-N	197.190	0.272	10	20	ACCD	
O=C(O)CNCc1ccc(O)cc1O	ZINC000008732275	YVLFWBABTIKHBC-UHFFFAOYSA-N	197.190	0.272	10	20	ACCD	
Oc1nc(O)c(F)c(O)c1F	ZINC000012958794	OMWAHKGGWWHGJC-UHFFFAOYSA-N	163.079	0.477	10	20	ACCD	
O=C(O)c1cc(O)c(O)cc1[N+](=O)[O-]	ZINC000013335549	WJLNBPVVIXCYOV-UHFFFAOYSA-N	199.118	0.704	10	20	ACCD	biogenic,in-vitro
O=Cc1ccc(O)c(O)c1[N+](=O)[O-]	ZINC000013730965	UICJHWULOYPREF-UHFFFAOYSA-N	183.119	0.819	10	20	ACCD	
Cc1cc(O)c(O)c(O)c1O	ZINC000014590470	YTNUOGWCFLMGLF-UHFFFAOYSA-N	156.137	0.817	10	20	ACCD	biogenic,in-vitro
O=Cc1cc(O)c(O)c(O)c1O	ZINC000014725469	VHJJXHDMYTUESO-UHFFFAOYSA-N	170.120	0.322	10	20	ACCD	biogenic,in-vitro
O=c1ccc2cc(O)c(O)c(O)c2o1	ZINC000014776271	NSDVPAHANCHBFV-UHFFFAOYSA-N	194.142	0.910	10	20	ACCD	biogenic,in-vitro
OCCCc1cc(O)c(O)c(O)c1	ZINC000014818056	QEDJWJUULPDEIG-UHFFFAOYSA-N	184.191	0.728	10	20	ACCD	biogenic,in-vitro
NC(=O)CNc1ccc(N)cc1	ZINC000020381761	SUVDKDKSNYZGFY-UHFFFAOYSA-N	165.196	0.166	10	20	ACCD	
O=[N+]([O-])c1cc(O)c(O)cc1O	ZINC000021303639	OXNDPOQEDXDTRR-UHFFFAOYSA-N	171.108	0.712	10	20	ACCD	
