smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(=O)C(=O)C(=O)OC(C)C	ZINC000238170618	DHOMOJRGLWAHEK-UHFFFAOYSA-N	158.153	0.096	10	10	ACCE	
CC1(C)OC[C@@H]([C@@H](O)N=[N+]=[N-])O1	ZINC000238174922	OJEOBCVYTXIINE-CRCLSJGQSA-N	173.172	0.767	10	10	ACCE	
CC1(C)OC[C@@H]([C@H](O)N=[N+]=[N-])O1	ZINC000238175827	OJEOBCVYTXIINE-WHFBIAKZSA-N	173.172	0.767	10	10	ACCE	
CC1(C)OC[C@H]([C@@H](O)N=[N+]=[N-])O1	ZINC000238179086	OJEOBCVYTXIINE-RFZPGFLSSA-N	173.172	0.767	10	10	ACCE	
CC(=O)O[C@@H](CCN=[N+]=[N-])C(N)=O	ZINC000238179532	KETNHWUGFFQPHE-YFKPBYRVSA-N	186.171	0.104	10	10	ACCE	
CC1(C)OC[C@H]([C@H](O)N=[N+]=[N-])O1	ZINC000238179714	OJEOBCVYTXIINE-UHNVWZDZSA-N	173.172	0.767	10	10	ACCE	
CC(C)=C1SC(N)=NC1=O	ZINC000238180566	XJIAJIZMEOXXTF-UHFFFAOYSA-N	156.210	0.868	10	10	ACCE	
C=C(N=[N+]=[N-])[C@H](COC=O)OC(C)=O	ZINC000238180640	HOHUCZIEJYRRHS-ZETCQYMHSA-N	199.166	0.915	10	10	ACCE	
CC(=O)O[C@@H]1C=C[C@@H](N=[N+]=[N-])[C@@H]2O[C@@H]21	ZINC000238182438	VPKCNIQCBVPDOX-OOJXKGFFSA-N	195.178	0.934	10	10	ACCE	
CC(=O)O[C@@H]1C=C[C@H](N=[N+]=[N-])[C@@H]2O[C@@H]21	ZINC000238182505	VPKCNIQCBVPDOX-FKSUSPILSA-N	195.178	0.934	10	10	ACCE	
CC1(C)OC[C@]2(C=C[C@H](O)O2)O1	ZINC000238183134	GGLMLEJZZGTMQP-SVRRBLITSA-N	172.180	0.370	10	10	ACCE	
CC1(C)OC[C@]2(C=C[C@@H](O)O2)O1	ZINC000238183214	GGLMLEJZZGTMQP-XPUUQOCRSA-N	172.180	0.370	10	10	ACCE	
CC(C)(O)[C@@H](O)CN=[N+]=[N-]	ZINC000238184212	GZEDVKKCNZHDPT-BYPYZUCNSA-N	145.162	0.429	10	10	ACCE	
CC1(C)O[C@@H]1[C@@H](CO)N=[N+]=[N-]	ZINC000238184419	FHJBIGVZHRLIOF-RFZPGFLSSA-N	157.173	0.835	10	10	ACCE	
CC1(C)O[C@@H]1[C@H](CO)N=[N+]=[N-]	ZINC000238184540	FHJBIGVZHRLIOF-CRCLSJGQSA-N	157.173	0.835	10	10	ACCE	
CC(=O)[C@@]1(N=[N+]=[N-])CCOC1=O	ZINC000238185134	LENGRNMQVRNHEE-LURJTMIESA-N	169.140	0.571	10	10	ACCE	
CCC(=C/C(=O)OC)/N=N/C(N)=O	ZINC000238185439	RUBYVQKTPFLQID-HJXNJETESA-N	185.183	0.984	10	10	ACCE	
CC1(C)OC[C@@]2(C=C[C@H](O)O2)O1	ZINC000238185558	GGLMLEJZZGTMQP-HTRCEHHLSA-N	172.180	0.370	10	10	ACCE	
CC1(C)OC[C@@]2(C=C[C@@H](O)O2)O1	ZINC000238185607	GGLMLEJZZGTMQP-POYBYMJQSA-N	172.180	0.370	10	10	ACCE	
CC(C)C(=O)C(=O)C(C)(C)CO	ZINC000238186156	AFGMAUPZCNJARB-UHFFFAOYSA-N	172.224	0.799	10	10	ACCE	
CC(=O)CC(=O)C(=O)C(C)C	ZINC000238186203	BJCQRVWNRIAHJM-UHFFFAOYSA-N	156.181	0.760	10	10	ACCE	
CC1[C@@H]2CC[C@@H]1C(=O)C2=O	ZINC000238187115	QICRVOCMZYDLPO-WDSKDSINSA-N	138.166	0.801	10	10	ACCE	
CC1[C@H]2CC[C@@H]1C(=O)C2=O	ZINC000238187167	QICRVOCMZYDLPO-GOHHTPAQSA-N	138.166	0.801	10	10	ACCE	
CC1[C@H]2CC[C@H]1C(=O)C2=O	ZINC000238188352	QICRVOCMZYDLPO-PHDIDXHHSA-N	138.166	0.801	10	10	ACCE	
CC1(C)O[C@@H]2CN[C@@H](CN=[N+]=[N-])[C@@H]2O1	ZINC000238188683	UIRQGJNKEYFHKO-XVMARJQXSA-N	198.226	0.789	10	10	ACCE	
CC1(C)O[C@@H]2CN[C@H](CN=[N+]=[N-])[C@@H]2O1	ZINC000238188920	UIRQGJNKEYFHKO-QYNIQEEDSA-N	198.226	0.789	10	10	ACCE	
CCC(=O)C(=O)[C@@H](C)COC	ZINC000238189287	VGJBHTFHMHQCSH-LURJTMIESA-N	158.197	0.817	10	10	ACCE	
CCC(=O)C(=O)[C@H](C)COC	ZINC000238189362	VGJBHTFHMHQCSH-ZCFIWIBFSA-N	158.197	0.817	10	10	ACCE	
CC(C)(O)[C@H](O)CN=[N+]=[N-]	ZINC000238189517	GZEDVKKCNZHDPT-SCSAIBSYSA-N	145.162	0.429	10	10	ACCE	
CC1(C)O[C@H]1[C@@H](CO)N=[N+]=[N-]	ZINC000238190489	FHJBIGVZHRLIOF-UHNVWZDZSA-N	157.173	0.835	10	10	ACCE	
CC1(C)O[C@H]1[C@H](CO)N=[N+]=[N-]	ZINC000238190581	FHJBIGVZHRLIOF-WHFBIAKZSA-N	157.173	0.835	10	10	ACCE	
CC(C)[C@H](N=[N+]=[N-])C(N)=O	ZINC000238191428	DYONRCFTXPCMRY-BYPYZUCNSA-N	142.162	0.807	10	10	ACCE	
CC1(C)O[C@@H]2[C@@H](O)C[C@@H](N=[N+]=[N-])[C@@H]2O1	ZINC000238192999	SFOBRJXNXTVDTL-JRTVQGFMSA-N	199.210	0.950	10	10	ACCE	
CC1(C)O[C@@H]2[C@H](O)C[C@@H](N=[N+]=[N-])[C@@H]2O1	ZINC000238193720	SFOBRJXNXTVDTL-MVIOUDGNSA-N	199.210	0.950	10	10	ACCE	
CCC(=O)CCC(=O)C(C)=O	ZINC000238195419	NXLDVFZWZKDTIU-UHFFFAOYSA-N	156.181	0.904	10	10	ACCE	
CC1(C)O[C@H]2CN[C@@H](CN=[N+]=[N-])[C@@H]2O1	ZINC000238196157	UIRQGJNKEYFHKO-ACZMJKKPSA-N	198.226	0.789	10	10	ACCE	
CC1(C)O[C@H]2CN[C@H](CN=[N+]=[N-])[C@@H]2O1	ZINC000238196451	UIRQGJNKEYFHKO-VQVTYTSYSA-N	198.226	0.789	10	10	ACCE	
CC(=O)[C@H](N)c1c(O)cccc1CO	ZINC000238196593	WQSJSWQZCKHADM-JTQLQIEISA-N	195.218	0.473	10	10	ACCE	
CC(C)[C@@](N)(CN=[N+]=[N-])C(=O)O	ZINC000238197769	LRMJTDCJVMIGOA-LURJTMIESA-N	172.188	0.735	10	10	ACCE	
CC1(C)C(=O)C(=O)C[C@@H]1C(=O)O	ZINC000238201034	PWOGUQCNZXBARA-SCSAIBSYSA-N	170.164	0.255	10	10	ACCE	
CC1(C)O[C@H]2[C@H](O)C[C@@H](N=[N+]=[N-])[C@@H]2O1	ZINC000238202112	SFOBRJXNXTVDTL-JWXFUTCRSA-N	199.210	0.950	10	10	ACCE	
CC(C=S)(C=S)CO	ZINC000238202121	FDXFERXPVXSETG-UHFFFAOYSA-N	148.252	0.984	10	10	ACCE	
CCC(N=[N+]=[N-])(C(=O)O)C(=O)O	ZINC000238205358	FKRKSFULAXMNBY-UHFFFAOYSA-N	173.128	0.615	10	10	ACCE	
CC(C)C(=S)[C@@H](N)C(=O)O	ZINC000238205466	ZUBITYNAURDXLX-SCSAIBSYSA-N	161.226	0.424	10	10	ACCE	
CC(C)C(=S)[C@H](N)C(=O)O	ZINC000238205508	ZUBITYNAURDXLX-BYPYZUCNSA-N	161.226	0.424	10	10	ACCE	
CC(C)[C@](N)(CN=[N+]=[N-])C(=O)O	ZINC000238205808	LRMJTDCJVMIGOA-ZCFIWIBFSA-N	172.188	0.735	10	10	ACCE	
CC(C)[C@H](O)[C@@H](N=[N+]=[N-])C(=O)O	ZINC000238216522	RGNQLRXQITUMIN-UHNVWZDZSA-N	173.172	0.767	10	10	ACCE	
CC(C)[C@H](O)[C@H](N=[N+]=[N-])C(=O)O	ZINC000238218788	RGNQLRXQITUMIN-WHFBIAKZSA-N	173.172	0.767	10	10	ACCE	
CCCC(=O)C(=O)C#N	ZINC000238224458	KZIUHZDATQFYOK-UHFFFAOYSA-N	125.127	0.448	10	10	ACCE	
CCCC(=O)C(=O)C(=O)OC	ZINC000238224483	ZULORASRYSZPOT-UHFFFAOYSA-N	158.153	0.098	10	10	ACCE	
CC(C)[C@H]1C(=O)CC(=O)C1=O	ZINC000238224697	UGRYZRAHQYEHSL-ZETCQYMHSA-N	154.165	0.370	10	10	ACCE	
CCN1CCC(=O)[C@H](C#N)C1	ZINC000238226084	WTLSFMQJGHFETJ-SSDOTTSWSA-N	152.197	0.421	10	10	ACCE	
CC/N=N/[C@H](CCCN)C(=O)O	ZINC000238227300	DXECBTGXSJVALR-VQAQDHJASA-N	173.216	0.651	10	10	ACCE	
CC1(C)C(=O)C(=O)C[C@H]1C(=O)O	ZINC000238230904	PWOGUQCNZXBARA-BYPYZUCNSA-N	170.164	0.255	10	10	ACCE	
CCCC[C@H](O)[C@@H](O)C(=O)C(C)=O	ZINC000238235062	FQADDFWWZCETNJ-IONNQARKSA-N	188.223	0.057	10	10	ACCE	
CCCC[C@H](O)[C@H](O)C(=O)C(C)=O	ZINC000238236202	FQADDFWWZCETNJ-CBAPKCEASA-N	188.223	0.057	10	10	ACCE	
CC1(N)C(=O)c2ccccc2C1=O	ZINC000238238284	MEKNQDUIZLXQHB-UHFFFAOYSA-N	175.187	0.783	10	10	ACCE	
CCCCCCN1NC(=O)CC1=O	ZINC000238240140	BWIMCPDXMDDAMP-UHFFFAOYSA-N	184.239	0.830	10	10	ACCE	
CCC[C@@H](N=[N+]=[N-])[C@@H](O)C(=O)OC	ZINC000238243966	OHXSWIONBWOELP-PHDIDXHHSA-N	187.199	0.999	10	10	ACCE	
CCC[C@@H](N=[N+]=[N-])[C@H](O)C(=O)OC	ZINC000238244085	OHXSWIONBWOELP-RITPCOANSA-N	187.199	0.999	10	10	ACCE	
CCOC(=O)C[C@@H](N=[N+]=[N-])C(=O)O	ZINC000238246277	BPXLDLRRTMXORQ-SCSAIBSYSA-N	187.155	0.703	10	10	ACCE	
CCNC(=O)[C@@H](N)[C@@H](C)N=[N+]=[N-]	ZINC000238250161	AKVVARQVEBAGQZ-UHNVWZDZSA-N	171.204	0.149	10	10	ACCE	
CCNC(=O)[C@@H](N)[C@H](C)N=[N+]=[N-]	ZINC000238250172	AKVVARQVEBAGQZ-WHFBIAKZSA-N	171.204	0.149	10	10	ACCE	
CCNC[C@]1(OC)C=C[C@H](OC)O1	ZINC000238251540	RFFJKZFXLSGULH-BDAKNGLRSA-N	187.239	0.498	10	10	ACCE	
CCNC[C@]1(OC)C=C[C@@H](OC)O1	ZINC000238251550	RFFJKZFXLSGULH-IUCAKERBSA-N	187.239	0.498	10	10	ACCE	
CCC[C@H](N=[N+]=[N-])[C@@H](O)C(=O)OC	ZINC000238252574	OHXSWIONBWOELP-NTSWFWBYSA-N	187.199	0.999	10	10	ACCE	
CCOC(=O)C[C@H](N=[N+]=[N-])C(=O)O	ZINC000238253065	BPXLDLRRTMXORQ-BYPYZUCNSA-N	187.155	0.703	10	10	ACCE	
CCOC(=O)[C@H](C#N)N=[N+]=[N-]	ZINC000238254102	XMZJPEAICHWOHS-BYPYZUCNSA-N	154.129	0.752	10	10	ACCE	
CCOC(=O)[C@@H](N=[N+]=[N-])[C@@H](O)CC	ZINC000238254173	BRWNSZFEGQMPBG-WDSKDSINSA-N	187.199	0.999	10	10	ACCE	
CCOC(=O)[C@@H](N=[N+]=[N-])[C@H](O)CC	ZINC000238254246	BRWNSZFEGQMPBG-RITPCOANSA-N	187.199	0.999	10	10	ACCE	
CCNC(=O)[C@H](N)[C@@H](C)N=[N+]=[N-]	ZINC000238254683	AKVVARQVEBAGQZ-RFZPGFLSSA-N	171.204	0.149	10	10	ACCE	
CCNC(=O)[C@H](N)[C@H](C)N=[N+]=[N-]	ZINC000238254700	AKVVARQVEBAGQZ-CRCLSJGQSA-N	171.204	0.149	10	10	ACCE	
CCOC(=O)[C@@H](C#N)N=[N+]=[N-]	ZINC000238255324	XMZJPEAICHWOHS-SCSAIBSYSA-N	154.129	0.752	10	10	ACCE	
CCOC(=O)[C@H](N=[N+]=[N-])[C@@H](O)CC	ZINC000238255388	BRWNSZFEGQMPBG-NTSWFWBYSA-N	187.199	0.999	10	10	ACCE	
CCOC(=O)[C@H](N=[N+]=[N-])[C@H](O)CC	ZINC000238255482	BRWNSZFEGQMPBG-PHDIDXHHSA-N	187.199	0.999	10	10	ACCE	
CCOC(=O)CC(=O)[C@@H](C)C#N	ZINC000238255531	OQETUPPEGURHTG-LURJTMIESA-N	169.180	0.668	10	10	ACCE	
CCOC(=O)CC(=O)[C@H](C)C#N	ZINC000238255797	OQETUPPEGURHTG-ZCFIWIBFSA-N	169.180	0.668	10	10	ACCE	
CCC[C@@H](O)[C@@H](CO)N=[N+]=[N-]	ZINC000238257517	RSKODESSLMYMNV-PHDIDXHHSA-N	159.189	0.819	10	10	ACCE	
CCC[C@@H](O)[C@@H](N=[N+]=[N-])C(=O)OC	ZINC000238257742	MGDQUCAAFIYWTA-PHDIDXHHSA-N	187.199	0.999	10	10	ACCE	
CCOC(=O)[C@@H](O)N=[N+]=[N-]	ZINC000238258003	UYIFQHWRORQDII-GSVOUGTGSA-N	145.118	0.178	10	10	ACCE	
CCNC[C@@]1(OC)C=C[C@H](OC)O1	ZINC000238258110	RFFJKZFXLSGULH-RKDXNWHRSA-N	187.239	0.498	10	10	ACCE	
CCNC[C@@]1(OC)C=C[C@@H](OC)O1	ZINC000238258124	RFFJKZFXLSGULH-DTWKUNHWSA-N	187.239	0.498	10	10	ACCE	
CCOC(=O)[C@H](O)N=[N+]=[N-]	ZINC000238258442	UYIFQHWRORQDII-VKHMYHEASA-N	145.118	0.178	10	10	ACCE	
CCC[C@@H](O)[C@H](N=[N+]=[N-])C(=O)OC	ZINC000238259736	MGDQUCAAFIYWTA-RITPCOANSA-N	187.199	0.999	10	10	ACCE	
CCO[C@@H](N=[N+]=[N-])C(=O)O	ZINC000238260040	ZWAVIIMWKCRMSF-GSVOUGTGSA-N	145.118	0.744	10	10	ACCE	
CCOC(=O)[C@H]1CCC(=O)C1=O	ZINC000238261918	XHNSLLXZXNKBIU-YFKPBYRVSA-N	170.164	0.098	10	10	ACCE	
CCOCCC(=O)C(C)=O	ZINC000238262314	PRDKMFPGCWAOCA-UHFFFAOYSA-N	144.170	0.571	10	10	ACCE	
CCC[C@H](O)[C@@H](CO)N=[N+]=[N-]	ZINC000238263489	RSKODESSLMYMNV-RITPCOANSA-N	159.189	0.819	10	10	ACCE	
CCC[C@H](O)[C@@H](N=[N+]=[N-])C(=O)OC	ZINC000238263661	MGDQUCAAFIYWTA-NTSWFWBYSA-N	187.199	0.999	10	10	ACCE	
CCC[C@H](O)[C@H](CO)N=[N+]=[N-]	ZINC000238264652	RSKODESSLMYMNV-WDSKDSINSA-N	159.189	0.819	10	10	ACCE	
CCOC(=O)[C@H]1CC[C@@H](N=[N+]=[N-])[C@@H]1O	ZINC000238264664	GAMKLAYSHYGBDT-RRKCRQDMSA-N	199.210	0.999	10	10	ACCE	
CCC[C@H](O)[C@H](N=[N+]=[N-])C(=O)OC	ZINC000238264770	MGDQUCAAFIYWTA-WDSKDSINSA-N	187.199	0.999	10	10	ACCE	
CCS(=O)(=O)CN=[N+]=[N-]	ZINC000238264828	PGSYAPRMGLBNRT-UHFFFAOYSA-N	149.175	0.689	10	10	ACCE	
CCOC(=O)[C@H]1CC[C@H](N=[N+]=[N-])[C@@H]1O	ZINC000238265058	GAMKLAYSHYGBDT-LYFYHCNISA-N	199.210	0.999	10	10	ACCE	
CCO[C@@H]1C[C@@H](N=[N+]=[N-])[C@@H](CO)O1	ZINC000238265379	QYDYCXIZVSGQTJ-QYNIQEEDSA-N	187.199	0.809	10	10	ACCE	
CCO[C@@H]1C[C@H](N=[N+]=[N-])[C@@H](CO)O1	ZINC000238266420	QYDYCXIZVSGQTJ-XVMARJQXSA-N	187.199	0.809	10	10	ACCE	
CCOC(=O)[C@H]1C[C@@H](O)[C@@H](N=[N+]=[N-])C1	ZINC000238267608	JYEUDHJUJYMMFI-DSYKOEDSSA-N	199.210	0.999	10	10	ACCE	
CCOC(=O)[C@H]1C[C@H](O)[C@@H](N=[N+]=[N-])C1	ZINC000238269007	JYEUDHJUJYMMFI-VQVTYTSYSA-N	199.210	0.999	10	10	ACCE	
CCO[C@H]1C=C[C@H](O)[C@@H](CN=[N+]=[N-])O1	ZINC000238269092	KOOJSZCQUGYCGX-XLPZGREQSA-N	199.210	0.975	10	10	ACCE	
CCO[C@H]1C=C[C@@H](O)[C@@H](CN=[N+]=[N-])O1	ZINC000238269099	KOOJSZCQUGYCGX-BWZBUEFSSA-N	199.210	0.975	10	10	ACCE	
