smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCN(CC)/[N+]([O-])=N/OC	ZINC000000015795	RRVPABSEZXWXNU-VURMDHGXSA-N	147.178	0.767	10	1	ACCF	
CO/N=[N+](\[O-])N(C)C(C)C	ZINC000000015796	YDQMRWZNGMDTOJ-VURMDHGXSA-N	147.178	0.766	10	1	ACCF	
CCN(CC)/[N+]([O-])=N/OC[C@@H](C)O	ZINC000001535779	SEJJLCNXRRIDAN-JAGWFPCYSA-N	191.231	0.518	10	1	ACCF	
CCN(CC)/[N+]([O-])=N/OCOC	ZINC000001535783	MOBRKEKGWCQYHC-CLFYSBASSA-N	177.204	0.741	10	1	ACCF	
CCN(CC)/[N+]([O-])=N/OCCO	ZINC000001535784	KEDAXAIFVKUMAA-CLFYSBASSA-N	177.204	0.130	10	1	ACCF	
CN(C)c1cc[n+](C=O)cc1	ZINC000001614192	WDDCFSFMJWHYDE-UHFFFAOYSA-N	151.189	0.078	10	1	ACCF	
CN(CCc1ccccn1)/[N+]([O-])=N/O	ZINC000001623899	PKFIIXBDFFTXKR-BENRWUELSA-N	196.210	0.823	10	1	ACCF	
CCN(CC)/[N+]([O-])=N/OC[C@H](C)O	ZINC000001624079	SEJJLCNXRRIDAN-SGXDDJEGSA-N	191.231	0.518	10	1	ACCF	
CO/N=[N+](\[O-])NC(C)C	ZINC000001633548	ABPPGZXBYYLLGF-UHFFFAOYSA-N	133.151	0.423	10	1	ACCF	
CC(=O)C(=O)CCCCC(=O)O	ZINC000001708502	XAMZQMTUIASZPN-UHFFFAOYSA-N	172.180	0.790	10	1	ACCF	
NC(=O)[C@H]1Cc2cc3c(cc21)OCO3	ZINC000001859913	JFICWBJQMVMQJL-ZETCQYMHSA-N	191.186	0.540	10	1	ACCF	
NC(=O)[C@@H]1Cc2cc3c(cc21)OCO3	ZINC000003597183	JFICWBJQMVMQJL-SSDOTTSWSA-N	191.186	0.540	10	1	ACCF	
NCCc1cc(O)cc(O)c1O	ZINC000003652786	VSVPPZRSQLMEMS-UHFFFAOYSA-N	169.180	0.305	10	1	ACCF	
