smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CN(C)CCNCCCl	ZINC000049804551	PZQVBHAUUFWDNL-UHFFFAOYSA-N	150.653	0.376	30	50	ACEA	
COCCCNCCCl	ZINC000049804560	IXPSUMWTRQDMMP-UHFFFAOYSA-N	151.637	0.851	30	50	ACEA	
CN(C)CCCNCCCl	ZINC000049804814	FICFNXMIGZZNGS-UHFFFAOYSA-N	164.680	0.767	30	50	ACEA	
CN(C)CCN(C)CCCl	ZINC000049804815	PLVVQEVNBWOVRK-UHFFFAOYSA-N	164.680	0.719	30	50	ACEA	
CC(C)(C#N)COS(C)(=O)=O	ZINC000049805378	XMHFZVYKNRRPMO-UHFFFAOYSA-N	177.225	0.512	30	50	ACEA	
COC(=O)Cc1nnc(CCl)o1	ZINC000049806627	URPVLEVJKGOFFB-UHFFFAOYSA-N	190.586	0.524	30	50	ACEA	
CC(C)CC(=O)NNC(=O)CCl	ZINC000049806968	RVTMAZSRJDAIGB-UHFFFAOYSA-N	192.646	0.419	30	50	ACEA	
CC(C)(C)C(=O)NNC(=O)CCl	ZINC000049806969	ZBWQOEDUGLTWDX-UHFFFAOYSA-N	192.646	0.419	30	50	ACEA	
CC1=NC=C[C@H]2NC(=O)C(C#N)=C[C@H]12	ZINC000049942665	ZVPAFGBMXBIKHD-RKDXNWHRSA-N	187.202	0.539	30	50	ACEA	
CC1=NC=C[C@@H]2NC(=O)C(C#N)=C[C@H]12	ZINC000049942666	ZVPAFGBMXBIKHD-BDAKNGLRSA-N	187.202	0.539	30	50	ACEA	
CC1=NC=C[C@H]2NC(=O)C(C#N)=C[C@@H]12	ZINC000049942667	ZVPAFGBMXBIKHD-DTWKUNHWSA-N	187.202	0.539	30	50	ACEA	
CC1=NC=C[C@@H]2NC(=O)C(C#N)=C[C@@H]12	ZINC000049942668	ZVPAFGBMXBIKHD-IUCAKERBSA-N	187.202	0.539	30	50	ACEA	
CN(C)/C=C/C(=C(C#N)C#N)N(C)C	ZINC000049952284	FWKLIUPTMOVCPA-AATRIKPKSA-N	190.250	0.925	30	50	ACEA	
O=CCN1C(=O)COc2ccccc21	ZINC000050129296	UOOVJUTYTFJOCH-UHFFFAOYSA-N	191.186	0.611	30	50	ACEA	
CN1CCc2cc(/C(N)=N\N)ccc21	ZINC000050286247	NEFKIYQLRXJCBR-UHFFFAOYSA-N	190.250	0.258	30	50	ACEA	
N[C@H]1C[C@H]1/C(O)=N/c1nncs1	ZINC000050457819	QVCMMBFNWXGEIU-DMTCNVIQSA-N	184.224	0.473	30	50	ACEA	
