smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@H](Cl)c1n[nH]c(=O)n1C	ZINC000095092948	RRKDBUOEBVFLAZ-VKHMYHEASA-N	161.592	0.408	30	40	ACEB	
C[C@@H](Cl)c1n[nH]c(=O)n1C	ZINC000095092949	RRKDBUOEBVFLAZ-GSVOUGTGSA-N	161.592	0.408	30	40	ACEB	
COC(=O)C(=O)/C=C(\O)c1ccco1	ZINC000095483620	JXPFNTBWWRCPOU-WAYWQWQTSA-N	196.158	0.921	30	40	ACEB	
NNC(=O)Cc1cccc([N+](=O)[O-])c1	ZINC000095532015	VYFMAZCXFOXTEE-UHFFFAOYSA-N	195.178	0.127	30	40	ACEB	
C[C@@H](CO)NNC(=O)OC(C)(C)C	ZINC000095532260	ZZGJJWBOBPWDAU-LURJTMIESA-N	190.243	0.397	30	40	ACEB	
C[C@H](CO)NNC(=O)OC(C)(C)C	ZINC000095532261	ZZGJJWBOBPWDAU-ZCFIWIBFSA-N	190.243	0.397	30	40	ACEB	
O=c1ccc2c([nH]1)C(=O)C=C(O)C2=O	ZINC000095549916	KKMWPXJPHSJQLN-UHFFFAOYSA-N	191.142	0.196	30	40	ACEB	
CN(C)P1(=O)N(C)CCN1C	ZINC000095566880	PTUNVBFYPJJYOY-UHFFFAOYSA-N	177.188	0.533	30	40	ACEB	
CCOC(=O)C[C@@H](C)N=C=O	ZINC000095611885	YAQRPUZOGYLKNZ-ZCFIWIBFSA-N	157.169	0.664	30	40	ACEB	
CCOC(=O)C[C@H](C)N=C=O	ZINC000095611886	YAQRPUZOGYLKNZ-LURJTMIESA-N	157.169	0.664	30	40	ACEB	
BrC1C=NN=C1	ZINC000095626573	HVUKNBGZHPEBFV-UHFFFAOYSA-N	146.975	0.820	30	40	ACEB	
IC1C=NN=C1	ZINC000095626579	VVJLBDKMLFTVGO-UHFFFAOYSA-N	193.975	0.860	30	40	ACEB	
C[C@@H]1COC[C@H](CS)N1	ZINC000095627075	GSCKULZRXDSQID-PHDIDXHHSA-N	147.243	0.293	30	40	ACEB	
C[C@H]1COC[C@H](CS)N1	ZINC000095627076	GSCKULZRXDSQID-NTSWFWBYSA-N	147.243	0.293	30	40	ACEB	
C[C@@H]1COC[C@@H](CS)N1	ZINC000095627077	GSCKULZRXDSQID-RITPCOANSA-N	147.243	0.293	30	40	ACEB	
C[C@H]1COC[C@@H](CS)N1	ZINC000095627078	GSCKULZRXDSQID-WDSKDSINSA-N	147.243	0.293	30	40	ACEB	
N#CCCN=C=O	ZINC000095642705	QNSNSOWOZZVZDQ-UHFFFAOYSA-N	96.089	0.236	30	40	ACEB	
C[N+]12CCC(CC1)/C(=N/O)C2	ZINC000095676318	FLKPUAQNYGNCJZ-CMDGGOBGSA-O	155.221	0.687	30	40	ACEB	
[C-]#[N+][C@@H](CC(=O)OC)C(=O)OC	ZINC000095697977	ZMXWGHUWPDLSEV-YFKPBYRVSA-N	171.152	0.010	30	40	ACEB	
[C-]#[N+][C@H](CC(=O)OC)C(=O)OC	ZINC000095697978	ZMXWGHUWPDLSEV-RXMQYKEDSA-N	171.152	0.010	30	40	ACEB	
[C-]#[N+][C@@H](CCC(=O)OC)C(=O)OC	ZINC000095698002	GMIVCMAUMKZQEO-LURJTMIESA-N	185.179	0.400	30	40	ACEB	
[C-]#[N+][C@H](CCC(=O)OC)C(=O)OC	ZINC000095698003	GMIVCMAUMKZQEO-ZCFIWIBFSA-N	185.179	0.400	30	40	ACEB	
[C-]#[N+][C@@H](CCCC(=O)OC)C(=O)OC	ZINC000095698056	QVCXUPFOTQKMFV-ZETCQYMHSA-N	199.206	0.791	30	40	ACEB	
[C-]#[N+][C@H](CCCC(=O)OC)C(=O)OC	ZINC000095698057	QVCXUPFOTQKMFV-SSDOTTSWSA-N	199.206	0.791	30	40	ACEB	
[C-]#[N+]/C(=C\N(C)C)C(=O)OC	ZINC000095698178	FREGRQYTSPAJDX-WAYWQWQTSA-N	154.169	0.482	30	40	ACEB	
CNP(=O)(N(C)C)N(C)C	ZINC000095704235	JSJBYUNWLNWERF-UHFFFAOYSA-N	165.177	0.437	30	40	ACEB	
CN(C)P(=O)(N(C)C)N(C)CO	ZINC000095704238	MIDJUYBRPJQVDK-UHFFFAOYSA-N	195.203	0.099	30	40	ACEB	
O=C(O)C1=NC2=C[C@@H](Cl)C=NC2=C1	ZINC000095707315	HPTALMNUONVQRU-SCSAIBSYSA-N	196.593	0.985	30	40	ACEB	
O=C(O)C1=NC2=C[C@H](Cl)C=NC2=C1	ZINC000095707316	HPTALMNUONVQRU-BYPYZUCNSA-N	196.593	0.985	30	40	ACEB	
O=C(O)C1=CN=C2N=C[C@H](Cl)C=C12	ZINC000095707555	LXXWSBUFDRCFAB-SCSAIBSYSA-N	196.593	0.985	30	40	ACEB	
O=C(O)C1=CN=C2N=C[C@@H](Cl)C=C12	ZINC000095707556	LXXWSBUFDRCFAB-BYPYZUCNSA-N	196.593	0.985	30	40	ACEB	
CC1=N[C@@H](C=O)C(C)=C1C(=O)O	ZINC000095707814	ZZWBQJWPHLFVTF-LURJTMIESA-N	167.164	0.430	30	40	ACEB	
O=CC1=C[C@@H](Cl)C=N1	ZINC000095708109	VFPZXCMFSXJYJN-SCSAIBSYSA-N	129.546	0.761	30	40	ACEB	
O=CC1=C[C@H](Cl)C=N1	ZINC000095708110	VFPZXCMFSXJYJN-BYPYZUCNSA-N	129.546	0.761	30	40	ACEB	
N#CC1=CC=NC2=NC=N[C@@H]21	ZINC000095708183	ASRAHVSNTMJHBN-ZCFIWIBFSA-N	144.137	0.330	30	40	ACEB	
N#CC1=CC=NC2=NC=N[C@H]21	ZINC000095708184	ASRAHVSNTMJHBN-LURJTMIESA-N	144.137	0.330	30	40	ACEB	
[C-]#[N+][C@H](C)C(=O)OC	ZINC000095713425	UFGJMIRODOAASM-SCSAIBSYSA-N	113.116	0.467	30	40	ACEB	
N[C@@H]1C=CC(OC2CC2)=C[C@@H]1C=O	ZINC000095722201	KMUYJZOUAPKBMP-GMSGAONNSA-N	179.219	0.762	30	40	ACEB	
N[C@@H]1C=CC(OC2CC2)=C[C@H]1C=O	ZINC000095722202	KMUYJZOUAPKBMP-OIBJUYFYSA-N	179.219	0.762	30	40	ACEB	
N[C@H]1C=CC(OC2CC2)=C[C@@H]1C=O	ZINC000095722203	KMUYJZOUAPKBMP-XCBNKYQSSA-N	179.219	0.762	30	40	ACEB	
N[C@H]1C=CC(OC2CC2)=C[C@H]1C=O	ZINC000095722204	KMUYJZOUAPKBMP-XVKPBYJWSA-N	179.219	0.762	30	40	ACEB	
CN[C@@H]1C=C(OC2CC2)C=C(C#N)N1	ZINC000095730876	HJDVVNFSXGXAQF-JTQLQIEISA-N	191.234	0.605	30	40	ACEB	
CN[C@H]1C=C(OC2CC2)C=C(C#N)N1	ZINC000095730880	HJDVVNFSXGXAQF-SNVBAGLBSA-N	191.234	0.605	30	40	ACEB	
N#CC1=CC(OC2CC2)=C[C@H](CN)N1	ZINC000095737803	VIKPVJHZFIXXJW-SSDOTTSWSA-N	191.234	0.387	30	40	ACEB	
N#CC1=CC(OC2CC2)=C[C@@H](CN)N1	ZINC000095737804	VIKPVJHZFIXXJW-ZETCQYMHSA-N	191.234	0.387	30	40	ACEB	
N[C@@H]1N=CC(OC2CC2)=C[C@@H]1C=O	ZINC000095738267	ARKGZIXUJUNORX-HZGVNTEJSA-N	180.207	0.234	30	40	ACEB	
N[C@@H]1N=CC(OC2CC2)=C[C@H]1C=O	ZINC000095738268	ARKGZIXUJUNORX-IMTBSYHQSA-N	180.207	0.234	30	40	ACEB	
N[C@H]1N=CC(OC2CC2)=C[C@@H]1C=O	ZINC000095738269	ARKGZIXUJUNORX-MUWHJKNJSA-N	180.207	0.234	30	40	ACEB	
N[C@H]1N=CC(OC2CC2)=C[C@H]1C=O	ZINC000095738270	ARKGZIXUJUNORX-RCOVLWMOSA-N	180.207	0.234	30	40	ACEB	
CC(C)(C)C1=CC(=O)[C@@H]2O[C@@H]2C1=O	ZINC000095739415	ZMTGGXREUMKXBC-DTWKUNHWSA-N	180.203	0.878	30	40	ACEB	
N#CC1=NN=C[C@H]1Br	ZINC000095742472	NEPHCEFZZWFEFJ-GSVOUGTGSA-N	171.985	0.714	30	40	ACEB	
N#CC1=NN=C[C@@H]1Br	ZINC000095742473	NEPHCEFZZWFEFJ-VKHMYHEASA-N	171.985	0.714	30	40	ACEB	
COC(=O)C1=NC=C[C@@H]1Cl	ZINC000095742664	ZNLRNADUXAVQCC-BYPYZUCNSA-N	159.572	0.735	30	40	ACEB	
COC(=O)C1=NC=C[C@H]1Cl	ZINC000095742665	ZNLRNADUXAVQCC-SCSAIBSYSA-N	159.572	0.735	30	40	ACEB	
ClC1C=NN=C1	ZINC000095743589	YWCRFGBLGJCPLU-UHFFFAOYSA-N	102.524	0.664	30	40	ACEB	
NCC(=O)C1=CN=C2C=CC=C[C@@H]12	ZINC000095743591	ZTHILIRIPKTAQM-ZETCQYMHSA-N	174.203	0.595	30	40	ACEB	
NCC(=O)C1=CN=C2C=CC=C[C@H]12	ZINC000095743592	ZTHILIRIPKTAQM-SSDOTTSWSA-N	174.203	0.595	30	40	ACEB	
NNC(=O)C1=CN=C2C=CC=C[C@@H]12	ZINC000095743624	RFEOHQLRDZTPHB-LURJTMIESA-N	175.191	0.057	30	40	ACEB	
NNC(=O)C1=CN=C2C=CC=C[C@H]12	ZINC000095743625	RFEOHQLRDZTPHB-ZCFIWIBFSA-N	175.191	0.057	30	40	ACEB	
NNC(=O)C1=C[C@H]2C=CC=CC2=N1	ZINC000095743689	UFOBBEXRBATVIA-ZCFIWIBFSA-N	175.191	0.057	30	40	ACEB	
NNC(=O)C1=C[C@@H]2C=CC=CC2=N1	ZINC000095743690	UFOBBEXRBATVIA-LURJTMIESA-N	175.191	0.057	30	40	ACEB	
O=C1CC[C@H]2C=NC=C12	ZINC000095748641	YOVFUXNPWIBZJX-YFKPBYRVSA-N	121.139	0.934	30	40	ACEB	
O=C1CC[C@@H]2C=NC=C12	ZINC000095748642	YOVFUXNPWIBZJX-RXMQYKEDSA-N	121.139	0.934	30	40	ACEB	
O=C[C@@H]1C=NN=N1	ZINC000095749390	RTQSVTYXXZRSAF-VKHMYHEASA-N	97.077	0.006	30	40	ACEB	
O/N=C(/O)CO[C@@H]1CCCCO1	ZINC000095751949	DTIQNKAOWHVKBQ-SSDOTTSWSA-N	175.184	0.875	30	40	ACEB	
O/N=C(/O)CO[C@H]1CCCCO1	ZINC000095751950	DTIQNKAOWHVKBQ-ZETCQYMHSA-N	175.184	0.875	30	40	ACEB	
ClCc1cnc2c(c1)=CCN=2	ZINC000095752053	PUIDXWBMZOQKMR-UHFFFAOYSA-N	166.611	0.234	30	40	ACEB	
CCOC(=O)C1=NC=C(C(C)=O)C1	ZINC000095755806	VVOPQDSJAZEFMC-UHFFFAOYSA-N	181.191	0.867	30	40	ACEB	
CN(C)/C=C/C(=O)C1=NC=CC1	ZINC000095755950	BXFRIQCYROUDPK-FNORWQNLSA-N	164.208	0.989	30	40	ACEB	
CC(=C(C#N)C#N)N(C)C	ZINC000095756065	DOBZLWPTHVTUCH-UHFFFAOYSA-N	135.170	0.869	30	40	ACEB	
ClCC1C=NN=C1	ZINC000095756146	JJOMKKWLVFPHRF-UHFFFAOYSA-N	116.551	0.912	30	40	ACEB	
CCOC(=O)C1=NC=C(C#N)C1	ZINC000095756704	FPVLLKSNAQVVQZ-UHFFFAOYSA-N	164.164	0.802	30	40	ACEB	
O=CCCc1ccncn1	ZINC000095756844	YMSLTYYDXHBGGF-UHFFFAOYSA-N	136.154	0.608	30	40	ACEB	
O=CCc1ncco1	ZINC000095756847	LRKUSSBYLTVCOI-UHFFFAOYSA-N	111.100	0.416	30	40	ACEB	
O=CCc1ncc(Cl)cn1	ZINC000095757311	JCZHOXMYSSGVTG-UHFFFAOYSA-N	156.572	0.871	30	40	ACEB	
CC(=O)NCc1cnc(CCl)nc1	ZINC000095757431	SFLAJLOEXKWLFA-UHFFFAOYSA-N	199.641	0.852	30	40	ACEB	
