smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
COC(=O)/C(C#N)=C\c1nccn1C	ZINC000000135335	GQNQRSVDAFTYBA-ALCCZGGFSA-N	191.190	0.500	30	30	ACEC	
C(=N\n1cncn1)\c1ccncc1	ZINC000000248313	IUPNDTQEGXUGMA-WZUFQYTHSA-N	173.179	0.555	30	30	ACEC	
C(=N\n1cnnc1)\c1ccncc1	ZINC000000255676	LDLQZUNGAXMYIF-XGICHPGQSA-N	173.179	0.555	30	30	ACEC	
C(=N\n1cncn1)\c1cccnc1	ZINC000000255857	BZCMLWKKMOLBLM-WZUFQYTHSA-N	173.179	0.555	30	30	ACEC	
COc1cc[n+](OC(=O)N(C)C)cc1	ZINC000000259948	POBBPYPWLILZJV-UHFFFAOYSA-N	197.214	0.093	30	30	ACEC	
OC[C@H]1C[C@@H](Cl)C[C@H](Cl)[C@@H]1O	ZINC000000339091	KHXAEMABSWIAKK-MVIOUDGNSA-N	199.077	0.964	30	30	ACEC	
CO/N=C(\C)c1nnn(C)c1C	ZINC000001417923	ZIIOYJXYDDYEAX-WEVVVXLNSA-N	168.200	0.494	30	30	ACEC	
C[N+](C)(C)C1(C(=O)O)CC1	ZINC000001647036	MRCLCXHDEIYXER-UHFFFAOYSA-O	144.194	0.310	30	30	ACEC	
Oc1cccc(/C=N\n2cncn2)c1	ZINC000001880859	ZSPPZRPEPPSVDW-WZUFQYTHSA-N	188.190	0.866	30	30	ACEC	
CO/N=C(/Cl)c1nonc1N	ZINC000002272192	CDGXWCQVBIJQJM-FPYGCLRLSA-N	176.563	0.199	30	30	ACEC	
Nc1nnnn1/N=C\c1cccs1	ZINC000002397551	JFUVIRBIEGGGAV-YWEYNIOJSA-N	194.223	0.199	30	30	ACEC	
N#C/C(=C/c1ccoc1)C(N)=O	ZINC000002751470	KGJQHYSVHLSAQA-CLTKARDFSA-N	162.148	0.672	30	30	ACEC	
CCC(=S)NNC(=O)C1CC1	ZINC000002775401	YNUFFWBFTBCKME-UHFFFAOYSA-N	172.253	0.755	30	30	ACEC	
CN(C)NC(=O)C(F)(F)F	ZINC000003013914	TUVIMUKVMZUAEM-UHFFFAOYSA-N	156.107	0.142	30	30	ACEC	
O=S(=O)(O)C/C=C/CCl	ZINC000003040310	FKFPZJXHYSALEG-OWOJBTEDSA-N	170.617	0.669	30	30	ACEC	
Oc1ccc(/C=N\n2cnnn2)cc1	ZINC000003121460	STXZTFDKZCXNDB-YHYXMXQVSA-N	189.178	0.261	30	30	ACEC	
CC(C)(C)C(=O)C[n+]1ccncc1	ZINC000003130234	YPUNVAJIXZJFIU-UHFFFAOYSA-N	179.243	0.984	30	30	ACEC	
CCOC(=O)C/[N+]([O-])=C/c1ccco1	ZINC000003172517	PRZHHKKTLGKSHF-POHAHGRESA-N	197.190	0.772	30	30	ACEC	
