smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
N/C(CN[C@H]1CCCSC1)=N\O	ZINC000220778661	KJEFCXCRRBLNEP-LURJTMIESA-N	189.284	0.218	30	20	ACED	
N/C(CNC1CCSCC1)=N\O	ZINC000220781703	XNOGYNYXIJGPOY-UHFFFAOYSA-N	189.284	0.218	30	20	ACED	
CCn1ccc(/C=N\OCC(=O)O)c1	ZINC000221076409	OURIPYXERJALJN-YHYXMXQVSA-N	196.206	0.943	30	20	ACED	
CCn1ccc(/C=N\NC(N)=O)c1	ZINC000221076888	LZBPMYXEGSWXSJ-YHYXMXQVSA-N	180.211	0.510	30	20	ACED	
CCCn1ccc(/C=N\NC(N)=O)c1	ZINC000221076948	HJMVQGPURUVTFA-WDZFZDKYSA-N	194.238	0.900	30	20	ACED	
CCn1ccc(/C=N\NC(N)=S)c1	ZINC000221077314	PRODSZSNBMEFKU-YHYXMXQVSA-N	196.279	0.675	30	20	ACED	
CCn1ccc(/C=N\N=C(N)N)c1	ZINC000221077477	RSEUMPOMUBIWGM-WZUFQYTHSA-N	179.227	0.115	30	20	ACED	
CCCn1ccc(/C=N\N=C(N)N)c1	ZINC000221077569	PFIINKOXZBZJOU-SDQBBNPISA-N	193.254	0.505	30	20	ACED	
C[C@H](/C(N)=N/O)N1CCCC[C@@H]1C	ZINC000221219838	IXPYBSOTNGENKJ-JGVFFNPUSA-N	185.271	0.996	30	20	ACED	
C[C@H](/C(N)=N/O)N1CCC[C@@H](C)C1	ZINC000221219993	BLEMYEBPNOUQGV-HTQZYQBOSA-N	185.271	0.853	30	20	ACED	
C[C@H](/C(N)=N/O)N(C)[C@@H](C)C1CC1	ZINC000221221289	YWVQBDLLZRSTIG-NKWVEPMBSA-N	185.271	0.852	30	20	ACED	
C[C@H](/C(N)=N/O)N1CCC[C@@H]1C	ZINC000221221815	KSMDUPFGFPRDCW-NKWVEPMBSA-N	171.244	0.606	30	20	ACED	
C[C@H](/C(N)=N/O)N1CC[C@@H](C)C1	ZINC000221221947	ZQFFWIIRNOOCBE-RNFRBKRXSA-N	171.244	0.463	30	20	ACED	
CCn1cccc1/C=N\OCC(=O)O	ZINC000221233956	WLGOFQJKKYCCBX-POHAHGRESA-N	196.206	0.943	30	20	ACED	
CCn1cccc1/C=N\NC(N)=O	ZINC000221235547	BLPORYYZYHINLJ-POHAHGRESA-N	180.211	0.510	30	20	ACED	
CCn1cccc1/C=N\NC(N)=S	ZINC000221236874	PPXAINLXSLRVSI-POHAHGRESA-N	196.279	0.675	30	20	ACED	
CCn1cccc1/C=N\N=C(N)N	ZINC000221236988	YVSDGBSMLUCDMD-WDZFZDKYSA-N	179.227	0.115	30	20	ACED	
CC[C@@H](/C(N)=N/O)N1CC[C@@H](C)C1	ZINC000221297790	FCBYIGLLOUNZTQ-SFYZADRCSA-N	185.271	0.853	30	20	ACED	
CC[C@H](/C(N)=N/O)N1CC[C@@H](C)C1	ZINC000221297847	FCBYIGLLOUNZTQ-HTQZYQBOSA-N	185.271	0.853	30	20	ACED	
C[C@H](C(=O)NN)N1[C@@H](C)CC[C@@H]1C	ZINC000221336637	KEWHZLPLXILFSE-BIIVOSGPSA-N	185.271	0.238	30	20	ACED	
C[C@H](C(=O)NN)N1[C@H](C)CC[C@@H]1C	ZINC000221336703	KEWHZLPLXILFSE-GJMOJQLCSA-N	185.271	0.238	30	20	ACED	
Cn1ccc(/C=N\OCC(=O)O)c1	ZINC000221395091	DIXNFJZWAZKHBX-WTKPLQERSA-N	182.179	0.460	30	20	ACED	
N#C/C(=C\[C@H]1CCCO1)C(=O)O	ZINC000221459476	NPRXEFFTOKOTCS-PTYLAXBQSA-N	167.164	0.700	30	20	ACED	
N#C/C(=C\[C@@H]1CCCO1)C(=O)O	ZINC000221459535	NPRXEFFTOKOTCS-KNIZRNDPSA-N	167.164	0.700	30	20	ACED	
