smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C#C[C@@H]1C[C@@H](C=O)[C@@H]2C[C@@H]1OC2=O	ZINC000238644386	FKRBUPJCQWVIOU-XGEHTFHBSA-N	178.187	0.386	30	10	ACEE	
O=C1NCC[N+]2([O-])CCCC=C12	ZINC000238644437	JKJJZEPPPMSZPB-UHFFFAOYSA-N	168.196	0.109	30	10	ACEE	
O=C1C=C2COC[C@H]3C[C@@]23C1	ZINC000238644459	NSGNGHSCWCSDJH-VXNVDRBHSA-N	150.177	0.922	30	10	ACEE	
O=C1C=C2COC[C@@H]3C[C@@]23C1	ZINC000238644479	NSGNGHSCWCSDJH-IONNQARKSA-N	150.177	0.922	30	10	ACEE	
O=C[C@@H]1C[C@@H]1C1OCCO1	ZINC000238644502	SBGQPMZSRRWOFF-WDSKDSINSA-N	142.154	0.194	30	10	ACEE	
O=C(O)[C@@H]1C=CC[C@H]2C(O)=CC(=O)[C@@H]21	ZINC000238644568	OLSROMGZKGDMDC-MYINAIGISA-N	194.186	0.904	30	10	ACEE	
N#CC1=C(N)N2CCCN=C2S1	ZINC000238644595	NVMXPDHSPJNZBG-UHFFFAOYSA-N	180.236	0.446	30	10	ACEE	
O=C1C=C[C@H]2CO[C@@H]1C2	ZINC000238644599	DZNBGTZOEIBUOF-IYSWYEEDSA-N	124.139	0.530	30	10	ACEE	
O=C1C=C[C@H]2CO[C@H]1C2	ZINC000238644620	DZNBGTZOEIBUOF-VDTYLAMSSA-N	124.139	0.530	30	10	ACEE	
O=C1C[C@H]2CCC(=O)C=C2N1	ZINC000238644629	OAABLVZZQAWHBZ-RXMQYKEDSA-N	151.165	0.369	30	10	ACEE	
O=C(O)[C@@H]1C=CC[C@@H]2C(O)=CC(=O)[C@@H]21	ZINC000238644658	OLSROMGZKGDMDC-KCRUCZTKSA-N	194.186	0.904	30	10	ACEE	
O=C[C@@H]1C[C@@H]1[C@@H]1CCCC(=O)O1	ZINC000238644751	BJLRZRBGFHEVOW-FXQIFTODSA-N	168.192	0.917	30	10	ACEE	
O=C1C=C[C@H]2SC=C[C@@H]1C2=O	ZINC000238644929	YYVOLBYHTYHMPZ-CAHLUQPWSA-N	166.201	0.940	30	10	ACEE	
O=C1C=C[C@H]2SC=C[C@H]1C2=O	ZINC000238644951	YYVOLBYHTYHMPZ-IYSWYEEDSA-N	166.201	0.940	30	10	ACEE	
O=C1C=C[C@H]2S[C@@H]1C=CC2=O	ZINC000238644994	IZELFTYSGDSSPZ-HTQZYQBOSA-N	166.201	0.735	30	10	ACEE	
O=C1C=C[C@@H]2S[C@@H]1C=CC2=O	ZINC000238645028	IZELFTYSGDSSPZ-OCAPTIKFSA-N	166.201	0.735	30	10	ACEE	
O=C(O)C[C@H](S)C(=O)CS	ZINC000238645030	VAZBUOQCGKGLON-BYPYZUCNSA-N	180.250	0.258	30	10	ACEE	
O=C1C=CC2=NCCCCNC2=C1	ZINC000238645031	BDILFPNOSNTRSA-UHFFFAOYSA-N	176.219	0.834	30	10	ACEE	
O=C1[C@@H]2C=CC(=O)C=C[C@H]12	ZINC000238645046	INUAMQQSKPKCMO-KNVOCYPGSA-N	134.134	0.497	30	10	ACEE	
O=C1C=CC2=NCCCNC2=C1	ZINC000238645065	XWNXEOSWNLVROR-UHFFFAOYSA-N	162.192	0.444	30	10	ACEE	
O=C1[C@H]2C=CC(=O)C=C[C@H]12	ZINC000238645101	INUAMQQSKPKCMO-BQBZGAKWSA-N	134.134	0.497	30	10	ACEE	
O=C[C@@H]1C[C@@H]2CC[C@@H]1C2=O	ZINC000238645153	XELKIBPOVBEBII-ACZMJKKPSA-N	138.166	0.801	30	10	ACEE	
N[C@@H]1COc2ccccc2/C1=N/O	ZINC000238645181	REXJDSKTHQJXHX-BRSPZTEKSA-N	178.191	0.585	30	10	ACEE	
O=C[C@@H]1C[C@@H]2C[C@@H]1C1(C2)OCCO1	ZINC000238645213	FTBOBPPZLSYBDS-VGMNWLOBSA-N	182.219	0.975	30	10	ACEE	
OC1COC(C(Cl)Cl)OC1	ZINC000238645261	XFALYPOVIOJNKK-UHFFFAOYSA-N	187.022	0.524	30	10	ACEE	
O=C[C@@H]1C[C@@H]2C[C@@H]1CC21OCCO1	ZINC000238645283	FYGACNASQYFYJB-VGMNWLOBSA-N	182.219	0.975	30	10	ACEE	
OC1COC(CBr)OC1	ZINC000238645291	YDMCJQCNLFXPRS-UHFFFAOYSA-N	197.028	0.115	30	10	ACEE	
O=C1C=C[C@]2(OCCO)CCCC2=C1	ZINC000238645321	CSKLLOBCSQYOBB-LLVKDONJSA-N	194.230	0.983	30	10	ACEE	
O=C[C@@H]1C[C@@H]2C[C@@H]1[C@@H]1C(=O)OC(=O)[C@@H]21	ZINC000238645368	DGYOAEWNNQMMDY-LQOSVEJXSA-N	194.186	0.157	30	10	ACEE	
O=C[C@@H]1C[C@@H]2O[C@@H]1C=CC2=O	ZINC000238645440	KIHDZBCLUUDOAR-ARDNSNSESA-N	152.149	0.098	30	10	ACEE	
C#C[C@]1(C#N)C=CC(=O)C(C#N)=C1	ZINC000238645444	RFRNNSHLUJUBDN-JTQLQIEISA-N	168.155	0.718	30	10	ACEE	
N#CC1=CNN=C(c2ccccc2)[C@@H]1N	ZINC000238645455	SNVQHUMAGPETDM-SNVBAGLBSA-N	198.229	0.729	30	10	ACEE	
C#C[C@H]1C[C@@H](C=O)[C@@H]2C[C@@H]1OC2=O	ZINC000238645676	FKRBUPJCQWVIOU-JBDRJPRFSA-N	178.187	0.386	30	10	ACEE	
O=C1C=CC=CC[C@@H]1OCCO	ZINC000238645739	VYWIEVWOSAGVCO-VIFPVBQESA-N	168.192	0.449	30	10	ACEE	
