smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@@H]1[C@H]2C(=O)ON=C2CN1C1CC1	ZINC000107227278	OKKGZQQLHASMBX-SVGQVSJJSA-N	180.207	0.382	30	1	ACEF	
C[C@H]1[C@H]2C(=O)ON=C2CN1C1CC1	ZINC000107227280	OKKGZQQLHASMBX-YLWLKBPMSA-N	180.207	0.382	30	1	ACEF	
C[C@@H]1[C@@H]2C(=O)ON=C2CN1C1CC1	ZINC000107227284	OKKGZQQLHASMBX-XRGYYRRGSA-N	180.207	0.382	30	1	ACEF	
C[C@H]1[C@@H]2C(=O)ON=C2CN1C1CC1	ZINC000107227287	OKKGZQQLHASMBX-XNCJUZBTSA-N	180.207	0.382	30	1	ACEF	
C[C@@H]1C2=NOC(=O)[C@@H]2CN1C1CC1	ZINC000107227292	LFGYICAHKMSKBZ-IYSWYEEDSA-N	180.207	0.382	30	1	ACEF	
C[C@H]1C2=NOC(=O)[C@@H]2CN1C1CC1	ZINC000107227295	LFGYICAHKMSKBZ-CAHLUQPWSA-N	180.207	0.382	30	1	ACEF	
C[C@@H]1C2=NOC(=O)[C@H]2CN1C1CC1	ZINC000107227298	LFGYICAHKMSKBZ-VDTYLAMSSA-N	180.207	0.382	30	1	ACEF	
C[C@H]1C2=NOC(=O)[C@H]2CN1C1CC1	ZINC000107227301	LFGYICAHKMSKBZ-FSPLSTOPSA-N	180.207	0.382	30	1	ACEF	
O=C1ON=C2CN(C3CC3)CC[C@@H]12	ZINC000107227304	UQZRUCLSAIUQQN-SSDOTTSWSA-N	180.207	0.384	30	1	ACEF	
O=C1ON=C2CN(C3CC3)CC[C@H]12	ZINC000107227307	UQZRUCLSAIUQQN-ZETCQYMHSA-N	180.207	0.384	30	1	ACEF	
O=C1ON=C2CCN(C3CC3)C[C@@H]12	ZINC000107227310	HWXSUMAHTWMPQB-SSDOTTSWSA-N	180.207	0.384	30	1	ACEF	
O=C1ON=C2CCN(C3CC3)C[C@H]12	ZINC000107227313	HWXSUMAHTWMPQB-ZETCQYMHSA-N	180.207	0.384	30	1	ACEF	
CC(C)[C@@H]1C2=NOC(=O)[C@@H]2CN1C	ZINC000107229383	XJVLWMFRALYYCJ-HTRCEHHLSA-N	182.223	0.485	30	1	ACEF	
CC(C)[C@H]1C2=NOC(=O)[C@@H]2CN1C	ZINC000107229388	XJVLWMFRALYYCJ-SVRRBLITSA-N	182.223	0.485	30	1	ACEF	
