smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
[C-]#[N+]Cc1cccc2c1oc(=O)n2C	ZINC000106572773	HBWSORXQUKEZDG-UHFFFAOYSA-N	188.186	1.551	0	50	ADAA	
[C-]#[N+]CCc1nc2cc(O)ccc2o1	ZINC000106572778	RJLAKLYLIRWHOO-UHFFFAOYSA-N	188.186	1.995	0	50	ADAA	
[C-]#[N+]Cc1c[nH]c2nc(OC)cnc12	ZINC000106572782	UBROBXVDONGWPX-UHFFFAOYSA-N	188.190	1.386	0	50	ADAA	
CCCCCCCN1CCNCC1=O	ZINC000106572897	UOJSPVRKFSBMPP-UHFFFAOYSA-N	198.310	1.389	0	50	ADAA	
[C-]#[N+]Cc1cccc2c1OCCN2C	ZINC000106572903	ZYDLRAQWWRXTJL-UHFFFAOYSA-N	188.230	1.934	0	50	ADAA	
[C-]#[N+]CCc1[nH]c2ncc(C)n2c1C	ZINC000106572911	GUGRWABOIWKQNA-UHFFFAOYSA-N	188.234	1.741	0	50	ADAA	
[C-]#[N+]CCc1[nH]c2nc(C)cn2c1C	ZINC000106572913	KAEOVTLSYPZJFX-UHFFFAOYSA-N	188.234	1.741	0	50	ADAA	
[C-]#[N+]CCc1cn2c(C)c(C)nc2[nH]1	ZINC000106572916	HWCJRVUAWACZQM-UHFFFAOYSA-N	188.234	1.741	0	50	ADAA	
[C-]#[N+]CCc1cn2cc(C)nc2n1C	ZINC000106572919	VZSPOEUQRRMPDE-UHFFFAOYSA-N	188.234	1.443	0	50	ADAA	
[C-]#[N+]CCc1cn2c(C)cnc2n1C	ZINC000106572922	NHMDFFHBKMHUNN-UHFFFAOYSA-N	188.234	1.443	0	50	ADAA	
[C-]#[N+]CCc1c(C)n2ccnc2n1C	ZINC000106572927	DTEMLASNTKPCPK-UHFFFAOYSA-N	188.234	1.443	0	50	ADAA	
[C-]#[N+]Cc1c(C)n2cc(C)nc2n1C	ZINC000106572930	KTQCPZDNHPPHRF-UHFFFAOYSA-N	188.234	1.709	0	50	ADAA	
