smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(C)C[C@H](F)C(=O)O	ZINC000001736846	XJSHQHONRQJNKY-YFKPBYRVSA-N	134.150	1.455	0	40	ADAB	
CC[C@@H](C)[C@H](F)C(=O)O	ZINC000001736873	HQIXPQDQUCAWDW-UHNVWZDZSA-N	134.150	1.455	0	40	ADAB	
CC[C@H](C)[C@H](F)C(=O)O	ZINC000001736875	HQIXPQDQUCAWDW-WHFBIAKZSA-N	134.150	1.455	0	40	ADAB	
CC[C@@H](C)[C@@H](F)C(=O)O	ZINC000001736876	HQIXPQDQUCAWDW-RFZPGFLSSA-N	134.150	1.455	0	40	ADAB	
CC[C@H](C)[C@@H](F)C(=O)O	ZINC000001736879	HQIXPQDQUCAWDW-CRCLSJGQSA-N	134.150	1.455	0	40	ADAB	
NC(=O)c1c(Cl)nsc1Cl	ZINC000001737196	NYVIHTHXQDQZKM-UHFFFAOYSA-N	197.046	1.549	0	40	ADAB	
CCOP1(=S)OCCO1	ZINC000001737313	IKEBCWAVKBEVHL-UHFFFAOYSA-N	168.154	1.294	0	40	ADAB	
C1COP(N2CCCCC2)O1	ZINC000001737320	HPWZEPKDCQDJTE-UHFFFAOYSA-N	175.168	1.746	0	40	ADAB	
NSc1ccc(N)s1	ZINC000001737341	GEYLUWIDYAUCLC-UHFFFAOYSA-N	146.240	1.296	0	40	ADAB	
C#CCN(CC#C)c1ccccc1	ZINC000001737364	ONOQPVMGQVXXQD-UHFFFAOYSA-N	169.227	1.759	0	40	ADAB	
O=C1NN(c2ccccc2)CCO1	ZINC000001737395	QTCIDALGEVPAQO-UHFFFAOYSA-N	178.191	1.148	0	40	ADAB	
CCO[P@@](=O)(C#N)CC	ZINC000001737397	MTOXHQWZCKIMMO-SECBINFHSA-N	147.114	1.802	0	40	ADAB	
CCN(CC)CC[n+]1ccccc1	ZINC000001737420	URJNDGLPCRTHLA-UHFFFAOYSA-N	179.287	1.316	0	40	ADAB	
C=CCNC(=S)OCC	ZINC000001737610	ZRPRNLNEYWYWLO-UHFFFAOYSA-N	145.227	1.083	0	40	ADAB	
CN(C)C(=O)N1CCCCC1	ZINC000001737633	FYYRPPUFMRGGNG-UHFFFAOYSA-N	156.229	1.154	0	40	ADAB	
CCOC(=O)C1Oc2ccccc2O1	ZINC000001737653	ULDKJANEMUWLHC-UHFFFAOYSA-N	194.186	1.347	0	40	ADAB	
CCOC(=O)OCc1ccco1	ZINC000001737774	RKWIKUOPIZALEX-UHFFFAOYSA-N	170.164	1.953	0	40	ADAB	
CNC(=O)N(C)Cc1ccccc1	ZINC000001739835	FCKPKRLCONVQKG-UHFFFAOYSA-N	178.235	1.458	0	40	ADAB	
Cc1nnc2c(C)cccn12	ZINC000001740311	SBOCRIVOBMUIDJ-UHFFFAOYSA-N	147.181	1.346	0	40	ADAB	
CCN(C=O)c1ccc(NC=O)cc1	ZINC000001740337	ZAFVUNFUVRJYNB-UHFFFAOYSA-N	192.218	1.238	0	40	ADAB	
CNCC[C@H](O)c1ccc(F)cc1	ZINC000001740843	XOGDLOOAVTZOQJ-JTQLQIEISA-N	183.226	1.469	0	40	ADAB	
CNCC[C@@H](O)c1ccc(F)cc1	ZINC000001740845	XOGDLOOAVTZOQJ-SNVBAGLBSA-N	183.226	1.469	0	40	ADAB	
CCn1nnnc1Nc1ccccc1	ZINC000001742164	UOTWFYVCOXLUEK-UHFFFAOYSA-N	189.222	1.437	0	40	ADAB	
CNc1nnnn1-c1ccccc1C	ZINC000001742203	VJVCEIBVIWOESW-UHFFFAOYSA-N	189.222	1.012	0	40	ADAB	
O=C1COc2ccc([N+](=O)[O-])cc21	ZINC000001742456	ROBFLDVWFBLZKV-UHFFFAOYSA-N	179.131	1.170	0	40	ADAB	
CC(C)SC=O	ZINC000001743177	PFMQEELJUULOTF-UHFFFAOYSA-N	104.174	1.318	0	40	ADAB	
CNC(=O)OCCOc1ccccc1	ZINC000001743244	XWYAEJCEJFWSNX-UHFFFAOYSA-N	195.218	1.421	0	40	ADAB	
CNC1=N[N+]2=CCCC[C@@]2(C)S1	ZINC000001743364	HTNSZGUEYYEYFG-MRVPVSSYSA-N	184.288	1.207	0	40	ADAB	
C[C@@H](O)C[C@@H]1CCC[C@@H](C)N1	ZINC000001743444	DVJHWTLBEYCZJZ-HLTSFMKQSA-N	157.257	1.288	0	40	ADAB	biogenic,in-vitro
CC(=O)n1ncc2ccc(N)cc21	ZINC000001743484	ZFARJJGGGWHLDQ-UHFFFAOYSA-N	175.191	1.279	0	40	ADAB	
C[C@@H]1N=C1c1ccccc1	ZINC000001743833	HFRHVYMYCPLHQU-ZETCQYMHSA-N	131.178	1.878	0	40	ADAB	
C[n+]1cccc(C(=S)S)c1	ZINC000001744207	CWLZVHNSIZQKQU-UHFFFAOYSA-O	170.282	1.116	0	40	ADAB	
C[C@@]1(CO)C2CCC(CC2)[C@H]1CO	ZINC000001744327	CQZFJDBPJJXRAH-JPPWEJMLSA-N	184.279	1.414	0	40	ADAB	
C[C@]1(CO)C2CCC(CC2)[C@H]1CO	ZINC000001744329	CQZFJDBPJJXRAH-LXKPXOPUSA-N	184.279	1.414	0	40	ADAB	
C[C@@]1(CO)C2CCC(CC2)[C@@H]1CO	ZINC000001744331	CQZFJDBPJJXRAH-WFBLGPOFSA-N	184.279	1.414	0	40	ADAB	
C[C@]1(CO)C2CCC(CC2)[C@@H]1CO	ZINC000001744332	CQZFJDBPJJXRAH-TVUZUIDESA-N	184.279	1.414	0	40	ADAB	
