smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@H]1Cc2cccc(C(=O)O)c2N1	ZINC000072416116	XLNKZTIXCFMLGI-LURJTMIESA-N	177.203	1.741	0	30	ADAC	
CN(C)/C=C1/SC(=S)N=C1O	ZINC000072416147	JCCSYPGGODSMLT-ONEGZZNKSA-N	188.277	1.378	0	30	ADAC	
c1ccc([C@@H]2NN=C3CCCN32)cc1	ZINC000072416247	HPQUHSLYHCUJOF-LLVKDONJSA-N	187.246	1.698	0	30	ADAC	
c1ccc([C@H]2NN=C3CCCN32)cc1	ZINC000072416248	HPQUHSLYHCUJOF-NSHDSACASA-N	187.246	1.698	0	30	ADAC	
CC(=O)Cc1nnc2n1CCCCC2	ZINC000072416254	VBQNKLLBOYVTMV-UHFFFAOYSA-N	193.250	1.136	0	30	ADAC	
CN(C)CCC(=O)c1ccncc1	ZINC000072416265	PWBKJOBKJBLIFY-UHFFFAOYSA-N	178.235	1.216	0	30	ADAC	
CN(C)CCC(=O)c1ccccn1	ZINC000072416274	UPHDUKOVRCGJLS-UHFFFAOYSA-N	178.235	1.216	0	30	ADAC	
CCNc1nc(C)ns1	ZINC000072416361	IJXPVMVBXDVIQS-UHFFFAOYSA-N	143.215	1.278	0	30	ADAC	
O=c1[nH]c2ccccc2c2ncncc12	ZINC000072416406	GXBKXFCXPACAIE-UHFFFAOYSA-N	197.197	1.471	0	30	ADAC	
O=c1[nH]c2ccccc2c2oncc21	ZINC000072416410	DGNHADPLLAKABS-UHFFFAOYSA-N	186.170	1.669	0	30	ADAC	
Nc1c(Cl)c(=O)[nH]c2ccccc12	ZINC000072416417	WCKREMGBDBYDQA-UHFFFAOYSA-N	194.621	1.764	0	30	ADAC	
Cc1ccc2c(n1)CCc1c[nH]nc1-2	ZINC000072416427	WJYJLZZALMZGPX-UHFFFAOYSA-N	185.230	1.879	0	30	ADAC	
Cc1ccc2c(n1)CCC[C@@H]2O	ZINC000072416433	VOPCVRVUCDDLTH-JTQLQIEISA-N	163.220	1.760	0	30	ADAC	
Cc1ccc2c(n1)CCC[C@H]2O	ZINC000072416434	VOPCVRVUCDDLTH-SNVBAGLBSA-N	163.220	1.760	0	30	ADAC	
CC1=CC[C@H]2C(=O)CCCC2=NN1	ZINC000072416435	AFJRFKGZRPSXNC-MRVPVSSYSA-N	178.235	1.609	0	30	ADAC	
CC1=CC[C@@H]2C(=O)CCCC2=NN1	ZINC000072416436	AFJRFKGZRPSXNC-QMMMGPOBSA-N	178.235	1.609	0	30	ADAC	
CC1(C)Cc2nc(N)ncc2[C@H](O)C1	ZINC000072416458	DDLNBPHDJXDDBB-MRVPVSSYSA-N	193.250	1.065	0	30	ADAC	
CC1(C)Cc2nc(N)ncc2[C@@H](O)C1	ZINC000072416459	DDLNBPHDJXDDBB-QMMMGPOBSA-N	193.250	1.065	0	30	ADAC	
CN(C)Nc1nc2ccccc2[nH]1	ZINC000072416462	XSJVACCFBGKUCA-UHFFFAOYSA-N	176.223	1.451	0	30	ADAC	
Cc1cc(F)c2c(c1)c(=O)ccn2C	ZINC000072416469	IDPXCBDDYFEEHO-UHFFFAOYSA-N	191.205	1.986	0	30	ADAC	
CC(=O)c1cnc(O)c(C#N)c1C	ZINC000072416513	KUOQVANKXVEMKP-UHFFFAOYSA-N	176.175	1.170	0	30	ADAC	
N#Cc1c(O)ncc2c1CCCC2=O	ZINC000072416518	UWKBETKFDVPXOQ-UHFFFAOYSA-N	188.186	1.178	0	30	ADAC	
C[C@@H]1CCc2c[nH]c(=O)c(C#N)c2C1	ZINC000072416526	GLMAKDXQQJIKIC-SSDOTTSWSA-N	188.230	1.371	0	30	ADAC	
C[C@H]1CCc2c[nH]c(=O)c(C#N)c2C1	ZINC000072416527	GLMAKDXQQJIKIC-ZETCQYMHSA-N	188.230	1.371	0	30	ADAC	
C[C@@H]1Cc2c[nH]cc2C(=O)C1	ZINC000072416534	YHCIENLNNNYAHT-ZCFIWIBFSA-N	149.193	1.780	0	30	ADAC	
C[C@H]1Cc2c[nH]cc2C(=O)C1	ZINC000072416535	YHCIENLNNNYAHT-LURJTMIESA-N	149.193	1.780	0	30	ADAC	
COC(=O)c1[nH]cc2c1CCCC2=O	ZINC000072416542	OJSKFVUGYWBJKT-UHFFFAOYSA-N	193.202	1.320	0	30	ADAC	
c1ccc(C2=NCCNC=C2)cc1	ZINC000072416579	ULRMGNGQCKMCTK-UHFFFAOYSA-N	172.231	1.593	0	30	ADAC	
Cc1nn(-c2ccccc2)ccc1=O	ZINC000072416585	CPYSRSYEVGEDDT-UHFFFAOYSA-N	186.214	1.541	0	30	ADAC	
N#CC1(C#N)CNC[C@H]1c1ccccc1	ZINC000072416645	MLDSJGNNDFSNLH-NSHDSACASA-N	197.241	1.407	0	30	ADAC	
N#CC1(C#N)CNC[C@@H]1c1ccccc1	ZINC000072416646	MLDSJGNNDFSNLH-LLVKDONJSA-N	197.241	1.407	0	30	ADAC	
Cc1[nH]c(C)c2c1C(=O)N=NC2=O	ZINC000072416654	DESXQPKBJPICMP-UHFFFAOYSA-N	177.163	1.378	0	30	ADAC	
CCn1c(C)cc2n[nH]cc2c1=O	ZINC000072416709	DNHHKMMUAUJWPV-UHFFFAOYSA-N	177.207	1.053	0	30	ADAC	
CCCn1c(C)cc2n[nH]cc2c1=O	ZINC000072416710	WSKPHAXFOOMVOD-UHFFFAOYSA-N	191.234	1.443	0	30	ADAC	
C=CCn1c(C)cc2n[nH]cc2c1=O	ZINC000072416713	GERGETKLQJATAT-UHFFFAOYSA-N	189.218	1.219	0	30	ADAC	
Cc1ccc(-c2ncnc(N)n2)cc1	ZINC000072416751	SBCXNRQMXBJHNL-UHFFFAOYSA-N	186.218	1.429	0	30	ADAC	
c1nc2[nH]nc(-c3ccccc3)n2n1	ZINC000072416758	JTUVNHPPSKZEMZ-UHFFFAOYSA-N	185.190	1.119	0	30	ADAC	
Nc1nc(Nc2cccc(F)c2)n[nH]1	ZINC000072416781	ZFXRLLNSUBJYQU-UHFFFAOYSA-N	193.185	1.270	0	30	ADAC	
CCNc1nc2nc(C)cc(C)n2n1	ZINC000072416791	SCIYVZWDLOOVDC-UHFFFAOYSA-N	191.238	1.173	0	30	ADAC	
C[C@@H]1CCc2nc(N)ncc2C1	ZINC000072416801	VHVMBCWUQXQEFL-ZCFIWIBFSA-N	163.224	1.184	0	30	ADAC	
C[C@H]1CCc2nc(N)ncc2C1	ZINC000072416802	VHVMBCWUQXQEFL-LURJTMIESA-N	163.224	1.184	0	30	ADAC	
