smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCN(C[C@@]1(C)CCCN1)C(C)C	ZINC000070619572	CRMHKSOMSBARBO-LLVKDONJSA-N	184.327	1.859	0	20	ADAD	
CCCN(CC)C[C@]1(C)CCCN1	ZINC000070619577	HCUUGYWPGVADIE-NSHDSACASA-N	184.327	1.860	0	20	ADAD	
CCCN(CC)C[C@@]1(C)CCCN1	ZINC000070619578	HCUUGYWPGVADIE-LLVKDONJSA-N	184.327	1.860	0	20	ADAD	
CCCN(C)C[C@]1(C)CCCN1	ZINC000070619583	KHHOCIGWQIGCKR-JTQLQIEISA-N	170.300	1.470	0	20	ADAD	
CCCN(C)C[C@@]1(C)CCCN1	ZINC000070619584	KHHOCIGWQIGCKR-SNVBAGLBSA-N	170.300	1.470	0	20	ADAD	
CC(C)CN(C)C[C@]1(C)CCCN1	ZINC000070619585	LYSWBXISOPKMTM-NSHDSACASA-N	184.327	1.716	0	20	ADAD	
CC(C)CN(C)C[C@@]1(C)CCCN1	ZINC000070619586	LYSWBXISOPKMTM-LLVKDONJSA-N	184.327	1.716	0	20	ADAD	
CN(CC1CC1)C[C@@]1(C)CCCN1	ZINC000070619655	JMJZMERZFOKAFS-LLVKDONJSA-N	182.311	1.470	0	20	ADAD	
CN(CC1CC1)C[C@]1(C)CCCN1	ZINC000070619656	JMJZMERZFOKAFS-NSHDSACASA-N	182.311	1.470	0	20	ADAD	
CCCNC[C@]1(C)CCCN1	ZINC000070619665	DEDBRKLOMLKOCP-VIFPVBQESA-N	156.273	1.128	0	20	ADAD	
CCCNC[C@@]1(C)CCCN1	ZINC000070619666	DEDBRKLOMLKOCP-SECBINFHSA-N	156.273	1.128	0	20	ADAD	
CC(C)(C)NC[C@@]1(C)CCCN1	ZINC000070619667	DODHIBZJUWNBAQ-SNVBAGLBSA-N	170.300	1.517	0	20	ADAD	
CC(C)(C)NC[C@]1(C)CCCN1	ZINC000070619668	DODHIBZJUWNBAQ-JTQLQIEISA-N	170.300	1.517	0	20	ADAD	
CC(C)NC[C@]1(C)CCCN1	ZINC000070619669	COBOEFSVMYXDJT-VIFPVBQESA-N	156.273	1.127	0	20	ADAD	
CC(C)NC[C@@]1(C)CCCN1	ZINC000070619670	COBOEFSVMYXDJT-SECBINFHSA-N	156.273	1.127	0	20	ADAD	
C[C@]1(CNCc2ccco2)CCCN1	ZINC000070619671	RMDRICLRIMSDGT-LLVKDONJSA-N	194.278	1.511	0	20	ADAD	
C[C@@]1(CNCc2ccco2)CCCN1	ZINC000070619672	RMDRICLRIMSDGT-NSHDSACASA-N	194.278	1.511	0	20	ADAD	
