smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C=CCCC(=O)[C@H](O)CCC	ZINC000233297759	PBDXLDBZKPTSKV-MRVPVSSYSA-N	156.225	1.683	0	10	ADAE	
C#CCCCC(=O)[C@H](O)CCC	ZINC000233297761	CJADZAPKULCZOG-SECBINFHSA-N	168.236	1.520	0	10	ADAE	
CCC[C@@H](O)C(=O)CCCOC	ZINC000233297769	YOZZSUMMVKKZIR-MRVPVSSYSA-N	174.240	1.143	0	10	ADAE	
CCC[C@@H](O)C(=O)COC(C)C	ZINC000233297809	UQDNONTZLWNVFZ-MRVPVSSYSA-N	174.240	1.142	0	10	ADAE	
CCC[C@@H](O)C(=O)Cc1ccccn1	ZINC000233298033	COPWTVCBEMHVOK-SNVBAGLBSA-N	193.246	1.354	0	10	ADAE	
CCC[C@@H](O)C(=O)Cc1cccnc1	ZINC000233298034	CMZCTSRUZIHCNQ-SNVBAGLBSA-N	193.246	1.354	0	10	ADAE	
CCC[C@@H](O)C(=O)Cc1ccco1	ZINC000233298040	NZGOYNWZXSSXAJ-SECBINFHSA-N	182.219	1.552	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)Cc1ccccn1	ZINC000233298050	LTIWTWYBSIDJNG-MNOVXSKESA-N	195.262	1.146	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)Cc1cccnc1	ZINC000233298052	RLVVDBQJZWCWFX-MNOVXSKESA-N	195.262	1.146	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)Cc1ccco1	ZINC000233298056	GZNQWPBQFAXAMM-ZJUUUORDSA-N	184.235	1.344	0	10	ADAE	
CCC[C@@H](O)C(=O)Cc1ccncc1	ZINC000233298061	CBQYYCXPHUDPDM-SNVBAGLBSA-N	193.246	1.354	0	10	ADAE	
CCC[C@@H](O)C(=O)Cc1ccoc1	ZINC000233298065	NIXGOBZGVVEBQW-SECBINFHSA-N	182.219	1.552	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)Cc1ccncc1	ZINC000233298073	ZFUOJFNZXTVXCO-MNOVXSKESA-N	195.262	1.146	0	10	ADAE	
CCC[C@@H](O)C(=O)Cc1cncs1	ZINC000233298074	IGQSBVZQMHEETC-MRVPVSSYSA-N	199.275	1.416	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)Cc1ccoc1	ZINC000233298077	TVAJFVHNSSMKSY-ZJUUUORDSA-N	184.235	1.344	0	10	ADAE	
CCC[C@@H](O)C(=O)Cc1nccs1	ZINC000233298107	GMHRYXLVTKJQAW-SSDOTTSWSA-N	199.275	1.416	0	10	ADAE	
CCC[C@@H](O)C(=O)[C@@H](C)CCOC	ZINC000233298155	OVMIREGWIHFCHE-DTWKUNHWSA-N	188.267	1.389	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)[C@@H](C)CCOC	ZINC000233298170	ZOCITBMUCLEHOH-AEJSXWLSSA-N	190.283	1.181	0	10	ADAE	
CCC[C@@H](OC)c1nc(O)c(C)[nH]1	ZINC000233298180	VWMATXQKGLECRW-SSDOTTSWSA-N	184.239	1.911	0	10	ADAE	
CCC[C@@H](OC)c1nc(O)c[nH]1	ZINC000233298191	NNZWJSWBRZNLLC-ZCFIWIBFSA-N	170.212	1.603	0	10	ADAE	
CCC[C@@H](OC)c1nc(O)cn1C	ZINC000233298194	LBYSZJAYDMAAJY-SSDOTTSWSA-N	184.239	1.613	0	10	ADAE	
CCC[C@@H](O)C(=O)[C@H](C)CCOC	ZINC000233298197	OVMIREGWIHFCHE-RKDXNWHRSA-N	188.267	1.389	0	10	ADAE	
CCC[C@@H](OC)c1noc(CC#N)n1	ZINC000233298353	WWJGKPFJMBRDFO-SSDOTTSWSA-N	195.222	1.623	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)c1ccc(C)nc1	ZINC000233298392	PSDYIUNQXNSVOU-MNOVXSKESA-N	195.262	1.584	0	10	ADAE	
CCC[C@@H](O)C(=O)c1ccc(C)nc1	ZINC000233298406	YKLRXDHFFIGUKT-SNVBAGLBSA-N	193.246	1.734	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)c1ccccc1	ZINC000233298519	UDZGNXADMRFJSU-MNOVXSKESA-N	180.247	1.881	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)c1cccnc1	ZINC000233298542	BKZVXMATBPEMFE-ZJUUUORDSA-N	181.235	1.276	0	10	ADAE	
CCC[C@@H](O)C(=O)c1cccnc1	ZINC000233298546	UVNSGCGFDKHREE-SECBINFHSA-N	179.219	1.425	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)c1cccs1	ZINC000233298547	NWAFJFQYWMAAOO-VXNVDRBHSA-N	186.276	1.943	0	10	ADAE	
CCC[C@@H](O)C(=O)c1cccnc1N	ZINC000233298548	VKTSMJZUFDWEDS-MRVPVSSYSA-N	194.234	1.008	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)c1ccncc1F	ZINC000233298551	GFEPKNBJEKDEJY-ZJUUUORDSA-N	199.225	1.415	0	10	ADAE	
CCC[C@@H](O)C(=O)c1ccncc1F	ZINC000233298554	RTVCWOHYDWOSAE-SECBINFHSA-N	197.209	1.564	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)c1ccnn1CC	ZINC000233298555	NTUVCKMPGZHBQP-ZJUUUORDSA-N	198.266	1.097	0	10	ADAE	
CCC[C@@H](O)C(=O)c1ccnn1CC	ZINC000233298558	ZNYNYNMCXXJAJE-SECBINFHSA-N	196.250	1.247	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)c1ccoc1	ZINC000233298559	MEQKPDUOEYOIMS-BDAKNGLRSA-N	170.208	1.474	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)c1ccsc1	ZINC000233298561	PBIMHUWKWKZZLN-BDAKNGLRSA-N	186.276	1.943	0	10	ADAE	
CCC[C@@H](O)C(=O)c1ccoc1	ZINC000233298562	VQPGKOCIFIVNBX-MRVPVSSYSA-N	168.192	1.623	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)c1cncc(C)c1	ZINC000233298567	UTJYPBAIOOMINA-MNOVXSKESA-N	195.262	1.584	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)c1cncc(F)c1	ZINC000233298569	KVXBLHRDWPZUJO-ZJUUUORDSA-N	199.225	1.415	0	10	ADAE	
CCC[C@@H](O)C(=O)c1cncc(C)c1	ZINC000233298570	YJIYACYJYMWNQK-SNVBAGLBSA-N	193.246	1.734	0	10	ADAE	
CCC[C@@H](O)C(=O)c1cncc(F)c1	ZINC000233298572	MMJZLYPAOKAMTC-SECBINFHSA-N	197.209	1.564	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)c1cnccc1C	ZINC000233298580	CUCVFLAPVTWFIP-MNOVXSKESA-N	195.262	1.584	0	10	ADAE	
CCC[C@@H](O)C(=O)c1cnccc1C	ZINC000233298584	HHLUUNVKGZCZFE-SNVBAGLBSA-N	193.246	1.734	0	10	ADAE	
CCC[C@@H](O)C(=O)c1cnccc1N	ZINC000233298589	GGPJUPHZBBBBKI-SECBINFHSA-N	194.234	1.008	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)c1cnn(CC)c1	ZINC000233298596	XNZNXVMNILETEZ-ZJUUUORDSA-N	198.266	1.097	0	10	ADAE	
CCC[C@@H](O)C(=O)c1cnn(CC)c1	ZINC000233298601	VJCLHJCEVCNKQI-SECBINFHSA-N	196.250	1.247	0	10	ADAE	
CCC[C@@H](O)[C@@H](O)c1nccn1CC	ZINC000233298623	KNQMNZXBZUSZAQ-RKDXNWHRSA-N	198.266	1.097	0	10	ADAE	
CCC[C@@H](O)C(=O)c1nccn1CC	ZINC000233298624	HRZKPBYGYIPYMQ-MRVPVSSYSA-N	196.250	1.247	0	10	ADAE	
CCC[C@@H](O)[C@@H]1CCO[C@@H]1CC	ZINC000233298726	OJQMRAPXKNPVKU-IVZWLZJFSA-N	172.268	1.963	0	10	ADAE	
CCC[C@@H](O)C1CC(OC)C1	ZINC000233298734	RDSZSRFMIZHGHQ-AMDVSUOASA-N	158.241	1.572	0	10	ADAE	
CCC[C@@H](O)[C@@H]1CSCCN1C	ZINC000233298736	HMRCQUMHEVVKSV-DTWKUNHWSA-N	189.324	1.195	0	10	ADAE	
CCC[C@@H](O)C1CC(OCC)C1	ZINC000233298737	VDTUMEACHSELSA-UDNWOFFPSA-N	172.268	1.963	0	10	ADAE	
CCC[C@@H](O)CCCc1cn(C)nn1	ZINC000233298856	NWKXROFBRWTALJ-SNVBAGLBSA-N	197.282	1.299	0	10	ADAE	
CCC[C@@H](O)[C@H](O)C(CC)CC	ZINC000233298993	UVRBMNBJRQNNBM-NXEZZACHSA-N	174.284	1.945	0	10	ADAE	
CCC[C@@H](O)[C@H](O)C1=CCCCO1	ZINC000233298996	VGLRATHYBAYTSU-SCZZXKLOSA-N	186.251	1.203	0	10	ADAE	
CCC[C@@H](O)[C@H](O)C1CCC1	ZINC000233299004	WJOVSZZYOKIJEK-RKDXNWHRSA-N	158.241	1.308	0	10	ADAE	
CCC[C@@H](O)[C@H](O)C1CCCC1	ZINC000233299005	SDZLFRXGWYRILL-NXEZZACHSA-N	172.268	1.699	0	10	ADAE	
