smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCc1ccn(C2CCNCC2)n1	ZINC000084251721	QZLYBDOBWQLZID-UHFFFAOYSA-N	179.267	1.370	0	1	ADAF	
CCc1ccn([C@@H]2CCCNC2)n1	ZINC000084251734	OBQWCNNFORPLRP-SNVBAGLBSA-N	179.267	1.370	0	1	ADAF	
CCc1ccn([C@H]2CCCNC2)n1	ZINC000084251736	OBQWCNNFORPLRP-JTQLQIEISA-N	179.267	1.370	0	1	ADAF	
c1cn([C@@H]2CCNC2)nc1C1CC1	ZINC000084251755	ATXRTSLELFMUHV-SECBINFHSA-N	177.251	1.295	0	1	ADAF	
c1cn([C@H]2CCNC2)nc1C1CC1	ZINC000084251758	ATXRTSLELFMUHV-VIFPVBQESA-N	177.251	1.295	0	1	ADAF	
c1cn([C@@H]2CCCNC2)nc1C1CC1	ZINC000084251766	USMGABXJGHAHSA-SNVBAGLBSA-N	191.278	1.685	0	1	ADAF	
c1cn([C@H]2CCCNC2)nc1C1CC1	ZINC000084251769	USMGABXJGHAHSA-JTQLQIEISA-N	191.278	1.685	0	1	ADAF	
c1cn(C2CCNCC2)nc1C1CC1	ZINC000084251777	FMBPMHLFNVEMHB-UHFFFAOYSA-N	191.278	1.685	0	1	ADAF	
CC(C)c1ccn([C@@H](C)CN)n1	ZINC000084251821	OCFFCRGBAFGVPT-QMMMGPOBSA-N	167.256	1.526	0	1	ADAF	
CC(C)c1ccn([C@H](C)CN)n1	ZINC000084251825	OCFFCRGBAFGVPT-MRVPVSSYSA-N	167.256	1.526	0	1	ADAF	
CC(C)c1ccn(C2CCNCC2)n1	ZINC000084251828	IYOGTVKEAPJYPV-UHFFFAOYSA-N	193.294	1.931	0	1	ADAF	
CC(C)c1ccn([C@@H]2CCCNC2)n1	ZINC000084251831	PJHNAJFTDKBYSC-SNVBAGLBSA-N	193.294	1.931	0	1	ADAF	
CC(C)c1ccn([C@H]2CCCNC2)n1	ZINC000084251834	PJHNAJFTDKBYSC-JTQLQIEISA-N	193.294	1.931	0	1	ADAF	
CC(C)c1ccn([C@@H]2CCNC2)n1	ZINC000084251836	DVXARXGEZBTDIC-SECBINFHSA-N	179.267	1.541	0	1	ADAF	
CC(C)c1ccn([C@H]2CCNC2)n1	ZINC000084251837	DVXARXGEZBTDIC-VIFPVBQESA-N	179.267	1.541	0	1	ADAF	
CC(C)c1ccn(CCC(=O)O)n1	ZINC000084251859	MYWCPXIHUIBFHB-UHFFFAOYSA-N	182.223	1.481	0	1	ADAF	
CCc1ccn([C@@H](C)CC(=O)O)n1	ZINC000084251875	COWDOXCEARXRJO-ZETCQYMHSA-N	182.223	1.481	0	1	ADAF	
CCc1ccn([C@H](C)CC(=O)O)n1	ZINC000084251878	COWDOXCEARXRJO-SSDOTTSWSA-N	182.223	1.481	0	1	ADAF	
CC(C)c1ccn([C@@H](C)C(=O)O)n1	ZINC000084251913	WELZJEHPXPFAPX-ZETCQYMHSA-N	182.223	1.652	0	1	ADAF	
CC(C)c1ccn([C@H](C)C(=O)O)n1	ZINC000084251916	WELZJEHPXPFAPX-SSDOTTSWSA-N	182.223	1.652	0	1	ADAF	
CCc1ccn([C@@H](C)C(=O)O)n1	ZINC000084251918	LTDFFIRBBUFYQH-LURJTMIESA-N	168.196	1.091	0	1	ADAF	
CCc1ccn([C@H](C)C(=O)O)n1	ZINC000084251920	LTDFFIRBBUFYQH-ZCFIWIBFSA-N	168.196	1.091	0	1	ADAF	
Cc1nn([C@@H]2CCSC2)cc1CN	ZINC000084251960	DJSQMYCBJKSHEM-SECBINFHSA-N	197.307	1.328	0	1	ADAF	
Cc1nn([C@H]2CCSC2)cc1CN	ZINC000084251965	DJSQMYCBJKSHEM-VIFPVBQESA-N	197.307	1.328	0	1	ADAF	
N#Cc1sc(Cl)nc1N	ZINC000084252011	AIKFZZMPZBBEBE-UHFFFAOYSA-N	159.601	1.250	0	1	ADAF	
Nc1nc(Cl)sc1C(=O)O	ZINC000084252026	WVLWVOBFLSMLAG-UHFFFAOYSA-N	178.600	1.077	0	1	ADAF	
CCc1nc(N)c(C#N)s1	ZINC000084252029	RUTZLLXJUZXGDR-UHFFFAOYSA-N	153.210	1.159	0	1	ADAF	
CC(C)c1nc(N)c(C#N)s1	ZINC000084252031	NVUQAQWWWQFCQO-UHFFFAOYSA-N	167.237	1.720	0	1	ADAF	
N#Cc1sc(C2CC2)nc1N	ZINC000084252034	GYLOAEQDQOQYIC-UHFFFAOYSA-N	165.221	1.474	0	1	ADAF	
CC(C)c1nc(C(=O)O)c(N)o1	ZINC000084252073	XFVKJSQIROIMCJ-UHFFFAOYSA-N	170.168	1.078	0	1	ADAF	
CC(C)Cc1nc(C(=O)O)c(N)o1	ZINC000084252079	QLVPFSJTBCOVQO-UHFFFAOYSA-N	184.195	1.154	0	1	ADAF	
Nc1oc(C2CCCC2)nc1C(=O)O	ZINC000084252081	FDSMMFMSYKYYDR-UHFFFAOYSA-N	196.206	1.613	0	1	ADAF	
Cc1nc2c(nc(C)nc2Cl)n1C	ZINC000084252093	RQWKLXXJMZLPBX-UHFFFAOYSA-N	196.641	1.634	0	1	ADAF	
c1ncc2nc([C@@H]3CCCN3)oc2n1	ZINC000084252496	UHMMQHGIHMWRON-LURJTMIESA-N	190.206	1.042	0	1	ADAF	
