smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Oc1ccc(C[C@@H]2CCNC2)cc1O	ZINC000082892590	QQGOONVZORYPCH-VIFPVBQESA-N	193.246	1.250	10	50	ADCA	
Oc1ccc(C[C@H]2CCNC2)cc1O	ZINC000082892591	QQGOONVZORYPCH-SECBINFHSA-N	193.246	1.250	10	50	ADCA	
C[C@@H]1C[C@H](c2ccc(O)c(O)c2)CN1	ZINC000082892602	KAAJSHDDAUFGPE-APPZFPTMSA-N	193.246	1.563	10	50	ADCA	
C[C@H]1C[C@H](c2ccc(O)c(O)c2)CN1	ZINC000082892603	KAAJSHDDAUFGPE-CBAPKCEASA-N	193.246	1.563	10	50	ADCA	
C[C@@H]1C[C@@H](c2ccc(O)c(O)c2)CN1	ZINC000082892604	KAAJSHDDAUFGPE-VXNVDRBHSA-N	193.246	1.563	10	50	ADCA	
C[C@H]1C[C@@H](c2ccc(O)c(O)c2)CN1	ZINC000082892605	KAAJSHDDAUFGPE-IONNQARKSA-N	193.246	1.563	10	50	ADCA	
C[C@]1(c2ccc(O)cc2O)CCCN1	ZINC000082892657	ZJYCSBYPTVIQBD-LLVKDONJSA-N	193.246	1.696	10	50	ADCA	
C[C@@]1(c2ccc(O)cc2O)CCCN1	ZINC000082892658	ZJYCSBYPTVIQBD-NSHDSACASA-N	193.246	1.696	10	50	ADCA	
Oc1ccc([C@@H]2CCCCN2)c(O)c1	ZINC000082892662	WQIFZXLRCMKYLW-JTQLQIEISA-N	193.246	1.912	10	50	ADCA	
Oc1ccc([C@H]2CCCCN2)c(O)c1	ZINC000082892663	WQIFZXLRCMKYLW-SNVBAGLBSA-N	193.246	1.912	10	50	ADCA	
NC1(c2ccc(O)cc2O)CCCC1	ZINC000082892665	ZBBPYLNGJSVQPW-UHFFFAOYSA-N	193.246	1.826	10	50	ADCA	
C[C@]1(c2ccc(O)c(O)c2)CCCN1	ZINC000082892678	UHRUXEGICBJWBU-LLVKDONJSA-N	193.246	1.696	10	50	ADCA	
C[C@@]1(c2ccc(O)c(O)c2)CCCN1	ZINC000082892679	UHRUXEGICBJWBU-NSHDSACASA-N	193.246	1.696	10	50	ADCA	
Oc1ccc([C@@H]2CCCCN2)cc1O	ZINC000082892680	ANWYHRFNIFSCKF-VIFPVBQESA-N	193.246	1.912	10	50	ADCA	
Oc1ccc([C@H]2CCCCN2)cc1O	ZINC000082892681	ANWYHRFNIFSCKF-SECBINFHSA-N	193.246	1.912	10	50	ADCA	
NCC1(c2ccc(O)c(O)c2)CCC1	ZINC000082892682	SHDRDUQJHLZMRU-UHFFFAOYSA-N	193.246	1.478	10	50	ADCA	
NC1(c2ccc(O)c(O)c2)CCCC1	ZINC000082892683	ZIRZMELUEMRTRM-UHFFFAOYSA-N	193.246	1.826	10	50	ADCA	
Cc1ccc([C@@H]2COCCN2)c(O)c1	ZINC000082892694	SNWHRUDOUBHCML-JTQLQIEISA-N	193.246	1.362	10	50	ADCA	
Cc1ccc([C@H]2COCCN2)c(O)c1	ZINC000082892695	SNWHRUDOUBHCML-SNVBAGLBSA-N	193.246	1.362	10	50	ADCA	
Cc1ccc(O)c([C@@H]2COCCN2)c1	ZINC000082892702	QKNOZASJHXFFBG-JTQLQIEISA-N	193.246	1.362	10	50	ADCA	
Cc1ccc(O)c([C@H]2COCCN2)c1	ZINC000082892703	QKNOZASJHXFFBG-SNVBAGLBSA-N	193.246	1.362	10	50	ADCA	
Oc1ccccc1[C@@H]1CCOCCN1	ZINC000082892706	NYHWOKZLXVCDFI-JTQLQIEISA-N	193.246	1.443	10	50	ADCA	
Oc1ccccc1[C@H]1CCOCCN1	ZINC000082892707	NYHWOKZLXVCDFI-SNVBAGLBSA-N	193.246	1.443	10	50	ADCA	
Oc1ccccc1[C@@H]1COCCCN1	ZINC000082892708	JGTNTCVMMXTPSW-JTQLQIEISA-N	193.246	1.443	10	50	ADCA	
Oc1ccccc1[C@H]1COCCCN1	ZINC000082892709	JGTNTCVMMXTPSW-SNVBAGLBSA-N	193.246	1.443	10	50	ADCA	
CNC[C@H](O)c1cc2c(ccn2C)o1	ZINC000082894275	FNKNMXATOUHKJQ-QMMMGPOBSA-N	194.234	1.024	10	50	ADCA	
CNC[C@@H](O)c1cc2c(ccn2C)o1	ZINC000082894276	FNKNMXATOUHKJQ-MRVPVSSYSA-N	194.234	1.024	10	50	ADCA	
Cc1cc(CN)cc(CN(C)C)c1O	ZINC000082894899	LZNPZVNKCXUZFO-UHFFFAOYSA-N	194.278	1.221	10	50	ADCA	
Cc1c(CN)ccc(O)c1CN(C)C	ZINC000082894900	OOKDQRTYARFUOJ-UHFFFAOYSA-N	194.278	1.221	10	50	ADCA	
Cc1ccc(CN)c(O)c1CN(C)C	ZINC000082894901	WCXZGRLJUYDNGS-UHFFFAOYSA-N	194.278	1.221	10	50	ADCA	
