smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
COc1ccc2c(c1)CC[N+]2(C)C	ZINC000000021691	JVSURHRUCXILBN-UHFFFAOYSA-N	178.255	1.818	10	40	ADCB	
O=C(O)C(=S)Cc1ccccc1	ZINC000000097572	MKEFQJVTBFZDGF-UHFFFAOYSA-N	180.228	1.684	10	40	ADCB	
O=C/C(=C/O)c1ccccc1[N+](=O)[O-]	ZINC000000153785	GEGQHUURGSTYQY-ALCCZGGFSA-N	193.158	1.693	10	40	ADCB	
COc1ccc(/C(C=O)=C\O)cc1	ZINC000000153809	WASQXFIYEDZPDK-TWGQIWQCSA-N	178.187	1.793	10	40	ADCB	
O=C/C(=C/O)c1ccc([N+](=O)[O-])cc1	ZINC000000154177	ITSOOOACTGSLMS-YVMONPNESA-N	193.158	1.693	10	40	ADCB	
Cc1cc(=O)[nH]n1-c1ccc(N)cc1	ZINC000000409810	NKCTXWJKFFORDT-UHFFFAOYSA-N	189.218	1.056	10	40	ADCB	
Oc1cc(O)c(Cl)cc1O	ZINC000000896615	RSJCPOVKDYSWAP-UHFFFAOYSA-N	160.556	1.457	10	40	ADCB	in-vitro,metabolite
O=C1CCN(/N=N\c2ccccc2)N1	ZINC000001395505	RLKVZCXQKRXZFM-BENRWUELSA-N	190.206	1.422	10	40	ADCB	
c1cc(CNC2CC2)cc2c1OCC2	ZINC000001503014	HOWNSANSXYXWPR-UHFFFAOYSA-N	189.258	1.874	10	40	ADCB	
COc1cc(/C=C/CO)cc(O)c1O	ZINC000001532484	NPNAJGCZQBQWQZ-NSCUHMNNSA-N	196.202	1.112	10	40	ADCB	in-man,metabolite
CC(=O)C(=O)c1ccc(O)c(C)c1O	ZINC000001561426	ILOJTZYEVCJYDY-UHFFFAOYSA-N	194.186	1.178	10	40	ADCB	
CCC(=O)C(=O)c1ccc(O)cc1O	ZINC000001563289	OSPHQQZWRLGQGS-UHFFFAOYSA-N	194.186	1.260	10	40	ADCB	
C[n+]1cccc2c1-c1ccccc1C2=O	ZINC000001584668	GIBSYXDPBQQHNK-UHFFFAOYSA-N	196.229	1.723	10	40	ADCB	
CC(C)C(=O)C(=O)C(C)C	ZINC000001602518	BANWXFSXYBCSAT-UHFFFAOYSA-N	142.198	1.437	10	40	ADCB	
C=C(C)/[N+]([O-])=N/C	ZINC000001603968	NVNHMFPQJGRVCX-WAYWQWQTSA-N	100.121	1.112	10	40	ADCB	
