smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
[O-]/[N+](Cc1ccccc1F)=N\O	ZINC000003020608	SYLJESWDLYRBMC-KTKRTIGZSA-N	170.143	1.677	10	30	ADCC	
S=C1C=CC=C1	ZINC000005133138	LTVUVBXSNMDXAL-UHFFFAOYSA-N	96.154	1.482	10	30	ADCC	
C[C@@]1(CC#N)[C@@H]2CC[C@@]1(C)C(=O)C2=O	ZINC000005673918	JLSKWRPGSDQDKJ-ONOSFVFSSA-N	191.230	1.474	10	30	ADCC	
CCN(CC)C(=O)[n+]1ccccc1C	ZINC000006416105	XCRULJCLGABKHA-UHFFFAOYSA-N	193.270	1.592	10	30	ADCC	
Nc1ccc(Nc2cccnc2)nc1	ZINC000008419455	MRPSCVYKOWILOQ-UHFFFAOYSA-N	186.218	1.802	10	30	ADCC	
CC1=NNC(=O)/C1=C/[C@H]1CC=CCC1	ZINC000012433202	LTCSHZKZVGOVEA-HZAKCSEPSA-N	190.246	1.775	10	30	ADCC	
CC1=NNC(=O)/C1=C/[C@@H]1CC=CCC1	ZINC000012433204	LTCSHZKZVGOVEA-YIXGCBLDSA-N	190.246	1.775	10	30	ADCC	
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2=[N+]=[N-]	ZINC000026441597	SXDZTOIWUJMSIH-LDWIPMOCSA-N	178.235	1.682	10	30	ADCC	
CC1(C)[C@H]2CC[C@]1(C)C(=O)C2=[N+]=[N-]	ZINC000026441600	SXDZTOIWUJMSIH-QUBYGPBYSA-N	178.235	1.682	10	30	ADCC	
[N-]=[N+]=C1CCCCC1	ZINC000034849888	RICNAEXRYUNDCD-UHFFFAOYSA-N	110.160	1.621	10	30	ADCC	
S=Cc1ncc(Cl)cn1	ZINC000038540127	BCTLQBRVSAKPJE-UHFFFAOYSA-N	158.613	1.478	10	30	ADCC	
[N-]=[N+]=NCc1ccno1	ZINC000042390434	MDLUEJPHKVRVGJ-UHFFFAOYSA-N	124.103	1.485	10	30	ADCC	
Cc1cc(N)c(C)c(N)c1C=S	ZINC000066325854	DZMQXDYXRPFHOK-UHFFFAOYSA-N	180.276	1.816	10	30	ADCC	
Oc1ccc2c(c1O)CCC2	ZINC000066351551	ZDNXEDMACWQZMZ-UHFFFAOYSA-N	150.177	1.587	10	30	ADCC	
S=Cc1ccncc1	ZINC000072230829	SJYLPYGCNUTIEH-UHFFFAOYSA-N	123.180	1.429	10	30	ADCC	
Nc1[nH]ncc1-c1ccc(O)c(O)c1	ZINC000072417134	ZWDMRNLTIKELND-UHFFFAOYSA-N	191.190	1.070	10	30	ADCC	
N=[N+]=C1C=Nc2ccccc2C1=O	ZINC000096286678	XGGPDVKOIZERBK-UHFFFAOYSA-N	172.167	1.265	10	30	ADCC	
CC(=O)C(=[N+]=N)C(=O)c1ccccc1	ZINC000096288847	HKPBEQQXSPOHIW-UHFFFAOYSA-N	189.194	1.138	10	30	ADCC	
N=[N+]=CC(=O)Cc1ccccc1	ZINC000096297828	ASYKOJLVUNAANS-UHFFFAOYSA-N	161.184	1.108	10	30	ADCC	
N=[N+]=c1c2cccc3cccc(c1=O)c23	ZINC000096299933	WTSFKACDPYGPOE-UHFFFAOYSA-N	195.201	1.369	10	30	ADCC	
CC1(C)[C@@H]2CC[C@]1(C)C(=O)C2=[N+]=[N-]	ZINC000100167886	SXDZTOIWUJMSIH-LHLIQPBNSA-N	178.235	1.682	10	30	ADCC	
CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2=[N+]=[N-]	ZINC000100167891	SXDZTOIWUJMSIH-WKEGUHRASA-N	178.235	1.682	10	30	ADCC	
C[C@@H]1C=NC=CC1=S	ZINC000100304679	BMPKVCSCSXHEFJ-RXMQYKEDSA-N	125.196	1.591	10	30	ADCC	
C[C@H]1C=NC=CC1=S	ZINC000100304684	BMPKVCSCSXHEFJ-YFKPBYRVSA-N	125.196	1.591	10	30	ADCC	
CC1=CN=CCC1=S	ZINC000100304687	SGVDIXKIYHOFDH-UHFFFAOYSA-N	125.196	1.735	10	30	ADCC	
[N-]=[N+]=NCC(=O)NC1CCCC1	ZINC000100673041	XPBLNJSKJHSIFX-UHFFFAOYSA-N	168.200	1.356	10	30	ADCC	
[N-]=[N+]=NCC(=O)NCc1ccco1	ZINC000100673060	FTEYUMBTNKDANK-UHFFFAOYSA-N	180.167	1.206	10	30	ADCC	
C[C@@]1(CC#N)[C@H]2CC[C@@]1(C)C(=O)C2=O	ZINC000101023097	JLSKWRPGSDQDKJ-XROYCOCOSA-N	191.230	1.474	10	30	ADCC	
CC(C)(C#N)/N=N\C(C)(C)C(N)=O	ZINC000101902568	VBYKDGMWPIDERE-QXMHVHEDSA-N	182.227	1.005	10	30	ADCC	
Cc1nonc1/N=N\c1nonc1C	ZINC000102896820	QSKCPVURGKOJTB-FPLPWBNLSA-N	194.154	1.485	10	30	ADCC	
Cc1c(/N=N\N(C)C)cnn1C	ZINC000103635345	YMCXXMCIZHOIGH-KTKRTIGZSA-N	167.216	1.289	10	30	ADCC	
C[C@]1(N=[N+]=[N-])CCOC1=O	ZINC000104832281	AUGQCQHACRECDX-YFKPBYRVSA-N	141.130	1.002	10	30	ADCC	
C[C@@]1(N=[N+]=[N-])CCOC1=O	ZINC000104832283	AUGQCQHACRECDX-RXMQYKEDSA-N	141.130	1.002	10	30	ADCC	
C[C@@H]1CCC[C@H](C#N)C1=O	ZINC000104837705	PDFGEJRKAZRWSO-RNFRBKRXSA-N	137.182	1.515	10	30	ADCC	
C[C@H]1CCC[C@H](C#N)C1=O	ZINC000104837707	PDFGEJRKAZRWSO-NKWVEPMBSA-N	137.182	1.515	10	30	ADCC	
C[C@@H]1CCC[C@@H](C#N)C1=O	ZINC000104837712	PDFGEJRKAZRWSO-RQJHMYQMSA-N	137.182	1.515	10	30	ADCC	
C[C@H]1CCC[C@@H](C#N)C1=O	ZINC000104837715	PDFGEJRKAZRWSO-BQBZGAKWSA-N	137.182	1.515	10	30	ADCC	
C=CC[C@@]1(C)CCCC(=O)C1=O	ZINC000104838801	CBLUCLWRDXJGGL-JTQLQIEISA-N	166.220	1.891	10	30	ADCC	
C=CC[C@]1(C)CCCC(=O)C1=O	ZINC000104838804	CBLUCLWRDXJGGL-SNVBAGLBSA-N	166.220	1.891	10	30	ADCC	
[N-]=[N+]=N[C@@H]1CCCCC1=O	ZINC000104839159	HFOUNIGSPNHKTJ-RXMQYKEDSA-N	139.158	1.808	10	30	ADCC	
[N-]=[N+]=N[C@H]1CCCCC1=O	ZINC000104839162	HFOUNIGSPNHKTJ-YFKPBYRVSA-N	139.158	1.808	10	30	ADCC	
C=C[C@@]1(C)CC(=O)N1CCN=[N+]=[N-]	ZINC000104840143	FNVDBRCVFFDOBZ-QMMMGPOBSA-N	180.211	1.474	10	30	ADCC	
C=C[C@]1(C)CC(=O)N1CCN=[N+]=[N-]	ZINC000104840147	FNVDBRCVFFDOBZ-MRVPVSSYSA-N	180.211	1.474	10	30	ADCC	
O=[N+]([O-])c1ccc(/N=N/N2CC2)cc1	ZINC000104840192	OFVUUQYHGRYBHR-MDZDMXLPSA-N	192.178	1.909	10	30	ADCC	
CCOC(=O)N1CC(CC)(N=[N+]=[N-])C1	ZINC000104842148	LWPLISXSPQPFTO-UHFFFAOYSA-N	198.226	1.918	10	30	ADCC	
N=C(/N=N\c1ccccc1)N[N+](=O)[O-]	ZINC000105313698	UWHRBBBOQMJJCE-KTKRTIGZSA-N	193.166	1.486	10	30	ADCC	
N#CC(C#N)/N=N\c1ccc(O)cc1	ZINC000169685027	SITMWOVIGUQVHK-SEYXRHQNSA-N	186.174	1.892	10	30	ADCC	
CCO/C(C)=C1\C(C)=NN(C)C1=O	ZINC000210179731	FTASTZXJZZISHS-BQYQJAHWSA-N	182.223	1.145	10	30	ADCC	
C[C@]12CC[C@H](C(=O)C1=O)[C@]2(C)CC#N	ZINC000216038000	JLSKWRPGSDQDKJ-GGVZMXCHSA-N	191.230	1.474	10	30	ADCC	
C[C@]12CC[C@@H](C(=O)C1=O)[C@]2(C)CC#N	ZINC000216038053	JLSKWRPGSDQDKJ-SWPVVBRQSA-N	191.230	1.474	10	30	ADCC	
NC1=CC(=S)C2=CC=CC2=C1	ZINC000223847066	IBKVLOZGUKQHAN-UHFFFAOYSA-N	161.229	1.635	10	30	ADCC	
