smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1ccc([C@H](O)C#CC(C)(C)O)o1	ZINC000000077099	YSJQPPZIJRVGME-SECBINFHSA-N	194.230	1.396	10	20	ADCD	
Cc1ccc([C@@H](O)C#CC(C)(C)O)o1	ZINC000000077101	YSJQPPZIJRVGME-VIFPVBQESA-N	194.230	1.396	10	20	ADCD	
Nc1ccc(N2CC=CC2=O)cc1	ZINC000001465722	GLJPWWSGSALFME-UHFFFAOYSA-N	174.203	1.172	10	20	ADCD	
O=C/C=C/c1ccc(O)c(O)c1	ZINC000001532067	AXMVYSVVTMKQSL-OWOJBTEDSA-N	164.160	1.310	10	20	ADCD	in-vitro,metabolite
CC(C)/N=[N+](\[O-])C(C)C	ZINC000001717781	GWSLPKWCBFSXCD-FPLPWBNLSA-N	130.191	1.766	10	20	ADCD	
CCN(C(C)=O)c1ccc(N)cc1	ZINC000001846704	AISFBLVWISFAEY-UHFFFAOYSA-N	178.235	1.642	10	20	ADCD	
Nc1ccc(CC[N+](=O)[O-])cc1	ZINC000002244072	VDABVMSUEPVBJI-UHFFFAOYSA-N	166.180	1.088	10	20	ADCD	
CC(=O)c1ccc(O)c(O)c1Cl	ZINC000002389513	UCTUWXMZPHRXHF-UHFFFAOYSA-N	186.594	1.954	10	20	ADCD	
CC(=O)Cc1cccc(O)c1O	ZINC000002518654	VRLXJTHGCCPEFC-UHFFFAOYSA-N	166.176	1.229	10	20	ADCD	
COc1cc(CC(C)=O)cc(O)c1O	ZINC000002518658	AXTVEEJHTHVGCR-UHFFFAOYSA-N	196.202	1.238	10	20	ADCD	
O=[N+]([O-])/C=C/c1cccc(O)c1O	ZINC000002519271	POQIERHTMUIDTG-SNAWJCMRSA-N	181.147	1.345	10	20	ADCD	
O=[N+]([O-])/C=C/c1ccc(O)c(O)c1O	ZINC000002519301	HPCREBVYKSFNHS-ONEGZZNKSA-N	197.146	1.051	10	20	ADCD	
O=[N+]([O-])/C=C/c1cc(O)c(O)cc1O	ZINC000002519302	YQKLIZBJHGJBBY-OWOJBTEDSA-N	197.146	1.051	10	20	ADCD	
O=[N+]([O-])/C=C/c1cc(O)c(O)c(O)c1	ZINC000002519304	KWYJASBNCVFQRR-OWOJBTEDSA-N	197.146	1.051	10	20	ADCD	
N=Nc1ccc(NCCO)cc1	ZINC000002572137	WSODWCIKOQLCBG-UHFFFAOYSA-N	165.196	1.753	10	20	ADCD	
C[C@@H](Cc1cccc(O)c1O)[N+](=O)[O-]	ZINC000002579027	AWHJVNXGKNBMCU-LURJTMIESA-N	197.190	1.306	10	20	ADCD	
C[C@@H](Cc1ccc(O)c(O)c1)[N+](=O)[O-]	ZINC000002579030	BGGUEQUJLQACGS-LURJTMIESA-N	197.190	1.306	10	20	ADCD	
N[C@H](CC(=O)O)c1c(O)cccc1F	ZINC000002586175	LPSGKTWHJCJEPX-ZCFIWIBFSA-N	199.181	1.006	10	20	ADCD	
Cc1cccc([C@H](N)CC(=O)O)c1O	ZINC000002586184	YYHMTKAWAGRLSM-MRVPVSSYSA-N	195.218	1.175	10	20	ADCD	
Cc1cc(=O)[nH]c2cc(O)c(O)cc12	ZINC000003944932	YAAJFTVUZYRAIU-UHFFFAOYSA-N	191.186	1.248	10	20	ADCD	
[N-]=[N+]=C1C(=O)c2ccccc2N=C1O	ZINC000003957605	JFWJNYGRYYTVGM-UHFFFAOYSA-N	187.158	1.142	10	20	ADCD	
[N-]=[N+]=NC[C@@H](O)COc1ccccc1	ZINC000004071895	ZWUXAZDVDTZWFW-MRVPVSSYSA-N	193.206	1.737	10	20	ADCD	
[N-]=[N+]=NC[C@H](O)COc1ccccc1	ZINC000004071897	ZWUXAZDVDTZWFW-QMMMGPOBSA-N	193.206	1.737	10	20	ADCD	
C[C@@H](O)[C@H](C)N=[N+]=[N-]	ZINC000004748469	SYJYCKNUUFGZBU-IUYQGCFVSA-N	115.136	1.066	10	20	ADCD	
C[C@@H](O)[C@@H](C)N=[N+]=[N-]	ZINC000004748470	SYJYCKNUUFGZBU-QWWZWVQMSA-N	115.136	1.066	10	20	ADCD	
C[C@H](O)[C@H](C)N=[N+]=[N-]	ZINC000004748471	SYJYCKNUUFGZBU-IMJSIDKUSA-N	115.136	1.066	10	20	ADCD	
C[C@@H](N=[N+]=[N-])[C@H](C)O	ZINC000004748473	SYJYCKNUUFGZBU-DMTCNVIQSA-N	115.136	1.066	10	20	ADCD	
[N-]=[N+]=NCc1cnccn1	ZINC000005045522	VHIWZNBMMQUAQL-UHFFFAOYSA-N	135.130	1.287	10	20	ADCD	
[N-]=[N+]=NCCN=[N+]=[N-]	ZINC000005178766	FEJUFSSWIQWAOC-UHFFFAOYSA-N	112.096	1.607	10	20	ADCD	
COC(=O)[C@@H](C)CN=[N+]=[N-]	ZINC000006020749	AWKLAGQCWMZXOZ-BYPYZUCNSA-N	143.146	1.106	10	20	ADCD	
COC(=O)[C@H](C)CN=[N+]=[N-]	ZINC000006036568	AWKLAGQCWMZXOZ-SCSAIBSYSA-N	143.146	1.106	10	20	ADCD	
O=C1CCOc2cc(O)c(O)cc21	ZINC000013459161	HNDQGSFKMIIAHJ-UHFFFAOYSA-N	180.159	1.063	10	20	ADCD	biogenic,in-vitro
O=C/C=C\c1ccc(O)c(O)c1	ZINC000013546211	AXMVYSVVTMKQSL-UPHRSURJSA-N	164.160	1.310	10	20	ADCD	in-vitro,metabolite
CN(C)c1ccc(/C=C\CO)cc1	ZINC000013551401	PGYXGFIMMYWQSC-ARJAWSKDSA-N	177.247	1.758	10	20	ADCD	in-vitro
O=[N+]([O-])/C=C\c1ccc(O)c(O)c1	ZINC000014614095	LLJASJHXECDHOM-ARJAWSKDSA-N	181.147	1.345	10	20	ADCD	biogenic,in-vitro
Nc1ccc(Cc2c[nH]cn2)cc1	ZINC000014979074	LKKISAMEUBGGRO-UHFFFAOYSA-N	173.219	1.583	10	20	ADCD	
OC/C=C\c1ccc(O)c(O)c1	ZINC000015113408	ZCKDCRKBURQZPT-UPHRSURJSA-N	166.176	1.103	10	20	ADCD	in-vitro,metabolite
Nc1cccc2c1N[C@H](C(=O)O)CC2	ZINC000016678107	WOAXPFZIKBDPKV-QMMMGPOBSA-N	192.218	1.080	10	20	ADCD	
Nc1cccc2c1N[C@@H](C(=O)O)CC2	ZINC000016678108	WOAXPFZIKBDPKV-MRVPVSSYSA-N	192.218	1.080	10	20	ADCD	
CC1(C)[C@@]2(C)CC[C@]1(C)C(=O)C2=O	ZINC000017824094	QUDKFIWKJQTMJN-PHIMTYICSA-N	180.247	1.971	10	20	ADCD	
