smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@](N)(C#N)c1cc(Cl)ccc1O	ZINC000095758839	KUGYULOCYTXTHJ-VIFPVBQESA-N	196.637	1.743	10	10	ADCE	
C[C@](N)(C#N)c1cc(F)cc(F)c1O	ZINC000095759351	FXHNWKLLGMHFBQ-VIFPVBQESA-N	198.172	1.368	10	10	ADCE	
CC[C@](C)(N)c1ccc(O)c(O)c1	ZINC000095759498	UTXCHNSVRGGBAZ-JTQLQIEISA-N	181.235	1.682	10	10	ADCE	
CC(C)[C@](C)(N)c1ccc(O)c(O)c1	ZINC000095759501	VPHYFGQFZZGQBM-NSHDSACASA-N	195.262	1.928	10	10	ADCE	
C=C[C@](C)(N)c1ccc(O)c(O)c1	ZINC000095759502	PYJBVKBHAOZANO-JTQLQIEISA-N	179.219	1.458	10	10	ADCE	
C=CC[C@](C)(N)c1ccc(O)c(O)c1	ZINC000095759508	OVAJJYITDLPPPF-NSHDSACASA-N	193.246	1.848	10	10	ADCE	
Cc1cc(C)c(O)c([C@@](C)(N)C#N)c1	ZINC000095759876	VNZHSQOPMKWSMH-NSHDSACASA-N	190.246	1.707	10	10	ADCE	
CCC[C@H](N)c1cccc(O)c1O	ZINC000095760370	ABFLKUZPUQLUJL-QMMMGPOBSA-N	181.235	1.898	10	10	ADCE	
N#CC[C@H](N)c1cccc(Cl)c1O	ZINC000095764869	LLNUTVQBDMERCO-QMMMGPOBSA-N	196.637	1.959	10	10	ADCE	
N#C[C@H](N)c1cccc(Cl)c1O	ZINC000095764877	FZEOIFYUZFJVOJ-ZETCQYMHSA-N	182.610	1.569	10	10	ADCE	
Cc1cc(Cl)cc([C@@H](N)C#N)c1O	ZINC000095768727	YSDCTTJHVQYBQA-QMMMGPOBSA-N	196.637	1.877	10	10	ADCE	
COc1ccc(C)c([C@H](C)N)c1O	ZINC000095769747	QFMUQVRFBXRPNX-ZETCQYMHSA-N	181.235	1.729	10	10	ADCE	
C=C[C@H](N)c1c(C)ccc(OC)c1O	ZINC000095769753	FSULRCBVPWHBRB-QMMMGPOBSA-N	193.246	1.895	10	10	ADCE	
COc1ccc(C)c([C@@H](N)C#N)c1O	ZINC000095769759	QHJHHYFBWJFQPT-ZETCQYMHSA-N	192.218	1.233	10	10	ADCE	
Cc1cc(Cl)c(O)c([C@@H](N)C#N)c1	ZINC000095769792	WEWBSMPJRQYSJK-QMMMGPOBSA-N	196.637	1.877	10	10	ADCE	
CSc1ccc(O)c([C@@H](N)C#N)c1	ZINC000095770008	ROYWYQXUWQQCLN-QMMMGPOBSA-N	194.259	1.637	10	10	ADCE	
Cc1c(O)c([C@H](C)N)ccc1F	ZINC000095770064	LYVWAWWXHNJTGW-LURJTMIESA-N	169.199	1.859	10	10	ADCE	
Cc1c(O)c([C@@H](N)CC#N)ccc1F	ZINC000095770072	ALQRFJLCXCXKDR-VIFPVBQESA-N	194.209	1.753	10	10	ADCE	
Cc1c(F)ccc([C@@H](N)CCO)c1O	ZINC000095770074	OOLPJRAWVFTUGZ-VIFPVBQESA-N	199.225	1.222	10	10	ADCE	
Cc1c(O)c([C@@H](N)C#N)ccc1F	ZINC000095770076	XKTNAYCPDHPRGA-QMMMGPOBSA-N	180.182	1.363	10	10	ADCE	
Cc1c(O)c([C@@H](N)[C@@H](C)O)ccc1F	ZINC000095770087	CROBXLYRALSHEH-MUWHJKNJSA-N	199.225	1.220	10	10	ADCE	
Cc1c(O)c([C@@H](N)[C@H](C)O)ccc1F	ZINC000095770088	CROBXLYRALSHEH-RCOVLWMOSA-N	199.225	1.220	10	10	ADCE	
COC(=O)c1ccc(O)c([C@H](C)N)c1	ZINC000095770097	ZPECDRSFFWELLG-LURJTMIESA-N	195.218	1.199	10	10	ADCE	
C[C@H](N)c1ccc2c(c1O)OCO2	ZINC000095770234	BYECQZNPGODBPY-YFKPBYRVSA-N	181.191	1.141	10	10	ADCE	
CC[C@H](N)c1ccc2c(c1O)OCO2	ZINC000095770235	OBYJNHIIFQTKSP-ZETCQYMHSA-N	195.218	1.531	10	10	ADCE	
C=C[C@H](N)c1ccc2c(c1O)OCO2	ZINC000095770242	AARRLUBOPCZWPM-ZETCQYMHSA-N	193.202	1.307	10	10	ADCE	
CCc1ccc(O)c([C@@H](N)CC#N)c1	ZINC000095770277	FXGAWQPGAJCARB-JTQLQIEISA-N	190.246	1.868	10	10	ADCE	
CCc1ccc(O)c([C@@H](N)C#N)c1	ZINC000095770280	OJEDSWSRTNEADI-VIFPVBQESA-N	176.219	1.478	10	10	ADCE	
CCc1ccc(O)c([C@@H](N)[C@@H](C)O)c1	ZINC000095770291	CVFDJFRFNYOHKY-HQJQHLMTSA-N	195.262	1.335	10	10	ADCE	
CCc1ccc(O)c([C@@H](N)[C@H](C)O)c1	ZINC000095770292	CVFDJFRFNYOHKY-CPCISQLKSA-N	195.262	1.335	10	10	ADCE	
CCCc1ccc(O)c([C@@H](N)C#N)c1	ZINC000095770313	XIMYEQBRMWYEOV-JTQLQIEISA-N	190.246	1.868	10	10	ADCE	
Cc1ccc([C@@H](N)CC#N)c(O)c1C	ZINC000095770523	QPKPRKWLSZETEY-JTQLQIEISA-N	190.246	1.923	10	10	ADCE	
Cc1ccc([C@@H](N)CCO)c(O)c1C	ZINC000095770525	BFYRFSJLKULPTJ-JTQLQIEISA-N	195.262	1.391	10	10	ADCE	
Cc1ccc([C@@H](N)C#N)c(O)c1C	ZINC000095770527	YZQCTNSJMBAZAD-VIFPVBQESA-N	176.219	1.532	10	10	ADCE	
Cc1ccc([C@@H](N)[C@@H](C)O)c(O)c1C	ZINC000095770538	YACZPDZWVASTMT-SCZZXKLOSA-N	195.262	1.390	10	10	ADCE	
Cc1ccc([C@@H](N)[C@H](C)O)c(O)c1C	ZINC000095770539	YACZPDZWVASTMT-WPRPVWTQSA-N	195.262	1.390	10	10	ADCE	
Cc1cc(C)c([C@@H](N)CC#N)c(O)c1	ZINC000095770556	YOIOKALGJNJPEY-VIFPVBQESA-N	190.246	1.923	10	10	ADCE	
Cc1cc(C)c([C@@H](N)C#N)c(O)c1	ZINC000095770559	LFTGLCLGXPZPHX-QMMMGPOBSA-N	176.219	1.532	10	10	ADCE	
Cc1cc(C)c([C@@H](N)[C@@H](C)O)c(O)c1	ZINC000095770570	DAGDHUUQRRPKGT-KCJUWKMLSA-N	195.262	1.390	10	10	ADCE	
Cc1cc(C)c([C@@H](N)[C@H](C)O)c(O)c1	ZINC000095770571	DAGDHUUQRRPKGT-KWQFWETISA-N	195.262	1.390	10	10	ADCE	
Cc1ccc(C)c([C@@H](N)CC#N)c1O	ZINC000095770587	CTEBILMDMLNENG-VIFPVBQESA-N	190.246	1.923	10	10	ADCE	
Cc1ccc(C)c([C@@H](N)C#N)c1O	ZINC000095770590	WHYLNJOJYYGDDD-QMMMGPOBSA-N	176.219	1.532	10	10	ADCE	
Cc1ccc(C)c([C@@H](N)[C@@H](C)O)c1O	ZINC000095770601	MXQGVJQWLYVSSV-SCZZXKLOSA-N	195.262	1.390	10	10	ADCE	
Cc1ccc(C)c([C@@H](N)[C@H](C)O)c1O	ZINC000095770602	MXQGVJQWLYVSSV-WPRPVWTQSA-N	195.262	1.390	10	10	ADCE	
CCc1cc(C)c(O)c([C@@H](N)CO)c1	ZINC000095770617	NGCJWBQNYGXGQX-JTQLQIEISA-N	195.262	1.255	10	10	ADCE	
CCc1cc(C)c(O)c([C@@H](N)C#N)c1	ZINC000095770625	OAUZHYCXNXTUAY-JTQLQIEISA-N	190.246	1.786	10	10	ADCE	
CCc1cc(C)c(O)c([C@@H](N)CN)c1	ZINC000095770636	OSWJOXUOOSAQMT-JTQLQIEISA-N	194.278	1.222	10	10	ADCE	
CCc1ccc([C@H](C)N)c(O)c1	ZINC000095770655	XMNNSWOTDXRVSP-ZETCQYMHSA-N	165.236	1.974	10	10	ADCE	
CCc1ccc([C@@H](N)CC#N)c(O)c1	ZINC000095770665	YBGORMLFXPAUKH-JTQLQIEISA-N	190.246	1.868	10	10	ADCE	
CCc1ccc([C@@H](N)CCO)c(O)c1	ZINC000095770667	OXQSXPBPHITPNB-JTQLQIEISA-N	195.262	1.337	10	10	ADCE	
CCc1ccc([C@@H](N)C#N)c(O)c1	ZINC000095770669	JZZTUOQNBQSDTJ-VIFPVBQESA-N	176.219	1.478	10	10	ADCE	
CCc1ccc([C@@H](N)[C@@H](C)O)c(O)c1	ZINC000095770681	JJDBYWDAZKOCSX-HQJQHLMTSA-N	195.262	1.335	10	10	ADCE	
CCc1ccc([C@@H](N)[C@H](C)O)c(O)c1	ZINC000095770682	JJDBYWDAZKOCSX-CPCISQLKSA-N	195.262	1.335	10	10	ADCE	
CCC[C@@H](N)c1cccc(O)c1O	ZINC000095777648	ABFLKUZPUQLUJL-MRVPVSSYSA-N	181.235	1.898	10	10	ADCE	
CCC[C@@H](N)c1cc(O)ccc1O	ZINC000095777662	RBESJBPQEOJDPT-SECBINFHSA-N	181.235	1.898	10	10	ADCE	
N#C[C@@H](N)c1cccc(Cl)c1O	ZINC000095778302	FZEOIFYUZFJVOJ-SSDOTTSWSA-N	182.610	1.569	10	10	ADCE	
Cc1cc(Cl)cc([C@H](N)C#N)c1O	ZINC000095780199	YSDCTTJHVQYBQA-MRVPVSSYSA-N	196.637	1.877	10	10	ADCE	
COc1ccc(C)c([C@H](N)C#N)c1O	ZINC000095780995	QHJHHYFBWJFQPT-SSDOTTSWSA-N	192.218	1.233	10	10	ADCE	
Cc1cc(Cl)c(O)c([C@H](N)C#N)c1	ZINC000095781028	WEWBSMPJRQYSJK-MRVPVSSYSA-N	196.637	1.877	10	10	ADCE	
CSc1ccc(O)c([C@H](N)C#N)c1	ZINC000095781244	ROYWYQXUWQQCLN-MRVPVSSYSA-N	194.259	1.637	10	10	ADCE	
Cc1c(F)ccc([C@H](N)CCO)c1O	ZINC000095781310	OOLPJRAWVFTUGZ-SECBINFHSA-N	199.225	1.222	10	10	ADCE	
Cc1c(O)c([C@H](N)C#N)ccc1F	ZINC000095781312	XKTNAYCPDHPRGA-MRVPVSSYSA-N	180.182	1.363	10	10	ADCE	
Cc1c(O)c([C@H](N)[C@@H](C)O)ccc1F	ZINC000095781323	CROBXLYRALSHEH-HZGVNTEJSA-N	199.225	1.220	10	10	ADCE	
Cc1c(O)c([C@H](N)[C@H](C)O)ccc1F	ZINC000095781324	CROBXLYRALSHEH-IMTBSYHQSA-N	199.225	1.220	10	10	ADCE	
C[C@@H](N)c1ccc2c(c1O)OCO2	ZINC000095781471	BYECQZNPGODBPY-RXMQYKEDSA-N	181.191	1.141	10	10	ADCE	
CC[C@@H](N)c1ccc2c(c1O)OCO2	ZINC000095781472	OBYJNHIIFQTKSP-SSDOTTSWSA-N	195.218	1.531	10	10	ADCE	
C=C[C@@H](N)c1ccc2c(c1O)OCO2	ZINC000095781479	AARRLUBOPCZWPM-SSDOTTSWSA-N	193.202	1.307	10	10	ADCE	
CCc1ccc(O)c([C@H](N)C#N)c1	ZINC000095781517	OJEDSWSRTNEADI-SECBINFHSA-N	176.219	1.478	10	10	ADCE	
CCc1ccc(O)c([C@H](N)[C@@H](C)O)c1	ZINC000095781528	CVFDJFRFNYOHKY-RDDDGLTNSA-N	195.262	1.335	10	10	ADCE	
CCc1ccc(O)c([C@H](N)[C@H](C)O)c1	ZINC000095781529	CVFDJFRFNYOHKY-WRWORJQWSA-N	195.262	1.335	10	10	ADCE	
CCCc1ccc(O)c([C@H](N)C#N)c1	ZINC000095782542	XIMYEQBRMWYEOV-SNVBAGLBSA-N	190.246	1.868	10	10	ADCE	
Cc1ccc([C@H](N)C#N)c(O)c1C	ZINC000095782936	YZQCTNSJMBAZAD-SECBINFHSA-N	176.219	1.532	10	10	ADCE	
Cc1ccc([C@H](N)[C@@H](C)O)c(O)c1C	ZINC000095782954	YACZPDZWVASTMT-PSASIEDQSA-N	195.262	1.390	10	10	ADCE	
Cc1ccc([C@H](N)[C@H](C)O)c(O)c1C	ZINC000095782956	YACZPDZWVASTMT-WCBMZHEXSA-N	195.262	1.390	10	10	ADCE	
Cc1cc(C)c([C@H](N)C#N)c(O)c1	ZINC000095782995	LFTGLCLGXPZPHX-MRVPVSSYSA-N	176.219	1.532	10	10	ADCE	
Cc1cc(C)c([C@H](N)[C@@H](C)O)c(O)c1	ZINC000095783008	DAGDHUUQRRPKGT-LDYMZIIASA-N	195.262	1.390	10	10	ADCE	
Cc1cc(C)c([C@H](N)[C@H](C)O)c(O)c1	ZINC000095783009	DAGDHUUQRRPKGT-GZMMTYOYSA-N	195.262	1.390	10	10	ADCE	
Cc1ccc(C)c([C@H](N)C#N)c1O	ZINC000095783040	WHYLNJOJYYGDDD-MRVPVSSYSA-N	176.219	1.532	10	10	ADCE	
Cc1ccc(C)c([C@H](N)[C@@H](C)O)c1O	ZINC000095783060	MXQGVJQWLYVSSV-PSASIEDQSA-N	195.262	1.390	10	10	ADCE	
Cc1ccc(C)c([C@H](N)[C@H](C)O)c1O	ZINC000095783062	MXQGVJQWLYVSSV-WCBMZHEXSA-N	195.262	1.390	10	10	ADCE	
CCc1cc(C)c(O)c([C@H](N)CO)c1	ZINC000095783089	NGCJWBQNYGXGQX-SNVBAGLBSA-N	195.262	1.255	10	10	ADCE	
CCc1cc(C)c(O)c([C@H](N)C#N)c1	ZINC000095783102	OAUZHYCXNXTUAY-SNVBAGLBSA-N	190.246	1.786	10	10	ADCE	
CCc1cc(C)c(O)c([C@H](N)CN)c1	ZINC000095783119	OSWJOXUOOSAQMT-SNVBAGLBSA-N	194.278	1.222	10	10	ADCE	
CCc1ccc([C@@H](C)N)c(O)c1	ZINC000095783151	XMNNSWOTDXRVSP-SSDOTTSWSA-N	165.236	1.974	10	10	ADCE	
CCc1ccc([C@H](N)CC#N)c(O)c1	ZINC000095783169	YBGORMLFXPAUKH-SNVBAGLBSA-N	190.246	1.868	10	10	ADCE	
CCc1ccc([C@H](N)CCO)c(O)c1	ZINC000095783173	OXQSXPBPHITPNB-SNVBAGLBSA-N	195.262	1.337	10	10	ADCE	
CCc1ccc([C@H](N)C#N)c(O)c1	ZINC000095783177	JZZTUOQNBQSDTJ-SECBINFHSA-N	176.219	1.478	10	10	ADCE	
CCc1ccc([C@H](N)[C@@H](C)O)c(O)c1	ZINC000095783200	JJDBYWDAZKOCSX-RDDDGLTNSA-N	195.262	1.335	10	10	ADCE	
CCc1ccc([C@H](N)[C@H](C)O)c(O)c1	ZINC000095783202	JJDBYWDAZKOCSX-WRWORJQWSA-N	195.262	1.335	10	10	ADCE	
O=[N+]([O-])c1ccc(O)c([C@H]2CCN2)c1	ZINC000095783950	GAEJBNHHXSXIIZ-MRVPVSSYSA-N	194.190	1.335	10	10	ADCE	
Oc1ccc([C@H]2CCN2)c(O)c1	ZINC000095783996	NSYWAHJMWTVGCE-MRVPVSSYSA-N	165.192	1.132	10	10	ADCE	
COc1ccc([C@H]2CCN2)c(O)c1	ZINC000095784001	PPTNVTMAFDEQNO-SECBINFHSA-N	179.219	1.435	10	10	ADCE	
Oc1ccc(O)c([C@H]2CCN2)c1	ZINC000095784012	GNVIICCXJLUZCX-MRVPVSSYSA-N	165.192	1.132	10	10	ADCE	
Cc1cc(F)cc([C@H]2CCN2)c1O	ZINC000095784157	XEMAGJZLUSIPJQ-SECBINFHSA-N	181.210	1.874	10	10	ADCE	
Cc1cccc([C@H]2CCN2)c1O	ZINC000095784355	GBCJGKFEXACHMG-SECBINFHSA-N	163.220	1.735	10	10	ADCE	
COc1cccc(O)c1[C@H]1CCN1	ZINC000095784477	SMJNEFOSHKDUDN-SSDOTTSWSA-N	179.219	1.435	10	10	ADCE	
Cc1ccc(F)c(O)c1[C@H]1CCN1	ZINC000095784510	JDDIKWUMOORMNI-MRVPVSSYSA-N	181.210	1.874	10	10	ADCE	
Cc1ccc(F)c([C@H]2CCN2)c1O	ZINC000095784516	VVRLYUUXQZYPCP-MRVPVSSYSA-N	181.210	1.874	10	10	ADCE	
COc1cc(F)cc([C@H]2CCN2)c1O	ZINC000095784526	REVJGXFBDFTDNE-MRVPVSSYSA-N	197.209	1.574	10	10	ADCE	
COc1ccc(C)c([C@H]2CCN2)c1O	ZINC000095784541	PMNKIOXONVMBNG-MRVPVSSYSA-N	193.246	1.744	10	10	ADCE	
Cc1c(F)ccc([C@H]2CCN2)c1O	ZINC000095784567	GRZAJOMLLSIPOA-SECBINFHSA-N	181.210	1.874	10	10	ADCE	
Oc1c2c(ccc1[C@H]1CCN1)OCO2	ZINC000095784579	CXRIJHHAKGBYIL-SSDOTTSWSA-N	193.202	1.155	10	10	ADCE	
CCc1ccc(O)c([C@H]2CCN2)c1	ZINC000095784582	ZIPYACOTSGUDFX-SNVBAGLBSA-N	177.247	1.989	10	10	ADCE	
CCc1ccc([C@H]2CCN2)c(O)c1	ZINC000095784610	QYXQTOHFIXCKRE-SNVBAGLBSA-N	177.247	1.989	10	10	ADCE	
Oc1cccc([C@@H]2CCN2)c1O	ZINC000095784707	JMXAHLWVZFZVOR-ZETCQYMHSA-N	165.192	1.132	10	10	ADCE	
COc1cccc([C@@H]2CCN2)c1O	ZINC000095785066	AIBRDKKOOZDKKF-QMMMGPOBSA-N	179.219	1.435	10	10	ADCE	
COc1cccc(O)c1[C@@H]1CCN1	ZINC000095785181	SMJNEFOSHKDUDN-ZETCQYMHSA-N	179.219	1.435	10	10	ADCE	
Cc1ccc(F)c(O)c1[C@@H]1CCN1	ZINC000095785209	JDDIKWUMOORMNI-QMMMGPOBSA-N	181.210	1.874	10	10	ADCE	
Cc1ccc(F)c([C@@H]2CCN2)c1O	ZINC000095785213	VVRLYUUXQZYPCP-QMMMGPOBSA-N	181.210	1.874	10	10	ADCE	
COc1cc(F)cc([C@@H]2CCN2)c1O	ZINC000095785218	REVJGXFBDFTDNE-QMMMGPOBSA-N	197.209	1.574	10	10	ADCE	
COc1ccc(C)c([C@@H]2CCN2)c1O	ZINC000095785227	PMNKIOXONVMBNG-QMMMGPOBSA-N	193.246	1.744	10	10	ADCE	
Cc1c(F)ccc([C@@H]2CCN2)c1O	ZINC000095785248	GRZAJOMLLSIPOA-VIFPVBQESA-N	181.210	1.874	10	10	ADCE	
Oc1c2c(ccc1[C@@H]1CCN1)OCO2	ZINC000095785259	CXRIJHHAKGBYIL-ZETCQYMHSA-N	193.202	1.155	10	10	ADCE	
N#Cc1ccc(O)c([C@@H]2CCN2)c1	ZINC000095785266	VWTOUXVTPXKTHA-VIFPVBQESA-N	174.203	1.298	10	10	ADCE	
CCc1cccc([C@@H]2CCN2)c1O	ZINC000095785287	MGDSWTNAVPZIEN-JTQLQIEISA-N	177.247	1.989	10	10	ADCE	
CCc1ccc([C@@H]2CCN2)c(O)c1	ZINC000095785289	QYXQTOHFIXCKRE-JTQLQIEISA-N	177.247	1.989	10	10	ADCE	
N[C@H]1CCCc2cc(O)cc(O)c21	ZINC000095786691	NUPJKBAYWBMTSS-QMMMGPOBSA-N	179.219	1.434	10	10	ADCE	
N[C@H]1CCCc2c(O)c(O)c(O)cc21	ZINC000095786727	LKIRGLQDAJGYQW-ZETCQYMHSA-N	195.218	1.140	10	10	ADCE	
N[C@H]1CCCc2c(O)cc(O)c(O)c21	ZINC000095786728	ZPXJCRFVAOXNPL-LURJTMIESA-N	195.218	1.140	10	10	ADCE	
