smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(=O)c1cc(O)c(O)c([N+](=O)[O-])c1	ZINC000000002778	RZTRFWLYXYIRAX-UHFFFAOYSA-N	197.146	1.209	10	1	ADCF	
C[C@H](CN)c1ccc(O)c(O)c1F	ZINC000000021215	DNUIDYLXIZLFAE-RXMQYKEDSA-N	185.198	1.299	10	1	ADCF	
C[C@H](CN)c1cc(O)c(O)cc1F	ZINC000000021216	LLDKRJIMTDOIHQ-RXMQYKEDSA-N	185.198	1.299	10	1	ADCF	
CN1C=CC(=Cc2cccc[n+]2C)C=C1	ZINC000000174529	VHPRWCGEHDMIRK-UHFFFAOYSA-N	199.277	1.867	10	1	ADCF	
Oc1cc(O)c(O)c(Cl)c1	ZINC000000896100	GVZRJQSQNLOFNR-UHFFFAOYSA-N	160.556	1.457	10	1	ADCF	in-vitro,metabolite
COc1cc(/C=C/C=O)cc(O)c1O	ZINC000001532482	IEHPLRVWOHZKCS-NSCUHMNNSA-N	194.186	1.319	10	1	ADCF	in-vitro,metabolite
CCCO/N=[N+](/[O-])N(CC)CC	ZINC000001535778	SRMGPOJFLKZFES-CSKARUKUSA-N	175.232	1.547	10	1	ADCF	
C=CCO/N=[N+](\[O-])N(CC)CC	ZINC000001535781	ZKZQVOIFXKELCF-NTMALXAHSA-N	173.216	1.323	10	1	ADCF	
C=CO/N=[N+](\[O-])N(CC)CC	ZINC000001535785	PXBXWWPIODQCHK-CLFYSBASSA-N	159.189	1.281	10	1	ADCF	
C=CCN(C(C)C)/[N+]([O-])=N/OC	ZINC000001535788	JOAKGGPYQZALON-NTMALXAHSA-N	173.216	1.322	10	1	ADCF	
C/N=[N+](\[O-])C1(OC(C)=O)CCCC1	ZINC000001560475	ZLFHANUETIYATH-KTKRTIGZSA-N	186.211	1.412	10	1	ADCF	
CC(=O)OC1(/N=[N+](/C)[O-])CCCC1	ZINC000001565935	INWKLRQVYRQTAT-KTKRTIGZSA-N	186.211	1.412	10	1	ADCF	
Cc1cc(O)c(O)c([N+](=O)[O-])c1	ZINC000001583314	MQGZDMVKFBSAQP-UHFFFAOYSA-N	169.136	1.314	10	1	ADCF	
C/[N+]([O-])=N/Nc1ccc(F)cc1	ZINC000001607809	USHIUGHVWBDJBD-KHPPLWFESA-N	169.159	1.745	10	1	ADCF	
CC1=[N+]([O-])c2ccccc2C(=O)C1=O	ZINC000001622316	DEUMHPKEGIBZSI-UHFFFAOYSA-N	189.170	1.055	10	1	ADCF	
C/[N+]([O-])=N\C1CCCCC1	ZINC000001673851	KJNIXRGVUDVEQB-CMDGGOBGSA-N	142.202	1.911	10	1	ADCF	
C/N=[N+](\[O-])C1CCCCC1	ZINC000001673852	RTOJGFQRPQRTMD-HJWRWDBZSA-N	142.202	1.911	10	1	ADCF	
