smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CN(C)[C@H](CCl)c1cccnc1	ZINC000041202966	UPOFMTFDUPZLHQ-SECBINFHSA-N	184.670	1.923	30	50	ADEA	
N#CC1=CCc2cc3c(cc21)OCO3	ZINC000041202972	KJHWWJQHTXRNNY-UHFFFAOYSA-N	185.182	1.878	30	50	ADEA	
COc1ccccc1[C@H](O)CCl	ZINC000041203649	IVQDEIRUOFEMAS-MRVPVSSYSA-N	186.638	1.967	30	50	ADEA	
COc1ccccc1[C@@H](O)CCl	ZINC000041203652	IVQDEIRUOFEMAS-QMMMGPOBSA-N	186.638	1.967	30	50	ADEA	
C=C(C#N)c1ccc2c(c1)OCCO2	ZINC000041203729	KCAZMBOAHAVSRR-UHFFFAOYSA-N	187.198	1.995	30	50	ADEA	
COc1ccc2c(c1)C(C#N)=CCO2	ZINC000041203738	KPMHXEGXHVWDLN-UHFFFAOYSA-N	187.198	1.995	30	50	ADEA	
COc1cccc2c1OCC=C2C#N	ZINC000041203741	GMXKRIPDZYWALS-UHFFFAOYSA-N	187.198	1.995	30	50	ADEA	
Cc1ccccc1CCC(=O)N=C=O	ZINC000041204379	MWAXKIACEFFOJC-UHFFFAOYSA-N	189.214	1.790	30	50	ADEA	
Cc1cccc(CCC(=O)N=C=O)c1	ZINC000041204385	HWZNQECCEMVNHR-UHFFFAOYSA-N	189.214	1.790	30	50	ADEA	
Cc1ccc(CCC(=O)N=C=O)cc1	ZINC000041204387	JFWWAYPABGMCGV-UHFFFAOYSA-N	189.214	1.790	30	50	ADEA	
COc1ccccc1[C@@H]1C[C@@H]1N=C=O	ZINC000041204389	OQHHKXDAIYWPCL-UWVGGRQHSA-N	189.214	1.887	30	50	ADEA	
COc1ccccc1[C@H]1C[C@@H]1N=C=O	ZINC000041204391	OQHHKXDAIYWPCL-ZJUUUORDSA-N	189.214	1.887	30	50	ADEA	
COc1ccccc1[C@@H]1C[C@H]1N=C=O	ZINC000041204393	OQHHKXDAIYWPCL-VHSXEESVSA-N	189.214	1.887	30	50	ADEA	
COc1ccccc1[C@H]1C[C@H]1N=C=O	ZINC000041204395	OQHHKXDAIYWPCL-NXEZZACHSA-N	189.214	1.887	30	50	ADEA	
COc1cccc([C@@H]2C[C@@H]2N=C=O)c1	ZINC000041204397	XXFHFCYNSFIHCV-QWRGUYRKSA-N	189.214	1.887	30	50	ADEA	
COc1cccc([C@H]2C[C@@H]2N=C=O)c1	ZINC000041204399	XXFHFCYNSFIHCV-MNOVXSKESA-N	189.214	1.887	30	50	ADEA	
COc1cccc([C@@H]2C[C@H]2N=C=O)c1	ZINC000041204401	XXFHFCYNSFIHCV-WDEREUQCSA-N	189.214	1.887	30	50	ADEA	
COc1cccc([C@H]2C[C@H]2N=C=O)c1	ZINC000041204403	XXFHFCYNSFIHCV-GHMZBOCLSA-N	189.214	1.887	30	50	ADEA	
COc1ccc([C@@H]2C[C@@H]2N=C=O)cc1	ZINC000041204405	FOHFVDRNBGEAAI-QWRGUYRKSA-N	189.214	1.887	30	50	ADEA	
COc1ccc([C@H]2C[C@@H]2N=C=O)cc1	ZINC000041204407	FOHFVDRNBGEAAI-MNOVXSKESA-N	189.214	1.887	30	50	ADEA	
COc1ccc([C@@H]2C[C@H]2N=C=O)cc1	ZINC000041204409	FOHFVDRNBGEAAI-WDEREUQCSA-N	189.214	1.887	30	50	ADEA	
COc1ccc([C@H]2C[C@H]2N=C=O)cc1	ZINC000041204411	FOHFVDRNBGEAAI-GHMZBOCLSA-N	189.214	1.887	30	50	ADEA	
CN(C)c1ccc(CCN=C=O)cc1	ZINC000041205029	NNVXENFUHZNLOT-UHFFFAOYSA-N	190.246	1.631	30	50	ADEA	
COc1ccc(CC(=O)N=C=O)cc1	ZINC000041205141	HZVBYNJLRWILHA-UHFFFAOYSA-N	191.186	1.100	30	50	ADEA	
O=C=NC(=O)CCOc1ccccc1	ZINC000041205142	CIBAYVOHPKRKNQ-UHFFFAOYSA-N	191.186	1.318	30	50	ADEA	
Cc1ccc(OCC(=O)N=C=O)cc1	ZINC000041205143	YYKOKJDQMHDSJK-UHFFFAOYSA-N	191.186	1.236	30	50	ADEA	
Cc1ccccc1OCC(=O)N=C=O	ZINC000041205145	KENMPFIEBQXLOY-UHFFFAOYSA-N	191.186	1.236	30	50	ADEA	
Cc1cccc(OCC(=O)N=C=O)c1	ZINC000041205146	RJUJNWFXABMKPK-UHFFFAOYSA-N	191.186	1.236	30	50	ADEA	
O/N=C1\CCc2cc3c(cc21)OCO3	ZINC000041205147	NADDGMOWVFGDLF-DHZHZOJOSA-N	191.186	1.540	30	50	ADEA	
CCOc1ccccc1CCN=C=O	ZINC000041205181	YPRXOBIOYKRSFO-UHFFFAOYSA-N	191.230	1.964	30	50	ADEA	
CCOc1cccc(CCN=C=O)c1	ZINC000041205182	ZOZWMAOPZMZWOW-UHFFFAOYSA-N	191.230	1.964	30	50	ADEA	
CCOc1ccc(CCN=C=O)cc1	ZINC000041205183	WZEDGXZAGZZZBF-UHFFFAOYSA-N	191.230	1.964	30	50	ADEA	
COc1ccccc1CCCN=C=O	ZINC000041205196	FVLWHGZPLIPJGK-UHFFFAOYSA-N	191.230	1.964	30	50	ADEA	
COc1cccc(CCCN=C=O)c1	ZINC000041205197	UWZLCLLWHNUCFC-UHFFFAOYSA-N	191.230	1.964	30	50	ADEA	
CC12COC(CCCl)(OC1)OC2	ZINC000041206114	IUSUWHIYSSPTMU-UHFFFAOYSA-N	192.642	1.352	30	50	ADEA	
O=C=NC(=O)CCc1ccccc1F	ZINC000041206123	IOLYIJUIMICSNC-UHFFFAOYSA-N	193.177	1.621	30	50	ADEA	
O=C=NC(=O)CCc1ccc(F)cc1	ZINC000041206125	YNMBSPUNTGAFQG-UHFFFAOYSA-N	193.177	1.621	30	50	ADEA	
COc1ccc2c(c1)/C(=N\O)CCO2	ZINC000041206143	KOFJBEHYDWRMNH-LUAWRHEFSA-N	193.202	1.656	30	50	ADEA	
COc1cccc2c1OCC/C2=N\O	ZINC000041206144	QRHQVYRLVPLWDI-DHZHZOJOSA-N	193.202	1.656	30	50	ADEA	
CCOCCCN(C)C(=O)CCl	ZINC000041206563	PYFNQZFLWGGWNV-UHFFFAOYSA-N	193.674	1.110	30	50	ADEA	
CNC(=O)CCCCBr	ZINC000041206568	IAAVVLBKFSVWGA-UHFFFAOYSA-N	194.072	1.298	30	50	ADEA	
O=C=NC(=O)COc1ccccc1F	ZINC000041206920	QJEOLZLARFUTMD-UHFFFAOYSA-N	195.149	1.067	30	50	ADEA	
O=C=NC(=O)COc1cccc(F)c1	ZINC000041206921	ZPXRHXCAENLLIW-UHFFFAOYSA-N	195.149	1.067	30	50	ADEA	
O=C=NC(=O)COc1ccc(F)cc1	ZINC000041206922	ZWYQQHRAOMZOJO-UHFFFAOYSA-N	195.149	1.067	30	50	ADEA	
O=C=NC(=O)Cc1ccc(Cl)cc1	ZINC000041207168	PGIGHICCCKROKF-UHFFFAOYSA-N	195.605	1.745	30	50	ADEA	
