smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC/C(=N\NC(N)=O)c1ccccc1	ZINC000000018295	CIRHAKPWVMBBTB-FMIVXFBMSA-N	191.234	1.469	30	40	ADEB	
NC(=O)N/N=C/c1cccc(Cl)c1	ZINC000000018298	GQRIEQGLICNJRB-VZUCSPMQSA-N	197.625	1.342	30	40	ADEB	
Fc1ccc(/C=N\n2cnnc2)cc1	ZINC000000060135	KSAZKJYZXLBFPA-ACAGNQJTSA-N	190.181	1.299	30	40	ADEB	
O/N=C1/CCCSC1	ZINC000000158065	DOXKWMJZWDDLLX-WAYWQWQTSA-N	131.200	1.344	30	40	ADEB	
O=C(/C=N\O)Nc1ccccc1Cl	ZINC000000160911	VFTUFVGOXLZZPW-YHYXMXQVSA-N	198.609	1.739	30	40	ADEB	
O/N=C\c1cccnc1Cl	ZINC000000167749	LBOKKAFTDCGWBJ-WTKPLQERSA-N	156.572	1.543	30	40	ADEB	
Cc1ccc(/C=[N+](\C)[O-])cc1	ZINC000000169133	QZJWIZSRELSJQP-JXMROGBWSA-N	149.193	1.554	30	40	ADEB	
Cc1ccc(/C=N\O)o1	ZINC000000169291	VJBRLHBYLMMWER-DAXSKMNVSA-N	125.127	1.396	30	40	ADEB	
O=C(/C=N\O)Nc1ccccc1F	ZINC000000169696	CTJRKAMDQGMILD-YHYXMXQVSA-N	182.154	1.224	30	40	ADEB	
CC(=O)/N=C1\Nc2ccccc2[C@H]1O	ZINC000000263376	ZGFGFLAEUFXONG-SECBINFHSA-N	190.202	1.091	30	40	ADEB	
CCCC1=C(O)C(=O)C=C(O)C1=O	ZINC000000338279	HNLUOCXHVFBXDH-UHFFFAOYSA-N	182.175	1.192	30	40	ADEB	biogenic,in-vitro
COC(=O)[C@@H]1C(O)=C(C)C(=O)C[C@@H]1C	ZINC000000402287	GRUZVKBJCPADAL-XNCJUZBTSA-N	198.218	1.217	30	40	ADEB	
COC(=O)[C@@H]1C(O)=C(C)C(=O)C[C@H]1C	ZINC000000402288	GRUZVKBJCPADAL-XRGYYRRGSA-N	198.218	1.217	30	40	ADEB	
COC(=O)[C@H]1C(O)=C(C)C(=O)C[C@@H]1C	ZINC000000402289	GRUZVKBJCPADAL-YLWLKBPMSA-N	198.218	1.217	30	40	ADEB	
COC(=O)[C@H]1C(O)=C(C)C(=O)C[C@H]1C	ZINC000000402290	GRUZVKBJCPADAL-SVGQVSJJSA-N	198.218	1.217	30	40	ADEB	
O=C1C=CC(Cl)=C/C1=C1/C=CNO1	ZINC000000403144	QCDHHUJPNPOGKY-VQHVLOKHSA-N	195.605	1.551	30	40	ADEB	
CC1=C/C(=C2\C=CNO2)C(=O)C=C1	ZINC000000403145	CDUCCINDCURBGI-NTMALXAHSA-N	175.187	1.374	30	40	ADEB	
CCC1C(C#N)=C(O)NC(O)=C1C#N	ZINC000000408349	CXLCHLGDOFLSSA-UHFFFAOYSA-N	191.190	1.202	30	40	ADEB	
N#CC(C=O)=C1Nc2ccccc2N1	ZINC000000483418	UUKIUGBDYBNAIZ-UHFFFAOYSA-N	185.186	1.458	30	40	ADEB	
COC(=O)NN=C1CCCC1	ZINC000000492065	PKAJSILBTDHGRK-UHFFFAOYSA-N	156.185	1.272	30	40	ADEB	
Cc1cccc(/C=N/NC(N)=S)c1	ZINC000000493597	FGGAGBAUEILIJY-IZZDOVSWSA-N	193.275	1.162	30	40	ADEB	
CC(C)=N/N=c1\[nH]ccs1	ZINC000000563705	SVCAXYIRGYYXKB-UHFFFAOYSA-N	155.226	1.373	30	40	ADEB	
CC(C)=NNC(=O)Cc1ccccc1	ZINC000000580458	VKUOBYZDDJZGSY-UHFFFAOYSA-N	190.246	1.741	30	40	ADEB	
O=CCc1c[nH]c2ccc(O)cc12	ZINC000000895828	OBFAPCIUSYHFIE-UHFFFAOYSA-N	175.187	1.615	30	40	ADEB	endogenous,in-man
CC(C)=CCC1=CC(=O)C=CC1=O	ZINC000000899736	PJERCKGJJBCWEC-UHFFFAOYSA-N	176.215	1.977	30	40	ADEB	biogenic,in-vitro
C(=N/n1cnnc1)\c1ccsc1	ZINC000001383709	YAJDZYZPNMAOEJ-XCVCLJGOSA-N	178.220	1.222	30	40	ADEB	
O/N=C\c1cnc(Cl)s1	ZINC000001386795	XRCSXPRUVFLEDY-UQCOIBPSSA-N	162.601	1.605	30	40	ADEB	
CC(C)=NNC(=O)c1ccccc1O	ZINC000001454948	RFBJJDYPYULWCO-UHFFFAOYSA-N	192.218	1.518	30	40	ADEB	
O/N=C/c1ccc2cnccc2n1	ZINC000001503361	WRWLAVSZTNYKQC-IZZDOVSWSA-N	173.175	1.438	30	40	ADEB	
CCCSC[C@@H](O)CCl	ZINC000001556610	ZBJZFKVFPDUIIH-LURJTMIESA-N	168.689	1.729	30	40	ADEB	
CCCCCOC[C@@H](O)CCl	ZINC000001556621	RONHEAQGRBGOCO-QMMMGPOBSA-N	180.675	1.793	30	40	ADEB	
CC[C@@H](C)COC[C@H](O)CCl	ZINC000001556622	KUHXPXLFNBIEBC-HTQZYQBOSA-N	180.675	1.649	30	40	ADEB	
CC[C@H](C)COC[C@H](O)CCl	ZINC000001556623	KUHXPXLFNBIEBC-JGVFFNPUSA-N	180.675	1.649	30	40	ADEB	
CC[C@@H](C)COC[C@@H](O)CCl	ZINC000001556624	KUHXPXLFNBIEBC-SFYZADRCSA-N	180.675	1.649	30	40	ADEB	
CC[C@H](C)COC[C@@H](O)CCl	ZINC000001556625	KUHXPXLFNBIEBC-YUMQZZPRSA-N	180.675	1.649	30	40	ADEB	
CC(=O)C1=CN(C(C)(C)C)CO[C@H]1C	ZINC000001556843	PUSDWUJDSHRVNW-VIFPVBQESA-N	197.278	1.936	30	40	ADEB	
